Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.026,0.026,0.026,0.026,000,0.026
2015-01-02,0.027,0.027,0.027,0.027,350000,0.027
2015-01-05,0.027,0.03,0.027,0.029,2351000,0.029
2015-01-06,0.029,0.031,0.029,0.029,1341200,0.029
2015-01-07,0.03,0.03,0.029,0.029,1009700,0.029
2015-01-08,0.03,0.03,0.03,0.03,1200000,0.03
2015-01-09,0.029,0.029,0.029,0.029,650000,0.029
2015-01-12,0.029,0.029,0.029,0.029,525000,0.029
2015-01-13,0.029,0.029,0.029,0.029,000,0.029
2015-01-14,0.029,0.029,0.029,0.029,000,0.029
2015-01-15,0.029,0.029,0.028,0.029,387900,0.029
2015-01-16,0.029,0.029,0.029,0.029,250000,0.029
2015-01-19,0.029,0.029,0.028,0.028,228900,0.028
2015-01-20,0.028,0.028,0.028,0.028,000,0.028
2015-01-21,0.028,0.028,0.028,0.028,000,0.028
2015-01-22,0.03,0.03,0.03,0.03,10000,0.03
2015-01-23,0.03,0.03,0.029,0.029,338000,0.029
2015-01-26,0.029,0.029,0.029,0.029,000,0.029
2015-01-27,0.029,0.03,0.029,0.03,5216300,0.03
2015-01-28,0.03,0.03,0.03,0.03,441600,0.03
2015-01-29,0.029,0.029,0.029,0.029,17500,0.029
2015-01-30,0.03,0.033,0.03,0.031,1195100,0.031
2015-02-02,0.031,0.031,0.031,0.031,73400,0.031
2015-02-03,0.031,0.031,0.031,0.031,000,0.031
2015-02-04,0.031,0.032,0.031,0.032,689300,0.032
2015-02-05,0.033,0.037,0.033,0.037,553200,0.037
2015-02-06,0.035,0.036,0.035,0.036,840200,0.036
2015-02-09,0.037,0.038,0.036,0.036,595000,0.036
2015-02-10,0.035,0.035,0.035,0.035,335000,0.035
2015-02-11,0.035,0.037,0.035,0.037,675300,0.037
2015-02-12,0.037,0.037,0.037,0.037,1300000,0.037
2015-02-13,0.037,0.037,0.037,0.037,10700,0.037
2015-02-16,0.037,0.038,0.037,0.038,1547700,0.038
2015-02-17,0.038,0.04,0.037,0.039,2254300,0.039
2015-02-18,0.04,0.041,0.04,0.04,1001700,0.04
2015-02-19,0.041,0.045,0.041,0.042,843500,0.042
2015-02-20,0.041,0.041,0.04,0.04,841600,0.04
2015-02-23,0.041,0.041,0.04,0.041,507500,0.041
2015-02-24,0.041,0.043,0.041,0.043,2094200,0.043
2015-02-25,0.043,0.043,0.043,0.043,444600,0.043
2015-02-26,0.043,0.043,0.043,0.043,310000,0.043
2015-02-27,0.043,0.046,0.043,0.046,1539200,0.046
2015-03-02,0.05,0.051,0.046,0.049,1458000,0.049
2015-03-03,0.048,0.049,0.046,0.046,417700,0.046
2015-03-04,0.048,0.049,0.048,0.049,939900,0.049
2015-03-05,0.048,0.048,0.045,0.046,915500,0.046
2015-03-06,0.045,0.045,0.044,0.044,312700,0.044
2015-03-09,0.048,0.048,0.046,0.047,587000,0.047
2015-03-10,0.047,0.05,0.046,0.047,1963000,0.047
2015-03-11,0.049,0.055,0.049,0.053,2671500,0.053
2015-03-12,0.053,0.055,0.051,0.051,1340500,0.051
2015-03-13,0.053,0.053,0.051,0.051,812800,0.051
2015-03-16,0.052,0.052,0.048,0.051,399500,0.051
2015-03-17,0.052,0.052,0.05,0.052,1330400,0.052
2015-03-18,0.052,0.052,0.05,0.052,148500,0.052
2015-03-19,0.052,0.052,0.052,0.052,000,0.052
2015-03-20,0.052,0.052,0.052,0.052,000,0.052
2015-03-23,0.052,0.052,0.05,0.052,410000,0.052
2015-03-24,0.052,0.053,0.052,0.053,258000,0.053
2015-03-25,0.053,0.053,0.051,0.051,286000,0.051
2015-03-26,0.05,0.05,0.049,0.049,419000,0.049
2015-03-27,0.049,0.049,0.048,0.048,1030000,0.048
2015-03-30,0.051,0.051,0.047,0.048,502700,0.048
2015-03-31,0.048,0.048,0.048,0.048,000,0.048
2015-04-01,0.047,0.047,0.047,0.047,17000,0.047
2015-04-02,0.047,0.048,0.045,0.048,62000,0.048
2015-04-03,0.048,0.048,0.048,0.048,000,0.048
2015-04-06,0.048,0.048,0.048,0.048,000,0.048
