Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.13,0.13,0.13,0.13,000,0.13
2015-01-02,0.13,0.13,0.13,0.13,000,0.13
2015-01-05,0.13,0.13,0.13,0.13,000,0.13
2015-01-06,0.13,0.13,0.13,0.13,000,0.13
2015-01-07,0.13,0.13,0.13,0.13,000,0.13
2015-01-08,0.13,0.13,0.13,0.13,4500,0.13
2015-01-09,0.13,0.13,0.13,0.13,000,0.13
2015-01-12,0.13,0.15,0.13,0.15,125300,0.15
2015-01-13,0.15,0.15,0.15,0.15,000,0.15
2015-01-14,0.15,0.15,0.15,0.15,000,0.15
2015-01-15,0.15,0.15,0.15,0.15,000,0.15
2015-01-16,0.15,0.15,0.15,0.15,000,0.15
2015-01-19,0.15,0.15,0.15,0.15,000,0.15
2015-01-20,0.15,0.15,0.15,0.15,10000,0.15
2015-01-21,0.125,0.135,0.11,0.135,135600,0.135
2015-01-22,0.135,0.135,0.135,0.135,000,0.135
2015-01-23,0.135,0.135,0.135,0.135,000,0.135
2015-01-26,0.135,0.135,0.135,0.135,000,0.135
2015-01-27,0.135,0.135,0.135,0.135,000,0.135
2015-01-28,0.135,0.135,0.135,0.135,000,0.135
2015-01-29,0.135,0.135,0.135,0.135,000,0.135
2015-01-30,0.125,0.125,0.125,0.125,10000,0.125
2015-02-02,0.10,0.10,0.09,0.09,30300,0.09
2015-02-03,0.10,0.10,0.09,0.09,159000,0.09
2015-02-04,0.092,0.092,0.092,0.092,6000,0.092
2015-02-05,0.095,0.10,0.095,0.10,54000,0.10
2015-02-06,0.10,0.10,0.10,0.10,000,0.10
2015-02-09,0.10,0.10,0.10,0.10,000,0.10
2015-02-10,0.11,0.11,0.11,0.11,293600,0.11
2015-02-11,0.11,0.11,0.11,0.11,000,0.11
2015-02-12,0.11,0.11,0.11,0.11,150400,0.11
2015-02-13,0.11,0.11,0.11,0.11,000,0.11
2015-02-16,0.11,0.11,0.11,0.11,000,0.11
2015-02-17,0.11,0.11,0.11,0.11,140000,0.11
2015-02-18,0.11,0.11,0.11,0.11,70000,0.11
2015-02-19,0.11,0.11,0.11,0.11,000,0.11
2015-02-20,0.11,0.11,0.11,0.11,000,0.11
2015-02-23,0.11,0.11,0.11,0.11,000,0.11
2015-02-24,0.11,0.115,0.11,0.115,130000,0.115
2015-02-25,0.12,0.12,0.12,0.12,5000,0.12
