Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.405,0.405,0.405,0.405,000,0.405
2015-01-02,0.405,0.405,0.405,0.405,000,0.405
2015-01-05,0.405,0.405,0.405,0.405,000,0.405
2015-01-06,0.405,0.405,0.405,0.405,000,0.405
2015-01-07,0.405,0.405,0.405,0.405,000,0.405
2015-01-08,0.405,0.405,0.405,0.405,000,0.405
2015-01-09,0.405,0.405,0.405,0.405,000,0.405
2015-01-12,0.405,0.405,0.405,0.405,000,0.405
2015-01-13,0.405,0.405,0.405,0.405,000,0.405
2015-01-14,0.405,0.405,0.405,0.405,000,0.405
2015-01-15,0.375,0.375,0.375,0.375,20000,0.375
2015-01-16,0.375,0.375,0.375,0.375,000,0.375
2015-01-19,0.375,0.375,0.375,0.375,000,0.375
2015-01-20,0.38,0.38,0.38,0.38,8000,0.38
2015-01-21,0.38,0.38,0.38,0.38,000,0.38
2015-01-22,0.38,0.38,0.38,0.38,000,0.38
2015-01-23,0.38,0.38,0.38,0.38,14400,0.38
2015-01-26,0.38,0.38,0.38,0.38,000,0.38
2015-01-27,0.38,0.38,0.38,0.38,000,0.38
2015-01-28,0.38,0.38,0.38,0.38,000,0.38
2015-01-29,0.38,0.38,0.38,0.38,000,0.38
2015-01-30,0.38,0.38,0.38,0.38,000,0.38
2015-02-02,0.38,0.38,0.38,0.38,000,0.38
2015-02-03,0.44,0.44,0.44,0.44,13000,0.44
2015-02-04,0.44,0.44,0.44,0.44,800,0.44
2015-02-05,0.44,0.44,0.44,0.44,000,0.44
2015-02-06,0.44,0.44,0.44,0.44,000,0.44
2015-02-09,0.44,0.44,0.44,0.44,000,0.44
2015-02-10,0.44,0.44,0.44,0.44,000,0.44
2015-02-11,0.44,0.44,0.44,0.44,000,0.44
2015-02-12,0.43,0.43,0.43,0.43,15000,0.43
2015-02-13,0.43,0.43,0.43,0.43,000,0.43
2015-02-16,0.45,0.45,0.45,0.45,14000,0.45
2015-02-17,0.45,0.45,0.45,0.45,000,0.45
2015-02-18,0.45,0.45,0.45,0.45,000,0.45
2015-02-19,0.45,0.45,0.45,0.45,000,0.45
2015-02-20,0.45,0.45,0.45,0.45,000,0.45
2015-02-23,0.45,0.45,0.45,0.45,000,0.45
2015-02-24,0.45,0.45,0.45,0.45,000,0.45
2015-02-25,0.45,0.45,0.45,0.45,000,0.45
2015-02-26,0.41,0.41,0.41,0.41,13500,0.41
2015-02-27,0.41,0.41,0.41,0.41,000,0.41
2015-03-02,0.41,0.41,0.41,0.41,000,0.41
2015-03-03,0.41,0.41,0.41,0.41,000,0.41
2015-03-04,0.41,0.41,0.41,0.41,000,0.41
2015-03-05,0.41,0.41,0.41,0.41,000,0.41
2015-03-06,0.355,0.355,0.355,0.355,1400,0.355
2015-03-09,0.355,0.355,0.355,0.355,000,0.355
2015-03-10,0.36,0.36,0.36,0.36,122000,0.36
2015-03-11,0.36,0.36,0.36,0.36,000,0.36
2015-03-12,0.36,0.36,0.36,0.36,3400,0.36
2015-03-13,0.36,0.36,0.36,0.36,000,0.36
2015-03-16,0.36,0.36,0.36,0.36,000,0.36
2015-03-17,0.36,0.36,0.36,0.36,000,0.36
2015-03-18,0.36,0.36,0.36,0.36,000,0.36
2015-03-19,0.36,0.36,0.36,0.36,000,0.36
2015-03-20,0.36,0.36,0.36,0.36,000,0.36
2015-03-23,0.36,0.36,0.36,0.36,000,0.36
2015-03-24,0.36,0.36,0.36,0.36,000,0.36
2015-03-25,0.36,0.36,0.36,0.36,000,0.36
2015-03-26,0.36,0.36,0.36,0.36,000,0.36
2015-03-27,0.36,0.36,0.36,0.36,000,0.36
2015-03-30,0.36,0.36,0.36,0.36,000,0.36
2015-03-31,0.36,0.36,0.36,0.36,000,0.36
2015-04-01,0.36,0.36,0.36,0.36,000,0.36
2015-04-02,0.36,0.36,0.36,0.36,000,0.36
2015-04-03,0.36,0.36,0.36,0.36,000,0.36
2015-04-06,0.36,0.36,0.36,0.36,000,0.36
2015-04-07,0.36,0.36,0.36,0.36,000,0.36
2015-04-08,0.35,0.35,0.32,0.32,53000,0.32
2015-04-09,0.32,0.32,0.32,0.32,000,0.32
2015-04-10,0.32,0.32,0.32,0.32,000,0.32
2015-04-13,0.32,0.32,0.32,0.32,000,0.32
2015-04-14,0.32,0.32,0.32,0.32,000,0.32
2015-04-15,0.32,0.34,0.32,0.34,4800,0.34
2015-04-16,0.34,0.34,0.34,0.34,000,0.34
2015-04-17,0.34,0.34,0.34,0.34,000,0.34
2015-04-20,0.34,0.34,0.34,0.34,000,0.34
2015-04-21,0.34,0.34,0.34,0.34,000,0.34
2015-04-22,0.34,0.34,0.34,0.34,000,0.34
2015-04-23,0.34,0.34,0.34,0.34,000,0.34
2015-04-24,0.34,0.34,0.34,0.34,000,0.34
2015-04-27,0.34,0.34,0.34,0.34,000,0.34
2015-04-28,0.34,0.34,0.34,0.34,000,0.34
2015-04-29,0.35,0.38,0.35,0.38,8700,0.38
2015-04-30,0.38,0.38,0.38,0.38,000,0.38
2015-05-01,0.38,0.38,0.38,0.38,000,0.38
2015-05-04,0.38,0.38,0.38,0.38,000,0.38
