Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.009,0.009,0.009,0.009,000,0.009
2015-01-02,0.009,0.009,0.009,0.009,38000,0.009
2015-01-05,0.008,0.008,0.008,0.008,75000,0.008
2015-01-06,0.01,0.01,0.01,0.01,35000,0.01
2015-01-07,0.01,0.01,0.01,0.01,000,0.01
2015-01-08,0.01,0.01,0.01,0.01,000,0.01
2015-01-09,0.01,0.01,0.01,0.01,000,0.01
2015-01-12,0.01,0.01,0.01,0.01,000,0.01
2015-01-13,0.01,0.01,0.01,0.01,000,0.01
2015-01-14,0.01,0.01,0.01,0.01,000,0.01
2015-01-15,0.01,0.01,0.01,0.01,000,0.01
2015-01-16,0.008,0.008,0.008,0.008,30800,0.008
2015-01-19,0.008,0.008,0.008,0.008,000,0.008
2015-01-20,0.009,0.009,0.009,0.009,100000,0.009
2015-01-21,0.009,0.009,0.009,0.009,936000,0.009
2015-01-22,0.009,0.009,0.009,0.009,000,0.009
2015-01-23,0.009,0.01,0.009,0.01,1100000,0.01
2015-01-26,0.01,0.01,0.01,0.01,000,0.01
2015-01-27,0.01,0.01,0.01,0.01,187600,0.01
2015-01-28,0.01,0.01,0.01,0.01,000,0.01
2015-01-29,0.01,0.011,0.01,0.011,472700,0.011
2015-01-30,0.011,0.011,0.011,0.011,120000,0.011
2015-02-02,0.011,0.011,0.011,0.011,000,0.011
2015-02-03,0.011,0.011,0.011,0.011,000,0.011
2015-02-04,0.011,0.011,0.01,0.01,2173000,0.01
2015-02-05,0.01,0.01,0.01,0.01,000,0.01
2015-02-06,0.009,0.011,0.009,0.011,2747000,0.011
2015-02-09,0.011,0.011,0.011,0.011,324300,0.011
2015-02-10,0.011,0.011,0.011,0.011,000,0.011
2015-02-11,0.011,0.011,0.011,0.011,000,0.011
2015-02-12,0.01,0.01,0.01,0.01,1556200,0.01
2015-02-13,0.01,0.01,0.01,0.01,000,0.01
2015-02-16,0.011,0.011,0.01,0.01,470300,0.01
2015-02-17,0.01,0.01,0.01,0.01,000,0.01
2015-02-18,0.01,0.01,0.01,0.01,000,0.01
2015-02-19,0.011,0.011,0.011,0.011,795600,0.011
2015-02-20,0.012,0.012,0.011,0.011,2888000,0.011
2015-02-23,0.011,0.011,0.011,0.011,000,0.011
2015-02-24,0.011,0.012,0.011,0.012,1144900,0.012
2015-02-25,0.012,0.012,0.012,0.012,000,0.012
2015-02-26,0.012,0.012,0.012,0.012,000,0.012
2015-02-27,0.012,0.012,0.012,0.012,000,0.012
2015-03-02,0.012,0.012,0.011,0.011,145000,0.011
2015-03-03,0.012,0.012,0.012,0.012,100000,0.012
2015-03-04,0.012,0.012,0.012,0.012,000,0.012
2015-03-05,0.012,0.012,0.012,0.012,80000,0.012
2015-03-06,0.012,0.012,0.012,0.012,000,0.012
2015-03-09,0.012,0.012,0.012,0.012,410000,0.012
2015-03-10,0.012,0.012,0.011,0.011,610000,0.011
2015-03-11,0.011,0.011,0.011,0.011,000,0.011
2015-03-12,0.011,0.011,0.011,0.011,390000,0.011
2015-03-13,0.011,0.011,0.011,0.011,000,0.011
2015-03-16,0.012,0.012,0.011,0.011,770000,0.011
2015-03-17,0.011,0.011,0.011,0.011,000,0.011
2015-03-18,0.012,0.012,0.012,0.012,450000,0.012
2015-03-19,0.01,0.012,0.01,0.011,501200,0.011
2015-03-20,0.011,0.011,0.011,0.011,345000,0.011
2015-03-23,0.012,0.012,0.012,0.012,100000,0.012
2015-03-24,0.012,0.013,0.012,0.013,1045700,0.013
2015-03-25,0.013,0.017,0.013,0.016,3297900,0.016
2015-03-26,0.016,0.016,0.016,0.016,000,0.016
2015-03-27,0.015,0.015,0.015,0.015,351000,0.015
2015-03-30,0.015,0.015,0.015,0.015,100000,0.015
2015-03-31,0.015,0.015,0.013,0.015,524600,0.015
2015-04-01,0.015,0.015,0.015,0.015,100000,0.015
2015-04-02,0.015,0.015,0.015,0.015,000,0.015
2015-04-03,0.015,0.015,0.015,0.015,000,0.015
2015-04-06,0.015,0.015,0.015,0.015,000,0.015
2015-04-07,0.015,0.015,0.012,0.012,1655700,0.012
2015-04-08,0.014,0.014,0.013,0.013,185000,0.013
2015-04-09,0.013,0.013,0.013,0.013,100000,0.013
2015-04-10,0.013,0.013,0.013,0.013,000,0.013
2015-04-13,0.013,0.013,0.013,0.013,50000,0.013
2015-04-14,0.013,0.013,0.013,0.013,000,0.013
2015-04-15,0.013,0.013,0.013,0.013,650000,0.013
2015-04-16,0.013,0.013,0.013,0.013,000,0.013
2015-04-17,0.013,0.013,0.012,0.012,1703600,0.012
2015-04-20,0.012,0.013,0.012,0.013,1287000,0.013
2015-04-21,0.013,0.013,0.013,0.013,000,0.013
2015-04-22,0.012,0.013,0.012,0.013,721300,0.013
2015-04-23,0.012,0.012,0.011,0.011,3584700,0.011
2015-04-24,0.012,0.012,0.011,0.012,495000,0.012
2015-04-27,0.012,0.012,0.011,0.011,665000,0.011
2015-04-28,0.011,0.011,0.011,0.011,7150000,0.011
2015-04-29,0.011,0.011,0.011,0.011,000,0.011
2015-04-30,0.011,0.011,0.011,0.011,150000,0.011
2015-05-01,0.011,0.011,0.011,0.011,000,0.011
2015-05-04,0.011,0.011,0.011,0.011,54100,0.011
2015-05-05,0.011,0.011,0.011,0.011,000,0.011
2015-05-06,0.011,0.011,0.011,0.011,000,0.011
2015-05-07,0.01,0.01,0.01,0.01,795800,0.01
2015-05-08,0.01,0.01,0.01,0.01,000,0.01
2015-05-11,0.01,0.01,0.01,0.01,440000,0.01
2015-05-12,0.01,0.01,0.01,0.01,000,0.01
2015-05-13,0.01,0.011,0.01,0.01,850000,0.01
2015-05-14,0.01,0.01,0.01,0.01,000,0.01
2015-05-15,0.01,0.01,0.01,0.01,000,0.01
2015-05-18,0.009,0.01,0.009,0.01,1550000,0.01
2015-05-19,0.01,0.01,0.01,0.01,250000,0.01
2015-05-20,0.01,0.01,0.01,0.01,000,0.01
2015-05-21,0.01,0.01,0.009,0.009,650000,0.009
2015-05-22,0.01,0.01,0.01,0.01,220000,0.01
2015-05-25,0.01,0.011,0.01,0.011,375000,0.011
2015-05-26,0.011,0.011,0.011,0.011,000,0.011
2015-05-27,0.011,0.011,0.01,0.01,320000,0.01
2015-05-28,0.01,0.01,0.01,0.01,000,0.01
2015-05-29,0.01,0.01,0.01,0.01,000,0.01
2015-06-01,0.01,0.01,0.01,0.01,000,0.01
2015-06-02,0.01,0.01,0.01,0.01,175000,0.01
2015-06-03,0.01,0.01,0.01,0.01,000,0.01
2015-06-04,0.01,0.01,0.01,0.01,150000,0.01
2015-06-05,0.01,0.01,0.01,0.01,1080000,0.01
2015-06-08,0.01,0.01,0.01,0.01,000,0.01
2015-06-09,0.009,0.01,0.009,0.01,805000,0.01
2015-06-10,0.01,0.01,0.01,0.01,100000,0.01
2015-06-11,0.01,0.01,0.01,0.01,000,0.01
2015-06-12,0.01,0.01,0.01,0.01,000,0.01
2015-06-15,0.01,0.01,0.01,0.01,000,0.01
2015-06-16,0.009,0.009,0.009,0.009,150000,0.009
2015-06-17,0.009,0.009,0.009,0.009,1773800,0.009
2015-06-18,0.01,0.01,0.01,0.01,100000,0.01
2015-06-19,0.009,0.009,0.009,0.009,421700,0.009
2015-06-22,0.009,0.01,0.009,0.01,300000,0.01
2015-06-23,0.01,0.01,0.01,0.01,000,0.01
2015-06-24,0.01,0.01,0.01,0.01,000,0.01
2015-06-25,0.01,0.01,0.01,0.01,000,0.01
2015-06-26,0.01,0.01,0.009,0.009,200000,0.009
2015-06-29,0.009,0.009,0.009,0.009,30000,0.009
2015-06-30,0.009,0.009,0.009,0.009,000,0.009
2015-07-01,0.01,0.01,0.01,0.01,540000,0.01
2015-07-02,0.01,0.01,0.01,0.01,60000,0.01
2015-07-03,0.01,0.01,0.01,0.01,000,0.01
2015-07-06,0.01,0.01,0.01,0.01,545000,0.01
2015-07-07,0.01,0.01,0.01,0.01,000,0.01
2015-07-08,0.012,0.012,0.012,0.012,525000,0.012
2015-07-09,0.012,0.012,0.012,0.012,000,0.012
2015-07-10,0.012,0.012,0.012,0.012,000,0.012
2015-07-13,0.011,0.011,0.009,0.009,390000,0.009
2015-07-14,0.01,0.01,0.01,0.01,95500,0.01
2015-07-15,0.01,0.01,0.01,0.01,000,0.01
2015-07-16,0.01,0.01,0.01,0.01,249200,0.01
2015-07-17,0.01,0.01,0.01,0.01,324000,0.01
2015-07-20,0.01,0.01,0.01,0.01,000,0.01
2015-07-21,0.01,0.01,0.01,0.01,1000000,0.01
2015-07-22,0.01,0.01,0.01,0.01,233700,0.01
2015-07-23,0.01,0.01,0.01,0.01,000,0.01
2015-07-24,0.009,0.01,0.009,0.01,2100900,0.01
2015-07-27,0.01,0.01,0.01,0.01,000,0.01
2015-07-28,0.01,0.01,0.01,0.01,2000000,0.01
2015-07-29,0.01,0.01,0.01,0.01,3414000,0.01
2015-07-30,0.01,0.01,0.01,0.01,1090000,0.01
2015-07-31,0.01,0.01,0.01,0.01,3000000,0.01
2015-08-03,0.01,0.01,0.01,0.01,000,0.01
2015-08-04,0.01,0.01,0.01,0.01,000,0.01
2015-08-05,0.01,0.01,0.01,0.01,000,0.01
2015-08-06,0.01,0.01,0.009,0.009,4000000,0.009
2015-08-07,0.009,0.009,0.009,0.009,1000000,0.009
2015-08-10,0.009,0.009,0.009,0.009,945700,0.009
2015-08-11,0.009,0.009,0.009,0.009,1000000,0.009
2015-08-12,0.009,0.009,0.009,0.009,1749900,0.009
2015-08-13,0.009,0.009,0.009,0.009,000,0.009
2015-08-14,0.009,0.009,0.009,0.009,000,0.009
2015-08-17,0.009,0.009,0.009,0.009,000,0.009
2015-08-18,0.01,0.01,0.01,0.01,100000,0.01
2015-08-19,0.009,0.009,0.009,0.009,3000000,0.009
2015-08-20,0.009,0.009,0.009,0.009,000,0.009
2015-08-21,0.009,0.009,0.008,0.009,4810000,0.009
2015-08-24,0.009,0.009,0.008,0.009,490000,0.009
2015-08-25,0.008,0.008,0.008,0.008,525000,0.008
2015-08-26,0.008,0.008,0.008,0.008,000,0.008
2015-08-27,0.008,0.008,0.008,0.008,000,0.008
2015-08-28,0.008,0.008,0.008,0.008,000,0.008
2015-08-31,0.008,0.008,0.008,0.008,62500,0.008
2015-09-01,0.008,0.008,0.008,0.008,000,0.008
2015-09-02,0.008,0.008,0.008,0.008,200000,0.008
2015-09-03,0.008,0.008,0.008,0.008,000,0.008
2015-09-04,0.008,0.008,0.008,0.008,000,0.008
2015-09-07,0.008,0.008,0.008,0.008,000,0.008
2015-09-08,0.008,0.008,0.008,0.008,000,0.008
2015-09-09,0.008,0.008,0.008,0.008,1000000,0.008
2015-09-10,0.008,0.008,0.008,0.008,000,0.008
2015-09-11,0.008,0.008,0.008,0.008,000,0.008
2015-09-14,0.008,0.008,0.008,0.008,000,0.008
2015-09-15,0.008,0.008,0.008,0.008,000,0.008
2015-09-16,0.008,0.008,0.008,0.008,000,0.008
2015-09-17,0.008,0.008,0.008,0.008,000,0.008
2015-09-18,0.008,0.008,0.008,0.008,000,0.008
