Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.009,0.009,0.009,0.009,000,0.009
2015-01-02,0.009,0.009,0.009,0.009,000,0.009
2015-01-05,0.009,0.009,0.009,0.009,000,0.009
2015-01-06,0.009,0.01,0.009,0.01,132400,0.01
2015-01-07,0.01,0.01,0.01,0.01,000,0.01
2015-01-08,0.01,0.01,0.01,0.01,000,0.01
2015-01-09,0.01,0.01,0.01,0.01,000,0.01
2015-01-12,0.01,0.01,0.01,0.01,000,0.01
2015-01-13,0.01,0.01,0.01,0.01,000,0.01
2015-01-14,0.008,0.008,0.008,0.008,841100,0.008
2015-01-15,0.008,0.008,0.008,0.008,000,0.008
2015-01-16,0.008,0.008,0.008,0.008,000,0.008
2015-01-19,0.009,0.009,0.009,0.009,200000,0.009
2015-01-20,0.009,0.009,0.009,0.009,000,0.009
2015-01-21,0.009,0.009,0.009,0.009,000,0.009
2015-01-22,0.009,0.009,0.009,0.009,000,0.009
2015-01-23,0.009,0.009,0.009,0.009,000,0.009
2015-01-26,0.009,0.009,0.009,0.009,000,0.009
2015-01-27,0.009,0.009,0.009,0.009,600000,0.009
2015-01-28,0.009,0.009,0.009,0.009,000,0.009
2015-01-29,0.009,0.009,0.009,0.009,000,0.009
2015-01-30,0.009,0.009,0.009,0.009,000,0.009
2015-02-02,0.009,0.009,0.009,0.009,285700,0.009
2015-02-03,0.01,0.011,0.009,0.011,2322200,0.011
2015-02-04,0.011,0.012,0.01,0.01,4527000,0.01
2015-02-05,0.01,0.01,0.009,0.009,1561000,0.009
2015-02-06,0.009,0.01,0.009,0.01,1217300,0.01
2015-02-09,0.01,0.012,0.01,0.012,2173300,0.012
2015-02-10,0.012,0.014,0.012,0.014,2481500,0.014
2015-02-11,0.014,0.02,0.014,0.019,9667200,0.019
2015-02-12,0.019,0.02,0.018,0.019,1689900,0.019
2015-02-13,0.019,0.019,0.019,0.019,000,0.019
2015-02-16,0.017,0.017,0.016,0.017,1028700,0.017
2015-02-17,0.017,0.019,0.015,0.019,2428700,0.019
2015-02-18,0.019,0.027,0.019,0.024,8045300,0.024
2015-02-19,0.025,0.027,0.023,0.025,7292000,0.025
2015-02-20,0.025,0.025,0.022,0.023,1254200,0.023
2015-02-23,0.023,0.025,0.021,0.024,1606800,0.024
2015-02-24,0.023,0.024,0.022,0.024,415900,0.024
2015-02-25,0.023,0.025,0.022,0.025,1484700,0.025
2015-02-26,0.026,0.029,0.026,0.028,2755900,0.028
2015-02-27,0.028,0.033,0.026,0.033,4319500,0.033
2015-03-02,0.03,0.034,0.028,0.029,2866400,0.029
2015-03-03,0.029,0.029,0.025,0.027,3559300,0.027
2015-03-04,0.027,0.027,0.025,0.027,694000,0.027
2015-03-05,0.027,0.027,0.024,0.024,491900,0.024
2015-03-06,0.023,0.025,0.022,0.025,1882800,0.025
2015-03-09,0.025,0.027,0.025,0.027,890400,0.027
2015-03-10,0.028,0.03,0.028,0.029,1500000,0.029
2015-03-11,0.029,0.029,0.029,0.029,000,0.029
2015-03-12,0.026,0.031,0.025,0.031,1051000,0.031
2015-03-13,0.03,0.033,0.03,0.033,3310200,0.033
2015-03-16,0.033,0.04,0.033,0.037,4170500,0.037
2015-03-17,0.035,0.039,0.032,0.033,2372400,0.033
2015-03-18,0.032,0.033,0.03,0.03,446400,0.03
2015-03-19,0.03,0.03,0.03,0.03,000,0.03
2015-03-20,0.034,0.034,0.033,0.033,892400,0.033
2015-03-23,0.034,0.036,0.033,0.036,1490300,0.036
2015-03-24,0.036,0.037,0.033,0.037,678900,0.037
2015-03-25,0.036,0.036,0.034,0.036,983200,0.036
2015-03-26,0.035,0.036,0.032,0.036,666000,0.036
2015-03-27,0.035,0.036,0.034,0.034,897100,0.034
2015-03-30,0.034,0.034,0.032,0.032,116600,0.032
2015-03-31,0.035,0.04,0.034,0.038,3626000,0.038
2015-04-01,0.038,0.039,0.036,0.039,1340800,0.039
2015-04-02,0.04,0.051,0.04,0.047,12135300,0.047
2015-04-03,0.047,0.047,0.047,0.047,000,0.047
2015-04-06,0.047,0.047,0.047,0.047,000,0.047
2015-04-07,0.048,0.068,0.048,0.064,14527300,0.064
2015-04-08,0.069,0.087,0.066,0.07,34377300,0.07
2015-04-09,0.07,0.074,0.057,0.06,9700800,0.06
