Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.008,0.008,0.008,0.008,000,0.008
2015-01-02,0.009,0.009,0.008,0.008,4031200,0.008
2015-01-05,0.008,0.008,0.008,0.008,1068700,0.008
2015-01-06,0.008,0.008,0.008,0.008,1871200,0.008
2015-01-07,0.008,0.008,0.008,0.008,000,0.008
2015-01-08,0.008,0.008,0.008,0.008,173200,0.008
2015-01-09,0.008,0.008,0.008,0.008,000,0.008
2015-01-12,0.008,0.008,0.008,0.008,000,0.008
2015-01-13,0.008,0.008,0.008,0.008,000,0.008
2015-01-14,0.008,0.008,0.007,0.007,1068800,0.007
2015-01-15,0.007,0.007,0.007,0.007,500000,0.007
2015-01-16,0.008,0.008,0.007,0.007,600000,0.007
2015-01-19,0.007,0.007,0.007,0.007,176000,0.007
2015-01-20,0.007,0.007,0.007,0.007,370000,0.007
2015-01-21,0.007,0.007,0.007,0.007,000,0.007
2015-01-22,0.007,0.007,0.007,0.007,40000,0.007
2015-01-23,0.008,0.009,0.008,0.009,5835400,0.009
2015-01-26,0.009,0.009,0.009,0.009,000,0.009
2015-01-27,0.009,0.009,0.007,0.007,4692800,0.007
2015-01-28,0.007,0.007,0.007,0.007,000,0.007
2015-01-29,0.007,0.007,0.007,0.007,000,0.007
2015-01-30,0.007,0.007,0.007,0.007,000,0.007
2015-02-02,0.008,0.008,0.007,0.007,390400,0.007
2015-02-03,0.007,0.007,0.007,0.007,000,0.007
2015-02-04,0.007,0.007,0.007,0.007,283100,0.007
2015-02-05,0.007,0.007,0.007,0.007,000,0.007
2015-02-06,0.007,0.007,0.007,0.007,8989800,0.007
2015-02-09,0.007,0.007,0.006,0.007,1066900,0.007
2015-02-10,0.007,0.008,0.006,0.007,3169500,0.007
2015-02-11,0.007,0.007,0.007,0.007,000,0.007
2015-02-12,0.007,0.007,0.007,0.007,000,0.007
2015-02-13,0.007,0.008,0.007,0.007,4593300,0.007
2015-02-16,0.007,0.007,0.007,0.007,1328900,0.007
2015-02-17,0.008,0.008,0.007,0.007,125700,0.007
2015-02-18,0.007,0.008,0.007,0.008,2999000,0.008
2015-02-19,0.008,0.009,0.008,0.009,5184700,0.009
2015-02-20,0.009,0.009,0.008,0.009,6639800,0.009
2015-02-23,0.009,0.009,0.008,0.008,1412600,0.008
2015-02-24,0.008,0.008,0.008,0.008,364400,0.008
2015-02-25,0.008,0.008,0.008,0.008,000,0.008
2015-02-26,0.008,0.008,0.008,0.008,1325000,0.008
2015-02-27,0.008,0.009,0.008,0.009,485000,0.009
2015-03-02,0.009,0.009,0.009,0.009,000,0.009
2015-03-03,0.008,0.008,0.008,0.008,1113800,0.008
2015-03-04,0.007,0.007,0.007,0.007,1000,0.007
2015-03-05,0.008,0.008,0.008,0.008,125000,0.008
2015-03-06,0.007,0.007,0.007,0.007,90000,0.007
2015-03-09,0.007,0.007,0.007,0.007,000,0.007
2015-03-10,0.007,0.008,0.007,0.008,960700,0.008
2015-03-11,0.008,0.009,0.007,0.008,959000,0.008
2015-03-12,0.008,0.008,0.008,0.008,175000,0.008
2015-03-13,0.008,0.008,0.008,0.008,000,0.008
2015-03-16,0.008,0.008,0.008,0.008,642300,0.008
2015-03-17,0.008,0.008,0.007,0.007,4977700,0.007
2015-03-18,0.007,0.007,0.007,0.007,1225000,0.007
2015-03-19,0.008,0.008,0.007,0.008,2113900,0.008
2015-03-20,0.008,0.008,0.008,0.008,000,0.008
2015-03-23,0.008,0.008,0.008,0.008,000,0.008
2015-03-24,0.008,0.008,0.008,0.008,000,0.008
2015-03-25,0.008,0.008,0.008,0.008,000,0.008
2015-03-26,0.008,0.008,0.008,0.008,000,0.008
2015-03-27,0.007,0.008,0.007,0.008,3624700,0.008
2015-03-30,0.008,0.008,0.008,0.008,905700,0.008
2015-03-31,0.008,0.008,0.008,0.008,2412500,0.008
2015-04-01,0.008,0.008,0.008,0.008,1201900,0.008
2015-04-02,0.008,0.009,0.008,0.008,1925300,0.008
2015-04-03,0.008,0.008,0.008,0.008,000,0.008
2015-04-06,0.008,0.008,0.008,0.008,000,0.008
2015-04-07,0.009,0.009,0.008,0.009,1907200,0.009
2015-04-08,0.008,0.008,0.008,0.008,50000,0.008
2015-04-09,0.008,0.008,0.008,0.008,100000,0.008
2015-04-10,0.009,0.011,0.009,0.01,22290600,0.01
2015-04-13,0.01,0.01,0.009,0.009,7556600,0.009
2015-04-14,0.01,0.0105,0.01,0.01,8432200,0.01
2015-04-15,0.011,0.013,0.011,0.013,16109100,0.013
2015-04-16,0.014,0.015,0.013,0.014,34834100,0.014
2015-04-17,0.013,0.014,0.012,0.014,16983500,0.014
2015-04-20,0.014,0.015,0.01,0.01,20537100,0.01
2015-04-21,0.011,0.011,0.01,0.011,14721100,0.011
2015-04-22,0.01,0.014,0.01,0.012,18272200,0.012
2015-04-23,0.013,0.013,0.012,0.012,9887200,0.012
2015-04-24,0.012,0.014,0.012,0.013,3794200,0.013
2015-04-27,0.014,0.014,0.013,0.013,3337100,0.013
2015-04-28,0.013,0.013,0.013,0.013,1649900,0.013
2015-04-29,0.013,0.013,0.012,0.012,5721900,0.012
2015-04-30,0.012,0.012,0.01,0.01,22556500,0.01
2015-05-01,0.011,0.011,0.01,0.01,6063000,0.01
2015-05-04,0.011,0.011,0.01,0.01,2256500,0.01
2015-05-05,0.011,0.012,0.011,0.012,14022400,0.012
2015-05-06,0.013,0.013,0.011,0.011,6014100,0.011
2015-05-07,0.011,0.012,0.011,0.011,3677400,0.011
2015-05-08,0.011,0.014,0.011,0.014,12296300,0.014
2015-05-11,0.014,0.014,0.013,0.013,9302600,0.013
2015-05-12,0.013,0.013,0.013,0.013,1427900,0.013
2015-05-13,0.013,0.013,0.012,0.012,1201500,0.012
2015-05-14,0.013,0.016,0.013,0.015,21909600,0.015
2015-05-15,0.015,0.016,0.015,0.015,16759600,0.015
2015-05-18,0.017,0.019,0.016,0.016,19453400,0.016
2015-05-19,0.018,0.018,0.015,0.016,22976500,0.016
2015-05-20,0.016,0.016,0.015,0.015,6293200,0.015
2015-05-21,0.015,0.016,0.014,0.015,8091700,0.015
2015-05-22,0.016,0.017,0.016,0.016,6090300,0.016
2015-05-25,0.017,0.017,0.016,0.016,7790600,0.016
2015-05-26,0.016,0.016,0.016,0.016,1272400,0.016
2015-05-27,0.017,0.017,0.017,0.017,1447900,0.017
2015-05-28,0.017,0.02,0.017,0.02,84027100,0.02
2015-05-29,0.02,0.022,0.019,0.02,43439700,0.02
2015-06-01,0.022,0.026,0.022,0.024,67761300,0.024
2015-06-02,0.024,0.027,0.024,0.024,26035000,0.024
2015-06-03,0.024,0.026,0.023,0.023,16309700,0.023
2015-06-04,0.024,0.025,0.024,0.024,10931900,0.024
2015-06-05,0.026,0.028,0.024,0.025,45641600,0.025
2015-06-08,0.025,0.025,0.025,0.025,000,0.025
