Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.51,0.51,0.51,0.51,000,0.51
2015-01-02,0.51,0.51,0.51,0.51,000,0.51
2015-01-05,0.51,0.51,0.51,0.51,000,0.51
2015-01-06,0.51,0.51,0.51,0.51,000,0.51
2015-01-07,0.51,0.51,0.51,0.51,000,0.51
2015-01-08,0.51,0.51,0.51,0.51,000,0.51
2015-01-09,0.535,0.55,0.535,0.55,50900,0.55
2015-01-12,0.55,0.55,0.55,0.55,000,0.55
2015-01-13,0.54,0.54,0.54,0.54,7500,0.54
2015-01-14,0.54,0.54,0.54,0.54,000,0.54
2015-01-15,0.54,0.54,0.54,0.54,000,0.54
2015-01-16,0.34,0.34,0.34,0.34,900,0.34
2015-01-19,0.34,0.34,0.34,0.34,000,0.34
2015-01-20,0.34,0.34,0.34,0.34,000,0.34
2015-01-21,0.50,0.50,0.50,0.50,50000,0.50
2015-01-22,0.50,0.50,0.50,0.50,000,0.50
2015-01-23,0.50,0.50,0.50,0.50,000,0.50
2015-01-26,0.50,0.50,0.50,0.50,000,0.50
2015-01-27,0.50,0.50,0.50,0.50,000,0.50
2015-01-28,0.50,0.50,0.50,0.50,000,0.50
2015-01-29,0.50,0.50,0.50,0.50,14000,0.50
2015-01-30,0.50,0.50,0.50,0.50,000,0.50
2015-02-02,0.50,0.50,0.50,0.50,000,0.50
2015-02-03,0.50,0.50,0.50,0.50,000,0.50
2015-02-04,0.50,0.50,0.50,0.50,000,0.50
2015-02-05,0.50,0.54,0.50,0.54,30000,0.54
2015-02-06,0.54,0.54,0.54,0.54,000,0.54
2015-02-09,0.54,0.54,0.54,0.54,000,0.54
2015-02-10,0.54,0.54,0.54,0.54,000,0.54
2015-02-11,0.55,0.55,0.55,0.55,40000,0.55
2015-02-12,0.55,0.55,0.55,0.55,000,0.55
2015-02-13,0.55,0.55,0.55,0.55,000,0.55
2015-02-16,0.55,0.55,0.55,0.55,000,0.55
2015-02-17,0.55,0.55,0.55,0.55,000,0.55
2015-02-18,0.55,0.55,0.55,0.55,000,0.55
2015-02-19,0.55,0.55,0.55,0.55,000,0.55
2015-02-20,0.55,0.55,0.55,0.55,000,0.55
2015-02-23,0.55,0.55,0.55,0.55,000,0.55
2015-02-24,0.55,0.55,0.55,0.55,000,0.55
2015-02-25,0.56,0.56,0.56,0.56,20000,0.56
2015-02-26,0.60,0.65,0.60,0.65,50000,0.65
2015-02-27,0.65,0.65,0.65,0.65,000,0.65
2015-03-02,0.65,0.65,0.65,0.65,000,0.65
2015-03-03,0.65,0.65,0.65,0.65,000,0.65
2015-03-04,0.65,0.65,0.65,0.65,000,0.65
2015-03-05,0.65,0.65,0.65,0.65,000,0.65
2015-03-06,0.65,0.65,0.65,0.65,000,0.65
2015-03-09,0.65,0.65,0.65,0.65,000,0.65
2015-03-10,0.65,0.65,0.65,0.65,000,0.65
2015-03-11,0.65,0.65,0.65,0.65,000,0.65
2015-03-12,0.65,0.65,0.65,0.65,000,0.65
2015-03-13,0.65,0.65,0.65,0.65,000,0.65
2015-03-16,0.65,0.65,0.65,0.65,000,0.65
2015-03-17,0.65,0.65,0.65,0.65,000,0.65
2015-03-18,0.65,0.65,0.65,0.65,000,0.65
2015-03-19,0.65,0.65,0.65,0.65,000,0.65
2015-03-20,0.61,0.61,0.60,0.60,8400,0.60
2015-03-23,0.60,0.60,0.60,0.60,000,0.60
2015-03-24,0.60,0.60,0.60,0.60,000,0.60
2015-03-25,0.60,0.60,0.60,0.60,000,0.60
2015-03-26,0.60,0.60,0.60,0.60,000,0.60
2015-03-27,0.60,0.60,0.60,0.60,000,0.60
2015-03-30,0.67,0.68,0.67,0.68,9000,0.68
2015-03-31,0.68,0.68,0.68,0.68,000,0.68
2015-04-01,0.68,0.68,0.68,0.68,000,0.68
2015-04-02,0.68,0.68,0.68,0.68,000,0.68
2015-04-03,0.68,0.68,0.68,0.68,000,0.68
2015-04-06,0.68,0.68,0.68,0.68,000,0.68
2015-04-07,0.68,0.68,0.68,0.68,000,0.68
2015-04-08,0.68,0.68,0.68,0.68,000,0.68
2015-04-09,0.68,0.68,0.68,0.68,000,0.68
2015-04-10,0.68,0.68,0.68,0.68,000,0.68
2015-04-13,0.68,0.68,0.68,0.68,000,0.68
2015-04-14,0.68,0.68,0.68,0.68,000,0.68
2015-04-15,0.68,0.68,0.68,0.68,000,0.68
2015-04-16,0.68,0.68,0.68,0.68,000,0.68
2015-04-17,0.68,0.68,0.68,0.68,000,0.68
2015-04-20,0.68,0.68,0.68,0.68,000,0.68
2015-04-21,0.68,0.68,0.68,0.68,000,0.68
2015-04-22,0.68,0.68,0.68,0.68,000,0.68
2015-04-23,0.68,0.68,0.68,0.68,000,0.68
2015-04-24,0.68,0.68,0.68,0.68,000,0.68
2015-04-27,0.68,0.68,0.68,0.68,000,0.68
2015-04-28,0.68,0.68,0.68,0.68,000,0.68
2015-04-29,0.60,0.60,0.60,0.60,18300,0.60
2015-04-30,0.60,0.60,0.60,0.60,000,0.60
2015-05-01,0.60,0.60,0.60,0.60,000,0.60
2015-05-04,0.60,0.60,0.60,0.60,000,0.60
2015-05-05,0.60,0.60,0.60,0.60,000,0.60
2015-05-06,0.60,0.60,0.60,0.60,000,0.60
2015-05-07,0.60,0.60,0.60,0.60,000,0.60
2015-05-08,0.60,0.60,0.60,0.60,000,0.60
2015-05-11,0.60,0.60,0.60,0.60,000,0.60
2015-05-12,0.60,0.60,0.60,0.60,000,0.60
