Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.56,0.56,0.56,0.56,000,0.56
2015-01-02,0.56,0.56,0.56,0.56,000,0.56
2015-01-05,0.56,0.57,0.56,0.57,74300,0.57
2015-01-06,0.57,0.57,0.57,0.57,000,0.57
2015-01-07,0.56,0.56,0.55,0.56,27000,0.56
2015-01-08,0.56,0.56,0.56,0.56,3300,0.56
2015-01-09,0.56,0.56,0.56,0.56,000,0.56
2015-01-12,0.56,0.56,0.56,0.56,1224600,0.56
2015-01-13,0.56,0.56,0.56,0.56,000,0.56
2015-01-14,0.56,0.57,0.55,0.57,531700,0.57
2015-01-15,0.57,0.57,0.505,0.51,38700,0.51
2015-01-16,0.51,0.51,0.505,0.505,10000,0.505
2015-01-19,0.51,0.52,0.51,0.52,3100,0.52
2015-01-20,0.52,0.52,0.52,0.52,000,0.52
2015-01-21,0.52,0.52,0.51,0.51,41100,0.51
2015-01-22,0.51,0.51,0.51,0.51,000,0.51
2015-01-23,0.51,0.51,0.50,0.50,178700,0.50
2015-01-26,0.50,0.50,0.50,0.50,000,0.50
2015-01-27,0.49,0.49,0.485,0.49,77500,0.49
2015-01-28,0.48,0.48,0.465,0.465,57500,0.465
2015-01-29,0.48,0.48,0.48,0.48,1600,0.48
2015-01-30,0.48,0.49,0.48,0.49,10300,0.49
2015-02-02,0.495,0.495,0.495,0.495,66700,0.495
2015-02-03,0.495,0.505,0.495,0.50,50300,0.50
2015-02-04,0.50,0.50,0.475,0.48,387300,0.48
2015-02-05,0.50,0.51,0.50,0.50,22000,0.50
2015-02-06,0.50,0.52,0.50,0.50,47000,0.50
2015-02-09,0.50,0.50,0.50,0.50,000,0.50
2015-02-10,0.52,0.52,0.52,0.52,50000,0.52
2015-02-11,0.54,0.58,0.54,0.58,32800,0.58
2015-02-12,0.575,0.575,0.575,0.575,3100,0.575
2015-02-13,0.58,0.59,0.58,0.58,24000,0.58
2015-02-16,0.58,0.58,0.58,0.58,000,0.58
2015-02-17,0.58,0.58,0.58,0.58,000,0.58
2015-02-18,0.55,0.55,0.535,0.535,23800,0.535
2015-02-19,0.535,0.535,0.535,0.535,000,0.535
2015-02-20,0.535,0.535,0.535,0.535,000,0.535
2015-02-23,0.54,0.57,0.535,0.545,109600,0.545
2015-02-24,0.545,0.545,0.535,0.535,31500,0.535
2015-02-25,0.54,0.54,0.54,0.54,17900,0.54
2015-02-26,0.54,0.54,0.54,0.54,33800,0.54
2015-02-27,0.55,0.55,0.55,0.55,10800,0.55
2015-03-02,0.55,0.55,0.55,0.55,9000,0.55
2015-03-03,0.53,0.53,0.44,0.475,225600,0.475
2015-03-04,0.475,0.475,0.475,0.475,000,0.475
2015-03-05,0.48,0.48,0.475,0.475,6000,0.475
2015-03-06,0.465,0.48,0.465,0.48,52100,0.48
2015-03-09,0.44,0.44,0.41,0.41,90400,0.41
2015-03-10,0.45,0.45,0.45,0.45,47000,0.45
2015-03-11,0.45,0.45,0.45,0.45,2000,0.45
2015-03-12,0.45,0.45,0.45,0.45,19000,0.45
2015-03-13,0.45,0.45,0.44,0.44,43900,0.44
2015-03-16,0.44,0.44,0.44,0.44,000,0.44
2015-03-17,0.46,0.46,0.46,0.46,1200,0.46
2015-03-18,0.46,0.46,0.46,0.46,000,0.46
2015-03-19,0.46,0.46,0.46,0.46,000,0.46
2015-03-20,0.46,0.46,0.46,0.46,000,0.46
2015-03-23,0.47,0.47,0.47,0.47,1200,0.47
2015-03-24,0.49,0.49,0.48,0.48,516000,0.48
2015-03-25,0.39,0.43,0.37,0.37,1616700,0.37
2015-03-26,0.35,0.35,0.33,0.34,957100,0.34
2015-03-27,0.34,0.34,0.335,0.34,2363200,0.34
2015-03-30,0.335,0.335,0.33,0.33,100600,0.33
2015-03-31,0.33,0.33,0.31,0.31,246900,0.31
2015-04-01,0.31,0.31,0.29,0.30,504600,0.30
2015-04-02,0.31,0.31,0.29,0.30,742400,0.30
2015-04-03,0.30,0.30,0.30,0.30,000,0.30
2015-04-06,0.30,0.30,0.30,0.30,000,0.30
2015-04-07,0.295,0.295,0.285,0.29,1408000,0.29
2015-04-08,0.295,0.295,0.28,0.28,107900,0.28
2015-04-09,0.28,0.29,0.28,0.28,105500,0.28
2015-04-10,0.29,0.29,0.28,0.28,53800,0.28
2015-04-13,0.285,0.285,0.28,0.28,331700,0.28
2015-04-14,0.28,0.28,0.28,0.28,137800,0.28
2015-04-15,0.28,0.28,0.28,0.28,17800,0.28
2015-04-16,0.275,0.275,0.27,0.27,90600,0.27
2015-04-17,0.27,0.27,0.27,0.27,15600,0.27
2015-04-20,0.265,0.27,0.26,0.26,645900,0.26
2015-04-21,0.275,0.285,0.275,0.285,8916300,0.285
2015-04-22,0.29,0.345,0.29,0.305,281800,0.305
2015-04-23,0.315,0.38,0.315,0.36,293600,0.36
2015-04-24,0.355,0.38,0.35,0.37,221900,0.37
2015-04-27,0.37,0.39,0.37,0.39,59900,0.39
2015-04-28,0.375,0.375,0.355,0.37,104600,0.37
2015-04-29,0.37,0.39,0.37,0.37,36700,0.37
2015-04-30,0.36,0.36,0.355,0.355,21400,0.355
2015-05-01,0.365,0.37,0.365,0.37,22400,0.37
2015-05-04,0.36,0.36,0.33,0.33,48000,0.33
2015-05-05,0.33,0.33,0.33,0.33,000,0.33
2015-05-06,0.33,0.33,0.33,0.33,000,0.33
2015-05-07,0.35,0.35,0.335,0.335,12500,0.335
2015-05-08,0.335,0.335,0.335,0.335,000,0.335
2015-05-11,0.36,0.36,0.36,0.36,3000,0.36
2015-05-12,0.36,0.36,0.36,0.36,12500,0.36
2015-05-13,0.36,0.36,0.36,0.36,000,0.36
2015-05-14,0.36,0.36,0.35,0.35,4000,0.35
2015-05-15,0.35,0.35,0.35,0.35,000,0.35
2015-05-18,0.36,0.36,0.36,0.36,4000,0.36
2015-05-19,0.36,0.36,0.36,0.36,5500,0.36
2015-05-20,0.36,0.36,0.36,0.36,000,0.36
2015-05-21,0.36,0.36,0.35,0.35,12000,0.35
2015-05-22,0.40,0.40,0.38,0.385,327300,0.385
2015-05-25,0.40,0.40,0.39,0.39,35000,0.39
2015-05-26,0.39,0.39,0.39,0.39,20000,0.39
2015-05-27,0.39,0.39,0.39,0.39,000,0.39
2015-05-28,0.38,0.38,0.38,0.38,102400,0.38
2015-05-29,0.37,0.37,0.37,0.37,10000,0.37
2015-06-01,0.35,0.35,0.35,0.35,56500,0.35
2015-06-02,0.35,0.355,0.35,0.355,15000,0.355
2015-06-03,0.355,0.355,0.355,0.355,000,0.355
2015-06-04,0.355,0.36,0.35,0.35,26000,0.35
2015-06-05,0.335,0.335,0.33,0.335,81000,0.335
2015-06-08,0.335,0.335,0.335,0.335,000,0.335
2015-06-09,0.34,0.35,0.335,0.35,83300,0.35
2015-06-10,0.335,0.335,0.335,0.335,37000,0.335
2015-06-11,0.34,0.34,0.335,0.34,263300,0.34
2015-06-12,0.35,0.35,0.35,0.35,15000,0.35
2015-06-15,0.35,0.35,0.35,0.35,000,0.35
2015-06-16,0.35,0.355,0.345,0.35,52200,0.35
2015-06-17,0.35,0.35,0.35,0.35,000,0.35
2015-06-18,0.35,0.35,0.35,0.35,24900,0.35
2015-06-19,0.345,0.345,0.34,0.34,81000,0.34
2015-06-22,0.345,0.35,0.345,0.35,42900,0.35
2015-06-23,0.35,0.35,0.345,0.345,135100,0.345
2015-06-24,0.345,0.345,0.335,0.335,13000,0.335
2015-06-25,0.335,0.335,0.32,0.33,153700,0.33
2015-06-26,0.335,0.335,0.335,0.335,47700,0.335
2015-06-29,0.335,0.335,0.33,0.33,256200,0.33
2015-06-30,0.335,0.335,0.315,0.33,299800,0.33
2015-07-01,0.33,0.33,0.33,0.33,000,0.33
2015-07-02,0.33,0.33,0.33,0.33,000,0.33
2015-07-03,0.33,0.33,0.33,0.33,000,0.33
2015-07-06,0.325,0.34,0.32,0.34,79400,0.34
2015-07-07,0.35,0.35,0.35,0.35,61200,0.35
2015-07-08,0.35,0.35,0.35,0.35,000,0.35
2015-07-09,0.35,0.35,0.35,0.35,000,0.35
2015-07-10,0.35,0.35,0.35,0.35,2300,0.35
2015-07-13,0.35,0.35,0.35,0.35,000,0.35
2015-07-14,0.355,0.355,0.35,0.35,10400,0.35
2015-07-15,0.35,0.35,0.35,0.35,24000,0.35
2015-07-16,0.35,0.35,0.35,0.35,5600,0.35
2015-07-17,0.36,0.36,0.36,0.36,7500,0.36
2015-07-20,0.345,0.36,0.345,0.345,41100,0.345
2015-07-21,0.345,0.345,0.345,0.345,25000,0.345
2015-07-22,0.345,0.345,0.345,0.345,30000,0.345
2015-07-23,0.35,0.35,0.35,0.35,1300,0.35
2015-07-24,0.35,0.35,0.35,0.35,000,0.35
2015-07-27,0.35,0.35,0.35,0.35,000,0.35
2015-07-28,0.35,0.35,0.35,0.35,70000,0.35
2015-07-29,0.35,0.35,0.35,0.35,222100,0.35
2015-07-30,0.35,0.35,0.34,0.34,79500,0.34
2015-07-31,0.35,0.355,0.345,0.345,408100,0.345
2015-08-03,0.35,0.355,0.345,0.345,530900,0.345
2015-08-04,0.33,0.33,0.32,0.33,26100,0.33
2015-08-05,0.325,0.325,0.325,0.325,44500,0.325
2015-08-06,0.30,0.30,0.30,0.30,5000,0.30
2015-08-07,0.28,0.325,0.28,0.325,54900,0.325
2015-08-10,0.335,0.34,0.335,0.34,22000,0.34
2015-08-11,0.34,0.34,0.34,0.34,000,0.34
2015-08-12,0.34,0.34,0.34,0.34,000,0.34
2015-08-13,0.34,0.34,0.34,0.34,000,0.34
2015-08-14,0.34,0.34,0.34,0.34,000,0.34
2015-08-17,0.34,0.34,0.34,0.34,000,0.34
2015-08-18,0.34,0.34,0.34,0.34,000,0.34
2015-08-19,0.34,0.34,0.34,0.34,000,0.34
2015-08-20,0.34,0.34,0.34,0.34,000,0.34
2015-08-21,0.31,0.31,0.30,0.31,30200,0.31
2015-08-24,0.30,0.30,0.28,0.30,63600,0.30
2015-08-25,0.28,0.28,0.28,0.28,1000,0.28
2015-08-26,0.29,0.29,0.29,0.29,50000,0.29
2015-08-27,0.29,0.29,0.29,0.29,25000,0.29
2015-08-28,0.29,0.29,0.29,0.29,000,0.29
2015-08-31,0.30,0.30,0.30,0.30,43400,0.30
2015-09-01,0.30,0.30,0.30,0.30,2500,0.30
2015-09-02,0.29,0.29,0.285,0.285,55000,0.285
2015-09-03,0.305,0.305,0.305,0.305,000,0.305
2015-09-04,0.29,0.305,0.29,0.29,128200,0.29
2015-09-07,0.29,0.29,0.28,0.28,75000,0.28
2015-09-08,0.27,0.27,0.26,0.26,60500,0.26
2015-09-09,0.265,0.265,0.265,0.265,28000,0.265
2015-09-10,0.265,0.265,0.25,0.25,19300,0.25
2015-09-11,0.24,0.26,0.24,0.25,90300,0.25
2015-09-14,0.25,0.25,0.25,0.25,26000,0.25
2015-09-15,0.25,0.25,0.25,0.25,000,0.25
2015-09-16,0.245,0.245,0.245,0.245,1000,0.245
2015-09-17,0.25,0.26,0.25,0.26,54000,0.26
2015-09-18,0.26,0.26,0.26,0.26,1800,0.26
