Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.021,0.021,0.021,0.021,000,0.021
2015-01-02,0.025,0.027,0.025,0.027,280000,0.027
2015-01-05,0.027,0.027,0.027,0.027,000,0.027
2015-01-06,0.025,0.025,0.025,0.025,200000,0.025
2015-01-07,0.025,0.025,0.025,0.025,100000,0.025
2015-01-08,0.025,0.025,0.025,0.025,35300,0.025
2015-01-09,0.03,0.03,0.025,0.025,210000,0.025
2015-01-12,0.025,0.026,0.025,0.025,74000,0.025
2015-01-13,0.025,0.025,0.025,0.025,000,0.025
2015-01-14,0.025,0.025,0.025,0.025,000,0.025
2015-01-15,0.024,0.024,0.024,0.024,100000,0.024
2015-01-16,0.023,0.024,0.023,0.024,216000,0.024
2015-01-19,0.023,0.024,0.023,0.024,261000,0.024
2015-01-20,0.024,0.024,0.024,0.024,000,0.024
2015-01-21,0.024,0.024,0.024,0.024,59500,0.024
2015-01-22,0.024,0.024,0.024,0.024,000,0.024
2015-01-23,0.024,0.024,0.024,0.024,000,0.024
2015-01-26,0.024,0.024,0.024,0.024,000,0.024
2015-01-27,0.024,0.024,0.024,0.024,000,0.024
2015-01-28,0.024,0.024,0.024,0.024,10000,0.024
2015-01-29,0.025,0.026,0.025,0.026,333400,0.026
2015-01-30,0.025,0.025,0.024,0.024,433700,0.024
2015-02-02,0.024,0.024,0.023,0.023,100000,0.023
2015-02-03,0.023,0.023,0.023,0.023,000,0.023
2015-02-04,0.023,0.023,0.023,0.023,000,0.023
2015-02-05,0.023,0.023,0.023,0.023,000,0.023
2015-02-06,0.023,0.025,0.023,0.025,192100,0.025
2015-02-09,0.023,0.023,0.023,0.023,200000,0.023
2015-02-10,0.023,0.025,0.023,0.025,160300,0.025
2015-02-11,0.025,0.025,0.025,0.025,000,0.025
2015-02-12,0.025,0.025,0.025,0.025,000,0.025
2015-02-13,0.022,0.023,0.022,0.023,279000,0.023
2015-02-16,0.023,0.023,0.023,0.023,000,0.023
2015-02-17,0.023,0.023,0.023,0.023,000,0.023
