Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.00,1.00,1.00,1.00,000,0.974
2015-01-02,1.00,1.00,1.00,1.00,000,0.974
2015-01-05,1.00,1.00,1.00,1.00,000,0.974
2015-01-06,1.00,1.00,1.00,1.00,000,0.974
2015-01-07,1.00,1.00,1.00,1.00,000,0.974
2015-01-08,1.00,1.00,1.00,1.00,000,0.974
2015-01-09,1.00,1.00,1.00,1.00,000,0.974
2015-01-12,1.00,1.00,1.00,1.00,000,0.974
2015-01-13,1.00,1.00,1.00,1.00,000,0.974
2015-01-14,0.99,0.99,0.99,0.99,102500,0.964
2015-01-15,0.99,0.99,0.99,0.99,000,0.964
2015-01-16,0.98,0.98,0.98,0.98,15000,0.955
2015-01-19,0.98,0.98,0.98,0.98,000,0.955
2015-01-20,0.98,0.98,0.98,0.98,000,0.955
2015-01-21,0.98,0.98,0.98,0.98,000,0.955
2015-01-22,0.98,0.98,0.98,0.98,000,0.955
2015-01-23,0.98,0.98,0.98,0.98,000,0.955
2015-01-26,0.98,0.98,0.98,0.98,000,0.955
2015-01-27,0.98,0.98,0.98,0.98,100,0.955
2015-01-28,0.98,0.98,0.98,0.98,000,0.955
2015-01-29,0.98,0.98,0.98,0.98,000,0.955
2015-01-30,0.99,0.99,0.98,0.98,170000,0.955
2015-02-02,0.99,1.00,0.99,1.00,4600,0.974
2015-02-03,1.00,1.00,0.98,0.99,15500,0.964
2015-02-04,0.99,0.99,0.99,0.99,312800,0.964
2015-02-05,0.99,0.99,0.99,0.99,10000,0.964
2015-02-06,0.99,0.99,0.99,0.99,000,0.964
2015-02-09,0.99,0.99,0.99,0.99,000,0.964
2015-02-10,1.00,1.02,1.00,1.02,10300,0.993
2015-02-11,1.02,1.02,1.02,1.02,000,0.993
2015-02-12,1.02,1.02,1.02,1.02,000,0.993
2015-02-13,1.03,1.03,1.03,1.03,15000,1.003
2015-02-16,1.05,1.10,1.05,1.10,1055000,1.071
2015-02-17,1.10,1.10,1.10,1.10,000,1.071
2015-02-18,1.10,1.10,1.10,1.10,000,1.071
2015-02-19,1.10,1.10,1.10,1.10,000,1.071
2015-02-20,1.10,1.10,1.10,1.10,000,1.071
2015-02-23,1.10,1.10,1.10,1.10,000,1.071
2015-02-24,1.08,1.08,1.08,1.08,29700,1.052
2015-02-25,1.10,1.10,1.10,1.10,18500,1.071
2015-02-26,1.10,1.10,1.10,1.10,22000,1.071
2015-02-27,1.09,1.095,1.09,1.095,208000,1.067
2015-03-02,1.08,1.08,1.08,1.08,12000,1.052
2015-03-03,1.08,1.08,1.08,1.08,000,1.052
2015-03-04,1.08,1.08,1.08,1.08,000,1.052
2015-03-05,1.08,1.08,1.08,1.08,000,1.052
2015-03-06,1.08,1.08,1.08,1.08,000,1.052
2015-03-09,1.08,1.08,1.08,1.08,000,1.052
2015-03-10,1.08,1.08,1.08,1.08,000,1.052
2015-03-11,1.08,1.08,1.08,1.08,000,1.052
2015-03-12,1.08,1.08,1.08,1.08,000,1.052
2015-03-13,1.08,1.08,1.08,1.08,000,1.052
2015-03-16,1.08,1.08,1.08,1.08,000,1.052
2015-03-17,1.08,1.08,1.08,1.08,000,1.052
2015-03-18,1.08,1.08,1.08,1.08,000,1.052
2015-03-19,1.08,1.08,1.08,1.08,000,1.052
2015-03-20,1.06,1.06,1.06,1.06,500,1.032
2015-03-23,1.06,1.06,1.06,1.06,000,1.032
2015-03-24,1.06,1.06,1.06,1.06,000,1.032
2015-03-25,1.06,1.06,1.06,1.06,000,1.032
2015-03-26,1.08,1.08,1.08,1.08,1000,1.052
2015-03-27,1.08,1.08,1.08,1.08,000,1.052
2015-03-30,1.08,1.08,1.08,1.08,000,1.052
2015-03-31,1.08,1.08,1.08,1.08,000,1.052
2015-04-01,1.08,1.08,1.08,1.08,000,1.052
2015-04-02,1.07,1.07,1.05,1.05,22300,1.023
2015-04-03,1.05,1.05,1.05,1.05,000,1.023
2015-04-06,1.05,1.05,1.05,1.05,000,1.023
2015-04-07,0.99,0.99,0.99,0.99,3900,0.964
2015-04-08,0.99,0.99,0.99,0.99,26500,0.964
2015-04-09,0.975,0.975,0.975,0.975,600,0.95
2015-04-10,0.975,0.975,0.975,0.975,000,0.95
2015-04-13,0.975,0.975,0.975,0.975,000,0.95
2015-04-14,0.975,0.975,0.975,0.975,000,0.95
2015-04-15,0.975,0.975,0.975,0.975,000,0.95
2015-04-16,1.04,1.04,1.04,1.04,6000,1.013
2015-04-17,1.04,1.04,1.04,1.04,000,1.013
2015-04-20,1.04,1.04,1.04,1.04,000,1.013
2015-04-21,1.045,1.045,1.045,1.045,500,1.018
2015-04-22,1.045,1.045,1.045,1.045,000,1.018
2015-04-23,1.045,1.045,1.045,1.045,000,1.018
2015-04-24,1.035,1.035,1.035,1.035,2000,1.008
2015-04-27,1.035,1.035,1.035,1.035,000,1.008
2015-04-28,1.035,1.035,1.035,1.035,000,1.008
2015-04-29,1.035,1.035,1.035,1.035,000,1.008
2015-04-30,1.00,1.00,1.00,1.00,137100,0.974
2015-05-01,1.00,1.00,1.00,1.00,000,0.974
2015-05-04,1.00,1.00,1.00,1.00,000,0.974
2015-05-05,1.00,1.00,1.00,1.00,000,0.974
2015-05-06,1.00,1.00,1.00,1.00,000,0.974
2015-05-07,1.00,1.00,1.00,1.00,000,0.974
2015-05-08,1.00,1.00,1.00,1.00,000,0.974
2015-05-11,1.00,1.00,1.00,1.00,000,0.974
2015-05-12,1.00,1.00,1.00,1.00,000,0.974
2015-05-13,1.00,1.00,1.00,1.00,000,0.974
2015-05-14,1.00,1.00,1.00,1.00,000,0.974
2015-05-15,1.00,1.01,0.99,0.99,2100,0.964
2015-05-18,0.99,0.99,0.99,0.99,000,0.964
2015-05-19,0.99,0.99,0.99,0.99,000,0.964
2015-05-20,0.99,0.99,0.99,0.99,000,0.964
