Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.065,1.065,1.065,1.065,000,0.96323
2015-01-02,1.065,1.075,1.065,1.075,13800,0.97227
2015-01-05,1.07,1.13,1.07,1.10,24900,0.99488
2015-01-06,1.10,1.10,1.095,1.10,21900,0.99488
2015-01-07,1.08,1.085,1.07,1.085,32500,0.98131
2015-01-08,1.085,1.085,1.03,1.05,53700,0.94966
2015-01-09,1.07,1.085,1.03,1.08,80000,0.97679
2015-01-12,1.07,1.07,1.04,1.04,17700,0.94061
2015-01-13,1.01,1.04,1.00,1.02,72900,0.92253
2015-01-14,1.05,1.08,1.05,1.08,27100,0.97679
2015-01-15,1.08,1.08,1.08,1.08,000,0.99994
2015-01-16,1.015,1.015,1.015,1.015,5000,0.93976
2015-01-19,1.02,1.04,1.02,1.04,24100,0.9629
2015-01-20,1.02,1.02,1.01,1.01,127000,0.93513
2015-01-21,1.03,1.03,1.00,1.00,7200,0.92587
2015-01-22,1.03,1.03,1.00,1.02,94600,0.94439
2015-01-23,1.02,1.02,1.015,1.015,44100,0.93976
2015-01-26,1.015,1.015,1.015,1.015,000,0.93976
2015-01-27,1.015,1.015,1.00,1.00,57400,0.92587
2015-01-28,1.005,1.05,1.005,1.05,27800,0.97216
2015-01-29,1.04,1.04,1.035,1.04,100500,0.9629
2015-01-30,1.045,1.08,1.045,1.06,45600,0.98142
2015-02-02,1.055,1.08,1.05,1.07,131600,0.99068
2015-02-03,1.07,1.07,1.055,1.055,23300,0.97679
2015-02-04,1.06,1.09,1.06,1.06,33000,0.98142
2015-02-05,1.06,1.10,1.06,1.10,265500,1.01846
2015-02-06,1.10,1.13,1.10,1.10,53800,1.01846
2015-02-09,1.11,1.165,1.11,1.15,54500,1.06475
2015-02-10,1.15,1.15,1.10,1.10,21000,1.01846
2015-02-11,1.13,1.15,1.13,1.15,44300,1.06475
2015-02-12,1.135,1.15,1.13,1.13,224400,1.04623
2015-02-13,1.13,1.135,1.11,1.12,94100,1.03697
2015-02-16,1.12,1.12,1.10,1.10,36100,1.01846
2015-02-17,1.10,1.11,1.09,1.11,21500,1.02772
2015-02-18,1.11,1.15,1.10,1.12,141400,1.03697
2015-02-19,1.12,1.12,1.08,1.08,46400,0.99994
2015-02-20,1.085,1.10,1.08,1.09,89200,1.0092
2015-02-23,1.09,1.09,1.05,1.09,69700,1.0092
2015-02-24,1.085,1.09,1.06,1.08,24500,0.99994
2015-02-25,1.08,1.11,1.08,1.10,242700,1.01846
2015-02-26,1.09,1.10,1.07,1.07,27000,0.99068
2015-02-27,1.08,1.08,1.06,1.065,26900,0.98605
2015-03-02,1.07,1.07,1.05,1.06,12500,0.98142
2015-03-03,1.05,1.06,1.05,1.06,17300,0.98142
2015-03-04,1.06,1.06,1.05,1.06,47600,0.98142
2015-03-05,1.05,1.05,1.01,1.02,44500,0.94439
2015-03-06,1.04,1.05,1.03,1.05,34300,0.97216
2015-03-09,1.05,1.05,1.04,1.05,16000,0.97216
2015-03-10,1.04,1.04,1.04,1.04,12000,0.9629
2015-03-11,1.04,1.04,1.01,1.01,20300,0.93513
2015-03-12,1.01,1.02,1.01,1.02,38400,0.94439
2015-03-13,1.015,1.015,1.01,1.01,13000,0.93513
2015-03-16,1.01,1.02,1.01,1.01,15500,0.93513
2015-03-17,1.015,1.02,1.015,1.02,21700,0.94439
2015-03-18,1.02,1.02,1.02,1.02,46200,0.94439
2015-03-19,1.02,1.03,1.02,1.03,37900,0.95365
2015-03-20,1.045,1.05,1.04,1.05,35800,0.97216
2015-03-23,1.05,1.075,1.05,1.07,89700,0.99068
2015-03-24,1.075,1.075,1.05,1.05,60400,0.97216
2015-03-25,1.04,1.04,1.02,1.02,70600,0.94439
2015-03-26,1.065,1.065,1.02,1.05,50000,0.97216
2015-03-27,1.04,1.04,1.03,1.03,53000,0.95365
2015-03-30,1.03,1.05,1.015,1.015,30000,0.93976
2015-03-31,1.03,1.045,1.01,1.01,49700,0.93513
2015-04-01,1.04,1.05,1.02,1.02,160000,0.94439
2015-04-02,1.04,1.04,1.04,1.04,20000,0.9629
2015-04-03,1.04,1.04,1.04,1.04,000,0.9629
2015-04-06,1.04,1.04,1.04,1.04,000,0.9629
2015-04-07,1.04,1.04,1.00,1.00,98400,0.92587
2015-04-08,1.03,1.03,1.025,1.025,5900,0.94902
2015-04-09,1.025,1.03,1.025,1.03,13500,0.95365
2015-04-10,1.02,1.025,1.00,1.02,56900,0.94439
2015-04-13,1.00,1.00,0.995,1.00,220500,0.92587
2015-04-14,1.00,1.01,0.995,1.00,55600,0.92587
2015-04-15,1.00,1.00,0.995,1.00,17400,0.92587
2015-04-16,1.00,1.00,0.975,0.985,62000,0.91198
2015-04-17,0.985,0.985,0.965,0.965,46600,0.89346
2015-04-20,0.96,0.965,0.945,0.965,76000,0.89346
2015-04-21,0.965,0.965,0.96,0.96,2800,0.88883
2015-04-22,0.97,0.97,0.965,0.97,29600,0.89809
2015-04-23,0.965,0.97,0.96,0.97,50500,0.89809
2015-04-24,0.97,0.97,0.96,0.96,95800,0.88883
2015-04-27,0.97,1.00,0.97,1.00,50900,0.92587
2015-04-28,1.05,1.05,1.00,1.00,105000,0.92587
2015-04-29,1.00,1.02,1.00,1.02,32300,0.94439
2015-04-30,1.02,1.02,1.01,1.01,6200,0.93513
2015-05-01,1.01,1.02,1.00,1.00,42300,0.92587
2015-05-04,1.00,1.00,1.00,1.00,41000,0.92587
2015-05-05,1.00,1.00,0.985,0.985,26700,0.91198
2015-05-06,0.985,0.985,0.985,0.985,000,0.91198
2015-05-07,0.985,1.00,0.985,1.00,48200,0.92587
2015-05-08,1.00,1.00,1.00,1.00,1500,0.92587
2015-05-11,0.99,1.00,0.985,1.00,106400,0.92587
