Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.77,1.77,1.77,1.77,000,1.56203
2015-01-02,1.77,1.77,1.77,1.77,000,1.56203
2015-01-05,1.80,1.80,1.80,1.80,2000,1.58851
2015-01-06,1.80,1.80,1.80,1.80,800,1.58851
2015-01-07,1.80,1.80,1.77,1.80,8000,1.58851
2015-01-08,1.80,1.80,1.80,1.80,000,1.58851
2015-01-09,1.78,1.78,1.78,1.78,2100,1.57086
2015-01-12,1.80,1.80,1.80,1.80,1100,1.58851
2015-01-13,1.80,1.80,1.80,1.80,000,1.58851
2015-01-14,1.90,1.90,1.85,1.90,347600,1.67676
2015-01-15,1.90,1.90,1.90,1.90,000,1.67676
2015-01-16,1.85,1.85,1.85,1.85,2600,1.63263
2015-01-19,1.85,1.85,1.85,1.85,10500,1.63263
2015-01-20,1.85,1.85,1.85,1.85,8500,1.63263
2015-01-21,1.85,1.85,1.85,1.85,23500,1.63263
2015-01-22,1.85,1.85,1.85,1.85,000,1.63263
2015-01-23,1.85,1.85,1.85,1.85,27600,1.63263
2015-01-26,1.85,1.85,1.85,1.85,000,1.63263
2015-01-27,1.85,1.85,1.85,1.85,000,1.63263
2015-01-28,1.85,1.85,1.84,1.84,29800,1.62381
2015-01-29,1.85,1.85,1.85,1.85,1000,1.63263
2015-01-30,1.84,1.84,1.84,1.84,3900,1.62381
2015-02-02,1.84,1.84,1.83,1.83,49600,1.61498
2015-02-03,1.84,1.85,1.84,1.85,8000,1.63263
2015-02-04,1.835,1.85,1.835,1.85,15400,1.63263
2015-02-05,1.85,1.85,1.85,1.85,1900,1.63263
2015-02-06,1.92,1.92,1.92,1.92,300,1.69441
2015-02-09,1.92,1.92,1.92,1.92,000,1.69441
2015-02-10,1.92,1.92,1.92,1.92,000,1.69441
2015-02-11,1.92,1.92,1.92,1.92,000,1.69441
2015-02-12,1.855,1.855,1.855,1.855,60500,1.63704
2015-02-13,1.855,1.855,1.85,1.85,185800,1.63263
2015-02-16,1.85,1.85,1.85,1.85,000,1.63263
2015-02-17,1.85,1.85,1.85,1.85,000,1.63263
2015-02-18,1.90,1.92,1.90,1.92,16200,1.69441
2015-02-19,1.92,1.95,1.92,1.95,5700,1.72088
2015-02-20,1.97,2.00,1.97,2.00,10700,1.76501
2015-02-23,2.00,2.01,2.00,2.01,40700,1.77383
2015-02-24,2.02,2.06,2.02,2.06,14600,1.81796
2015-02-25,2.10,2.10,2.06,2.06,8900,1.81796
2015-02-26,2.13,2.25,2.13,2.20,107200,1.94151
2015-02-27,2.17,2.205,2.16,2.16,47200,1.90621
2015-03-02,2.18,2.21,2.18,2.18,4400,1.92386
2015-03-03,2.18,2.18,2.06,2.15,13900,1.89738
2015-03-04,2.15,2.15,1.95,2.05,707900,1.80913
2015-03-05,2.05,2.10,2.05,2.10,660400,1.85326
2015-03-06,2.10,2.10,2.09,2.09,500,1.84443
2015-03-09,2.08,2.10,2.00,2.10,25800,1.85326
