Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.85,3.85,3.85,3.85,000,3.45
2015-01-02,3.85,3.85,3.85,3.85,7000,3.45
2015-01-05,3.85,3.85,3.85,3.85,9000,3.45
2015-01-06,3.85,3.85,3.85,3.85,2200,3.45
2015-01-07,3.85,3.85,3.85,3.85,000,3.45
2015-01-08,3.85,3.85,3.85,3.85,000,3.45
2015-01-09,3.85,3.85,3.85,3.85,000,3.45
2015-01-12,3.80,3.80,3.80,3.80,2600,3.41
2015-01-13,3.80,3.80,3.80,3.80,000,3.41
2015-01-14,3.85,3.85,3.80,3.80,2800,3.41
2015-01-15,3.80,3.80,3.80,3.80,000,3.41
2015-01-16,3.85,3.85,3.85,3.85,2400,3.45
2015-01-19,3.85,3.85,3.85,3.85,000,3.45
2015-01-20,3.85,3.85,3.85,3.85,000,3.45
2015-01-21,3.85,3.85,3.85,3.85,5600,3.45
2015-01-22,3.85,3.85,3.85,3.85,000,3.45
2015-01-23,3.85,3.85,3.85,3.85,000,3.45
2015-01-26,3.85,3.85,3.85,3.85,000,3.45
2015-01-27,3.80,3.85,3.80,3.85,20900,3.45
2015-01-28,3.85,3.85,3.85,3.85,5000,3.45
2015-01-29,3.85,3.85,3.85,3.85,12000,3.45
2015-01-30,3.85,3.85,3.85,3.85,000,3.45
2015-02-02,3.85,3.85,3.85,3.85,19300,3.45
2015-02-03,3.85,3.85,3.85,3.85,000,3.45
2015-02-04,3.85,3.85,3.85,3.85,000,3.45
2015-02-05,3.85,3.85,3.85,3.85,000,3.45
2015-02-06,3.85,3.85,3.85,3.85,000,3.45
2015-02-09,3.85,3.85,3.85,3.85,000,3.45
2015-02-10,3.85,3.85,3.85,3.85,000,3.45
2015-02-11,3.85,3.85,3.85,3.85,000,3.45
2015-02-12,3.85,3.85,3.85,3.85,000,3.45
2015-02-13,3.85,3.85,3.85,3.85,000,3.45
2015-02-16,3.85,3.85,3.85,3.85,000,3.45
2015-02-17,3.85,3.85,3.85,3.85,000,3.45
2015-02-18,3.89,3.89,3.70,3.70,10300,3.32
2015-02-19,3.70,3.70,3.70,3.70,3200,3.32
2015-02-20,3.70,3.70,3.70,3.70,000,3.32
2015-02-23,3.66,3.66,3.66,3.66,900,3.28
2015-02-24,3.66,3.66,3.66,3.66,000,3.28
2015-02-25,3.66,3.66,3.66,3.66,000,3.28
2015-02-26,3.66,3.66,3.66,3.66,000,3.28
2015-02-27,3.66,3.66,3.66,3.66,000,3.28
2015-03-02,3.66,3.66,3.66,3.66,000,3.28
2015-03-03,3.66,3.66,3.66,3.66,10500,3.28
2015-03-04,3.66,3.66,3.66,3.66,000,3.28
2015-03-05,3.66,3.66,3.66,3.66,000,3.28
2015-03-06,3.66,3.66,3.66,3.66,000,3.28
2015-03-09,3.66,3.66,3.66,3.66,000,3.28
2015-03-10,3.66,3.66,3.66,3.66,000,3.28
2015-03-11,3.60,3.60,3.60,3.60,1000,3.23
2015-03-12,3.60,3.60,3.60,3.60,6700,3.23
2015-03-13,3.60,3.60,3.60,3.60,000,3.23
2015-03-16,3.60,3.60,3.60,3.60,000,3.23
2015-03-17,3.60,3.60,3.60,3.60,000,3.23
2015-03-18,3.60,3.60,3.60,3.60,000,3.23
2015-03-19,3.60,3.60,3.60,3.60,000,3.23
2015-03-20,3.60,3.60,3.60,3.60,000,3.23
2015-03-23,3.60,3.60,3.60,3.60,000,3.23
2015-03-24,3.70,3.70,3.70,3.70,2000,3.32
2015-03-25,3.70,3.70,3.70,3.70,000,3.32
2015-03-26,3.70,3.70,3.70,3.70,000,3.32
2015-03-27,3.70,3.70,3.70,3.70,000,3.32
2015-03-30,3.90,3.90,3.90,3.90,1100,3.50
2015-03-31,3.70,3.70,3.70,3.70,3000,3.32
2015-04-01,3.90,3.90,3.90,3.90,9000,3.50
2015-04-02,3.90,3.90,3.85,3.85,1700,3.45
2015-04-03,3.85,3.85,3.85,3.85,000,3.45
2015-04-06,3.85,3.85,3.85,3.85,000,3.45
2015-04-07,3.90,3.90,3.90,3.90,900,3.50
2015-04-08,3.90,3.90,3.90,3.90,000,3.50
2015-04-09,3.90,3.90,3.90,3.90,000,3.50
2015-04-10,3.90,3.90,3.90,3.90,000,3.60
2015-04-13,3.90,3.90,3.90,3.90,000,3.60
2015-04-14,3.70,3.70,3.60,3.65,20600,3.37
2015-04-15,3.60,3.65,3.60,3.65,10200,3.37
2015-04-16,3.65,3.65,3.65,3.65,000,3.37
2015-04-17,3.65,3.65,3.65,3.65,000,3.37
2015-04-20,3.65,3.65,3.65,3.65,000,3.37
2015-04-21,3.65,3.70,3.65,3.70,300,3.42
2015-04-22,3.60,3.60,3.60,3.60,2500,3.33
2015-04-23,3.60,3.60,3.60,3.60,000,3.33
2015-04-24,3.65,3.80,3.65,3.80,6000,3.51
2015-04-27,3.80,3.80,3.80,3.80,000,3.51
2015-04-28,3.80,3.80,3.80,3.80,000,3.51
2015-04-29,3.80,3.80,3.80,3.80,000,3.51
2015-04-30,3.80,3.80,3.80,3.80,000,3.51
2015-05-01,3.80,3.80,3.80,3.80,000,3.51
2015-05-04,3.78,3.78,3.78,3.78,300,3.49
2015-05-05,3.78,3.78,3.78,3.78,000,3.49
2015-05-06,3.78,3.78,3.78,3.78,000,3.49
2015-05-07,3.78,3.78,3.78,3.78,000,3.49
2015-05-08,3.78,3.78,3.78,3.78,000,3.49
2015-05-11,3.78,3.78,3.78,3.78,000,3.49
2015-05-12,3.60,3.60,3.60,3.60,1100,3.33
2015-05-13,3.60,3.60,3.60,3.60,000,3.33
2015-05-14,3.60,3.60,3.60,3.60,000,3.33
2015-05-15,3.61,3.61,3.61,3.61,1000,3.33
2015-05-18,3.61,3.61,3.61,3.61,000,3.33
2015-05-19,3.61,3.61,3.61,3.61,000,3.33
2015-05-20,3.61,3.61,3.61,3.61,000,3.33
2015-05-21,3.61,3.61,3.61,3.61,000,3.33
2015-05-22,3.61,3.61,3.60,3.60,6600,3.33
2015-05-25,3.60,3.60,3.60,3.60,000,3.33
2015-05-26,3.60,3.60,3.60,3.60,000,3.33
2015-05-27,3.60,3.60,3.60,3.60,7800,3.33
2015-05-28,3.60,3.60,3.60,3.60,000,3.33
2015-05-29,3.62,3.62,3.60,3.60,500,3.33
2015-06-01,3.60,3.60,3.60,3.60,000,3.33
2015-06-02,3.60,3.60,3.60,3.60,000,3.33
2015-06-03,3.60,3.60,3.60,3.60,000,3.33
2015-06-04,3.60,3.60,3.60,3.60,000,3.33
2015-06-05,3.55,3.55,3.55,3.55,3300,3.28
2015-06-08,3.55,3.55,3.55,3.55,000,3.28
2015-06-09,3.55,3.55,3.55,3.55,000,3.28
2015-06-10,3.55,3.55,3.55,3.55,000,3.28
2015-06-11,3.55,3.55,3.55,3.55,000,3.28
2015-06-12,3.45,3.45,3.45,3.45,3400,3.19
2015-06-15,3.45,3.45,3.45,3.45,000,3.19
2015-06-16,3.46,3.46,3.45,3.45,11800,3.19
2015-06-17,3.45,3.45,3.45,3.45,300,3.19
2015-06-18,3.45,3.45,3.45,3.45,000,3.19
2015-06-19,3.55,3.55,3.55,3.55,500,3.28
2015-06-22,3.55,3.55,3.55,3.55,000,3.28
2015-06-23,3.55,3.55,3.55,3.55,000,3.28
2015-06-24,3.55,3.55,3.55,3.55,000,3.28
2015-06-25,3.55,3.55,3.55,3.55,000,3.28
2015-06-26,3.50,3.50,3.50,3.50,400,3.23
