Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.74,2.74,2.74,2.74,000,2.599
2015-01-02,2.70,2.88,2.68,2.83,24015200,2.68437
2015-01-05,2.84,2.91,2.79,2.82,17083300,2.67488
2015-01-06,2.75,2.81,2.67,2.79,25573600,2.64643
2015-01-07,2.79,2.80,2.72,2.74,10620500,2.599
2015-01-08,2.76,2.785,2.67,2.67,21189800,2.5326
2015-01-09,2.74,2.82,2.71,2.78,26645500,2.63694
2015-01-12,2.75,2.76,2.69,2.69,14415100,2.55157
2015-01-13,2.61,2.63,2.52,2.55,23659300,2.41878
2015-01-14,2.50,2.52,2.33,2.34,36381000,2.21958
2015-01-15,2.28,2.37,2.26,2.27,40650800,2.15319
2015-01-16,2.31,2.36,2.27,2.31,25114600,2.19113
2015-01-19,2.37,2.43,2.28,2.28,24835600,2.16267
2015-01-20,2.30,2.37,2.25,2.33,26674000,2.2101
2015-01-21,2.38,2.39,2.29,2.32,19185300,2.20061
2015-01-22,2.33,2.35,2.17,2.17,25664600,2.05833
2015-01-23,2.21,2.24,2.13,2.13,29072500,2.02039
2015-01-26,2.13,2.13,2.13,2.13,000,2.02039
2015-01-27,1.995,2.08,1.92,2.08,39341500,1.97296
2015-01-28,2.02,2.13,1.985,2.04,30337500,1.93502
2015-01-29,2.05,2.25,2.045,2.23,80553600,2.11525
2015-01-30,2.31,2.38,2.30,2.36,60196100,2.23856
2015-02-02,2.35,2.375,2.29,2.31,30849500,2.19113
2015-02-03,2.35,2.39,2.30,2.37,24608200,2.24804
2015-02-04,2.48,2.63,2.46,2.58,37060300,2.44723
2015-02-05,2.55,2.55,2.45,2.51,23058800,2.38084
2015-02-06,2.54,2.58,2.50,2.54,17574000,2.40929
2015-02-09,2.50,2.54,2.46,2.50,10609200,2.37135
2015-02-10,2.49,2.54,2.47,2.49,11989000,2.36187
2015-02-11,2.52,2.53,2.40,2.45,15878700,2.32392
2015-02-12,2.40,2.45,2.37,2.45,20830100,2.32392
2015-02-13,2.50,2.62,2.47,2.59,27771100,2.45672
2015-02-16,2.67,2.72,2.61,2.68,22044800,2.54209
2015-02-17,2.65,2.765,2.53,2.55,20115200,2.41878
2015-02-18,2.56,2.57,2.44,2.49,20420100,2.36187
2015-02-19,2.53,2.59,2.50,2.51,17503900,2.38084
2015-02-20,2.52,2.53,2.44,2.45,14097000,2.32392
2015-02-23,2.47,2.49,2.41,2.42,18250400,2.29547
2015-02-24,2.44,2.48,2.42,2.46,12890000,2.33341
2015-02-25,2.51,2.51,2.45,2.48,18234800,2.35238
2015-02-26,2.46,2.49,2.45,2.48,12330700,2.35238
2015-02-27,2.48,2.51,2.45,2.49,17052500,2.36187
2015-03-02,2.49,2.53,2.44,2.45,13096400,2.36462
2015-03-03,2.46,2.50,2.41,2.42,13503300,2.33567
2015-03-04,2.44,2.44,2.28,2.29,13360700,2.2102
2015-03-05,2.26,2.345,2.26,2.29,19755300,2.2102
2015-03-06,2.24,2.24,2.14,2.15,25762900,2.07508
2015-03-09,2.13,2.24,2.10,2.14,22356200,2.06543
2015-03-10,2.17,2.17,2.00,2.02,21948800,1.94961
2015-03-11,1.95,1.99,1.89,1.95,49455100,1.88205
2015-03-12,1.915,1.965,1.91,1.915,32233000,1.84827
2015-03-13,1.96,2.00,1.93,2.00,24800100,1.9303
2015-03-16,1.965,2.07,1.965,2.01,15694300,1.93996
2015-03-17,2.06,2.07,1.95,1.97,20447100,1.90135
2015-03-18,1.89,1.91,1.795,1.865,44718100,1.80001
2015-03-19,1.87,2.00,1.845,1.99,27232000,1.92065
2015-03-20,1.96,2.00,1.93,2.00,17215700,1.9303
2015-03-23,2.00,2.02,1.965,1.98,11700200,1.911
2015-03-24,2.00,2.07,1.96,2.01,28287200,1.93996
2015-03-25,2.02,2.08,2.02,2.04,18293600,1.96891
2015-03-26,2.02,2.14,2.02,2.12,22793900,2.04612
2015-03-27,2.10,2.12,1.995,2.00,26912700,1.9303
2015-03-30,1.955,1.96,1.915,1.925,12860800,1.85792
2015-03-31,1.94,1.9775,1.92,1.96,15240100,1.8917
2015-04-01,1.92,1.945,1.89,1.895,20099000,1.82896
2015-04-02,1.86,1.86,1.81,1.82,20713700,1.75658
2015-04-03,1.82,1.82,1.82,1.82,000,1.75658
2015-04-06,1.82,1.82,1.82,1.82,000,1.75658
2015-04-07,1.815,1.87,1.79,1.795,20849300,1.73245
2015-04-08,1.825,1.94,1.82,1.94,29419700,1.8724
2015-04-09,1.90,1.90,1.81,1.89,26075000,1.82414
2015-04-10,1.86,1.88,1.81,1.815,14166700,1.75175
2015-04-13,1.80,1.835,1.75,1.775,23815600,1.71315
2015-04-14,1.775,1.845,1.77,1.835,22805400,1.77105
2015-04-15,1.89,1.93,1.845,1.855,28765400,1.79036
2015-04-16,1.87,2.035,1.87,1.955,41960000,1.88687
2015-04-17,1.96,1.98,1.84,1.87,31578500,1.80483
2015-04-20,1.89,1.92,1.86,1.89,33438900,1.82414
2015-04-21,1.93,1.94,1.86,1.87,21473300,1.80483
2015-04-22,1.87,1.92,1.835,1.905,23449600,1.83862
2015-04-23,2.04,2.18,2.02,2.09,64698100,2.01717
2015-04-24,2.19,2.23,2.15,2.21,46361200,2.13299
2015-04-27,2.36,2.57,2.35,2.57,62368100,2.48044
2015-04-28,2.61,2.63,2.41,2.45,43305500,2.36462
2015-04-29,2.45,2.49,2.27,2.27,31915300,2.1909
2015-04-30,2.18,2.20,2.03,2.17,51964000,2.09438
2015-05-01,2.25,2.38,2.20,2.37,31401000,2.28741
2015-05-04,2.35,2.48,2.32,2.45,22982300,2.36462
2015-05-05,2.50,2.54,2.44,2.46,21772900,2.37427
2015-05-06,2.50,2.62,2.495,2.58,31486700,2.49009
2015-05-07,2.58,2.65,2.51,2.58,39259200,2.49009
2015-05-08,2.55,2.585,2.50,2.50,29886700,2.41288
2015-05-11,2.59,2.64,2.56,2.57,17036400,2.48044
2015-05-12,2.62,2.64,2.49,2.57,17758900,2.48044
2015-05-13,2.54,2.60,2.49,2.51,13759300,2.42253
2015-05-14,2.44,2.45,2.29,2.31,26752800,2.2295
2015-05-15,2.31,2.34,2.25,2.29,14594800,2.2102
2015-05-18,2.31,2.33,2.27,2.29,10872400,2.2102
2015-05-19,2.26,2.27,2.21,2.22,14387400,2.14264
2015-05-20,2.16,2.17,2.035,2.07,23431400,1.99787
2015-05-21,2.03,2.14,2.01,2.12,32361700,2.04612
2015-05-22,2.14,2.16,2.07,2.11,13616700,2.03647
2015-05-25,2.15,2.22,2.15,2.17,12318200,2.09438
2015-05-26,2.38,2.495,2.34,2.40,40237600,2.31637
2015-05-27,2.40,2.445,2.32,2.36,20076700,2.27776
2015-05-28,2.34,2.44,2.33,2.43,14602300,2.34532
2015-05-29,2.43,2.47,2.37,2.42,43312700,2.33567
2015-06-01,2.35,2.40,2.34,2.38,10466000,2.29706
2015-06-02,2.42,2.42,2.38,2.38,8179500,2.29706
2015-06-03,2.42,2.47,2.40,2.43,10209600,2.34532
2015-06-04,2.45,2.45,2.25,2.28,11914500,2.20055
2015-06-05,2.31,2.36,2.31,2.32,6346700,2.23915
2015-06-08,2.32,2.32,2.32,2.32,000,2.23915
2015-06-09,2.36,2.45,2.35,2.39,18227300,2.30671
2015-06-10,2.37,2.38,2.33,2.33,11690800,2.2488
2015-06-11,2.40,2.49,2.39,2.48,16651200,2.39358
2015-06-12,2.49,2.49,2.44,2.46,8997200,2.37427
2015-06-15,2.41,2.47,2.40,2.44,10416500,2.35497
2015-06-16,2.41,2.46,2.31,2.32,12283100,2.23915
2015-06-17,2.27,2.27,2.21,2.22,16614100,2.14264
2015-06-18,2.18,2.185,2.08,2.13,23701000,2.05577
2015-06-19,2.16,2.22,2.15,2.16,13691800,2.08473
2015-06-22,2.18,2.215,2.15,2.20,7695300,2.12334
2015-06-23,2.20,2.21,2.14,2.18,10621100,2.10403
2015-06-24,2.21,2.235,2.18,2.20,10925900,2.12334
2015-06-25,2.20,2.21,2.12,2.12,9092900,2.04612
2015-06-26,2.08,2.09,1.99,1.99,26991400,1.92065
2015-06-29,1.975,1.975,1.915,1.93,16413100,1.86274
2015-06-30,1.915,1.915,1.88,1.91,23866500,1.84344
2015-07-01,1.85,1.855,1.792,1.83,23840200,1.76623
2015-07-02,1.84,1.93,1.82,1.91,19016700,1.84344
2015-07-03,1.81,1.86,1.795,1.82,29924900,1.75658
2015-07-06,1.78,1.785,1.715,1.715,23955800,1.65524
2015-07-07,1.705,1.795,1.70,1.785,31899800,1.7228
2015-07-08,1.73,1.745,1.675,1.675,33981900,1.61663
2015-07-09,1.64,1.79,1.61,1.785,36064200,1.7228
2015-07-10,1.825,1.855,1.79,1.815,33815000,1.75175
2015-07-13,1.82,1.825,1.72,1.725,20675300,1.66489
2015-07-14,1.81,1.835,1.78,1.79,20974300,1.72762
2015-07-15,1.775,1.785,1.742,1.775,19525600,1.71315
2015-07-16,1.765,1.7675,1.725,1.75,18732900,1.68902
2015-07-17,1.735,1.755,1.705,1.715,16260300,1.65524
2015-07-20,1.73,1.745,1.685,1.745,15831400,1.68419
2015-07-21,1.76,1.7825,1.735,1.74,20973000,1.67936
2015-07-22,1.75,1.79,1.725,1.75,24332200,1.68902
2015-07-23,1.74,1.775,1.635,1.645,39832900,1.58768
2015-07-24,1.695,1.715,1.65,1.66,26473500,1.60215
2015-07-27,1.65,1.735,1.65,1.71,27600400,1.65041
2015-07-28,1.68,1.765,1.66,1.75,35756200,1.68902
2015-07-29,1.795,1.885,1.79,1.88,46657600,1.81449
2015-07-30,1.925,1.945,1.875,1.895,31510700,1.82896
2015-07-31,1.875,1.90,1.835,1.855,43507700,1.79036
2015-08-03,1.82,1.885,1.81,1.86,18044500,1.79518
2015-08-04,1.85,1.857,1.77,1.775,34672500,1.71315
2015-08-05,1.835,1.9575,1.825,1.885,57979700,1.81931
2015-08-06,1.945,1.955,1.87,1.91,35569700,1.84344
2015-08-07,1.885,1.92,1.855,1.875,12373400,1.80966
2015-08-10,1.90,1.925,1.875,1.915,13934200,1.84827
2015-08-11,1.95,2.02,1.93,1.945,26189500,1.87722
2015-08-12,1.905,1.905,1.767,1.79,44228200,1.72762
2015-08-13,1.84,1.86,1.815,1.82,27897800,1.75658
2015-08-14,1.81,1.85,1.77,1.785,13175100,1.7228
2015-08-17,1.82,1.855,1.805,1.84,12562100,1.77588
2015-08-18,1.90,2.01,1.90,1.985,39264900,1.91583
2015-08-19,1.95,1.975,1.905,1.945,16433900,1.87722
2015-08-20,1.91,1.965,1.91,1.94,11174300,1.8724
2015-08-21,1.95,1.96,1.87,1.915,14006800,1.84827
2015-08-24,1.755,1.81,1.625,1.635,29782500,1.57802
2015-08-25,1.635,1.835,1.582,1.815,40765800,1.75175
2015-08-26,1.755,1.85,1.75,1.805,21710200,1.7421
2015-08-27,1.84,1.86,1.78,1.79,11522500,1.72762
2015-08-28,1.88,1.99,1.855,1.90,35186900,1.83379
2015-08-31,1.91,1.985,1.895,1.91,21136200,1.84344
2015-09-01,1.93,1.9525,1.785,1.795,25090800,1.73245
2015-09-02,1.75,1.855,1.72,1.855,21938300,1.79036
2015-09-03,1.87,1.9425,1.84,1.89,13546500,1.85267
2015-09-04,1.92,1.945,1.857,1.86,9027100,1.82327
2015-09-07,1.86,1.93,1.835,1.925,9958700,1.88698
2015-09-08,1.94,1.98,1.925,1.96,14991700,1.92129
2015-09-09,2.05,2.15,2.04,2.04,33731100,1.99971
2015-09-10,1.99,2.07,1.98,2.04,15151900,1.99971
2015-09-11,2.10,2.11,2.02,2.03,12513600,1.98991
2015-09-14,2.07,2.10,2.05,2.05,13233300,2.00951
2015-09-15,2.05,2.07,2.00,2.01,10436100,1.9703
2015-09-16,2.03,2.07,2.02,2.05,19730200,2.00951
2015-09-17,2.13,2.13,2.08,2.09,13473500,2.04872
2015-09-18,2.08,2.12,2.045,2.06,9636200,2.01932
2015-09-21,2.02,2.05,1.965,1.975,11822200,1.93599
2015-09-22,2.00,2.00,1.88,1.915,14433400,1.87718
2015-09-23,1.84,1.855,1.80,1.81,22090000,1.77425
2015-09-24,1.82,1.825,1.77,1.785,19175300,1.74975
2015-09-25,1.78,1.80,1.74,1.80,25927000,1.76445
2015-09-28,1.80,1.81,1.775,1.785,10086100,1.74975
2015-09-29,1.705,1.725,1.66,1.67,22020100,1.63702
2015-09-30,1.69,1.82,1.68,1.82,37169000,1.78406
2015-10-01,1.82,1.83,1.78,1.795,24127700,1.75955
2015-10-02,1.76,1.85,1.755,1.84,22644200,1.80366
2015-10-05,1.85,1.905,1.845,1.865,6662900,1.82817
2015-10-06,1.92,1.99,1.895,1.975,24895800,1.93599
2015-10-07,1.985,2.10,1.95,2.10,20861700,2.05853
2015-10-08,2.18,2.27,2.14,2.21,27399600,2.16635
2015-10-09,2.28,2.30,2.25,2.28,13979900,2.23497
2015-10-12,2.23,2.43,2.22,2.40,25813700,2.3526
2015-10-13,2.35,2.36,2.16,2.19,32546800,2.14675
2015-10-14,2.13,2.21,2.08,2.16,21934900,2.11734
2015-10-15,2.17,2.33,2.17,2.29,34439800,2.24477
2015-10-16,2.30,2.47,2.30,2.40,27145000,2.3526
2015-10-19,2.37,2.37,2.28,2.30,14513500,2.25458
2015-10-20,2.25,2.36,2.21,2.35,17226500,2.30359
2015-10-21,2.33,2.51,2.30,2.49,31060700,2.44082
2015-10-22,2.45,2.51,2.41,2.50,14542300,2.45063
2015-10-23,2.55,2.62,2.525,2.58,17944600,2.52905
2015-10-26,2.61,2.65,2.55,2.56,16997100,2.50944
2015-10-27,2.51,2.51,2.33,2.33,20325600,2.28398
2015-10-28,2.29,2.32,2.24,2.25,17750800,2.20556
2015-10-29,2.25,2.275,2.18,2.20,17137300,2.15655
2015-10-30,2.17,2.19,2.08,2.09,33289300,2.04872
2015-11-02,2.10,2.155,2.09,2.12,18253800,2.07813
2015-11-03,2.18,2.195,2.09,2.10,10083400,2.05853
2015-11-04,2.14,2.20,2.12,2.13,23542600,2.08793
2015-11-05,2.13,2.18,2.12,2.13,11456700,2.08793
2015-11-06,2.15,2.24,2.05,2.23,32586300,2.18596
2015-11-09,2.21,2.26,2.15,2.20,21205500,2.15655
2015-11-10,2.21,2.32,2.18,2.30,21019200,2.25458
2015-11-11,2.35,2.44,2.33,2.37,20514900,2.32319
2015-11-12,2.34,2.37,2.305,2.35,10521700,2.30359
2015-11-13,2.28,2.29,2.20,2.28,11165800,2.23497
2015-11-16,2.22,2.285,2.21,2.25,5585500,2.20556
2015-11-17,2.29,2.32,2.19,2.22,14718300,2.17616
2015-11-18,2.16,2.17,2.13,2.15,15785700,2.10754
2015-11-19,2.17,2.235,2.16,2.17,13370600,2.12714
2015-11-20,2.15,2.205,2.06,2.09,15147500,2.04872
2015-11-23,2.07,2.19,2.06,2.18,15593200,2.13695
2015-11-24,2.14,2.15,2.07,2.11,21014800,2.06833
2015-11-25,2.10,2.11,2.07,2.08,8261700,2.03892
2015-11-26,2.08,2.105,2.05,2.08,10485400,2.03892
2015-11-27,2.09,2.12,2.05,2.06,15166100,2.01932
2015-11-30,2.05,2.06,1.96,1.96,19567400,1.92129
2015-12-01,1.96,2.02,1.95,1.99,16035100,1.9507
2015-12-02,1.99,2.00,1.945,1.965,15723100,1.92619
2015-12-03,1.905,1.96,1.90,1.92,13797000,1.88208
2015-12-04,1.865,1.925,1.865,1.895,13819000,1.85757
2015-12-07,1.935,1.94,1.855,1.86,9748400,1.82327
2015-12-08,1.845,1.88,1.775,1.805,13779300,1.76935
2015-12-09,1.80,1.86,1.74,1.82,21010100,1.78406
2015-12-10,1.82,1.88,1.775,1.795,13522100,1.75955
2015-12-11,1.80,1.845,1.765,1.84,15297100,1.80366
2015-12-14,1.785,1.80,1.755,1.795,15150200,1.75955
2015-12-15,1.795,1.825,1.78,1.805,12581100,1.76935
2015-12-16,1.82,1.90,1.795,1.90,22017600,1.86248
2015-12-17,1.93,1.945,1.832,1.835,19254300,1.79876
2015-12-18,1.80,1.815,1.702,1.725,33897200,1.69093
2015-12-21,1.725,1.785,1.715,1.77,16720000,1.73504
2015-12-22,1.785,1.79,1.735,1.74,11908700,1.70564
2015-12-23,1.76,1.825,1.75,1.79,8753200,1.75465
2015-12-24,1.85,1.90,1.84,1.88,9712200,1.84287
2015-12-25,1.88,1.88,1.88,1.88,000,1.84287
2015-12-28,1.88,1.88,1.88,1.88,000,1.84287
2015-12-29,1.86,1.87,1.835,1.845,3979900,1.80856
2015-12-30,1.89,1.897,1.835,1.87,7331400,1.83307
2015-12-31,1.845,1.88,1.845,1.87,6555900,1.83307
2016-01-01,1.87,1.87,1.87,1.87,000,1.83307
2016-01-04,1.875,1.925,1.865,1.87,9459000,1.83307
2016-01-05,1.85,1.9175,1.845,1.895,9341100,1.85757
2016-01-06,1.875,1.875,1.772,1.78,15534400,1.74485
2016-01-07,1.76,1.80,1.675,1.68,21802100,1.64682
2016-01-08,1.65,1.735,1.615,1.725,15260200,1.69093
2016-01-11,1.675,1.68,1.61,1.64,17219200,1.60761
2016-01-12,1.635,1.655,1.58,1.585,20096400,1.5537
2016-01-13,1.575,1.59,1.53,1.57,20068100,1.53899
2016-01-14,1.51,1.58,1.49,1.52,25768900,1.48998
2016-01-15,1.575,1.61,1.52,1.535,13269800,1.50468
2016-01-18,1.49,1.58,1.457,1.555,19807600,1.52429
2016-01-19,1.57,1.595,1.527,1.53,18238600,1.49978
2016-01-20,1.51,1.517,1.455,1.46,24669300,1.43117
2016-01-21,1.455,1.525,1.44,1.445,24610500,1.41646
2016-01-22,1.49,1.57,1.49,1.535,23448800,1.50468
2016-01-25,1.57,1.595,1.52,1.52,17767500,1.48998
2016-01-26,1.52,1.52,1.52,1.52,000,1.48998
2016-01-27,1.51,1.52,1.44,1.46,29175000,1.43117
2016-01-28,1.515,1.575,1.485,1.52,41188600,1.48998
2016-01-29,1.585,1.76,1.57,1.73,58680900,1.69583
2016-02-01,1.78,1.825,1.67,1.675,22731600,1.64192
2016-02-02,1.65,1.67,1.56,1.59,19794500,1.5586
2016-02-03,1.56,1.66,1.555,1.62,30600400,1.58801
2016-02-04,1.68,1.82,1.68,1.81,35021100,1.77425
2016-02-05,1.825,1.932,1.745,1.895,36631100,1.85757
2016-02-08,1.855,1.88,1.802,1.83,10995400,1.79386
2016-02-09,1.79,1.82,1.775,1.80,11137100,1.76445
2016-02-10,1.76,1.79,1.72,1.745,20782700,1.71054
2016-02-11,1.74,1.77,1.66,1.70,19906000,1.66643
2016-02-12,1.65,1.6775,1.615,1.62,18233000,1.58801
2016-02-15,1.69,1.72,1.68,1.705,18604400,1.67133
2016-02-16,1.785,1.905,1.78,1.875,28225400,1.83797
2016-02-17,1.88,1.95,1.815,1.875,25372800,1.83797
2016-02-18,1.965,2.10,1.955,2.09,22386200,2.04872
2016-02-19,2.03,2.055,1.96,1.99,14918600,1.9507
2016-02-22,2.06,2.185,2.04,2.17,21238000,2.12714
2016-02-23,2.23,2.27,2.08,2.10,17256700,2.05853
2016-02-24,2.06,2.13,1.985,2.00,21316400,1.9605
2016-02-25,2.07,2.13,1.995,2.07,23147700,2.02912
2016-02-26,2.07,2.09,1.96,2.01,20839800,1.9703
2016-02-29,1.98,2.05,1.975,2.04,7860700,1.99971
