Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.003,0.003,0.003,0.003,000,0.075
2015-01-02,0.003,0.003,0.003,0.003,000,0.075
2015-01-05,0.003,0.003,0.003,0.003,000,0.075
2015-01-06,0.003,0.003,0.003,0.003,000,0.075
2015-01-07,0.003,0.003,0.003,0.003,000,0.075
2015-01-08,0.003,0.003,0.003,0.003,000,0.075
2015-01-09,0.003,0.003,0.003,0.003,000,0.075
2015-01-12,0.003,0.003,0.003,0.003,000,0.075
2015-01-13,0.003,0.003,0.002,0.002,107500,0.05
2015-01-14,0.002,0.002,0.002,0.002,000,0.05
2015-01-15,0.002,0.002,0.002,0.002,60200,0.05
2015-01-16,0.002,0.002,0.002,0.002,80000,0.05
2015-01-19,0.002,0.002,0.002,0.002,000,0.05
2015-01-20,0.002,0.002,0.002,0.002,000,0.05
2015-01-21,0.002,0.002,0.002,0.002,40000,0.05
2015-01-22,0.002,0.002,0.002,0.002,000,0.05
2015-01-23,0.002,0.002,0.002,0.002,000,0.05
2015-01-26,0.002,0.002,0.002,0.002,000,0.05
2015-01-27,0.002,0.002,0.002,0.002,12000,0.05
2015-01-28,0.002,0.002,0.002,0.002,000,0.05
2015-01-29,0.002,0.002,0.002,0.002,000,0.05
2015-01-30,0.002,0.002,0.002,0.002,000,0.05
2015-02-02,0.002,0.002,0.002,0.002,000,0.05
2015-02-03,0.002,0.002,0.002,0.002,000,0.05
2015-02-04,0.002,0.002,0.002,0.002,8100,0.05
2015-02-05,0.002,0.002,0.002,0.002,14100,0.05
2015-02-06,0.003,0.003,0.003,0.003,19600,0.075
2015-02-09,0.003,0.003,0.003,0.003,000,0.075
2015-02-10,0.003,0.003,0.003,0.003,000,0.075
2015-02-11,0.003,0.003,0.003,0.003,000,0.075
2015-02-12,0.003,0.003,0.003,0.003,000,0.075
2015-02-13,0.002,0.002,0.002,0.002,39600,0.05
2015-02-16,0.002,0.002,0.002,0.002,000,0.05
2015-02-17,0.002,0.002,0.002,0.002,9100,0.05
2015-02-18,0.002,0.002,0.002,0.002,000,0.05
2015-02-19,0.002,0.002,0.002,0.002,000,0.05
2015-02-20,0.002,0.002,0.002,0.002,26000,0.05
2015-02-23,0.002,0.002,0.002,0.002,52000,0.05
2015-02-24,0.002,0.002,0.002,0.002,111600,0.05
2015-02-25,0.002,0.002,0.002,0.002,34800,0.05
2015-02-26,0.002,0.002,0.002,0.002,85300,0.05
2015-02-27,0.002,0.002,0.002,0.002,000,0.05
2015-03-02,0.002,0.002,0.002,0.002,17200,0.05
2015-03-03,0.002,0.002,0.002,0.002,000,0.05
2015-03-04,0.002,0.002,0.002,0.002,000,0.05
2015-03-05,0.002,0.002,0.002,0.002,000,0.05
2015-03-06,0.002,0.002,0.002,0.002,000,0.05
2015-03-09,0.002,0.002,0.002,0.002,000,0.05
2015-03-10,0.002,0.002,0.002,0.002,000,0.05
2015-03-11,0.002,0.002,0.002,0.002,000,0.05
2015-03-12,0.002,0.002,0.002,0.002,000,0.05
2015-03-13,0.002,0.002,0.002,0.002,200000,0.05
2015-03-16,0.002,0.002,0.002,0.002,000,0.05
2015-03-17,0.002,0.002,0.002,0.002,000,0.05
2015-03-18,0.002,0.002,0.002,0.002,180000,0.05
2015-03-19,0.002,0.002,0.002,0.002,000,0.05
2015-03-20,0.002,0.002,0.002,0.002,000,0.05
2015-03-23,0.002,0.002,0.002,0.002,000,0.05
2015-03-24,0.002,0.002,0.002,0.002,220000,0.05
2015-03-25,0.003,0.003,0.003,0.003,46200,0.075
2015-03-26,0.003,0.003,0.003,0.003,000,0.075
2015-03-27,0.003,0.003,0.003,0.003,213300,0.075
2015-03-30,0.002,0.002,0.002,0.002,000,0.05
2015-03-31,0.003,0.003,0.003,0.003,156000,0.075
2015-04-01,0.003,0.003,0.003,0.003,19100,0.075
2015-04-02,0.003,0.003,0.003,0.003,6000,0.075
2015-04-03,0.003,0.003,0.003,0.003,000,0.075
2015-04-06,0.003,0.003,0.003,0.003,000,0.075
2015-04-07,0.003,0.003,0.003,0.003,000,0.075
2015-04-08,0.003,0.003,0.003,0.003,28800,0.075
2015-04-09,0.003,0.003,0.003,0.003,000,0.075
2015-04-10,0.003,0.003,0.003,0.003,20000,0.075
2015-04-13,0.003,0.003,0.003,0.003,12000,0.075
2015-04-14,0.003,0.003,0.003,0.003,200600,0.075
2015-04-15,0.003,0.004,0.003,0.004,14000,0.10
2015-04-16,0.004,0.004,0.004,0.004,50000,0.10
2015-04-17,0.004,0.004,0.004,0.004,50000,0.10
2015-04-20,0.004,0.005,0.004,0.005,281500,0.125
2015-04-21,0.005,0.006,0.005,0.005,234200,0.125
2015-04-22,0.005,0.005,0.004,0.005,121200,0.125
2015-04-23,0.005,0.005,0.005,0.005,3100,0.125
2015-04-24,0.005,0.005,0.005,0.005,37800,0.125
2015-04-27,0.006,0.007,0.006,0.007,198300,0.175
2015-04-28,0.007,0.007,0.007,0.007,40800,0.175
2015-04-29,0.007,0.008,0.006,0.006,101100,0.15
2015-04-30,0.007,0.008,0.007,0.008,100000,0.20
2015-05-01,0.008,0.008,0.007,0.007,44200,0.175
2015-05-04,0.007,0.007,0.006,0.006,27100,0.15
2015-05-05,0.006,0.006,0.006,0.006,000,0.15
2015-05-06,0.007,0.007,0.007,0.007,45700,0.175
2015-05-07,0.007,0.007,0.007,0.007,000,0.175
2015-05-08,0.007,0.007,0.007,0.007,000,0.175
2015-05-11,0.007,0.007,0.007,0.007,23800,0.175
2015-05-12,0.007,0.007,0.007,0.007,5600,0.175
2015-05-13,0.006,0.007,0.006,0.007,12000,0.175
2015-05-14,0.006,0.007,0.006,0.007,200200,0.175
2015-05-15,0.007,0.007,0.007,0.007,000,0.175
2015-05-18,0.007,0.007,0.007,0.007,16000,0.175
2015-05-19,0.007,0.007,0.007,0.007,12000,0.175
2015-05-20,0.007,0.007,0.007,0.007,000,0.175
2015-05-21,0.006,0.007,0.006,0.007,48800,0.175
2015-05-22,0.007,0.007,0.005,0.005,95800,0.125
2015-05-25,0.006,0.006,0.005,0.005,68600,0.125
2015-05-26,0.005,0.005,0.005,0.005,19600,0.125
2015-05-27,0.006,0.006,0.006,0.006,47700,0.15
2015-05-28,0.006,0.006,0.006,0.006,6700,0.15
2015-05-29,0.007,0.007,0.006,0.006,91000,0.15
2015-06-01,0.006,0.006,0.006,0.006,14000,0.15
2015-06-02,0.006,0.006,0.006,0.006,26300,0.15
2015-06-03,0.006,0.006,0.006,0.006,3300,0.15
2015-06-04,0.006,0.006,0.006,0.006,18300,0.15
2015-06-05,0.006,0.006,0.006,0.006,21400,0.15
2015-06-08,0.006,0.006,0.006,0.006,000,0.15
2015-06-09,0.006,0.006,0.006,0.006,29400,0.15
2015-06-10,0.007,0.007,0.005,0.005,32100,0.125
2015-06-11,0.005,0.005,0.005,0.005,000,0.125
2015-06-12,0.006,0.006,0.006,0.006,9800,0.15
2015-06-15,0.006,0.006,0.006,0.006,000,0.15
2015-06-16,0.006,0.006,0.006,0.006,000,0.15
2015-06-17,0.006,0.006,0.006,0.006,000,0.15
2015-06-18,0.006,0.007,0.006,0.006,12200,0.15
2015-06-19,0.006,0.007,0.006,0.007,8200,0.175
2015-06-22,0.006,0.006,0.006,0.006,17400,0.15
2015-06-23,0.006,0.006,0.006,0.006,200,0.15
2015-06-24,0.005,0.005,0.005,0.005,59500,0.125
2015-06-25,0.005,0.005,0.005,0.005,1100,0.125
2015-06-26,0.005,0.006,0.005,0.006,38800,0.15
2015-06-29,0.005,0.005,0.005,0.005,22600,0.125
2015-06-30,0.006,0.007,0.006,0.007,69100,0.175
2015-07-01,0.007,0.007,0.007,0.007,000,0.175
2015-07-02,0.007,0.007,0.007,0.007,9700,0.175
2015-07-03,0.007,0.007,0.007,0.007,000,0.175
2015-07-06,0.006,0.006,0.006,0.006,2800,0.15
2015-07-07,0.006,0.006,0.005,0.005,10800,0.125
2015-07-08,0.005,0.005,0.005,0.005,000,0.125
2015-07-09,0.005,0.005,0.005,0.005,2600,0.125
2015-07-10,0.005,0.005,0.005,0.005,27600,0.125
2015-07-13,0.005,0.006,0.005,0.005,30100,0.125
2015-07-14,0.006,0.007,0.006,0.007,13700,0.175
2015-07-15,0.007,0.007,0.007,0.007,40000,0.175
2015-07-16,0.007,0.007,0.007,0.007,40000,0.175
2015-07-17,0.007,0.007,0.007,0.007,6000,0.175
2015-07-20,0.007,0.007,0.007,0.007,000,0.175
2015-07-21,0.006,0.006,0.006,0.006,12000,0.15
2015-07-22,0.006,0.006,0.006,0.006,8000,0.15
2015-07-23,0.006,0.006,0.006,0.006,000,0.15
