Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.875,0.875,0.875,0.875,000,0.80036
2015-01-02,0.88,0.88,0.86,0.865,2570000,0.79121
2015-01-05,0.865,0.885,0.865,0.88,2979800,0.80493
2015-01-06,0.89,0.90,0.855,0.87,4484100,0.79578
2015-01-07,0.87,0.872,0.85,0.86,3399900,0.78664
2015-01-08,0.87,0.87,0.85,0.87,4650300,0.79578
2015-01-09,0.87,0.885,0.865,0.87,2596000,0.79578
2015-01-12,0.865,0.905,0.86,0.88,4094100,0.80493
2015-01-13,0.875,0.90,0.865,0.885,4158300,0.8095
2015-01-14,0.89,0.90,0.86,0.865,3902800,0.79121
2015-01-15,0.875,0.88,0.835,0.87,6773600,0.79578
2015-01-16,0.86,0.87,0.835,0.835,3761200,0.76377
2015-01-19,0.84,0.862,0.84,0.85,7003700,0.77749
2015-01-20,0.85,0.855,0.825,0.83,9044700,0.7592
2015-01-21,0.83,0.85,0.827,0.845,6382700,0.77292
2015-01-22,0.845,0.85,0.825,0.83,4569700,0.7592
2015-01-23,0.84,0.855,0.835,0.85,5657600,0.77749
2015-01-26,0.85,0.85,0.85,0.85,000,0.77749
2015-01-27,0.855,0.8825,0.855,0.88,6977000,0.80493
2015-01-28,0.875,0.895,0.865,0.885,9121300,0.8095
2015-01-29,0.875,0.895,0.86,0.87,10538000,0.79578
2015-01-30,0.89,0.90,0.885,0.90,9826200,0.82323
2015-02-02,0.895,0.90,0.885,0.89,3660100,0.81408
2015-02-03,0.895,0.93,0.89,0.92,8254600,0.84152
2015-02-04,0.935,0.935,0.905,0.92,7691000,0.84152
2015-02-05,0.925,0.93,0.905,0.92,5782000,0.84152
2015-02-06,0.945,0.965,0.935,0.96,11688800,0.87811
2015-02-09,0.90,0.91,0.85,0.875,392909800,0.80036
2015-02-10,0.89,0.90,0.877,0.885,16290300,0.8095
2015-02-11,0.89,0.89,0.875,0.88,8599200,0.80493
2015-02-12,0.88,0.885,0.865,0.875,15282700,0.80036
2015-02-13,0.875,0.90,0.87,0.89,15158100,0.81408
2015-02-16,0.88,0.895,0.875,0.895,22540900,0.81865
2015-02-17,0.885,0.905,0.88,0.89,10141200,0.81408
2015-02-18,0.895,0.905,0.88,0.89,16455700,0.81408
2015-02-19,0.91,0.9225,0.895,0.91,34630100,0.83237
2015-02-20,0.91,0.92,0.905,0.915,7380800,0.83695
2015-02-23,0.915,0.93,0.905,0.925,14432500,0.84609
2015-02-24,0.925,0.945,0.92,0.92,16368800,0.84152
2015-02-25,0.93,0.96,0.93,0.95,14592900,0.86896
2015-02-26,0.95,0.955,0.93,0.95,6876100,0.86896
2015-02-27,0.955,0.987,0.95,0.98,31252900,0.8964
2015-03-02,0.96,0.965,0.93,0.93,7363800,0.87621
2015-03-03,0.95,0.97,0.95,0.965,9365500,0.90919
2015-03-04,0.97,0.98,0.95,0.95,5793200,0.89505
