Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.78,3.78,3.78,3.78,000,3.609
2015-01-02,3.77,3.83,3.77,3.83,9000,3.656
2015-01-05,3.83,3.96,3.825,3.90,62600,3.723
2015-01-06,3.90,3.90,3.83,3.83,45000,3.656
2015-01-07,3.82,3.86,3.81,3.86,12800,3.685
2015-01-08,3.86,3.86,3.84,3.85,23000,3.675
2015-01-09,3.86,3.88,3.85,3.88,12200,3.704
2015-01-12,3.89,3.90,3.84,3.84,27500,3.666
2015-01-13,3.84,3.88,3.75,3.81,17300,3.637
2015-01-14,3.81,3.81,3.74,3.75,13800,3.58
2015-01-15,3.76,3.76,3.635,3.68,85900,3.513
2015-01-16,3.68,3.70,3.64,3.65,29600,3.484
2015-01-19,3.69,3.70,3.64,3.68,34700,3.513
2015-01-20,3.69,3.70,3.64,3.70,24900,3.532
2015-01-21,3.70,3.88,3.66,3.75,42500,3.58
2015-01-22,3.86,3.86,3.71,3.78,12200,3.609
2015-01-23,3.78,3.87,3.775,3.78,35400,3.609
2015-01-26,3.78,3.78,3.78,3.78,000,3.609
2015-01-27,3.87,3.89,3.68,3.89,69400,3.714
2015-01-28,3.835,3.84,3.78,3.78,21000,3.609
2015-01-29,3.74,3.88,3.74,3.84,79300,3.666
2015-01-30,3.80,3.82,3.78,3.78,37600,3.609
2015-02-02,3.74,3.82,3.72,3.78,61800,3.609
2015-02-03,3.82,3.82,3.73,3.80,118300,3.628
2015-02-04,3.74,3.78,3.73,3.77,36700,3.599
2015-02-05,3.78,3.83,3.77,3.83,73500,3.656
2015-02-06,3.80,3.87,3.80,3.87,66300,3.694
2015-02-09,3.87,3.89,3.85,3.89,26700,3.714
2015-02-10,3.89,3.89,3.84,3.89,9100,3.714
2015-02-11,3.86,4.01,3.86,4.00,127400,3.819
2015-02-12,4.00,4.02,3.96,3.96,210700,3.78
2015-02-13,4.55,4.60,4.32,4.38,2685800,4.181
2015-02-16,4.45,4.49,4.38,4.42,450500,4.22
2015-02-17,4.49,4.60,4.49,4.59,2473000,4.382
2015-02-18,4.65,4.85,4.65,4.81,357900,4.592
2015-02-19,4.80,4.88,4.71,4.75,178700,4.535
2015-02-20,4.75,4.75,4.56,4.59,176400,4.382
2015-02-23,4.60,4.67,4.59,4.60,144700,4.391
2015-02-24,4.64,4.71,4.64,4.70,67800,4.487
2015-02-25,4.64,4.75,4.64,4.72,147700,4.506
2015-02-26,4.75,4.84,4.64,4.70,274000,4.487
2015-02-27,4.70,5.00,4.70,5.00,276700,4.773
2015-03-02,5.10,5.10,4.88,4.98,46100,4.754
2015-03-03,4.98,5.01,4.88,4.88,96100,4.659
2015-03-04,4.88,4.94,4.86,4.89,64100,4.668
2015-03-05,4.90,4.95,4.75,4.92,192200,4.697
2015-03-06,5.00,5.35,5.00,5.20,253100,4.964
2015-03-09,5.16,5.19,5.09,5.17,105100,4.936
2015-03-10,5.14,5.22,5.09,5.15,122200,4.916
2015-03-11,5.14,5.32,4.92,5.31,149300,5.069
2015-03-12,5.33,5.49,5.33,5.39,196400,5.146
2015-03-13,5.40,5.52,5.33,5.52,163800,5.27
2015-03-16,5.60,5.64,5.48,5.50,406900,5.251
2015-03-17,5.54,5.55,5.45,5.49,255700,5.241
2015-03-18,5.55,5.55,5.46,5.47,198300,5.222
2015-03-19,5.48,5.55,5.46,5.50,262700,5.251
2015-03-20,5.50,5.55,5.36,5.36,614600,5.117
2015-03-23,5.45,5.55,5.41,5.50,254500,5.251
2015-03-24,5.50,5.65,5.48,5.61,129800,5.356
2015-03-25,5.65,5.84,5.65,5.77,228800,5.508
2015-03-26,5.72,5.77,5.68,5.72,181300,5.461
2015-03-27,5.75,5.765,5.71,5.75,176800,5.489
2015-03-30,5.75,5.95,5.74,5.85,416600,5.585
2015-03-31,5.94,6.00,5.88,5.98,696300,5.709
2015-04-01,5.98,6.09,5.90,5.97,419700,5.768
2015-04-02,6.00,6.15,6.00,6.08,353500,5.874
2015-04-03,6.08,6.08,6.08,6.08,000,5.874
2015-04-06,6.08,6.08,6.08,6.08,000,5.874
2015-04-07,6.20,6.35,6.15,6.18,379600,5.971
2015-04-08,6.20,6.45,6.18,6.40,580900,6.184
2015-04-09,6.40,6.63,6.37,6.47,387400,6.251
2015-04-10,6.45,6.50,6.38,6.40,363400,6.184
2015-04-13,6.45,6.45,6.35,6.40,281500,6.184
2015-04-14,6.40,6.54,6.35,6.38,379100,6.164
2015-04-15,6.40,6.48,6.32,6.44,288500,6.222
2015-04-16,6.48,6.54,6.42,6.52,313500,6.30
2015-04-17,6.60,6.84,6.58,6.60,612800,6.377
2015-04-20,6.71,6.81,6.65,6.67,400900,6.444
2015-04-21,6.65,6.69,6.54,6.57,295300,6.348
2015-04-22,6.60,6.67,6.30,6.34,279900,6.126
2015-04-23,6.30,6.30,5.62,5.95,988700,5.749
2015-04-24,6.18,6.19,6.03,6.12,355700,5.913
2015-04-27,6.15,6.36,6.15,6.36,346700,6.145
2015-04-28,6.37,6.69,6.37,6.47,258700,6.251
2015-04-29,6.52,6.58,6.35,6.40,143400,6.184
2015-04-30,6.35,6.425,6.35,6.40,175700,6.184
2015-05-01,6.39,6.55,6.31,6.54,146400,6.319
2015-05-04,6.55,6.56,6.39,6.44,190400,6.222
2015-05-05,6.44,6.49,6.25,6.34,124000,6.126
2015-05-06,6.34,6.36,6.23,6.34,143300,6.126
2015-05-07,6.29,6.29,6.20,6.20,141600,5.99
2015-05-08,6.19,6.34,6.18,6.25,290600,6.039
2015-05-11,6.29,6.29,6.24,6.24,44900,6.029
2015-05-12,6.24,6.30,6.225,6.25,99800,6.039
2015-05-13,6.25,6.25,6.17,6.19,50000,5.981
2015-05-14,6.19,6.22,6.10,6.10,85800,5.894
2015-05-15,6.13,6.205,6.07,6.16,728600,5.952
2015-05-18,6.13,6.19,6.02,6.03,237400,5.826
2015-05-19,6.00,6.07,5.95,5.99,256600,5.787
2015-05-20,5.94,5.99,5.90,5.90,74800,5.701
2015-05-21,5.90,5.93,5.61,5.73,487500,5.536
2015-05-22,5.70,5.72,5.55,5.61,191000,5.42
2015-05-25,5.61,5.78,5.61,5.70,305700,5.507
2015-05-26,5.70,5.70,5.51,5.51,252100,5.324
2015-05-27,5.47,5.70,5.47,5.68,250700,5.488
2015-05-28,5.65,5.68,5.58,5.62,183600,5.43
2015-05-29,5.60,5.82,5.57,5.70,367600,5.507
2015-06-01,5.80,5.81,5.65,5.65,59100,5.459
2015-06-02,5.63,5.69,5.62,5.65,157500,5.459
2015-06-03,5.65,5.69,5.60,5.63,162900,5.44
2015-06-04,5.61,5.64,5.52,5.54,117000,5.353
2015-06-05,5.51,5.59,5.40,5.55,229200,5.362
2015-06-08,5.55,5.55,5.55,5.55,000,5.362
2015-06-09,5.48,5.50,5.40,5.42,212400,5.237
2015-06-10,5.38,5.38,5.30,5.33,116300,5.15
2015-06-11,5.40,5.82,5.36,5.64,261800,5.449
2015-06-12,5.70,6.00,5.66,5.98,492300,5.778
2015-06-15,5.95,5.95,5.76,5.77,165800,5.575
2015-06-16,5.76,5.79,5.68,5.72,83000,5.527
2015-06-17,5.77,5.79,5.65,5.72,101500,5.527
2015-06-18,5.70,5.80,5.66,5.72,106500,5.527
2015-06-19,5.66,5.82,5.66,5.80,110300,5.604
2015-06-22,5.68,5.84,5.68,5.82,91700,5.623
2015-06-23,5.76,5.81,5.71,5.76,108900,5.565
2015-06-24,5.79,5.80,5.73,5.77,138000,5.575
2015-06-25,5.77,5.88,5.72,5.75,118500,5.556
2015-06-26,5.65,5.77,5.53,5.71,43000,5.517
2015-06-29,5.69,5.69,5.53,5.61,137100,5.42
2015-06-30,5.61,5.73,5.56,5.73,83600,5.536
2015-07-01,5.58,5.76,5.58,5.76,246900,5.565
2015-07-02,5.77,5.93,5.77,5.85,169100,5.652
2015-07-03,5.93,5.93,5.66,5.80,41000,5.604
2015-07-06,5.71,5.82,5.62,5.63,121100,5.44
2015-07-07,5.60,5.70,5.52,5.55,70200,5.362
2015-07-08,5.51,5.545,5.47,5.53,73100,5.343
2015-07-09,5.55,5.60,5.47,5.60,80200,5.411
2015-07-10,5.57,5.78,5.56,5.68,82100,5.488
2015-07-13,5.69,5.75,5.64,5.74,41000,5.546
2015-07-14,5.76,5.94,5.75,5.85,136300,5.652
2015-07-15,5.90,5.93,5.79,5.85,154300,5.652
2015-07-16,5.90,5.98,5.85,5.88,128900,5.681
2015-07-17,5.91,5.97,5.86,5.88,50700,5.681
2015-07-20,5.94,5.95,5.86,5.90,120300,5.701
2015-07-21,5.90,5.99,5.90,5.97,62600,5.768
2015-07-22,5.97,5.99,5.91,5.99,68700,5.787
2015-07-23,5.95,6.00,5.95,5.96,27500,5.758
2015-07-24,5.96,5.97,5.76,5.76,69300,5.565
2015-07-27,5.75,5.76,5.30,5.51,204500,5.324
2015-07-28,5.47,5.50,5.40,5.43,88000,5.246
2015-07-29,5.40,5.50,5.40,5.46,108300,5.275
2015-07-30,5.46,5.66,5.46,5.66,64600,5.469
2015-07-31,5.68,5.77,5.66,5.70,61300,5.507
2015-08-03,5.70,5.70,5.50,5.50,124100,5.314
2015-08-04,5.60,5.62,5.53,5.59,69600,5.401
2015-08-05,5.62,5.62,5.51,5.57,84000,5.382
2015-08-06,5.52,5.54,5.40,5.45,111700,5.266
2015-08-07,5.48,5.48,5.10,5.25,236400,5.072
2015-08-10,5.20,5.39,5.20,5.37,100100,5.188
2015-08-11,5.41,5.52,5.26,5.31,81000,5.13
2015-08-12,5.70,5.81,5.31,5.35,904400,5.169
2015-08-13,5.25,5.25,4.88,4.90,2111100,4.734
2015-08-14,5.00,5.01,4.90,4.95,629900,4.783
2015-08-17,5.10,5.10,4.98,5.02,198100,4.85
2015-08-18,5.05,5.10,5.00,5.00,155200,4.831
2015-08-19,5.01,5.11,4.95,5.00,268600,4.831
2015-08-20,4.98,4.98,4.69,4.76,350200,4.599
2015-08-21,4.74,4.88,4.65,4.69,969500,4.531
2015-08-24,4.65,4.72,4.51,4.58,815600,4.425
2015-08-25,4.59,4.90,4.59,4.78,305300,4.618
2015-08-26,4.78,4.80,4.62,4.65,214400,4.493
2015-08-27,4.69,4.79,4.65,4.68,202300,4.522
2015-08-28,4.70,4.71,4.56,4.56,330700,4.406
2015-08-31,4.60,4.63,4.55,4.55,159900,4.396
2015-09-01,4.56,4.63,4.52,4.58,204300,4.425
2015-09-02,4.55,4.55,4.37,4.41,311400,4.261
2015-09-03,4.49,4.65,4.48,4.50,139700,4.348
2015-09-04,4.55,4.55,4.42,4.43,201900,4.28
2015-09-07,4.42,4.46,4.38,4.41,160100,4.261
2015-09-08,4.46,4.55,4.46,4.52,246400,4.367
2015-09-09,4.57,4.60,4.50,4.54,210700,4.387
2015-09-10,4.54,4.54,4.41,4.45,195800,4.30
2015-09-11,4.49,4.64,4.47,4.58,294500,4.425
2015-09-14,4.60,4.70,4.56,4.65,156100,4.493
2015-09-15,4.63,4.69,4.62,4.65,206100,4.493
2015-09-16,4.78,4.91,4.72,4.85,147200,4.686
2015-09-17,4.88,4.90,4.75,4.78,221300,4.618
2015-09-18,4.80,4.99,4.77,4.90,330600,4.734
2015-09-21,4.89,5.11,4.81,5.11,288700,4.937
2015-09-22,5.19,5.35,5.05,5.09,208900,4.918
2015-09-23,5.00,5.02,4.90,4.95,219400,4.783
2015-09-24,4.97,5.105,4.95,4.95,336000,4.783
2015-09-25,4.96,5.16,4.93,4.98,2560100,4.812
2015-09-28,4.98,4.98,4.84,4.89,186300,4.80
2015-09-29,4.89,5.00,4.82,4.83,373100,4.742
2015-09-30,4.84,4.99,4.83,4.95,283300,4.859
2015-10-01,5.00,5.01,4.94,4.95,124100,4.859
2015-10-02,4.95,5.18,4.94,5.16,240800,5.065
2015-10-05,5.18,5.27,5.17,5.18,124000,5.085
2015-10-06,5.17,5.25,5.135,5.20,379600,5.105
2015-10-07,5.23,5.26,5.02,5.07,251600,4.977
2015-10-08,5.07,5.17,5.06,5.15,135600,5.056
2015-10-09,5.21,5.26,5.11,5.18,259400,5.085
2015-10-12,5.19,5.23,5.15,5.18,152100,5.085
2015-10-13,4.30,4.30,3.87,4.00,1980800,3.927
2015-10-14,3.99,3.99,3.72,3.76,912300,3.691
2015-10-15,3.76,3.76,3.55,3.65,2054800,3.583
2015-10-16,3.80,3.84,3.72,3.81,2035700,3.74
2015-10-19,3.85,4.07,3.80,4.03,527900,3.956
2015-10-20,4.03,4.30,4.00,4.30,482500,4.221
2015-10-21,4.30,4.30,4.12,4.19,427100,4.113
2015-10-22,4.22,4.35,4.18,4.21,444300,4.133
2015-10-23,4.23,4.30,4.22,4.29,283000,4.211
2015-10-26,4.30,4.34,4.12,4.18,553400,4.103
2015-10-27,4.20,4.29,3.99,4.02,401200,3.946
2015-10-28,4.02,4.02,3.88,3.90,486400,3.829
2015-10-29,3.92,3.98,3.90,3.90,240100,3.829
2015-10-30,3.90,4.05,3.90,3.99,104600,3.917
2015-11-02,4.00,4.00,3.91,3.95,199800,3.878
2015-11-03,4.00,4.00,3.90,3.90,525700,3.829
2015-11-04,3.98,3.98,3.86,3.86,126000,3.789
2015-11-05,3.86,4.08,3.81,4.02,261600,3.946
2015-11-06,4.05,4.05,3.97,4.04,140700,3.966
2015-11-09,4.06,4.13,4.00,4.00,116300,3.927
2015-11-10,4.10,4.10,3.97,4.05,128100,3.976
2015-11-11,4.05,4.05,3.98,4.00,173200,3.927
2015-11-12,4.00,4.03,3.97,4.02,119900,3.946
2015-11-13,4.00,4.03,3.97,3.97,274100,3.897
2015-11-16,4.00,4.29,3.96,4.17,368100,4.094
2015-11-17,4.12,4.20,4.12,4.15,2481600,4.074
2015-11-18,4.16,4.16,4.10,4.16,95700,4.084
2015-11-19,4.16,4.33,4.16,4.33,189700,4.251
2015-11-20,4.31,4.70,4.30,4.70,231600,4.614
2015-11-23,4.60,4.80,4.58,4.73,558200,4.643
2015-11-24,4.72,4.72,4.30,4.30,401000,4.221
2015-11-25,4.59,4.59,4.14,4.26,141000,4.182
2015-11-26,4.27,4.30,4.21,4.25,106000,4.172
2015-11-27,4.25,4.35,4.16,4.20,852900,4.123
2015-11-30,4.20,4.20,4.10,4.11,135200,4.035
2015-12-01,4.13,4.20,4.13,4.18,257200,4.103
2015-12-02,4.18,4.18,4.10,4.10,100100,4.025
2015-12-03,4.11,4.15,4.10,4.10,86600,4.025
2015-12-04,4.10,4.10,4.01,4.04,70700,3.966
2015-12-07,4.04,4.04,3.92,4.00,218200,3.927
2015-12-08,4.05,4.05,4.02,4.05,326800,3.976
2015-12-09,4.01,4.04,4.00,4.03,272400,3.956
2015-12-10,4.04,4.04,3.93,4.04,469200,3.966
2015-12-11,4.03,4.06,4.00,4.06,94200,3.986
2015-12-14,4.06,4.08,3.93,3.94,612000,3.868
2015-12-15,3.98,4.09,3.96,4.09,264400,4.015
2015-12-16,4.07,4.22,4.06,4.22,291200,4.143
2015-12-17,4.00,4.18,3.99,4.16,306000,4.084
2015-12-18,4.11,4.24,4.09,4.19,512600,4.113
2015-12-21,4.20,4.20,4.04,4.07,87400,3.995
2015-12-22,4.10,4.19,4.05,4.19,167600,4.113
2015-12-23,4.19,4.19,4.10,4.10,27100,4.025
2015-12-24,4.14,4.16,4.11,4.16,12500,4.084
2015-12-25,4.16,4.16,4.16,4.16,000,4.084
2015-12-28,4.16,4.16,4.16,4.16,000,4.084
2015-12-29,4.13,4.17,4.08,4.17,47200,4.094
2015-12-30,4.17,4.23,4.11,4.21,96300,4.133
2015-12-31,4.22,4.30,4.19,4.30,36400,4.221
2016-01-01,4.30,4.30,4.30,4.30,000,4.221
2016-01-04,4.25,4.29,4.19,4.28,310300,4.202
2016-01-05,4.27,4.35,4.25,4.35,79600,4.27
2016-01-06,4.35,4.355,4.20,4.25,167800,4.172
2016-01-07,4.25,4.25,4.05,4.18,360700,4.103
2016-01-08,4.14,4.16,4.08,4.15,120400,4.074
2016-01-11,4.14,4.16,4.04,4.07,180800,3.995
2016-01-12,4.08,4.16,4.05,4.12,122000,4.045
2016-01-13,4.14,4.15,4.05,4.12,64100,4.045
2016-01-14,4.08,4.19,4.03,4.16,173400,4.084
2016-01-15,4.17,4.20,4.04,4.15,89200,4.074
2016-01-18,4.10,4.12,4.05,4.10,278200,4.025
2016-01-19,4.10,4.205,4.09,4.13,277200,4.054
2016-01-20,4.15,4.39,4.15,4.32,145900,4.241
2016-01-21,4.32,4.35,4.25,4.31,100200,4.231
2016-01-22,4.30,4.31,4.10,4.21,311900,4.133
2016-01-25,4.23,4.30,4.23,4.28,104500,4.202
2016-01-26,4.28,4.28,4.28,4.28,000,4.202
2016-01-27,4.31,4.31,4.20,4.28,100000,4.202
2016-01-28,4.30,4.34,4.26,4.29,76100,4.211
2016-01-29,4.28,4.30,4.19,4.29,72100,4.211
2016-02-01,4.29,4.31,4.20,4.27,135400,4.192
2016-02-02,4.26,4.29,4.23,4.24,296400,4.162
2016-02-03,4.23,4.25,4.14,4.15,64500,4.074
2016-02-04,4.17,4.27,4.13,4.17,153800,4.094
2016-02-05,4.18,4.24,4.15,4.21,100700,4.133
2016-02-08,4.20,4.30,4.18,4.30,317200,4.221
2016-02-09,4.29,4.34,4.25,4.31,166800,4.231
2016-02-10,4.32,4.32,4.18,4.26,190400,4.182
2016-02-11,4.29,4.42,4.27,4.40,134300,4.319
2016-02-12,4.45,4.45,4.23,4.36,111700,4.28
2016-02-15,4.32,4.36,4.20,4.24,89100,4.162
2016-02-16,4.09,4.15,3.83,4.08,746100,4.005
2016-02-17,4.20,4.20,3.98,3.98,135500,3.907
2016-02-18,4.05,4.28,4.00,4.23,312000,4.152
2016-02-19,4.26,4.26,4.16,4.20,205400,4.123
2016-02-22,4.20,4.31,4.20,4.27,183100,4.192
2016-02-23,4.27,4.58,4.25,4.54,391600,4.457
2016-02-24,4.52,4.54,4.39,4.45,222400,4.368
2016-02-25,4.44,4.50,4.42,4.45,238300,4.368
2016-02-26,4.40,4.44,4.235,4.40,325800,4.319
2016-02-29,4.39,4.48,4.32,4.40,314000,4.319
2016-03-01,4.44,4.47,4.40,4.43,141800,4.349
2016-03-02,4.46,4.48,4.36,4.38,258500,4.30
2016-03-03,4.40,4.64,4.39,4.57,517400,4.486
2016-03-04,4.60,4.65,4.56,4.58,137700,4.496
2016-03-07,4.61,4.66,4.58,4.60,102300,4.516
2016-03-08,4.61,4.65,4.54,4.55,192200,4.467
2016-03-09,4.55,4.59,4.51,4.56,122500,4.476
2016-03-10,4.56,4.59,4.53,4.53,64400,4.447
2016-03-11,4.52,4.58,4.50,4.51,101900,4.427
2016-03-14,4.55,4.70,4.50,4.51,396600,4.427
2016-03-15,4.56,4.56,4.50,4.53,113800,4.447
2016-03-16,4.53,4.56,4.50,4.53,92900,4.447
2016-03-17,4.53,4.54,4.48,4.50,317600,4.418
2016-03-18,4.56,4.57,4.49,4.57,59000,4.486
2016-03-21,4.60,4.65,4.55,4.55,143600,4.467
2016-03-22,4.60,4.60,4.50,4.57,51600,4.486
2016-03-23,4.57,4.62,4.46,4.50,91800,4.418
2016-03-24,4.51,4.54,4.45,4.51,107900,4.427
2016-03-25,4.51,4.51,4.51,4.51,000,4.427
2016-03-28,4.51,4.51,4.51,4.51,000,4.427
2016-03-29,4.47,4.50,4.43,4.49,113200,4.408
2016-03-30,4.45,4.54,4.44,4.51,50300,4.427
2016-03-31,4.45,4.60,4.45,4.54,134400,4.457
2016-04-01,4.52,4.60,4.48,4.55,118100,4.467
2016-04-04,4.53,4.55,4.44,4.50,208700,4.418
2016-04-05,4.50,4.50,4.23,4.29,136700,4.211
2016-04-06,4.29,4.37,4.17,4.30,165500,4.30
2016-04-07,4.30,4.38,4.17,4.28,106500,4.28
2016-04-08,4.25,4.27,4.14,4.20,121500,4.20
2016-04-11,4.20,4.33,4.18,4.30,156500,4.30
2016-04-12,4.27,4.27,4.20,4.24,87500,4.24
2016-04-13,4.25,4.49,4.245,4.44,381900,4.44
2016-04-14,4.44,4.48,4.38,4.44,93600,4.44
2016-04-15,4.46,4.46,4.40,4.44,29200,4.44


2016-04-18,4.44,4.45,4.38,4.40,66300,4.40
2016-04-19,4.44,4.44,4.38,4.44,56300,4.44
2016-04-20,4.43,4.59,4.42,4.52,185000,4.52
2016-04-21,4.55,4.75,4.52,4.69,1265500,4.69
2016-04-22,4.60,4.72,4.60,4.68,135700,4.68


2016-04-25,4.68,4.68,4.68,4.68,000,4.68
2016-04-26,4.67,4.76,4.65,4.73,390300,4.73
2016-04-27,4.71,4.72,4.62,4.66,123200,4.66
2016-04-28,4.68,4.80,4.67,4.76,110900,4.76
2016-04-29,4.77,4.77,4.70,4.75,187200,4.75


2016-05-02,4.78,5.12,4.76,5.05,1281200,5.05
2016-05-03,5.07,5.10,4.89,4.90,188200,4.90
2016-05-04,4.89,5.30,4.89,5.29,857200,5.29
2016-05-05,5.27,5.29,5.14,5.22,98800,5.22
