Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.04,0.04,0.04,0.04,000,0.04
2015-01-02,0.039,0.04,0.038,0.04,163500,0.04
2015-01-05,0.038,0.039,0.038,0.039,27700,0.039
2015-01-06,0.041,0.041,0.04,0.04,55000,0.04
2015-01-07,0.039,0.039,0.039,0.039,186200,0.039
2015-01-08,0.039,0.039,0.038,0.039,152400,0.039
2015-01-09,0.039,0.039,0.039,0.039,28000,0.039
2015-01-12,0.039,0.039,0.039,0.039,50400,0.039
2015-01-13,0.04,0.041,0.037,0.037,463500,0.037
2015-01-14,0.038,0.038,0.038,0.038,88100,0.038
2015-01-15,0.038,0.04,0.037,0.04,185200,0.04
2015-01-16,0.039,0.039,0.037,0.039,202500,0.039
2015-01-19,0.037,0.037,0.037,0.037,354900,0.037
2015-01-20,0.036,0.038,0.036,0.037,50100,0.037
2015-01-21,0.038,0.038,0.036,0.036,133500,0.036
2015-01-22,0.036,0.036,0.035,0.035,485400,0.035
2015-01-23,0.035,0.037,0.035,0.037,468600,0.037
2015-01-26,0.037,0.037,0.037,0.037,000,0.037
2015-01-27,0.037,0.037,0.037,0.037,3600,0.037
2015-01-28,0.039,0.039,0.039,0.039,164500,0.039
2015-01-29,0.039,0.039,0.035,0.035,418200,0.035
2015-01-30,0.036,0.038,0.036,0.036,99200,0.036
2015-02-02,0.036,0.037,0.036,0.037,163800,0.037
2015-02-03,0.036,0.037,0.036,0.037,45800,0.037
2015-02-04,0.037,0.038,0.037,0.038,431200,0.038
2015-02-05,0.037,0.039,0.036,0.037,1103100,0.037
2015-02-06,0.037,0.037,0.036,0.036,55100,0.036
2015-02-09,0.038,0.038,0.037,0.037,140100,0.037
2015-02-10,0.037,0.039,0.037,0.037,315000,0.037
2015-02-11,0.037,0.039,0.037,0.038,65000,0.038
2015-02-12,0.038,0.039,0.037,0.039,33800,0.039
2015-02-13,0.037,0.041,0.037,0.041,908900,0.041
2015-02-16,0.041,0.041,0.041,0.041,000,0.041
2015-02-17,0.039,0.04,0.039,0.04,143100,0.04
2015-02-18,0.04,0.04,0.039,0.039,195200,0.039
2015-02-19,0.038,0.039,0.038,0.039,74400,0.039
2015-02-20,0.04,0.041,0.039,0.04,287400,0.04
2015-02-23,0.039,0.04,0.039,0.04,71600,0.04
2015-02-24,0.039,0.04,0.039,0.039,118700,0.039
2015-02-25,0.038,0.041,0.038,0.041,434300,0.041
2015-02-26,0.041,0.041,0.038,0.039,679200,0.039
2015-02-27,0.038,0.039,0.038,0.038,34000,0.038
2015-03-02,0.038,0.04,0.038,0.04,401800,0.04
2015-03-03,0.04,0.04,0.039,0.039,17400,0.039
2015-03-04,0.039,0.039,0.038,0.038,622700,0.038
2015-03-05,0.038,0.039,0.038,0.038,41200,0.038
2015-03-06,0.038,0.038,0.037,0.037,120300,0.037
2015-03-09,0.037,0.037,0.037,0.037,000,0.037
2015-03-10,0.037,0.037,0.035,0.035,155000,0.035
2015-03-11,0.035,0.036,0.034,0.035,834800,0.035
2015-03-12,0.035,0.035,0.033,0.034,439400,0.034
2015-03-13,0.034,0.034,0.033,0.034,436300,0.034
2015-03-16,0.034,0.036,0.034,0.036,158700,0.036
2015-03-17,0.038,0.038,0.036,0.037,500100,0.037
2015-03-18,0.037,0.037,0.035,0.035,190900,0.035
2015-03-19,0.035,0.037,0.035,0.037,453300,0.037
2015-03-20,0.037,0.037,0.034,0.036,332400,0.036
2015-03-23,0.035,0.036,0.034,0.036,458200,0.036
2015-03-24,0.036,0.036,0.036,0.036,000,0.036
2015-03-25,0.035,0.036,0.035,0.036,326100,0.036
2015-03-26,0.035,0.036,0.035,0.035,326300,0.035
2015-03-27,0.035,0.037,0.035,0.037,516600,0.037
2015-03-30,0.035,0.036,0.035,0.036,14500,0.036
2015-03-31,0.035,0.036,0.034,0.034,207400,0.034
2015-04-01,0.035,0.035,0.035,0.035,108700,0.035
2015-04-02,0.035,0.036,0.034,0.035,135000,0.035
2015-04-03,0.035,0.035,0.035,0.035,000,0.035
2015-04-06,0.035,0.035,0.035,0.035,000,0.035
2015-04-07,0.034,0.037,0.034,0.037,512400,0.037
2015-04-08,0.037,0.037,0.035,0.036,181300,0.036
2015-04-09,0.036,0.044,0.036,0.044,1797000,0.044
2015-04-10,0.046,0.049,0.044,0.047,1505100,0.047
2015-04-13,0.047,0.049,0.046,0.047,887600,0.047
2015-04-14,0.047,0.047,0.046,0.047,165800,0.047
2015-04-15,0.048,0.051,0.046,0.047,223400,0.047
2015-04-16,0.049,0.049,0.044,0.044,510000,0.044
2015-04-17,0.043,0.047,0.043,0.045,305000,0.045
2015-04-20,0.044,0.045,0.043,0.045,308900,0.045
2015-04-21,0.045,0.045,0.043,0.043,120500,0.043
2015-04-22,0.043,0.045,0.04,0.042,502100,0.042
2015-04-23,0.04,0.041,0.04,0.041,66700,0.041
2015-04-24,0.043,0.043,0.041,0.041,503200,0.041
2015-04-27,0.041,0.043,0.041,0.041,169400,0.041
2015-04-28,0.042,0.043,0.041,0.043,276600,0.043
2015-04-29,0.043,0.043,0.041,0.042,118100,0.042
