Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.06,0.06,0.06,0.06,000,0.06
2015-01-02,0.06,0.06,0.06,0.06,000,0.06
2015-01-05,0.06,0.06,0.06,0.06,000,0.06
2015-01-06,0.06,0.06,0.06,0.06,000,0.06
2015-01-07,0.06,0.06,0.06,0.06,000,0.06
2015-01-08,0.06,0.06,0.06,0.06,000,0.06
2015-01-09,0.06,0.06,0.06,0.06,000,0.06
2015-01-12,0.05,0.05,0.05,0.05,10000,0.05
2015-01-13,0.05,0.05,0.05,0.05,000,0.05
2015-01-14,0.05,0.05,0.05,0.05,000,0.05
2015-01-15,0.042,0.042,0.042,0.042,25700,0.042
2015-01-16,0.042,0.042,0.042,0.042,3400,0.042
2015-01-19,0.042,0.042,0.042,0.042,000,0.042
2015-01-20,0.042,0.042,0.042,0.042,000,0.042
2015-01-21,0.042,0.042,0.042,0.042,000,0.042
2015-01-22,0.042,0.042,0.042,0.042,000,0.042
2015-01-23,0.042,0.042,0.042,0.042,000,0.042
2015-01-26,0.042,0.042,0.042,0.042,000,0.042
2015-01-27,0.042,0.042,0.042,0.042,000,0.042
2015-01-28,0.03,0.03,0.03,0.03,70000,0.03
2015-01-29,0.03,0.03,0.03,0.03,000,0.03
2015-01-30,0.03,0.03,0.03,0.03,000,0.03
2015-02-02,0.03,0.03,0.03,0.03,000,0.03
2015-02-03,0.03,0.03,0.03,0.03,000,0.03
2015-02-04,0.03,0.03,0.03,0.03,000,0.03
2015-02-05,0.03,0.03,0.03,0.03,000,0.03
2015-02-06,0.03,0.03,0.03,0.03,000,0.03
2015-02-09,0.03,0.03,0.03,0.03,000,0.03
2015-02-10,0.035,0.035,0.035,0.035,30000,0.035
2015-02-11,0.035,0.035,0.035,0.035,12600,0.035
2015-02-12,0.035,0.035,0.035,0.035,000,0.035
2015-02-13,0.035,0.035,0.035,0.035,000,0.035
2015-02-16,0.035,0.035,0.035,0.035,000,0.035
2015-02-17,0.035,0.035,0.035,0.035,000,0.035
2015-02-18,0.035,0.035,0.035,0.035,000,0.035
2015-02-19,0.035,0.035,0.035,0.035,000,0.035
2015-02-20,0.035,0.035,0.035,0.035,000,0.035
2015-02-23,0.035,0.035,0.035,0.035,000,0.035
2015-02-24,0.043,0.043,0.04,0.04,67000,0.04
2015-02-25,0.043,0.043,0.043,0.043,75000,0.043
2015-02-26,0.043,0.043,0.04,0.043,45000,0.043
2015-02-27,0.043,0.043,0.043,0.043,000,0.043
2015-03-02,0.043,0.043,0.043,0.043,000,0.043
2015-03-03,0.043,0.043,0.043,0.043,000,0.043
2015-03-04,0.043,0.043,0.043,0.043,000,0.043
2015-03-05,0.043,0.043,0.043,0.043,000,0.043
2015-03-06,0.043,0.043,0.043,0.043,000,0.043
2015-03-09,0.043,0.043,0.043,0.043,000,0.043
2015-03-10,0.043,0.043,0.043,0.043,000,0.043
2015-03-11,0.04,0.046,0.04,0.046,1403900,0.046
2015-03-12,0.05,0.05,0.05,0.05,76000,0.05
2015-03-13,0.05,0.052,0.05,0.05,91300,0.05
2015-03-16,0.05,0.05,0.05,0.05,000,0.05
2015-03-17,0.05,0.05,0.05,0.05,000,0.05
2015-03-18,0.05,0.05,0.05,0.05,000,0.05
2015-03-19,0.05,0.05,0.05,0.05,000,0.05
2015-03-20,0.05,0.05,0.05,0.05,000,0.05
2015-03-23,0.05,0.05,0.05,0.05,000,0.05
2015-03-24,0.05,0.05,0.05,0.05,000,0.05
2015-03-25,0.05,0.05,0.05,0.05,000,0.05
2015-03-26,0.05,0.05,0.05,0.05,000,0.05
2015-03-27,0.05,0.05,0.05,0.05,000,0.05
2015-03-30,0.05,0.05,0.05,0.05,000,0.05
2015-03-31,0.05,0.05,0.05,0.05,000,0.05
2015-04-01,0.05,0.05,0.05,0.05,000,0.05
2015-04-02,0.045,0.045,0.045,0.045,64000,0.045
2015-04-03,0.045,0.045,0.045,0.045,000,0.045
2015-04-06,0.045,0.045,0.045,0.045,000,0.045
2015-04-07,0.045,0.045,0.045,0.045,000,0.045
2015-04-08,0.045,0.048,0.045,0.048,51000,0.048
2015-04-09,0.048,0.048,0.045,0.045,29000,0.045
2015-04-10,0.045,0.045,0.045,0.045,000,0.045
2015-04-13,0.045,0.045,0.045,0.045,000,0.045
2015-04-14,0.045,0.045,0.045,0.045,000,0.045
2015-04-15,0.043,0.043,0.043,0.043,50000,0.043
2015-04-16,0.043,0.045,0.043,0.045,180000,0.045
2015-04-17,0.045,0.045,0.045,0.045,000,0.045
2015-04-20,0.04,0.04,0.04,0.04,5700,0.04
2015-04-21,0.04,0.042,0.04,0.042,109300,0.042
2015-04-22,0.042,0.042,0.042,0.042,000,0.042
2015-04-23,0.039,0.039,0.036,0.038,355000,0.038
2015-04-24,0.042,0.042,0.042,0.042,50900,0.042
2015-04-27,0.042,0.042,0.042,0.042,000,0.042
2015-04-28,0.042,0.042,0.042,0.042,000,0.042
2015-04-29,0.038,0.04,0.038,0.04,125100,0.04
2015-04-30,0.04,0.04,0.04,0.04,000,0.04
2015-05-01,0.04,0.04,0.04,0.04,000,0.04
2015-05-04,0.035,0.035,0.035,0.035,70000,0.035
2015-05-05,0.035,0.035,0.035,0.035,45000,0.035
2015-05-06,0.035,0.035,0.035,0.035,55000,0.035
2015-05-07,0.04,0.04,0.04,0.04,115000,0.04
2015-05-08,0.04,0.04,0.04,0.04,000,0.04
2015-05-11,0.038,0.038,0.038,0.038,20000,0.038
2015-05-12,0.038,0.038,0.038,0.038,000,0.038
2015-05-13,0.038,0.038,0.038,0.038,000,0.038
2015-05-14,0.04,0.04,0.04,0.04,15000,0.04
2015-05-15,0.04,0.04,0.04,0.04,000,0.04
2015-05-18,0.04,0.04,0.04,0.04,000,0.04
2015-05-19,0.04,0.04,0.04,0.04,20000,0.04
2015-05-20,0.032,0.032,0.032,0.032,28800,0.032
2015-05-21,0.032,0.032,0.032,0.032,000,0.032
