Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.69,5.69,5.69,5.69,000,5.4885
2015-01-02,5.64,5.81,5.61,5.80,1781300,5.5946
2015-01-05,5.75,5.87,5.74,5.81,3037400,5.60425
2015-01-06,5.77,5.80,5.69,5.73,2523900,5.52708
2015-01-07,5.72,5.81,5.71,5.78,4432200,5.57531
2015-01-08,5.85,5.87,5.775,5.81,3817000,5.60425
2015-01-09,5.92,5.92,5.82,5.90,3530000,5.69106
2015-01-12,5.90,5.92,5.80,5.86,1804000,5.65248
2015-01-13,5.80,5.86,5.77,5.84,2038300,5.63319
2015-01-14,5.88,5.93,5.82,5.85,4441500,5.64283
2015-01-15,5.82,5.88,5.80,5.80,4358300,5.5946
2015-01-16,5.80,5.84,5.74,5.79,2378200,5.58496
2015-01-19,5.81,5.83,5.76,5.81,4059500,5.60425
2015-01-20,5.78,5.86,5.75,5.82,2863800,5.61389
2015-01-21,5.88,5.96,5.85,5.96,2511700,5.74894
2015-01-22,5.93,5.94,5.86,5.87,3827000,5.66212
2015-01-23,5.97,6.11,5.95,6.07,5673400,5.85504
2015-01-26,6.07,6.07,6.07,6.07,000,5.85504
2015-01-27,6.06,6.195,6.05,6.17,5243800,5.9515
2015-01-28,6.15,6.19,6.07,6.12,3145700,5.90327
2015-01-29,6.12,6.175,6.03,6.03,4091600,5.81646
2015-01-30,6.15,6.20,6.07,6.13,4018700,5.91292
2015-02-02,6.16,6.24,6.14,6.20,2261700,5.98044
2015-02-03,6.17,6.48,6.17,6.41,6366900,6.183
2015-02-04,6.58,6.58,6.30,6.44,8869600,6.21194
2015-02-05,6.44,6.60,6.40,6.60,7171100,6.36627
2015-02-06,6.62,6.62,6.485,6.51,4015500,6.27946
2015-02-09,6.37,6.47,6.30,6.47,4608100,6.24087
2015-02-10,6.49,6.495,6.34,6.45,3573200,6.22158
2015-02-11,6.59,6.59,6.44,6.50,3764900,6.26981
2015-02-12,6.62,6.63,6.47,6.49,7404100,6.26017
2015-02-13,6.52,6.56,6.46,6.47,6989900,6.24087
2015-02-16,6.47,6.52,6.33,6.36,4825800,6.13477
2015-02-17,6.38,6.465,6.30,6.33,3700600,6.10583
2015-02-18,6.37,6.45,6.28,6.42,5588500,6.19265
2015-02-19,6.47,6.47,6.24,6.27,4974800,6.04796
2015-02-20,6.26,6.29,6.17,6.18,6600700,5.96114
2015-02-23,6.16,6.31,6.12,6.25,3687500,6.02867
2015-02-24,6.31,6.39,6.18,6.22,6475300,5.99973
2015-02-25,6.23,6.29,6.19,6.22,5546000,5.99973
2015-02-26,6.23,6.24,6.15,6.15,4780900,5.93221
2015-02-27,6.20,6.29,6.15,6.24,3847200,6.01902
2015-03-02,6.33,6.37,6.25,6.34,5774600,6.11548
2015-03-03,6.41,6.48,6.30,6.36,4251400,6.13477
2015-03-04,6.40,6.42,6.32,6.37,3238200,6.14442
2015-03-05,6.37,6.38,6.21,6.38,4928200,6.15406
2015-03-06,6.40,6.43,6.31,6.41,3304900,6.183
2015-03-09,6.25,6.30,6.115,6.15,6261800,5.93221
2015-03-10,6.15,6.16,6.08,6.08,5959800,5.86469
2015-03-11,6.08,6.12,6.05,6.09,5876200,5.87433
2015-03-12,6.10,6.21,6.09,6.20,4399700,5.98044
2015-03-13,6.24,6.265,6.11,6.14,3018800,5.92256
2015-03-16,6.12,6.155,6.07,6.14,2014200,5.92256
2015-03-17,6.20,6.215,6.12,6.12,3652300,5.90327
2015-03-18,6.13,6.15,6.01,6.06,6818400,5.84539
2015-03-19,6.28,6.28,6.215,6.24,13841100,6.01902
2015-03-20,6.21,6.24,6.17,6.20,13101800,5.98044
2015-03-23,6.25,6.29,6.18,6.25,3940200,6.02867
2015-03-24,6.30,6.33,6.225,6.32,3833300,6.09619
2015-03-25,6.37,6.37,6.19,6.23,5437500,6.00937
2015-03-26,6.15,6.25,6.13,6.13,6911700,5.91292
2015-03-27,6.18,6.30,6.15,6.26,7727900,6.03831
2015-03-30,6.15,6.23,6.15,6.22,5527900,5.99973
2015-03-31,6.30,6.45,6.29,6.35,10780400,6.12512
2015-04-01,6.29,6.36,6.27,6.29,8571900,6.06725
2015-04-02,6.33,6.42,6.32,6.38,3905900,6.15406
2015-04-03,6.38,6.38,6.38,6.38,000,6.15406
2015-04-06,6.38,6.38,6.38,6.38,000,6.15406
2015-04-07,6.46,6.47,6.36,6.41,5147400,6.183
2015-04-08,6.40,6.425,6.325,6.42,4934900,6.19265
2015-04-09,6.40,6.405,6.35,6.38,3770400,6.15406
2015-04-10,6.41,6.50,6.355,6.50,4614300,6.26981
2015-04-13,6.50,6.545,6.45,6.45,3725100,6.22158
2015-04-14,6.45,6.49,6.37,6.39,2810100,6.16371
2015-04-15,6.46,6.46,6.36,6.45,5153800,6.22158
2015-04-16,6.47,6.53,6.39,6.49,3891400,6.26017
2015-04-17,6.51,6.53,6.26,6.31,7143800,6.08654
2015-04-20,6.24,6.35,6.17,6.33,2911200,6.10583
2015-04-21,6.40,6.44,6.35,6.44,4824400,6.21194
2015-04-22,6.40,6.41,6.27,6.30,4988100,6.0769
2015-04-23,6.30,6.32,6.22,6.25,2697500,6.02867
2015-04-24,6.35,6.35,6.29,6.32,3843600,6.09619
2015-04-27,6.33,6.50,6.33,6.45,4239500,6.22158
2015-04-28,6.40,6.47,6.40,6.44,4762200,6.21194
2015-04-29,6.40,6.45,6.37,6.39,4922200,6.16371
2015-04-30,6.22,6.27,6.135,6.25,6693000,6.02867
2015-05-01,6.17,6.34,6.17,6.30,3864200,6.0769
2015-05-04,6.31,6.41,6.30,6.41,3542800,6.183
2015-05-05,6.45,6.50,6.32,6.38,4866700,6.15406
2015-05-06,6.32,6.38,6.17,6.20,7492700,5.98044
2015-05-07,6.11,6.23,6.08,6.14,10177200,5.92256
2015-05-08,6.27,6.27,6.14,6.22,4794500,5.99973
2015-05-11,6.35,6.35,6.17,6.17,3022200,5.9515
2015-05-12,6.15,6.23,6.09,6.21,6269800,5.99008
2015-05-13,6.28,6.28,6.11,6.14,6245300,5.92256
2015-05-14,6.11,6.19,6.10,6.18,3764800,5.96114
2015-05-15,6.30,6.31,6.20,6.29,3602500,6.06725
2015-05-18,6.22,6.31,6.22,6.23,3336600,6.00937
2015-05-19,6.29,6.31,6.20,6.21,4946800,5.99008
2015-05-20,6.25,6.305,6.20,6.25,3930500,6.02867
2015-05-21,6.25,6.34,6.23,6.31,4640900,6.08654
2015-05-22,6.38,6.39,6.31,6.38,2287500,6.15406
