Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.028,0.028,0.028,0.028,000,0.028
2015-01-02,0.028,0.028,0.028,0.028,000,0.028
2015-01-05,0.028,0.028,0.028,0.028,17400,0.028
2015-01-06,0.029,0.029,0.029,0.029,20000,0.029
2015-01-07,0.029,0.029,0.028,0.029,235300,0.029
2015-01-08,0.029,0.029,0.028,0.029,1659600,0.029
2015-01-09,0.029,0.029,0.029,0.029,000,0.029
2015-01-12,0.029,0.029,0.029,0.029,000,0.029
2015-01-13,0.029,0.029,0.029,0.029,000,0.029
2015-01-14,0.029,0.029,0.029,0.029,000,0.029
2015-01-15,0.029,0.029,0.029,0.029,000,0.029
2015-01-16,0.028,0.029,0.028,0.029,514900,0.029
2015-01-19,0.029,0.029,0.029,0.029,100000,0.029
2015-01-20,0.029,0.029,0.029,0.029,000,0.029
2015-01-21,0.029,0.029,0.029,0.029,000,0.029
2015-01-22,0.028,0.029,0.028,0.029,191300,0.029
2015-01-23,0.029,0.029,0.029,0.029,000,0.029
2015-01-26,0.029,0.029,0.029,0.029,000,0.029
2015-01-27,0.03,0.03,0.03,0.03,168100,0.03
2015-01-28,0.031,0.032,0.031,0.032,200000,0.032
2015-01-29,0.032,0.032,0.032,0.032,20000,0.032
2015-01-30,0.032,0.033,0.032,0.032,168100,0.032
2015-02-02,0.032,0.032,0.032,0.032,31800,0.032
2015-02-03,0.031,0.031,0.031,0.031,20000,0.031
2015-02-04,0.031,0.031,0.031,0.031,000,0.031
2015-02-05,0.031,0.031,0.031,0.031,130000,0.031
2015-02-06,0.031,0.031,0.031,0.031,000,0.031
2015-02-09,0.029,0.03,0.028,0.028,1650000,0.028
2015-02-10,0.028,0.028,0.028,0.028,200000,0.028
2015-02-11,0.028,0.032,0.028,0.032,233700,0.032
2015-02-12,0.032,0.032,0.032,0.032,000,0.032
2015-02-13,0.032,0.032,0.032,0.032,000,0.032
2015-02-16,0.032,0.032,0.032,0.032,15700,0.032
2015-02-17,0.032,0.032,0.032,0.032,000,0.032
2015-02-18,0.032,0.032,0.032,0.032,70000,0.032
2015-02-19,0.032,0.032,0.032,0.032,000,0.032
2015-02-20,0.032,0.032,0.032,0.032,25000,0.032
2015-02-23,0.032,0.032,0.032,0.032,000,0.032
2015-02-24,0.032,0.032,0.032,0.032,000,0.032
2015-02-25,0.032,0.032,0.032,0.032,000,0.032
2015-02-26,0.031,0.031,0.029,0.029,11700,0.029
2015-02-27,0.03,0.031,0.03,0.031,80000,0.031
2015-03-02,0.031,0.031,0.031,0.031,000,0.031
2015-03-03,0.031,0.031,0.031,0.031,000,0.031
2015-03-04,0.03,0.03,0.03,0.03,753200,0.03
2015-03-05,0.03,0.03,0.03,0.03,000,0.03
2015-03-06,0.03,0.03,0.03,0.03,396700,0.03
2015-03-09,0.03,0.03,0.029,0.029,240000,0.029
2015-03-10,0.03,0.03,0.029,0.029,760900,0.029
2015-03-11,0.028,0.028,0.027,0.028,3250000,0.028
2015-03-12,0.029,0.029,0.029,0.029,379000,0.029
2015-03-13,0.029,0.029,0.029,0.029,000,0.029
2015-03-16,0.03,0.032,0.03,0.032,224200,0.032
2015-03-17,0.032,0.032,0.032,0.032,000,0.032
2015-03-18,0.032,0.032,0.032,0.032,000,0.032
2015-03-19,0.032,0.032,0.032,0.032,000,0.032
2015-03-20,0.032,0.032,0.032,0.032,000,0.032
2015-03-23,0.032,0.032,0.032,0.032,000,0.032
2015-03-24,0.029,0.029,0.029,0.029,20000,0.029
2015-03-25,0.029,0.029,0.029,0.029,000,0.029
2015-03-26,0.029,0.029,0.029,0.029,000,0.029
2015-03-27,0.029,0.029,0.029,0.029,000,0.029
2015-03-30,0.031,0.031,0.031,0.031,32200,0.031
2015-03-31,0.031,0.031,0.031,0.031,000,0.031
2015-04-01,0.031,0.031,0.03,0.03,336500,0.03
2015-04-02,0.03,0.03,0.03,0.03,500000,0.03
2015-04-03,0.03,0.03,0.03,0.03,000,0.03
2015-04-06,0.03,0.03,0.03,0.03,000,0.03
2015-04-07,0.03,0.03,0.03,0.03,000,0.03
2015-04-08,0.03,0.03,0.03,0.03,66900,0.03
2015-04-09,0.03,0.03,0.03,0.03,170000,0.03
2015-04-10,0.029,0.029,0.029,0.029,25000,0.029
2015-04-13,0.029,0.029,0.028,0.029,563000,0.029
2015-04-14,0.03,0.03,0.03,0.03,900,0.03
2015-04-15,0.03,0.03,0.03,0.03,000,0.03
2015-04-16,0.028,0.032,0.028,0.032,885000,0.032
2015-04-17,0.032,0.032,0.029,0.03,265500,0.03
2015-04-20,0.03,0.03,0.03,0.03,000,0.03
2015-04-21,0.03,0.03,0.03,0.03,150000,0.03
2015-04-22,0.03,0.03,0.03,0.03,110000,0.03
2015-04-23,0.03,0.03,0.03,0.03,000,0.03
2015-04-24,0.03,0.03,0.03,0.03,000,0.03
2015-04-27,0.031,0.032,0.031,0.031,426100,0.031
2015-04-28,0.032,0.032,0.032,0.032,100000,0.032
2015-04-29,0.032,0.032,0.032,0.032,000,0.032
2015-04-30,0.031,0.031,0.031,0.031,17200,0.031
2015-05-01,0.032,0.032,0.032,0.032,200000,0.032
2015-05-04,0.032,0.032,0.032,0.032,64400,0.032
2015-05-05,0.033,0.037,0.033,0.037,1167900,0.037
2015-05-06,0.037,0.037,0.036,0.036,132000,0.036
2015-05-07,0.038,0.038,0.036,0.036,174900,0.036
2015-05-08,0.038,0.039,0.038,0.039,180000,0.039
2015-05-11,0.039,0.04,0.039,0.04,170000,0.04
2015-05-12,0.04,0.04,0.04,0.04,50000,0.04
2015-05-13,0.04,0.04,0.04,0.04,475000,0.04
2015-05-14,0.04,0.04,0.04,0.04,15200,0.04
2015-05-15,0.039,0.039,0.037,0.037,777000,0.037
2015-05-18,0.038,0.038,0.037,0.037,204700,0.037
2015-05-19,0.037,0.037,0.037,0.037,50000,0.037
2015-05-20,0.039,0.039,0.038,0.038,211900,0.038
2015-05-21,0.038,0.038,0.038,0.038,000,0.038
2015-05-22,0.039,0.039,0.039,0.039,327000,0.039
2015-05-25,0.039,0.039,0.039,0.039,000,0.039
2015-05-26,0.039,0.039,0.039,0.039,000,0.039
2015-05-27,0.038,0.038,0.038,0.038,187900,0.038
2015-05-28,0.038,0.038,0.038,0.038,000,0.038
2015-05-29,0.038,0.038,0.038,0.038,000,0.038
2015-06-01,0.038,0.038,0.038,0.038,000,0.038
2015-06-02,0.038,0.038,0.038,0.038,000,0.038
2015-06-03,0.038,0.038,0.038,0.038,50000,0.038
2015-06-04,0.038,0.038,0.038,0.038,000,0.038
2015-06-05,0.039,0.039,0.039,0.039,50000,0.039
2015-06-08,0.039,0.039,0.039,0.039,000,0.039
2015-06-09,0.039,0.039,0.039,0.039,000,0.039
2015-06-10,0.039,0.039,0.039,0.039,000,0.039
2015-06-11,0.039,0.039,0.039,0.039,000,0.039
2015-06-12,0.039,0.039,0.039,0.039,000,0.039
2015-06-15,0.037,0.037,0.037,0.037,31700,0.037
2015-06-16,0.037,0.037,0.037,0.037,000,0.037
2015-06-17,0.038,0.038,0.038,0.038,112400,0.038
2015-06-18,0.038,0.038,0.038,0.038,000,0.038
2015-06-19,0.038,0.038,0.038,0.038,137500,0.038
2015-06-22,0.038,0.038,0.038,0.038,25000,0.038
2015-06-23,0.038,0.038,0.038,0.038,720000,0.038
2015-06-24,0.038,0.038,0.038,0.038,000,0.038
2015-06-25,0.038,0.038,0.038,0.038,000,0.038
2015-06-26,0.039,0.039,0.039,0.039,128000,0.039
2015-06-29,0.038,0.038,0.038,0.038,150000,0.038
2015-06-30,0.038,0.039,0.038,0.039,267000,0.039
2015-07-01,0.04,0.04,0.038,0.038,265000,0.038
2015-07-02,0.038,0.038,0.038,0.038,000,0.038
2015-07-03,0.04,0.04,0.04,0.04,750000,0.04
2015-07-06,0.04,0.04,0.04,0.04,000,0.04
2015-07-07,0.04,0.04,0.04,0.04,000,0.04
2015-07-08,0.042,0.042,0.039,0.039,552100,0.039
2015-07-09,0.042,0.042,0.042,0.042,12000,0.042
2015-07-10,0.039,0.041,0.039,0.041,29700,0.041
2015-07-13,0.041,0.041,0.041,0.041,000,0.041
2015-07-14,0.04,0.04,0.04,0.04,250000,0.04
2015-07-15,0.041,0.044,0.041,0.044,793300,0.044
2015-07-16,0.044,0.044,0.044,0.044,203800,0.044
2015-07-17,0.044,0.046,0.043,0.046,560100,0.046
2015-07-20,0.046,0.046,0.046,0.046,50800,0.046
2015-07-21,0.046,0.047,0.046,0.046,278200,0.046
2015-07-22,0.046,0.046,0.046,0.046,000,0.046
2015-07-23,0.046,0.046,0.046,0.046,110000,0.046
2015-07-24,0.048,0.056,0.048,0.056,363700,0.056
2015-07-27,0.058,0.064,0.057,0.059,1691300,0.059
2015-07-28,0.059,0.061,0.059,0.061,500900,0.061
2015-07-29,0.064,0.078,0.063,0.078,2800300,0.078
2015-07-30,0.078,0.078,0.078,0.078,000,0.078
2015-07-31,0.078,0.078,0.072,0.072,718400,0.072
2015-08-03,0.074,0.077,0.074,0.077,930000,0.077
2015-08-04,0.076,0.076,0.074,0.074,406000,0.074
2015-08-05,0.073,0.073,0.063,0.067,3164800,0.067
2015-08-06,0.068,0.068,0.068,0.068,100000,0.068
2015-08-07,0.068,0.068,0.068,0.068,000,0.068
2015-08-10,0.068,0.071,0.067,0.07,473500,0.07
2015-08-11,0.07,0.07,0.07,0.07,000,0.07
2015-08-12,0.069,0.069,0.069,0.069,459500,0.069
2015-08-13,0.068,0.068,0.068,0.068,160000,0.068
2015-08-14,0.07,0.07,0.07,0.07,193100,0.07
2015-08-17,0.073,0.074,0.073,0.074,1077100,0.074
2015-08-18,0.074,0.074,0.074,0.074,300000,0.074
2015-08-19,0.071,0.071,0.071,0.071,200000,0.071
2015-08-20,0.071,0.071,0.071,0.071,75000,0.071
2015-08-21,0.071,0.071,0.068,0.068,225000,0.068
2015-08-24,0.068,0.068,0.068,0.068,226500,0.068
2015-08-25,0.068,0.069,0.066,0.066,523500,0.066
2015-08-26,0.067,0.067,0.065,0.065,68500,0.065
2015-08-27,0.065,0.065,0.065,0.065,183000,0.065
2015-08-28,0.065,0.065,0.065,0.065,000,0.065
2015-08-31,0.066,0.066,0.066,0.066,150000,0.066
2015-09-01,0.066,0.067,0.066,0.067,152600,0.067
2015-09-02,0.066,0.066,0.066,0.066,210000,0.066
2015-09-03,0.066,0.066,0.066,0.066,000,0.066
2015-09-04,0.066,0.066,0.066,0.066,100800,0.066
2015-09-07,0.066,0.066,0.066,0.066,000,0.066
2015-09-08,0.068,0.068,0.068,0.068,50000,0.068
2015-09-09,0.068,0.068,0.068,0.068,000,0.068
2015-09-10,0.065,0.065,0.065,0.065,150000,0.065
2015-09-11,0.065,0.065,0.065,0.065,000,0.065
2015-09-14,0.065,0.065,0.065,0.065,000,0.065
2015-09-15,0.065,0.065,0.065,0.065,000,0.065
2015-09-16,0.065,0.065,0.065,0.065,000,0.065
2015-09-17,0.065,0.065,0.065,0.065,000,0.065
2015-09-18,0.065,0.065,0.065,0.065,42700,0.065
2015-09-21,0.065,0.065,0.065,0.065,000,0.065
2015-09-22,0.064,0.064,0.064,0.064,189200,0.064
2015-09-23,0.064,0.064,0.064,0.064,000,0.064
2015-09-24,0.064,0.064,0.064,0.064,000,0.064
2015-09-25,0.064,0.064,0.064,0.064,000,0.064
2015-09-28,0.064,0.064,0.064,0.064,000,0.064
2015-09-29,0.064,0.064,0.064,0.064,10700,0.064
2015-09-30,0.063,0.064,0.063,0.064,1300000,0.064
2015-10-01,0.064,0.064,0.064,0.064,000,0.064
2015-10-02,0.064,0.064,0.064,0.064,000,0.064
2015-10-05,0.064,0.064,0.064,0.064,000,0.064
2015-10-06,0.064,0.064,0.064,0.064,000,0.064
2015-10-07,0.06,0.06,0.06,0.06,31700,0.06
2015-10-08,0.062,0.062,0.062,0.062,20000,0.062
2015-10-09,0.062,0.062,0.062,0.062,130000,0.062
2015-10-12,0.062,0.062,0.062,0.062,000,0.062
2015-10-13,0.062,0.062,0.062,0.062,000,0.062
2015-10-14,0.062,0.062,0.062,0.062,000,0.062
2015-10-15,0.061,0.061,0.061,0.061,131700,0.061
2015-10-16,0.061,0.061,0.061,0.061,000,0.061
2015-10-19,0.061,0.061,0.061,0.061,000,0.061
2015-10-20,0.061,0.061,0.061,0.061,000,0.061
2015-10-21,0.061,0.061,0.061,0.061,18200,0.061
2015-10-22,0.059,0.059,0.059,0.059,100000,0.059
2015-10-23,0.06,0.06,0.058,0.058,97700,0.058
2015-10-26,0.058,0.058,0.058,0.058,000,0.058
2015-10-27,0.058,0.058,0.058,0.058,260000,0.058
2015-10-28,0.058,0.058,0.058,0.058,000,0.058
2015-10-29,0.056,0.056,0.056,0.056,475000,0.056
2015-10-30,0.056,0.056,0.056,0.056,000,0.056
2015-11-02,0.056,0.056,0.056,0.056,000,0.056
2015-11-03,0.056,0.056,0.056,0.056,000,0.056
2015-11-04,0.056,0.056,0.056,0.056,000,0.056
2015-11-05,0.056,0.056,0.056,0.056,000,0.056
2015-11-06,0.056,0.056,0.056,0.056,000,0.056
2015-11-09,0.056,0.056,0.056,0.056,000,0.056
2015-11-10,0.056,0.056,0.056,0.056,000,0.056
2015-11-11,0.056,0.056,0.056,0.056,000,0.056
2015-11-12,0.056,0.056,0.056,0.056,000,0.056
2015-11-13,0.056,0.056,0.052,0.054,200000,0.054
2015-11-16,0.054,0.054,0.054,0.054,000,0.054
2015-11-17,0.055,0.055,0.055,0.055,20000,0.055
2015-11-18,0.055,0.055,0.055,0.055,000,0.055
2015-11-19,0.055,0.055,0.055,0.055,000,0.055
2015-11-20,0.055,0.055,0.055,0.055,000,0.055
2015-11-23,0.055,0.055,0.055,0.055,000,0.055
2015-11-24,0.055,0.055,0.055,0.055,000,0.055
2015-11-25,0.054,0.054,0.054,0.054,55000,0.054
2015-11-26,0.054,0.054,0.054,0.054,000,0.054
2015-11-27,0.056,0.056,0.056,0.056,900000,0.056
2015-11-30,0.057,0.057,0.056,0.056,150000,0.056
2015-12-01,0.056,0.056,0.056,0.056,000,0.056
2015-12-02,0.054,0.054,0.052,0.052,300000,0.052
2015-12-03,0.052,0.052,0.052,0.052,000,0.052
2015-12-04,0.052,0.052,0.052,0.052,000,0.052
2015-12-07,0.052,0.052,0.052,0.052,000,0.052
2015-12-08,0.052,0.052,0.052,0.052,000,0.052
2015-12-09,0.052,0.052,0.052,0.052,000,0.052
2015-12-10,0.052,0.052,0.052,0.052,000,0.052
2015-12-11,0.052,0.052,0.052,0.052,31000,0.052
2015-12-14,0.052,0.052,0.052,0.052,000,0.052
2015-12-15,0.052,0.052,0.052,0.052,000,0.052
2015-12-16,0.052,0.052,0.052,0.052,000,0.052
2015-12-17,0.052,0.052,0.052,0.052,000,0.052
2015-12-18,0.052,0.052,0.052,0.052,000,0.052
2015-12-21,0.052,0.052,0.052,0.052,000,0.052
2015-12-22,0.052,0.052,0.052,0.052,000,0.052
