Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.90,2.90,2.90,2.90,000,2.6766
2015-01-02,2.91,2.91,2.90,2.90,4500,2.6766
2015-01-05,2.90,2.90,2.90,2.90,000,2.6766
2015-01-06,2.90,2.90,2.90,2.90,000,2.6766
2015-01-07,2.90,2.90,2.90,2.90,000,2.6766
2015-01-08,2.90,2.90,2.90,2.90,000,2.6766
2015-01-09,2.90,2.90,2.90,2.90,10000,2.6766
2015-01-12,2.90,2.90,2.90,2.90,000,2.6766
2015-01-13,2.90,2.90,2.90,2.90,000,2.6766
2015-01-14,2.90,2.90,2.90,2.90,000,2.6766
2015-01-15,2.90,2.90,2.90,2.90,000,2.6766
2015-01-16,2.90,2.90,2.90,2.90,000,2.6766
2015-01-19,2.90,2.90,2.90,2.90,000,2.6766
2015-01-20,2.90,2.90,2.90,2.90,2200,2.6766
2015-01-21,2.90,2.90,2.90,2.90,000,2.6766
2015-01-22,2.90,2.90,2.90,2.90,000,2.6766
2015-01-23,2.97,2.97,2.97,2.97,300,2.74121
2015-01-26,2.97,2.97,2.97,2.97,000,2.74121
2015-01-27,2.97,2.97,2.97,2.97,000,2.74121
2015-01-28,2.91,2.91,2.91,2.91,1700,2.68583
2015-01-29,2.91,2.91,2.91,2.91,000,2.68583
2015-01-30,2.98,3.00,2.98,3.00,11700,2.7689
2015-02-02,3.00,3.00,3.00,3.00,000,2.7689
2015-02-03,3.00,3.00,3.00,3.00,000,2.7689
2015-02-04,3.08,3.08,3.08,3.08,5000,2.84274
2015-02-05,3.06,3.06,3.06,3.06,5000,2.82428
2015-02-06,3.06,3.06,3.06,3.06,11200,2.82428
2015-02-09,3.06,3.06,3.06,3.06,000,2.82428
2015-02-10,3.07,3.08,3.07,3.08,7500,2.84274
2015-02-11,3.08,3.08,3.08,3.08,10000,2.84274
2015-02-12,3.08,3.08,3.08,3.08,7000,2.84274
2015-02-13,3.02,3.02,3.02,3.02,3000,2.78736
2015-02-16,3.02,3.02,3.02,3.02,000,2.78736
2015-02-17,3.09,3.09,3.09,3.09,3300,2.85197
2015-02-18,3.09,3.09,3.09,3.09,000,2.85197
2015-02-19,3.09,3.09,3.09,3.09,000,2.85197
2015-02-20,3.09,3.10,3.09,3.09,21600,2.85197
2015-02-23,3.10,3.10,3.10,3.10,5000,2.8612
2015-02-24,3.10,3.10,3.10,3.10,2900,2.8612
2015-02-25,3.10,3.10,3.10,3.10,000,2.8612
2015-02-26,3.11,3.11,3.11,3.11,300,2.87043
2015-02-27,3.11,3.11,3.11,3.11,000,2.87043
2015-03-02,3.11,3.11,3.11,3.11,000,2.87043
2015-03-03,3.17,3.20,3.17,3.20,1700,2.95349
2015-03-04,3.20,3.20,3.20,3.20,000,2.95349
2015-03-05,3.23,3.23,3.23,3.23,1000,2.98118
2015-03-06,3.23,3.23,3.23,3.23,000,2.98118
2015-03-09,3.22,3.22,3.22,3.22,600,2.97195
2015-03-10,3.25,3.25,3.25,3.25,6000,2.99964
2015-03-11,3.20,3.30,3.20,3.29,13400,3.03656
2015-03-12,3.29,3.29,3.29,3.29,000,3.03656
2015-03-13,3.29,3.29,3.29,3.29,000,3.03656
2015-03-16,3.29,3.29,3.29,3.29,000,3.03656
2015-03-17,3.24,3.24,3.24,3.24,2100,2.99041
2015-03-18,3.20,3.24,3.20,3.24,2500,2.99041
2015-03-19,3.20,3.20,3.20,3.20,3200,2.95349
2015-03-20,3.20,3.20,3.20,3.20,000,2.95349
2015-03-23,3.20,3.20,3.20,3.20,000,2.95349
2015-03-24,3.24,3.24,3.24,3.24,8500,2.99041
2015-03-25,3.24,3.24,3.24,3.24,000,2.99041
2015-03-26,3.24,3.24,3.24,3.24,000,2.99041
2015-03-27,3.24,3.24,3.24,3.24,000,2.99041
2015-03-30,3.16,3.18,3.16,3.18,12000,2.93503
2015-03-31,3.20,3.20,3.17,3.17,1500,2.9258
2015-04-01,3.17,3.17,3.17,3.17,000,2.9258
2015-04-02,3.17,3.17,3.17,3.17,000,2.9258
2015-04-03,3.17,3.17,3.17,3.17,000,2.9258
2015-04-06,3.17,3.17,3.17,3.17,000,2.9258
2015-04-07,3.20,3.20,3.20,3.20,1900,2.95349
2015-04-08,3.15,3.16,3.15,3.16,3800,2.99685
2015-04-09,3.16,3.16,3.16,3.16,000,2.99685
2015-04-10,3.16,3.16,3.16,3.16,000,2.99685
2015-04-13,3.16,3.16,3.16,3.16,2000,2.99685
2015-04-14,3.16,3.16,3.16,3.16,000,2.99685
2015-04-15,3.16,3.16,3.16,3.16,000,2.99685
2015-04-16,3.16,3.16,3.16,3.16,000,2.99685
2015-04-17,3.16,3.16,3.16,3.16,000,2.99685
2015-04-20,3.11,3.12,3.11,3.12,3500,2.95891
2015-04-21,3.12,3.12,3.12,3.12,000,2.95891
2015-04-22,3.13,3.15,3.13,3.15,15500,2.98736
2015-04-23,3.20,3.20,3.20,3.20,3000,3.03478
2015-04-24,3.20,3.20,3.20,3.20,000,3.03478
2015-04-27,3.20,3.20,3.20,3.20,000,3.03478
2015-04-28,3.20,3.20,3.20,3.20,000,3.03478
2015-04-29,3.16,3.16,3.16,3.16,800,2.99685
2015-04-30,3.16,3.16,3.16,3.16,10000,2.99685
2015-05-01,3.16,3.16,3.16,3.16,000,2.99685
2015-05-04,3.14,3.15,3.14,3.15,300,2.98736
2015-05-05,3.15,3.15,3.15,3.15,000,2.98736
2015-05-06,3.15,3.15,3.15,3.15,000,2.98736
2015-05-07,3.16,3.16,3.15,3.15,13900,2.98736
2015-05-08,3.15,3.15,3.15,3.15,000,2.98736
2015-05-11,3.15,3.15,3.15,3.15,000,2.98736
2015-05-12,3.15,3.15,3.15,3.15,000,2.98736
2015-05-13,3.17,3.17,3.17,3.17,14200,3.00633
2015-05-14,3.17,3.17,3.17,3.17,000,3.00633
2015-05-15,3.10,3.10,3.10,3.10,2000,2.93995
2015-05-18,3.10,3.10,3.10,3.10,000,2.93995
2015-05-19,3.11,3.11,3.10,3.10,5300,2.93995
2015-05-20,3.10,3.10,3.10,3.10,18900,2.93995
2015-05-21,3.10,3.10,3.10,3.10,000,2.93995
2015-05-22,3.10,3.10,3.10,3.10,000,2.93995
2015-05-25,3.10,3.10,3.10,3.10,000,2.93995
2015-05-26,3.25,3.25,3.25,3.25,1500,3.0822
2015-05-27,3.25,3.25,3.25,3.25,000,3.0822
2015-05-28,3.25,3.25,3.25,3.25,000,3.0822
2015-05-29,3.19,3.19,3.19,3.19,3000,3.0253
2015-06-01,3.15,3.15,3.12,3.12,10000,2.95891
2015-06-02,3.12,3.12,3.12,3.12,000,2.95891
2015-06-03,3.12,3.12,3.12,3.12,000,2.95891
2015-06-04,3.12,3.12,3.10,3.10,7100,2.93995
2015-06-05,3.10,3.10,3.10,3.10,000,2.93995
2015-06-08,3.10,3.10,3.10,3.10,000,2.93995
2015-06-09,3.10,3.10,3.10,3.10,000,2.93995
2015-06-10,3.11,3.11,3.11,3.11,8400,2.94943
2015-06-11,3.11,3.11,3.11,3.11,000,2.94943
2015-06-12,3.11,3.11,3.11,3.11,000,2.94943
2015-06-15,3.11,3.11,3.11,3.11,000,2.94943
2015-06-16,3.19,3.19,3.19,3.19,1100,3.0253
2015-06-17,3.15,3.15,3.15,3.15,3800,2.98736
2015-06-18,3.05,3.05,3.05,3.05,1500,2.89253
2015-06-19,3.07,3.07,3.07,3.07,6700,2.91149
2015-06-22,3.07,3.07,3.07,3.07,000,2.91149
2015-06-23,3.08,3.08,3.08,3.08,1500,2.92098
2015-06-24,3.17,3.17,3.17,3.17,2100,3.00633
2015-06-25,3.17,3.17,3.17,3.17,000,3.00633
2015-06-26,3.08,3.08,3.08,3.08,3200,2.92098
2015-06-29,3.10,3.10,3.10,3.10,1500,2.93995
2015-06-30,3.10,3.10,3.10,3.10,000,2.93995
2015-07-01,3.10,3.10,3.10,3.10,000,2.93995
2015-07-02,3.10,3.10,3.10,3.10,000,2.93995
2015-07-03,3.10,3.10,3.10,3.10,000,2.93995
2015-07-06,3.10,3.10,3.10,3.10,000,2.93995
2015-07-07,3.10,3.10,3.10,3.10,000,2.93995
2015-07-08,3.10,3.10,3.10,3.10,000,2.93995
2015-07-09,3.10,3.10,3.10,3.10,000,2.93995
2015-07-10,3.10,3.10,3.10,3.10,000,2.93995
2015-07-13,3.10,3.10,3.10,3.10,000,2.93995
2015-07-14,3.20,3.20,3.20,3.20,6200,3.03478
2015-07-15,3.20,3.20,3.20,3.20,000,3.03478
2015-07-16,3.20,3.21,3.20,3.21,23000,3.04427
2015-07-17,3.21,3.21,3.21,3.21,000,3.04427
2015-07-20,3.21,3.21,3.21,3.21,000,3.04427
2015-07-21,3.20,3.20,3.20,3.20,15000,3.03478
2015-07-22,3.20,3.20,3.20,3.20,000,3.03478
2015-07-23,3.20,3.20,3.20,3.20,000,3.03478
2015-07-24,3.20,3.20,3.20,3.20,000,3.03478
2015-07-27,3.20,3.20,3.20,3.20,000,3.03478
2015-07-28,3.20,3.20,3.20,3.20,000,3.03478
2015-07-29,3.20,3.20,3.20,3.20,000,3.03478
2015-07-30,3.20,3.20,3.20,3.20,000,3.03478
2015-07-31,3.20,3.20,3.20,3.20,000,3.03478
2015-08-03,3.20,3.20,3.20,3.20,000,3.03478
2015-08-04,3.20,3.20,3.20,3.20,000,3.03478
2015-08-05,3.20,3.20,3.20,3.20,000,3.03478
2015-08-06,3.20,3.20,3.20,3.20,000,3.03478
2015-08-07,3.22,3.23,3.22,3.23,500,3.06323
2015-08-10,3.23,3.23,3.23,3.23,000,3.06323
2015-08-11,3.20,3.20,3.20,3.20,1200,3.03478
2015-08-12,3.20,3.20,3.20,3.20,000,3.03478
2015-08-13,3.09,3.09,3.09,3.09,1900,2.93046
2015-08-14,3.09,3.09,3.09,3.09,000,2.93046
2015-08-17,3.09,3.09,3.09,3.09,000,2.93046
2015-08-18,3.09,3.09,3.09,3.09,000,2.93046
2015-08-19,3.09,3.09,3.09,3.09,000,2.93046
2015-08-20,3.09,3.09,3.09,3.09,000,2.93046
2015-08-21,3.10,3.10,3.10,3.10,1100,2.93995
2015-08-24,3.01,3.01,2.96,2.96,6700,2.80717
2015-08-25,2.96,2.96,2.96,2.96,24800,2.80717
2015-08-26,2.96,2.96,2.96,2.96,000,2.80717
2015-08-27,2.91,2.91,2.91,2.91,1000,2.75976
2015-08-28,2.91,2.91,2.91,2.91,000,2.75976
2015-08-31,2.91,2.91,2.91,2.91,000,2.75976
2015-09-01,3.20,3.20,3.20,3.20,10000,3.03478
2015-09-02,3.20,3.20,3.20,3.20,3900,3.03478
2015-09-03,3.20,3.20,3.20,3.20,900,3.03478
2015-09-04,3.25,3.25,3.25,3.25,1500,3.0822
2015-09-07,3.25,3.25,3.25,3.25,000,3.0822
2015-09-08,3.25,3.25,3.25,3.25,000,3.0822
2015-09-09,3.20,3.20,3.20,3.20,000,3.03478
2015-09-10,3.00,3.00,3.00,3.00,4900,2.84511
2015-09-11,3.00,3.19,3.00,3.05,5700,2.89253
2015-09-14,3.05,3.05,3.05,3.05,000,2.89253
2015-09-15,3.05,3.05,3.05,3.05,000,2.89253
2015-09-16,3.05,3.05,3.05,3.05,000,2.89253
2015-09-17,3.05,3.05,3.05,3.05,000,2.89253
2015-09-18,3.05,3.05,3.05,3.05,000,2.89253
2015-09-21,3.08,3.08,3.06,3.08,13400,2.92098
2015-09-22,3.08,3.08,3.08,3.08,000,2.92098
2015-09-23,3.15,3.15,3.06,3.06,7700,2.90201
2015-09-24,3.15,3.15,3.09,3.09,5000,2.93046
2015-09-25,3.10,3.15,3.10,3.15,4400,2.98736
2015-09-28,3.19,3.22,3.19,3.22,4800,3.05375
2015-09-29,3.13,3.13,3.10,3.10,3000,2.93995
2015-09-30,3.20,3.20,3.20,3.20,900,3.03478
2015-10-01,3.20,3.30,3.20,3.30,500,3.12962
2015-10-02,3.45,3.45,3.45,3.45,23700,3.27187
2015-10-05,3.45,3.45,3.45,3.45,000,3.27187
2015-10-06,3.45,3.45,3.45,3.45,000,3.35522
2015-10-07,3.30,3.30,3.30,3.30,300,3.20934
2015-10-08,3.21,3.21,3.21,3.21,000,3.12181
2015-10-09,3.22,3.24,3.22,3.24,000,3.15099
2015-10-12,3.22,3.40,3.22,3.23,12600,3.14126
2015-10-13,3.15,3.15,3.14,3.15,6800,3.06346
2015-10-14,3.10,3.10,3.10,3.10,8300,3.01484
2015-10-15,3.09,3.10,3.09,3.10,39600,3.01484
2015-10-16,3.09,3.10,3.09,3.10,122000,3.01484
2015-10-19,3.10,3.10,3.09,3.09,1900,3.00511
2015-10-20,3.10,3.10,3.05,3.05,28000,2.96621
2015-10-21,3.07,3.07,3.05,3.05,17400,2.96621
2015-10-22,3.07,3.07,3.07,3.07,000,2.98566
2015-10-23,3.12,3.12,3.12,3.12,100,3.03429
2015-10-26,3.12,3.12,3.12,3.12,000,3.03429
2015-10-27,3.12,3.12,3.12,3.12,000,3.03429
2015-10-28,3.09,3.09,3.09,3.09,3000,3.00511
2015-10-29,3.14,3.14,3.14,3.14,11700,3.05374
2015-10-30,3.14,3.14,3.14,3.14,000,3.05374
2015-11-02,3.24,3.25,3.23,3.24,35600,3.15099
2015-11-03,3.24,3.24,3.24,3.24,000,3.15099
2015-11-04,3.24,3.25,3.24,3.25,8000,3.16071
2015-11-05,3.14,3.14,3.10,3.10,13000,3.01484
2015-11-06,3.07,3.07,3.07,3.07,3700,2.98566
2015-11-09,3.07,3.07,3.07,3.07,000,2.98566
2015-11-10,3.14,3.15,3.14,3.15,8100,3.06346
2015-11-11,3.15,3.15,3.15,3.15,000,3.06346
2015-11-12,3.15,3.15,3.15,3.15,11700,3.06346
2015-11-13,3.15,3.15,3.15,3.15,000,3.06346
2015-11-16,3.15,3.15,3.08,3.08,8200,2.99538
2015-11-17,3.08,3.08,3.08,3.08,000,2.99538
2015-11-18,3.10,3.10,3.08,3.08,8800,2.99538
2015-11-19,3.08,3.08,3.08,3.08,000,2.99538
2015-11-20,3.10,3.10,3.10,3.10,1100,3.01484
