Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.16,0.16,0.16,0.16,000,0.16
2015-01-02,0.16,0.16,0.16,0.16,71500,0.16
2015-01-05,0.16,0.165,0.15,0.15,489900,0.15
2015-01-06,0.16,0.16,0.16,0.16,231100,0.16
2015-01-07,0.16,0.16,0.155,0.155,384600,0.155
2015-01-08,0.16,0.16,0.155,0.155,134000,0.155
2015-01-09,0.16,0.16,0.16,0.16,33300,0.16
2015-01-12,0.16,0.16,0.155,0.16,40700,0.16
2015-01-13,0.16,0.16,0.15,0.15,692000,0.15
2015-01-14,0.15,0.155,0.15,0.155,597400,0.155
2015-01-15,0.155,0.16,0.155,0.16,97200,0.16
2015-01-16,0.15,0.155,0.15,0.155,131400,0.155
2015-01-19,0.15,0.15,0.145,0.15,440000,0.15
2015-01-20,0.145,0.145,0.14,0.14,256100,0.14
2015-01-21,0.145,0.145,0.145,0.145,80000,0.145
2015-01-22,0.145,0.15,0.145,0.15,156200,0.15
2015-01-23,0.15,0.15,0.145,0.145,335600,0.145
2015-01-26,0.145,0.145,0.145,0.145,000,0.145
2015-01-27,0.15,0.155,0.15,0.15,333400,0.15
2015-01-28,0.15,0.15,0.15,0.15,445000,0.15
2015-01-29,0.15,0.15,0.145,0.15,24100,0.15
2015-01-30,0.147,0.15,0.14,0.15,250000,0.15
2015-02-02,0.12,0.12,0.095,0.10,7820700,0.10
2015-02-03,0.10,0.10,0.09,0.091,3568500,0.091
2015-02-04,0.094,0.095,0.085,0.09,1527400,0.09
2015-02-05,0.093,0.095,0.091,0.095,1324700,0.095
2015-02-06,0.091,0.095,0.091,0.095,163800,0.095
2015-02-09,0.093,0.093,0.091,0.092,190600,0.092
2015-02-10,0.091,0.091,0.09,0.09,274000,0.09
2015-02-11,0.092,0.092,0.088,0.089,1360800,0.089
2015-02-12,0.087,0.087,0.079,0.079,1268800,0.079
2015-02-13,0.08,0.084,0.08,0.081,751300,0.081
2015-02-16,0.08,0.08,0.076,0.076,1835900,0.076
2015-02-17,0.076,0.077,0.075,0.076,279900,0.076
2015-02-18,0.075,0.076,0.074,0.075,460200,0.075
2015-02-19,0.075,0.079,0.074,0.078,1633100,0.078
2015-02-20,0.077,0.078,0.077,0.077,421900,0.077
2015-02-23,0.08,0.082,0.079,0.08,1124700,0.08
2015-02-24,0.08,0.081,0.079,0.08,590200,0.08
2015-02-25,0.08,0.08,0.077,0.08,971700,0.08
2015-02-26,0.079,0.08,0.078,0.08,327000,0.08
2015-02-27,0.079,0.08,0.074,0.08,4974200,0.08
2015-03-02,0.079,0.08,0.075,0.08,1226800,0.08
2015-03-03,0.079,0.079,0.076,0.076,245400,0.076
2015-03-04,0.077,0.077,0.073,0.076,1155900,0.076
2015-03-05,0.076,0.076,0.075,0.075,356000,0.075
2015-03-06,0.073,0.074,0.072,0.072,1215800,0.072
2015-03-09,0.072,0.075,0.072,0.075,88900,0.075
2015-03-10,0.078,0.078,0.07,0.071,1659000,0.071
2015-03-11,0.071,0.072,0.07,0.07,223700,0.07
2015-03-12,0.068,0.068,0.066,0.067,262900,0.067
2015-03-13,0.067,0.07,0.066,0.066,528300,0.066
2015-03-16,0.066,0.066,0.061,0.061,695900,0.061
2015-03-17,0.062,0.065,0.061,0.062,1044700,0.062
2015-03-18,0.062,0.062,0.06,0.06,2244500,0.06
2015-03-19,0.06,0.063,0.06,0.06,340900,0.06
2015-03-20,0.06,0.061,0.057,0.059,445300,0.059
2015-03-23,0.059,0.059,0.059,0.059,297500,0.059
2015-03-24,0.06,0.06,0.058,0.059,514200,0.059
2015-03-25,0.059,0.06,0.058,0.06,764400,0.06
2015-03-26,0.058,0.06,0.057,0.057,1169700,0.057
2015-03-27,0.057,0.057,0.056,0.057,112000,0.057
2015-03-30,0.056,0.057,0.056,0.057,176400,0.057
2015-03-31,0.056,0.056,0.05,0.05,1561800,0.05
2015-04-01,0.055,0.059,0.055,0.058,697100,0.058
2015-04-02,0.058,0.064,0.058,0.064,704900,0.064
2015-04-03,0.064,0.064,0.064,0.064,000,0.064
2015-04-06,0.064,0.064,0.064,0.064,000,0.064
2015-04-07,0.066,0.069,0.066,0.067,909400,0.067
2015-04-08,0.069,0.069,0.064,0.064,713300,0.064
2015-04-09,0.064,0.064,0.062,0.062,337000,0.062
2015-04-10,0.062,0.063,0.06,0.062,528300,0.062
2015-04-13,0.064,0.065,0.062,0.062,879200,0.062
2015-04-14,0.062,0.064,0.06,0.063,368600,0.063
2015-04-15,0.065,0.066,0.064,0.064,136300,0.064
2015-04-16,0.066,0.066,0.064,0.064,627900,0.064
2015-04-17,0.064,0.064,0.062,0.064,303600,0.064
2015-04-20,0.063,0.063,0.06,0.06,675000,0.06
2015-04-21,0.061,0.061,0.058,0.06,500900,0.06
2015-04-22,0.06,0.06,0.059,0.06,134600,0.06
2015-04-23,0.06,0.06,0.058,0.058,209200,0.058
2015-04-24,0.057,0.059,0.057,0.059,89700,0.059
2015-04-27,0.057,0.058,0.057,0.058,100900,0.058
2015-04-28,0.059,0.062,0.059,0.06,558100,0.06
2015-04-29,0.06,0.062,0.059,0.062,425000,0.062
2015-04-30,0.058,0.06,0.057,0.06,372400,0.06
2015-05-01,0.06,0.06,0.06,0.06,190000,0.06
2015-05-04,0.06,0.06,0.056,0.057,1175100,0.057
2015-05-05,0.058,0.058,0.058,0.058,17000,0.058
2015-05-06,0.058,0.058,0.057,0.057,108000,0.057
2015-05-07,0.06,0.065,0.06,0.063,917000,0.063
2015-05-08,0.06,0.06,0.058,0.058,134000,0.058
2015-05-11,0.058,0.058,0.057,0.058,106200,0.058
2015-05-12,0.058,0.06,0.058,0.058,110000,0.058
2015-05-13,0.057,0.059,0.057,0.059,388900,0.059
2015-05-14,0.059,0.059,0.057,0.057,165000,0.057
2015-05-15,0.057,0.058,0.056,0.056,191900,0.056
2015-05-18,0.056,0.056,0.054,0.054,569100,0.054
2015-05-19,0.055,0.055,0.055,0.055,128000,0.055
2015-05-20,0.056,0.056,0.054,0.054,245000,0.054
2015-05-21,0.055,0.056,0.055,0.056,38000,0.056
2015-05-22,0.056,0.056,0.055,0.056,638300,0.056
2015-05-25,0.055,0.055,0.054,0.054,158000,0.054
2015-05-26,0.054,0.054,0.052,0.053,310800,0.053
2015-05-27,0.053,0.053,0.052,0.052,119500,0.052
2015-05-28,0.053,0.053,0.051,0.051,674500,0.051
2015-05-29,0.05,0.05,0.049,0.049,681900,0.049
2015-06-01,0.049,0.05,0.049,0.049,241700,0.049
2015-06-02,0.05,0.05,0.049,0.05,880000,0.05
2015-06-03,0.049,0.05,0.049,0.049,390000,0.049
2015-06-04,0.052,0.052,0.049,0.049,239700,0.049
2015-06-05,0.049,0.05,0.048,0.049,547400,0.049
2015-06-08,0.049,0.049,0.049,0.049,000,0.049
2015-06-09,0.049,0.05,0.049,0.049,336500,0.049
2015-06-10,0.049,0.049,0.045,0.047,1297600,0.047
2015-06-11,0.047,0.047,0.045,0.045,960800,0.045
2015-06-12,0.045,0.047,0.045,0.047,333900,0.047
2015-06-15,0.047,0.047,0.045,0.045,824300,0.045
2015-06-16,0.046,0.047,0.045,0.045,853300,0.045
2015-06-17,0.045,0.045,0.045,0.045,238900,0.045
2015-06-18,0.045,0.046,0.045,0.046,296100,0.046
2015-06-19,0.046,0.046,0.045,0.046,233000,0.046
2015-06-22,0.045,0.045,0.044,0.044,520300,0.044
2015-06-23,0.044,0.045,0.044,0.045,758900,0.045
2015-06-24,0.045,0.045,0.044,0.044,439400,0.044
2015-06-25,0.043,0.044,0.042,0.043,300400,0.043
2015-06-26,0.045,0.045,0.043,0.043,244400,0.043
2015-06-29,0.045,0.046,0.04,0.04,4220500,0.04
2015-06-30,0.039,0.039,0.037,0.038,3685700,0.038
2015-07-01,0.038,0.038,0.038,0.038,103800,0.038
2015-07-02,0.041,0.045,0.041,0.045,310000,0.045
2015-07-03,0.04,0.04,0.04,0.04,379500,0.04
