Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,0.48,0.575,0.42,0.485,2095400,0.485
2015-04-01,0.48,0.495,0.44,0.44,686400,0.44
2015-04-02,0.47,0.47,0.425,0.45,511900,0.45
2015-04-03,0.45,0.45,0.45,0.45,000,0.45
2015-04-06,0.45,0.45,0.45,0.45,000,0.45
2015-04-07,0.465,0.47,0.435,0.435,314300,0.435
2015-04-08,0.43,0.44,0.43,0.44,48100,0.44
2015-04-09,0.46,0.46,0.44,0.44,42500,0.44
2015-04-10,0.44,0.47,0.44,0.465,89000,0.465
2015-04-13,0.465,0.465,0.42,0.445,170100,0.445
2015-04-14,0.44,0.44,0.44,0.44,45000,0.44
2015-04-15,0.43,0.44,0.41,0.435,76900,0.435
2015-04-16,0.43,0.43,0.405,0.43,80700,0.43
2015-04-17,0.43,0.43,0.43,0.43,000,0.43
2015-04-20,0.43,0.43,0.43,0.43,000,0.43
2015-04-21,0.415,0.415,0.40,0.405,115100,0.405
2015-04-22,0.39,0.40,0.38,0.40,69300,0.40
2015-04-23,0.40,0.40,0.39,0.395,55000,0.395
2015-04-24,0.395,0.395,0.39,0.395,35700,0.395
2015-04-27,0.40,0.40,0.395,0.395,54000,0.395
2015-04-28,0.39,0.39,0.385,0.385,38000,0.385
2015-04-29,0.39,0.39,0.39,0.39,24500,0.39
2015-04-30,0.39,0.39,0.38,0.38,72900,0.38
2015-05-01,0.38,0.38,0.38,0.38,000,0.38
2015-05-04,0.375,0.375,0.375,0.375,50000,0.375
2015-05-05,0.40,0.40,0.38,0.38,72200,0.38
2015-05-06,0.385,0.385,0.38,0.38,75000,0.38
2015-05-07,0.38,0.38,0.38,0.38,18000,0.38
2015-05-08,0.38,0.38,0.38,0.38,000,0.38
2015-05-11,0.38,0.38,0.36,0.37,61000,0.37
2015-05-12,0.37,0.37,0.37,0.37,10000,0.37
2015-05-13,0.36,0.36,0.36,0.36,10000,0.36
2015-05-14,0.38,0.39,0.38,0.39,11400,0.39
2015-05-15,0.39,0.39,0.39,0.39,000,0.39
2015-05-18,0.405,0.45,0.40,0.45,389700,0.45
2015-05-19,0.455,0.485,0.45,0.485,467300,0.485
2015-05-20,0.46,0.485,0.45,0.485,176000,0.485
2015-05-21,0.475,0.48,0.44,0.48,80000,0.48
2015-05-22,0.465,0.47,0.46,0.47,46800,0.47
2015-05-25,0.44,0.44,0.42,0.42,59500,0.42
2015-05-26,0.44,0.44,0.44,0.44,12000,0.44
2015-05-27,0.44,0.44,0.44,0.44,36800,0.44
2015-05-28,0.45,0.47,0.45,0.465,136500,0.465
2015-05-29,0.47,0.48,0.465,0.465,382900,0.465
2015-06-01,0.47,0.485,0.46,0.485,163700,0.485
2015-06-02,0.485,0.49,0.475,0.49,360400,0.49
2015-06-03,0.485,0.485,0.48,0.48,177900,0.48
2015-06-04,0.485,0.50,0.48,0.50,380600,0.50
2015-06-05,0.51,0.53,0.51,0.52,56500,0.52
2015-06-08,0.52,0.52,0.52,0.52,000,0.52
2015-06-09,0.55,0.56,0.53,0.55,107600,0.55
2015-06-10,0.55,0.57,0.55,0.555,66800,0.555
2015-06-11,0.54,0.55,0.52,0.54,64400,0.54
2015-06-12,0.54,0.54,0.54,0.54,200,0.54
2015-06-15,0.53,0.53,0.51,0.52,86200,0.52
2015-06-16,0.52,0.53,0.52,0.53,61300,0.53
2015-06-17,0.51,0.52,0.50,0.51,597000,0.51
2015-06-18,0.51,0.51,0.50,0.50,266000,0.50
2015-06-19,0.51,0.51,0.50,0.50,73600,0.50
2015-06-22,0.50,0.51,0.50,0.50,95900,0.50
2015-06-23,0.50,0.50,0.50,0.50,207300,0.50
2015-06-24,0.50,0.51,0.50,0.50,29000,0.50
2015-06-25,0.50,0.50,0.47,0.50,29800,0.50
2015-06-26,0.50,0.50,0.485,0.485,25800,0.485
2015-06-29,0.515,0.525,0.50,0.50,57500,0.50
2015-06-30,0.50,0.50,0.50,0.50,22300,0.50
2015-07-01,0.50,0.505,0.50,0.505,13300,0.505
2015-07-02,0.51,0.51,0.48,0.48,31000,0.48
2015-07-03,0.50,0.50,0.50,0.50,133500,0.50
2015-07-06,0.50,0.50,0.50,0.50,000,0.50
2015-07-07,0.50,0.50,0.50,0.50,3000,0.50
2015-07-08,0.49,0.49,0.49,0.49,5000,0.49
2015-07-09,0.485,0.485,0.48,0.48,14200,0.48
2015-07-10,0.485,0.485,0.48,0.48,6100,0.48
2015-07-13,0.48,0.48,0.48,0.48,11300,0.48
2015-07-14,0.47,0.47,0.47,0.47,10000,0.47
2015-07-15,0.47,0.47,0.47,0.47,1800,0.47
2015-07-16,0.47,0.47,0.47,0.47,000,0.47
2015-07-17,0.46,0.46,0.45,0.45,30400,0.45
2015-07-20,0.47,0.47,0.45,0.45,6000,0.45
2015-07-21,0.48,0.48,0.48,0.48,3500,0.48
2015-07-22,0.53,0.55,0.50,0.50,106000,0.50
2015-07-23,0.53,0.53,0.51,0.53,56700,0.53
2015-07-24,0.505,0.505,0.495,0.50,49000,0.50
2015-07-27,0.50,0.525,0.50,0.525,20000,0.525
2015-07-28,0.52,0.52,0.51,0.52,70000,0.52
2015-07-29,0.50,0.50,0.50,0.50,47000,0.50
2015-07-30,0.50,0.505,0.495,0.50,86000,0.50
2015-07-31,0.495,0.495,0.48,0.49,46500,0.49
2015-08-03,0.49,0.49,0.48,0.48,40000,0.48
2015-08-04,0.48,0.48,0.48,0.48,10000,0.48
2015-08-05,0.48,0.48,0.47,0.48,31300,0.48
2015-08-06,0.485,0.485,0.485,0.485,16000,0.485
2015-08-07,0.48,0.48,0.48,0.48,8000,0.48
2015-08-10,0.48,0.48,0.48,0.48,3000,0.48
2015-08-11,0.48,0.48,0.47,0.47,3800,0.47
2015-08-12,0.47,0.48,0.46,0.48,228500,0.48
2015-08-13,0.48,0.485,0.48,0.485,228100,0.485
2015-08-14,0.48,0.48,0.48,0.48,10000,0.48
2015-08-17,0.475,0.475,0.465,0.47,42000,0.47
2015-08-18,0.47,0.47,0.46,0.46,13500,0.46
