Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.16,0.16,0.16,0.16,000,0.16
2015-01-02,0.16,0.16,0.16,0.16,000,0.16
2015-01-05,0.16,0.16,0.16,0.16,000,0.16
2015-01-06,0.16,0.16,0.16,0.16,000,0.16
2015-01-07,0.16,0.16,0.16,0.16,000,0.16
2015-01-08,0.16,0.16,0.16,0.16,000,0.16
2015-01-09,0.16,0.16,0.16,0.16,000,0.16
2015-01-12,0.16,0.16,0.16,0.16,000,0.16
2015-01-13,0.185,0.21,0.185,0.21,151700,0.21
2015-01-14,0.21,0.21,0.21,0.21,000,0.21
2015-01-15,0.21,0.21,0.21,0.21,000,0.21
2015-01-16,0.21,0.21,0.21,0.21,000,0.21
2015-01-19,0.21,0.21,0.21,0.21,000,0.21
2015-01-20,0.185,0.185,0.185,0.185,23000,0.185
2015-01-21,0.185,0.185,0.185,0.185,50000,0.185
2015-01-22,0.185,0.19,0.185,0.19,127000,0.19
2015-01-23,0.19,0.19,0.16,0.16,350000,0.16
2015-01-26,0.16,0.16,0.16,0.16,000,0.16
2015-01-27,0.16,0.16,0.16,0.16,000,0.16
2015-01-28,0.17,0.19,0.17,0.19,12400,0.19
2015-01-29,0.20,0.205,0.19,0.205,115100,0.205
2015-01-30,0.19,0.205,0.19,0.205,4300,0.205
2015-02-02,0.18,0.21,0.18,0.205,234800,0.205
2015-02-03,0.19,0.19,0.19,0.19,10000,0.19
2015-02-04,0.19,0.19,0.19,0.19,000,0.19
2015-02-05,0.19,0.19,0.19,0.19,000,0.19
2015-02-06,0.175,0.18,0.17,0.17,115800,0.17
2015-02-09,0.16,0.16,0.16,0.16,3000,0.16
2015-02-10,0.16,0.16,0.16,0.16,000,0.16
2015-02-11,0.16,0.16,0.16,0.16,000,0.16
2015-02-12,0.165,0.165,0.16,0.16,50000,0.16
2015-02-13,0.16,0.16,0.16,0.16,000,0.16
2015-02-16,0.18,0.18,0.18,0.18,4000,0.18
2015-02-17,0.18,0.18,0.18,0.18,000,0.18
2015-02-18,0.18,0.20,0.18,0.20,143800,0.20
2015-02-19,0.20,0.20,0.20,0.20,000,0.20
2015-02-20,0.21,0.21,0.18,0.18,34500,0.18
2015-02-23,0.165,0.165,0.165,0.165,51000,0.165
2015-02-24,0.165,0.165,0.165,0.165,000,0.165
2015-02-25,0.17,0.17,0.17,0.17,20000,0.17
2015-02-26,0.17,0.17,0.17,0.17,000,0.17
2015-02-27,0.17,0.20,0.17,0.20,51100,0.20
2015-03-02,0.20,0.20,0.20,0.20,000,0.20
2015-03-03,0.20,0.20,0.20,0.20,000,0.20
2015-03-04,0.20,0.20,0.20,0.20,000,0.20
2015-03-05,0.20,0.20,0.20,0.20,000,0.20
2015-03-06,0.18,0.18,0.18,0.18,5300,0.18
2015-03-09,0.18,0.18,0.18,0.18,000,0.18
2015-03-10,0.18,0.18,0.18,0.18,25000,0.18
2015-03-11,0.18,0.18,0.18,0.18,000,0.18
2015-03-12,0.18,0.18,0.18,0.18,000,0.18
2015-03-13,0.18,0.18,0.18,0.18,000,0.18
2015-03-16,0.18,0.18,0.18,0.18,000,0.18
2015-03-17,0.18,0.18,0.18,0.18,000,0.18
2015-03-18,0.18,0.18,0.17,0.17,50000,0.17
2015-03-19,0.17,0.17,0.17,0.17,000,0.17
2015-03-20,0.17,0.17,0.17,0.17,20000,0.17
2015-03-23,0.17,0.17,0.17,0.17,000,0.17
