Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.51,1.51,1.51,1.51,000,1.36756
2015-01-02,1.505,1.525,1.50,1.525,29800,1.38115
2015-01-05,1.53,1.55,1.53,1.54,273200,1.39473
2015-01-06,1.535,1.535,1.52,1.53,28400,1.38568
2015-01-07,1.52,1.52,1.50,1.505,33600,1.36304
2015-01-08,1.53,1.53,1.52,1.53,104800,1.38568
2015-01-09,1.53,1.54,1.53,1.535,36800,1.39021
2015-01-12,1.535,1.535,1.49,1.50,169900,1.35851
2015-01-13,1.52,1.54,1.50,1.54,21100,1.39473
2015-01-14,1.54,1.54,1.51,1.535,4900,1.39021
2015-01-15,1.525,1.525,1.525,1.525,500,1.38115
2015-01-16,1.515,1.59,1.515,1.55,112900,1.40379
2015-01-19,1.545,1.56,1.545,1.55,73100,1.40379
2015-01-20,1.55,1.585,1.54,1.54,56100,1.39473
2015-01-21,1.57,1.57,1.54,1.54,6300,1.39473
2015-01-22,1.555,1.555,1.52,1.53,80800,1.38568
2015-01-23,1.53,1.56,1.52,1.53,119500,1.38568
2015-01-26,1.53,1.53,1.53,1.53,000,1.38568
2015-01-27,1.545,1.565,1.545,1.565,126800,1.41738
2015-01-28,1.55,1.565,1.55,1.56,276200,1.41285
2015-01-29,1.55,1.57,1.49,1.555,557000,1.40832
2015-01-30,1.56,1.58,1.54,1.55,260000,1.40379
2015-02-02,1.55,1.575,1.55,1.57,396000,1.4219
2015-02-03,1.575,1.63,1.57,1.615,85800,1.46266
2015-02-04,1.63,1.69,1.625,1.67,158400,1.51247
2015-02-05,1.665,1.675,1.66,1.67,88200,1.51247
2015-02-06,1.66,1.66,1.63,1.65,46900,1.49436
2015-02-09,1.65,1.66,1.64,1.65,130300,1.49436
2015-02-10,1.65,1.69,1.65,1.66,329700,1.50341
2015-02-11,1.69,1.76,1.69,1.75,73600,1.58492
2015-02-12,1.71,1.76,1.71,1.75,95100,1.58492
2015-02-13,1.76,1.765,1.74,1.75,270800,1.58492
2015-02-16,1.75,1.75,1.745,1.75,56300,1.58492
2015-02-17,1.74,1.75,1.715,1.725,95900,1.56228
2015-02-18,1.72,1.75,1.72,1.72,75100,1.55775
2015-02-19,1.75,1.82,1.745,1.815,2666300,1.64379
2015-02-20,1.82,1.85,1.715,1.79,163400,1.62115
2015-02-23,1.825,1.86,1.73,1.75,196000,1.58492
2015-02-24,1.74,1.835,1.74,1.78,140000,1.61209
2015-02-25,1.78,1.80,1.75,1.75,114000,1.58492
2015-02-26,1.77,1.79,1.75,1.77,119600,1.60304
2015-02-27,1.78,1.78,1.72,1.72,175100,1.55775
2015-03-02,1.71,1.71,1.60,1.65,53300,1.55211
2015-03-03,1.65,1.685,1.65,1.67,196500,1.57092
2015-03-04,1.66,1.675,1.59,1.635,465600,1.538
2015-03-05,1.65,1.68,1.625,1.665,123900,1.56622
2015-03-06,1.68,1.685,1.67,1.68,593900,1.58033
2015-03-09,1.68,1.785,1.665,1.785,1243500,1.6791
2015-03-10,1.70,1.74,1.685,1.735,82800,1.63207
2015-03-11,1.70,1.72,1.685,1.72,117100,1.61796
2015-03-12,1.72,1.74,1.69,1.74,42900,1.63677
2015-03-13,1.74,1.74,1.71,1.735,182500,1.63207
2015-03-16,1.735,1.75,1.725,1.75,182500,1.64618
2015-03-17,1.75,1.795,1.75,1.77,243000,1.66499
2015-03-18,1.76,1.77,1.735,1.77,105400,1.66499
2015-03-19,1.78,1.785,1.76,1.76,195100,1.65558
2015-03-20,1.765,1.78,1.76,1.78,104700,1.6744
2015-03-23,1.80,1.80,1.77,1.78,295300,1.6744
2015-03-24,1.80,1.85,1.79,1.80,254300,1.69321
