Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.058,0.058,0.058,0.058,000,0.058
2015-01-02,0.059,0.059,0.058,0.059,225600,0.059
2015-01-05,0.059,0.06,0.059,0.06,991800,0.06
2015-01-06,0.06,0.06,0.06,0.06,188100,0.06
2015-01-07,0.059,0.059,0.059,0.059,46100,0.059
2015-01-08,0.059,0.06,0.059,0.06,93800,0.06
2015-01-09,0.06,0.06,0.06,0.06,248000,0.06
2015-01-12,0.06,0.06,0.06,0.06,000,0.06
2015-01-13,0.06,0.06,0.06,0.06,000,0.06
2015-01-14,0.059,0.059,0.058,0.058,411300,0.058
2015-01-15,0.057,0.057,0.057,0.057,200000,0.057
2015-01-16,0.057,0.057,0.057,0.057,100000,0.057
2015-01-19,0.058,0.058,0.057,0.057,126100,0.057
2015-01-20,0.058,0.059,0.058,0.059,413900,0.059
2015-01-21,0.06,0.06,0.058,0.058,406300,0.058
2015-01-22,0.058,0.058,0.058,0.058,260000,0.058
2015-01-23,0.057,0.057,0.057,0.057,000,0.057
2015-01-26,0.057,0.057,0.057,0.057,000,0.057
2015-01-27,0.057,0.057,0.057,0.057,000,0.057
2015-01-28,0.058,0.059,0.058,0.059,3600,0.059
2015-01-29,0.06,0.06,0.057,0.057,167000,0.057
2015-01-30,0.057,0.057,0.055,0.057,314600,0.057
2015-02-02,0.057,0.057,0.057,0.057,39100,0.057
2015-02-03,0.057,0.057,0.057,0.057,000,0.057
2015-02-04,0.055,0.055,0.055,0.055,375300,0.055
2015-02-05,0.057,0.057,0.055,0.055,17200,0.055
2015-02-06,0.055,0.056,0.055,0.056,2211000,0.056
2015-02-09,0.056,0.056,0.055,0.056,358800,0.056
2015-02-10,0.056,0.056,0.056,0.056,000,0.056
2015-02-11,0.058,0.059,0.056,0.056,62400,0.056
2015-02-12,0.056,0.056,0.056,0.056,000,0.056
2015-02-13,0.057,0.059,0.056,0.056,200100,0.056
2015-02-16,0.057,0.057,0.056,0.056,143900,0.056
2015-02-17,0.056,0.058,0.056,0.058,996700,0.058
2015-02-18,0.056,0.059,0.056,0.059,401000,0.059
2015-02-19,0.059,0.06,0.058,0.059,642800,0.059
2015-02-20,0.059,0.059,0.059,0.059,84700,0.059
2015-02-23,0.057,0.06,0.057,0.06,830000,0.06
2015-02-24,0.06,0.06,0.057,0.057,190000,0.057
2015-02-25,0.057,0.057,0.057,0.057,148600,0.057
2015-02-26,0.057,0.058,0.057,0.058,361400,0.058
2015-02-27,0.057,0.058,0.057,0.058,230000,0.058
2015-03-02,0.057,0.057,0.057,0.057,130000,0.057
2015-03-03,0.057,0.059,0.057,0.059,460300,0.059
2015-03-04,0.059,0.059,0.057,0.057,329100,0.057
2015-03-05,0.057,0.057,0.057,0.057,000,0.057
2015-03-06,0.057,0.057,0.057,0.057,000,0.057
2015-03-09,0.058,0.058,0.058,0.058,8600,0.058
2015-03-10,0.059,0.059,0.059,0.059,400800,0.059
2015-03-11,0.059,0.059,0.059,0.059,000,0.059
2015-03-12,0.059,0.059,0.057,0.057,198900,0.057
2015-03-13,0.057,0.057,0.057,0.057,000,0.057
2015-03-16,0.057,0.057,0.057,0.057,000,0.057
2015-03-17,0.059,0.059,0.059,0.059,637600,0.059
2015-03-18,0.059,0.063,0.059,0.063,1527900,0.063
2015-03-19,0.063,0.066,0.063,0.064,1668500,0.064
2015-03-20,0.064,0.064,0.063,0.063,94300,0.063
2015-03-23,0.063,0.063,0.061,0.061,150000,0.061
2015-03-24,0.061,0.061,0.061,0.061,000,0.061
2015-03-25,0.061,0.063,0.061,0.063,276500,0.063
2015-03-26,0.065,0.066,0.065,0.066,836100,0.066
2015-03-27,0.068,0.075,0.068,0.072,1197300,0.072
2015-03-30,0.07,0.071,0.068,0.071,1338000,0.071
2015-03-31,0.072,0.072,0.07,0.072,1093900,0.072
2015-04-01,0.072,0.072,0.071,0.072,1101200,0.072
2015-04-02,0.073,0.077,0.073,0.077,707800,0.077
2015-04-03,0.077,0.077,0.077,0.077,000,0.077
2015-04-06,0.077,0.077,0.077,0.077,000,0.077
2015-04-07,0.077,0.08,0.077,0.08,638500,0.08
2015-04-08,0.08,0.085,0.08,0.083,352600,0.083
2015-04-09,0.086,0.094,0.086,0.09,734000,0.09
2015-04-10,0.09,0.097,0.09,0.094,743700,0.094
2015-04-13,0.094,0.098,0.094,0.098,689700,0.098
2015-04-14,0.098,0.105,0.098,0.105,1425400,0.105
2015-04-15,0.105,0.135,0.105,0.12,2162700,0.12
2015-04-16,0.125,0.13,0.11,0.12,1630700,0.12
2015-04-17,0.12,0.12,0.105,0.11,635400,0.11
2015-04-20,0.115,0.115,0.105,0.105,1083800,0.105
2015-04-21,0.10,0.10,0.098,0.10,561300,0.10
2015-04-22,0.10,0.10,0.094,0.095,432900,0.095
2015-04-23,0.095,0.095,0.086,0.09,241200,0.09
2015-04-24,0.092,0.092,0.091,0.091,36000,0.091
2015-04-27,0.097,0.10,0.095,0.095,276100,0.095
2015-04-28,0.096,0.11,0.095,0.105,224700,0.105
2015-04-29,0.11,0.11,0.105,0.105,334100,0.105
2015-04-30,0.105,0.105,0.10,0.105,178100,0.105
2015-05-01,0.105,0.105,0.105,0.105,156500,0.105
2015-05-04,0.105,0.105,0.105,0.105,100000,0.105
2015-05-05,0.10,0.10,0.096,0.096,497900,0.096
2015-05-06,0.097,0.097,0.094,0.094,308900,0.094
2015-05-07,0.10,0.105,0.10,0.10,485000,0.10
2015-05-08,0.105,0.115,0.105,0.115,221600,0.115
2015-05-11,0.115,0.125,0.115,0.125,982200,0.125
2015-05-12,0.12,0.125,0.115,0.115,349000,0.115
2015-05-13,0.11,0.11,0.11,0.11,90000,0.11
2015-05-14,0.11,0.11,0.105,0.11,133400,0.11
2015-05-15,0.11,0.12,0.11,0.12,274900,0.12
2015-05-18,0.115,0.115,0.11,0.11,75400,0.11
2015-05-19,0.11,0.11,0.11,0.11,88400,0.11
2015-05-20,0.11,0.12,0.11,0.115,507000,0.115
2015-05-21,0.115,0.115,0.115,0.115,150000,0.115
2015-05-22,0.115,0.125,0.115,0.125,509800,0.125
2015-05-25,0.125,0.135,0.125,0.135,1565200,0.135
2015-05-26,0.135,0.145,0.135,0.14,1186500,0.14
2015-05-27,0.14,0.14,0.13,0.135,1362100,0.135
2015-05-28,0.135,0.135,0.125,0.135,423400,0.135
2015-05-29,0.13,0.13,0.12,0.125,413500,0.125
2015-06-01,0.125,0.13,0.125,0.125,159700,0.125
2015-06-02,0.125,0.125,0.12,0.12,100700,0.12
2015-06-03,0.125,0.125,0.115,0.115,491000,0.115
2015-06-04,0.115,0.12,0.115,0.12,31700,0.12
2015-06-05,0.12,0.12,0.115,0.115,153500,0.115
2015-06-08,0.115,0.115,0.115,0.115,000,0.115
2015-06-09,0.115,0.12,0.115,0.115,150700,0.115
2015-06-10,0.115,0.115,0.11,0.115,306600,0.115
2015-06-11,0.12,0.12,0.115,0.115,48500,0.115
2015-06-12,0.115,0.115,0.115,0.115,17600,0.115
2015-06-15,0.12,0.12,0.115,0.115,176900,0.115
2015-06-16,0.115,0.115,0.11,0.11,158200,0.11
2015-06-17,0.11,0.11,0.11,0.11,138600,0.11
2015-06-18,0.11,0.11,0.105,0.105,255400,0.105
2015-06-19,0.105,0.105,0.105,0.105,106000,0.105
2015-06-22,0.105,0.105,0.105,0.105,43900,0.105
2015-06-23,0.10,0.10,0.09,0.098,531700,0.098
2015-06-24,0.098,0.105,0.095,0.095,74000,0.095
2015-06-25,0.10,0.10,0.096,0.10,211600,0.10
2015-06-26,0.097,0.10,0.097,0.10,152000,0.10
2015-06-29,0.10,0.10,0.098,0.10,24000,0.10
2015-06-30,0.10,0.105,0.10,0.10,199000,0.10
2015-07-01,0.10,0.10,0.10,0.10,70500,0.10
2015-07-02,0.105,0.11,0.105,0.11,12800,0.11
2015-07-03,0.11,0.11,0.11,0.11,25000,0.11
2015-07-06,0.11,0.11,0.11,0.11,000,0.11
2015-07-07,0.11,0.11,0.11,0.11,000,0.11
2015-07-08,0.105,0.105,0.10,0.10,186500,0.10
2015-07-09,0.10,0.105,0.10,0.105,88100,0.105
2015-07-10,0.105,0.105,0.105,0.105,30000,0.105
2015-07-13,0.105,0.105,0.105,0.105,8800,0.105
2015-07-14,0.10,0.105,0.10,0.10,274600,0.10
2015-07-15,0.105,0.105,0.10,0.10,166400,0.10
2015-07-16,0.10,0.10,0.10,0.10,50000,0.10
2015-07-17,0.10,0.10,0.10,0.10,31000,0.10
2015-07-20,0.10,0.10,0.10,0.10,127300,0.10
2015-07-21,0.10,0.10,0.10,0.10,000,0.10
2015-07-22,0.10,0.10,0.098,0.098,110700,0.098
2015-07-23,0.098,0.098,0.098,0.098,8500,0.098
2015-07-24,0.098,0.098,0.09,0.09,308000,0.09
2015-07-27,0.096,0.099,0.095,0.099,155000,0.099
2015-07-28,0.093,0.094,0.09,0.09,393900,0.09
2015-07-29,0.09,0.09,0.085,0.085,850400,0.085
2015-07-30,0.085,0.085,0.083,0.083,211200,0.083
2015-07-31,0.083,0.083,0.083,0.083,000,0.083
2015-08-03,0.085,0.085,0.085,0.085,45000,0.085
2015-08-04,0.09,0.09,0.085,0.085,209500,0.085
2015-08-05,0.085,0.085,0.085,0.085,168500,0.085
2015-08-06,0.086,0.086,0.085,0.085,124900,0.085
2015-08-07,0.085,0.085,0.085,0.085,48500,0.085
2015-08-10,0.085,0.085,0.085,0.085,210000,0.085
2015-08-11,0.085,0.085,0.085,0.085,000,0.085
2015-08-12,0.085,0.085,0.085,0.085,7000,0.085
2015-08-13,0.09,0.09,0.085,0.085,68000,0.085
2015-08-14,0.086,0.086,0.085,0.085,235700,0.085
2015-08-17,0.086,0.086,0.086,0.086,102100,0.086
2015-08-18,0.086,0.086,0.086,0.086,000,0.086
2015-08-19,0.086,0.086,0.085,0.085,342100,0.085
2015-08-20,0.085,0.085,0.085,0.085,175900,0.085
2015-08-21,0.083,0.085,0.083,0.085,158900,0.085
2015-08-24,0.085,0.085,0.082,0.082,408000,0.082
2015-08-25,0.081,0.081,0.07,0.075,242000,0.075
2015-08-26,0.075,0.075,0.075,0.075,000,0.075
2015-08-27,0.075,0.075,0.075,0.075,000,0.075
2015-08-28,0.077,0.077,0.077,0.077,10700,0.077
2015-08-31,0.077,0.077,0.077,0.077,13600,0.077
2015-09-01,0.077,0.077,0.075,0.075,317700,0.075
2015-09-02,0.075,0.075,0.075,0.075,46700,0.075
2015-09-03,0.075,0.076,0.075,0.075,76500,0.075
2015-09-04,0.075,0.075,0.075,0.075,117800,0.075
2015-09-07,0.07,0.07,0.07,0.07,22000,0.07
2015-09-08,0.07,0.07,0.07,0.07,000,0.07
2015-09-09,0.075,0.075,0.073,0.073,158400,0.073
2015-09-10,0.073,0.076,0.073,0.076,164400,0.076
2015-09-11,0.076,0.076,0.076,0.076,5500,0.076
2015-09-14,0.076,0.076,0.076,0.076,000,0.076
2015-09-15,0.074,0.074,0.073,0.073,297200,0.073
2015-09-16,0.073,0.073,0.073,0.073,000,0.073
2015-09-17,0.07,0.073,0.07,0.073,150500,0.073
2015-09-18,0.073,0.073,0.073,0.073,328100,0.073
2015-09-21,0.072,0.072,0.071,0.071,24400,0.071
2015-09-22,0.07,0.073,0.07,0.073,568400,0.073
2015-09-23,0.073,0.073,0.07,0.07,103100,0.07
2015-09-24,0.07,0.07,0.07,0.07,000,0.07
2015-09-25,0.074,0.074,0.072,0.072,43200,0.072
2015-09-28,0.08,0.087,0.08,0.085,201400,0.085
