Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.18,1.18,1.18,1.18,000,1.13908
2015-01-02,1.185,1.195,1.16,1.18,153200,1.13908
2015-01-05,1.17,1.195,1.16,1.16,152000,1.11977
2015-01-06,1.16,1.18,1.16,1.18,56500,1.13908
2015-01-07,1.16,1.19,1.16,1.165,130700,1.1246
2015-01-08,1.16,1.185,1.16,1.18,91200,1.13908
2015-01-09,1.175,1.19,1.16,1.185,128300,1.1439
2015-01-12,1.165,1.187,1.16,1.17,131900,1.12942
2015-01-13,1.16,1.18,1.16,1.18,135100,1.13908
2015-01-14,1.17,1.195,1.17,1.185,238400,1.1439
2015-01-15,1.175,1.185,1.165,1.17,173500,1.12942
2015-01-16,1.192,1.192,1.17,1.19,222100,1.14873
2015-01-19,1.19,1.195,1.18,1.185,75300,1.1439
2015-01-20,1.185,1.22,1.18,1.18,203800,1.13908
2015-01-21,1.182,1.1825,1.15,1.15,182300,1.11012
2015-01-22,1.14,1.145,1.07,1.075,392000,1.03772
2015-01-23,1.085,1.10,1.08,1.08,110200,1.04254
2015-01-26,1.08,1.08,1.08,1.08,000,1.04254
2015-01-27,1.10,1.10,1.05,1.055,346100,1.01841
2015-01-28,1.055,1.07,1.04,1.04,226300,1.00393
2015-01-29,1.05,1.095,1.05,1.07,276800,1.03289
2015-01-30,1.08,1.09,1.05,1.08,308600,1.04254
2015-02-02,1.06,1.10,1.06,1.085,140700,1.04737
2015-02-03,1.10,1.145,1.08,1.12,266100,1.08116
2015-02-04,1.13,1.18,1.13,1.16,430700,1.11977
2015-02-05,1.15,1.19,1.15,1.19,237300,1.14873
2015-02-06,1.195,1.205,1.18,1.205,327900,1.16321
2015-02-09,1.21,1.24,1.19,1.21,439800,1.16803
2015-02-10,1.24,1.24,1.205,1.205,168400,1.16321
2015-02-11,1.205,1.225,1.18,1.20,175100,1.15838
2015-02-12,1.20,1.20,1.165,1.20,89600,1.15838
2015-02-13,1.20,1.24,1.20,1.225,251500,1.18251
2015-02-16,1.24,1.32,1.24,1.305,313600,1.25974
2015-02-17,1.315,1.355,1.305,1.35,305600,1.30318
2015-02-18,1.355,1.355,1.29,1.30,202000,1.25491
2015-02-19,1.28,1.325,1.28,1.31,64400,1.26457
2015-02-20,1.31,1.335,1.25,1.335,459000,1.2887
2015-02-23,1.33,1.34,1.315,1.33,389700,1.28387
2015-02-24,1.15,1.155,0.89,0.90,4969100,0.86879
2015-02-25,0.95,0.975,0.91,0.915,2894800,0.88327
2015-02-26,0.93,0.95,0.91,0.92,1349300,0.88809
2015-02-27,0.92,0.94,0.865,0.88,1928500,0.84948
2015-03-02,0.89,0.915,0.88,0.90,772300,0.86879
2015-03-03,0.91,0.915,0.88,0.88,805900,0.84948
2015-03-04,0.885,0.89,0.87,0.88,563300,0.84948
2015-03-05,0.88,0.895,0.87,0.875,681900,0.84465
2015-03-06,0.88,0.885,0.87,0.875,650400,0.84465
2015-03-09,0.88,0.895,0.87,0.88,577200,0.84948
2015-03-10,0.89,0.91,0.88,0.91,275900,0.87844
2015-03-11,0.90,0.965,0.90,0.965,702900,0.93153
2015-03-12,0.97,0.975,0.945,0.95,454800,0.91705
2015-03-13,0.95,0.955,0.94,0.94,309900,0.9074
2015-03-16,0.96,0.96,0.90,0.91,298600,0.87844
2015-03-17,0.925,0.93,0.895,0.905,271200,0.87361
2015-03-18,0.915,0.925,0.905,0.915,143900,0.88327
2015-03-19,0.90,0.91,0.88,0.89,501800,0.85913
2015-03-20,0.895,0.91,0.875,0.89,446700,0.85913
2015-03-23,0.88,0.885,0.865,0.875,588400,0.84465
2015-03-24,0.88,0.90,0.87,0.895,425300,0.86396
2015-03-25,0.88,0.89,0.875,0.88,472800,0.84948
2015-03-26,0.88,0.885,0.87,0.88,422500,0.84948
2015-03-27,0.88,0.90,0.87,0.87,258900,0.83983
2015-03-30,0.87,0.885,0.87,0.88,147100,0.84948
2015-03-31,0.88,0.885,0.86,0.865,746400,0.835
2015-04-01,0.88,0.88,0.85,0.88,421700,0.84948
2015-04-02,0.875,0.88,0.855,0.86,276000,0.83017
