Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.028,0.028,0.028,0.028,000,0.028
2015-01-02,0.028,0.028,0.028,0.028,000,0.028
2015-01-05,0.028,0.028,0.028,0.028,000,0.028
2015-01-06,0.028,0.028,0.028,0.028,000,0.028
2015-01-07,0.027,0.027,0.027,0.027,50000,0.027
2015-01-08,0.027,0.027,0.027,0.027,000,0.027
2015-01-09,0.027,0.027,0.027,0.027,000,0.027
2015-01-12,0.027,0.027,0.027,0.027,000,0.027
2015-01-13,0.027,0.027,0.027,0.027,000,0.027
2015-01-14,0.027,0.027,0.027,0.027,000,0.027
2015-01-15,0.028,0.029,0.028,0.029,96700,0.029
2015-01-16,0.029,0.029,0.029,0.029,000,0.029
2015-01-19,0.029,0.029,0.029,0.029,000,0.029
2015-01-20,0.029,0.029,0.029,0.029,000,0.029
2015-01-21,0.029,0.029,0.029,0.029,000,0.029
2015-01-22,0.029,0.029,0.029,0.029,000,0.029
2015-01-23,0.029,0.029,0.029,0.029,000,0.029
2015-01-26,0.029,0.029,0.029,0.029,000,0.029
2015-01-27,0.029,0.029,0.029,0.029,000,0.029
2015-01-28,0.029,0.029,0.029,0.029,000,0.029
2015-01-29,0.029,0.029,0.029,0.029,000,0.029
2015-01-30,0.029,0.029,0.029,0.029,000,0.029
2015-02-02,0.029,0.029,0.029,0.029,000,0.029
2015-02-03,0.026,0.026,0.023,0.023,45600,0.023
2015-02-04,0.027,0.032,0.027,0.032,399700,0.032
2015-02-05,0.032,0.032,0.032,0.032,000,0.032
2015-02-06,0.031,0.034,0.031,0.034,320500,0.034
2015-02-09,0.034,0.035,0.032,0.035,294300,0.035
2015-02-10,0.035,0.035,0.035,0.035,000,0.035
2015-02-11,0.035,0.038,0.034,0.035,1014100,0.035
2015-02-12,0.035,0.035,0.035,0.035,20000,0.035
2015-02-13,0.035,0.035,0.035,0.035,000,0.035
2015-02-16,0.035,0.035,0.035,0.035,000,0.035
2015-02-17,0.035,0.035,0.035,0.035,000,0.035
2015-02-18,0.035,0.035,0.035,0.035,000,0.035
2015-02-19,0.035,0.035,0.035,0.035,79200,0.035
2015-02-20,0.035,0.037,0.035,0.037,120700,0.037
2015-02-23,0.037,0.037,0.034,0.035,1044700,0.035
2015-02-24,0.035,0.035,0.033,0.033,107500,0.033
2015-02-25,0.033,0.033,0.033,0.033,000,0.033
2015-02-26,0.035,0.036,0.035,0.036,145100,0.036
2015-02-27,0.036,0.038,0.036,0.038,51900,0.038
2015-03-02,0.036,0.037,0.036,0.036,181300,0.036
2015-03-03,0.036,0.036,0.036,0.036,12500,0.036
2015-03-04,0.036,0.036,0.036,0.036,18000,0.036
2015-03-05,0.031,0.031,0.031,0.031,34200,0.031
2015-03-06,0.037,0.039,0.037,0.038,810300,0.038
2015-03-09,0.035,0.035,0.034,0.034,500000,0.034
2015-03-10,0.035,0.035,0.035,0.035,300000,0.035
2015-03-11,0.035,0.035,0.035,0.035,600000,0.035
2015-03-12,0.035,0.035,0.033,0.035,750000,0.035
2015-03-13,0.035,0.035,0.035,0.035,000,0.035
2015-03-16,0.035,0.035,0.035,0.035,000,0.035
2015-03-17,0.035,0.035,0.035,0.035,000,0.035
2015-03-18,0.035,0.035,0.035,0.035,000,0.035
2015-03-19,0.035,0.035,0.035,0.035,000,0.035
2015-03-20,0.035,0.035,0.035,0.035,100000,0.035
2015-03-23,0.035,0.035,0.035,0.035,000,0.035
2015-03-24,0.035,0.035,0.033,0.033,299500,0.033
2015-03-25,0.033,0.033,0.033,0.033,000,0.033
2015-03-26,0.033,0.033,0.033,0.033,000,0.033
2015-03-27,0.033,0.033,0.032,0.032,189600,0.032
2015-03-30,0.034,0.034,0.032,0.032,466600,0.032
2015-03-31,0.03,0.03,0.03,0.03,16000,0.03
2015-04-01,0.03,0.03,0.03,0.03,78200,0.03
2015-04-02,0.03,0.03,0.028,0.028,270000,0.028
2015-04-03,0.028,0.028,0.028,0.028,000,0.028
2015-04-06,0.028,0.028,0.028,0.028,000,0.028
2015-04-07,0.028,0.028,0.028,0.028,000,0.028
2015-04-08,0.028,0.028,0.028,0.028,000,0.028
2015-04-09,0.02,0.02,0.02,0.02,975700,0.02
2015-04-10,0.022,0.022,0.019,0.019,1138700,0.019
2015-04-13,0.019,0.022,0.019,0.022,51000,0.022
2015-04-14,0.022,0.022,0.019,0.019,719000,0.019
2015-04-15,0.022,0.022,0.021,0.021,372300,0.021
2015-04-16,0.021,0.022,0.02,0.022,85000,0.022
2015-04-17,0.023,0.026,0.023,0.026,504900,0.026
2015-04-20,0.023,0.023,0.022,0.022,600000,0.022
2015-04-21,0.022,0.022,0.021,0.022,134400,0.022
2015-04-22,0.024,0.024,0.022,0.022,135000,0.022
2015-04-23,0.021,0.021,0.02,0.02,445000,0.02
2015-04-24,0.02,0.02,0.02,0.02,000,0.02
2015-04-27,0.022,0.022,0.022,0.022,100000,0.022
2015-04-28,0.024,0.024,0.024,0.024,181500,0.024
2015-04-29,0.026,0.026,0.025,0.025,205800,0.025
2015-04-30,0.025,0.025,0.025,0.025,000,0.025
2015-05-01,0.025,0.025,0.025,0.025,000,0.025
2015-05-04,0.025,0.025,0.025,0.025,266600,0.025
2015-05-05,0.025,0.025,0.025,0.025,200000,0.025
2015-05-06,0.025,0.025,0.025,0.025,000,0.025
2015-05-07,0.025,0.025,0.025,0.025,166600,0.025
2015-05-08,0.025,0.025,0.025,0.025,000,0.025
2015-05-11,0.025,0.025,0.025,0.025,000,0.025
2015-05-12,0.027,0.027,0.027,0.027,20000,0.027
2015-05-13,0.029,0.03,0.029,0.03,110000,0.03
2015-05-14,0.032,0.033,0.028,0.028,583500,0.028
2015-05-15,0.028,0.028,0.028,0.028,000,0.028
2015-05-18,0.028,0.028,0.028,0.028,50000,0.028
2015-05-19,0.028,0.028,0.028,0.028,240000,0.028
2015-05-20,0.028,0.028,0.028,0.028,000,0.028
2015-05-21,0.028,0.028,0.028,0.028,4200,0.028
2015-05-22,0.028,0.028,0.028,0.028,95800,0.028
2015-05-25,0.025,0.025,0.025,0.025,30000,0.025
2015-05-26,0.025,0.025,0.025,0.025,49500,0.025
2015-05-27,0.025,0.025,0.025,0.025,000,0.025
2015-05-28,0.025,0.025,0.025,0.025,000,0.025
2015-05-29,0.025,0.025,0.025,0.025,000,0.025
2015-06-01,0.025,0.025,0.025,0.025,000,0.025
2015-06-02,0.027,0.029,0.027,0.029,425000,0.029
2015-06-03,0.029,0.029,0.029,0.029,000,0.029
2015-06-04,0.026,0.026,0.026,0.026,16500,0.026
2015-06-05,0.026,0.026,0.026,0.026,95000,0.026
2015-06-08,0.026,0.026,0.026,0.026,000,0.026
2015-06-09,0.026,0.026,0.025,0.025,654700,0.025
2015-06-10,0.024,0.024,0.024,0.024,356400,0.024
2015-06-11,0.025,0.025,0.025,0.025,89700,0.025
2015-06-12,0.024,0.028,0.024,0.026,1373300,0.026
2015-06-15,0.026,0.026,0.026,0.026,15000,0.026
2015-06-16,0.026,0.026,0.026,0.026,200000,0.026
2015-06-17,0.028,0.03,0.026,0.03,2360000,0.03
2015-06-18,0.03,0.03,0.03,0.03,200000,0.03
2015-06-19,0.03,0.03,0.03,0.03,000,0.03
2015-06-22,0.03,0.03,0.03,0.03,000,0.03
2015-06-23,0.029,0.03,0.029,0.03,4145200,0.03
2015-06-24,0.033,0.033,0.032,0.032,70100,0.032
2015-06-25,0.033,0.033,0.032,0.032,365000,0.032
2015-06-26,0.032,0.032,0.032,0.032,000,0.032
2015-06-29,0.028,0.028,0.028,0.028,11000,0.028
2015-06-30,0.028,0.028,0.028,0.028,22500,0.028
2015-07-01,0.033,0.035,0.032,0.035,910300,0.035
2015-07-02,0.037,0.045,0.037,0.045,484700,0.045
2015-07-03,0.043,0.043,0.038,0.038,147500,0.038
2015-07-06,0.04,0.04,0.04,0.04,803000,0.04
2015-07-07,0.04,0.041,0.04,0.041,65000,0.041
2015-07-08,0.04,0.04,0.04,0.04,7500,0.04
2015-07-09,0.04,0.04,0.04,0.04,000,0.04
2015-07-10,0.04,0.04,0.04,0.04,000,0.04
2015-07-13,0.035,0.035,0.035,0.035,24400,0.035
2015-07-14,0.035,0.035,0.035,0.035,000,0.035
2015-07-15,0.035,0.035,0.035,0.035,297300,0.035
2015-07-16,0.035,0.035,0.035,0.035,35000,0.035
2015-07-17,0.035,0.035,0.035,0.035,000,0.035
2015-07-20,0.035,0.035,0.035,0.035,000,0.035
2015-07-21,0.035,0.035,0.035,0.035,000,0.035
2015-07-22,0.035,0.035,0.035,0.035,000,0.035
2015-07-23,0.035,0.035,0.035,0.035,000,0.035
2015-07-24,0.035,0.035,0.035,0.035,000,0.035
2015-07-27,0.035,0.035,0.035,0.035,000,0.035
2015-07-28,0.036,0.036,0.035,0.035,1060000,0.035
2015-07-29,0.035,0.035,0.035,0.035,38900,0.035
2015-07-30,0.035,0.035,0.035,0.035,000,0.035
2015-07-31,0.033,0.033,0.033,0.033,100000,0.033
2015-08-03,0.033,0.033,0.033,0.033,100000,0.033
2015-08-04,0.033,0.033,0.033,0.033,000,0.033
2015-08-05,0.033,0.033,0.033,0.033,000,0.033
2015-08-06,0.033,0.033,0.033,0.033,000,0.033
2015-08-07,0.033,0.033,0.033,0.033,000,0.033
2015-08-10,0.033,0.033,0.033,0.033,000,0.033
2015-08-11,0.033,0.033,0.033,0.033,000,0.033
2015-08-12,0.033,0.033,0.033,0.033,000,0.033
2015-08-13,0.033,0.033,0.033,0.033,000,0.033
2015-08-14,0.033,0.033,0.033,0.033,000,0.033
2015-08-17,0.032,0.032,0.031,0.031,50000,0.031
2015-08-18,0.031,0.031,0.031,0.031,000,0.031
2015-08-19,0.031,0.031,0.031,0.031,000,0.031
2015-08-20,0.031,0.031,0.031,0.031,000,0.031
2015-08-21,0.031,0.031,0.031,0.031,000,0.031
2015-08-24,0.031,0.031,0.031,0.031,51700,0.031
2015-08-25,0.031,0.031,0.031,0.031,287000,0.031
2015-08-26,0.031,0.038,0.031,0.038,126100,0.038
2015-08-27,0.033,0.033,0.032,0.032,500000,0.032
2015-08-28,0.035,0.035,0.034,0.034,550000,0.034
2015-08-31,0.034,0.034,0.033,0.033,350000,0.033
2015-09-01,0.032,0.032,0.031,0.031,509800,0.031
2015-09-02,0.03,0.031,0.03,0.031,55100,0.031
2015-09-03,0.031,0.031,0.031,0.031,000,0.031
2015-09-04,0.031,0.031,0.031,0.031,000,0.031
2015-09-07,0.031,0.031,0.031,0.031,000,0.031
2015-09-08,0.031,0.031,0.031,0.031,000,0.031
2015-09-09,0.035,0.035,0.035,0.035,217600,0.035
2015-09-10,0.035,0.035,0.035,0.035,000,0.035
2015-09-11,0.035,0.035,0.035,0.035,000,0.035
2015-09-14,0.035,0.035,0.035,0.035,000,0.035
2015-09-15,0.034,0.034,0.034,0.034,10000,0.034
2015-09-16,0.034,0.034,0.034,0.034,000,0.034
2015-09-17,0.034,0.034,0.034,0.034,000,0.034
2015-09-18,0.034,0.034,0.034,0.034,000,0.034
2015-09-21,0.034,0.034,0.034,0.034,000,0.034
2015-09-22,0.034,0.034,0.034,0.034,000,0.034
2015-09-23,0.034,0.034,0.034,0.034,000,0.034
2015-09-24,0.038,0.038,0.038,0.038,100000,0.038
2015-09-25,0.038,0.038,0.038,0.038,000,0.038
2015-09-28,0.038,0.038,0.038,0.038,30000,0.038
2015-09-29,0.039,0.039,0.039,0.039,130000,0.039
2015-09-30,0.037,0.037,0.034,0.034,20500,0.034
2015-10-01,0.035,0.035,0.035,0.035,150000,0.035
2015-10-02,0.035,0.035,0.035,0.035,000,0.035
2015-10-05,0.035,0.035,0.035,0.035,000,0.035
2015-10-06,0.037,0.037,0.036,0.036,224300,0.036
2015-10-07,0.036,0.036,0.036,0.036,000,0.036
2015-10-08,0.036,0.036,0.036,0.036,000,0.036
2015-10-09,0.036,0.036,0.036,0.036,000,0.036
2015-10-12,0.036,0.036,0.036,0.036,000,0.036
2015-10-13,0.036,0.036,0.036,0.036,000,0.036
2015-10-14,0.036,0.036,0.036,0.036,000,0.036
2015-10-15,0.036,0.036,0.036,0.036,000,0.036
2015-10-16,0.036,0.036,0.036,0.036,000,0.036
2015-10-19,0.036,0.036,0.036,0.036,000,0.036
2015-10-20,0.036,0.037,0.036,0.037,233800,0.037
2015-10-21,0.037,0.037,0.037,0.037,000,0.037
2015-10-22,0.037,0.041,0.037,0.041,94500,0.041
2015-10-23,0.042,0.045,0.042,0.045,588000,0.045
2015-10-26,0.045,0.045,0.044,0.045,551400,0.045
2015-10-27,0.045,0.05,0.045,0.05,916500,0.05
2015-10-28,0.05,0.052,0.05,0.05,798300,0.05
2015-10-29,0.05,0.05,0.05,0.05,000,0.05
2015-10-30,0.05,0.05,0.039,0.039,497000,0.039
2015-11-02,0.041,0.041,0.041,0.041,10900,0.041
2015-11-03,0.041,0.041,0.041,0.041,20000,0.041
2015-11-04,0.041,0.041,0.041,0.041,000,0.041
2015-11-05,0.044,0.046,0.044,0.045,139300,0.045
2015-11-06,0.045,0.045,0.045,0.045,000,0.045
2015-11-09,0.045,0.045,0.045,0.045,000,0.045
2015-11-10,0.05,0.051,0.047,0.047,838000,0.047
2015-11-11,0.047,0.047,0.047,0.047,000,0.047
2015-11-12,0.047,0.047,0.045,0.045,175000,0.045
2015-11-13,0.045,0.045,0.043,0.043,261100,0.043
2015-11-16,0.043,0.043,0.041,0.041,219400,0.041
2015-11-17,0.042,0.043,0.042,0.043,218400,0.043
2015-11-18,0.043,0.045,0.043,0.045,175000,0.045
2015-11-19,0.044,0.044,0.043,0.043,150000,0.043
2015-11-20,0.043,0.043,0.043,0.043,000,0.043
2015-11-23,0.043,0.043,0.043,0.043,000,0.043
2015-11-24,0.043,0.043,0.042,0.042,741300,0.042
2015-11-25,0.043,0.043,0.039,0.039,253300,0.039
2015-11-26,0.039,0.039,0.039,0.039,000,0.039
2015-11-27,0.039,0.039,0.039,0.039,000,0.039
2015-11-30,0.038,0.038,0.038,0.038,2500,0.038
2015-12-01,0.038,0.038,0.038,0.038,000,0.038
2015-12-02,0.038,0.038,0.038,0.038,000,0.038
2015-12-03,0.039,0.039,0.039,0.039,58300,0.039
2015-12-04,0.039,0.039,0.039,0.039,21600,0.039
2015-12-07,0.039,0.039,0.039,0.039,75000,0.039
2015-12-08,0.039,0.039,0.039,0.039,6000,0.039
2015-12-09,0.039,0.04,0.037,0.04,260000,0.04
2015-12-10,0.039,0.039,0.039,0.039,50000,0.039
2015-12-11,0.039,0.039,0.039,0.039,50000,0.039
2015-12-14,0.039,0.039,0.039,0.039,000,0.039
2015-12-15,0.039,0.039,0.039,0.039,000,0.039
2015-12-16,0.039,0.039,0.039,0.039,000,0.039
2015-12-17,0.039,0.044,0.039,0.042,100000,0.042
2015-12-18,0.037,0.037,0.035,0.035,175000,0.035
2015-12-21,0.035,0.035,0.035,0.035,000,0.035
2015-12-22,0.035,0.035,0.035,0.035,000,0.035
