Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.30,0.30,0.30,0.30,000,0.28663
2015-01-02,0.30,0.30,0.30,0.30,35000,0.28663
2015-01-05,0.30,0.30,0.30,0.30,2700,0.28663
2015-01-06,0.325,0.325,0.30,0.30,88300,0.28663
2015-01-07,0.30,0.30,0.30,0.30,000,0.28663
2015-01-08,0.30,0.30,0.29,0.29,13400,0.27707
2015-01-09,0.29,0.29,0.29,0.29,000,0.27707
2015-01-12,0.29,0.31,0.29,0.31,102400,0.29618
2015-01-13,0.31,0.31,0.31,0.31,000,0.29618
2015-01-14,0.30,0.30,0.30,0.30,18700,0.28663
2015-01-15,0.29,0.29,0.26,0.26,135100,0.24841
2015-01-16,0.26,0.275,0.25,0.275,15200,0.26274
2015-01-19,0.275,0.275,0.275,0.275,1400,0.26274
2015-01-20,0.27,0.27,0.255,0.255,48500,0.24363
2015-01-21,0.255,0.255,0.255,0.255,000,0.24363
2015-01-22,0.255,0.255,0.255,0.255,4400,0.24363
2015-01-23,0.25,0.255,0.25,0.255,13200,0.24363
2015-01-26,0.255,0.255,0.255,0.255,000,0.24363
2015-01-27,0.25,0.25,0.25,0.25,6400,0.23885
2015-01-28,0.25,0.25,0.25,0.25,000,0.23885
2015-01-29,0.25,0.25,0.24,0.25,65000,0.23885
2015-01-30,0.25,0.25,0.25,0.25,000,0.23885
2015-02-02,0.25,0.25,0.25,0.25,000,0.23885
2015-02-03,0.25,0.25,0.25,0.25,000,0.23885
2015-02-04,0.26,0.28,0.26,0.28,48300,0.26752
2015-02-05,0.285,0.31,0.285,0.31,350000,0.29618
2015-02-06,0.31,0.31,0.31,0.31,000,0.29618
2015-02-09,0.31,0.31,0.31,0.31,000,0.29618
2015-02-10,0.31,0.31,0.31,0.31,000,0.29618
2015-02-11,0.31,0.31,0.31,0.31,000,0.29618
2015-02-12,0.31,0.31,0.31,0.31,8000,0.29618
2015-02-13,0.33,0.33,0.33,0.33,82500,0.31529
2015-02-16,0.33,0.33,0.315,0.315,9800,0.30096
2015-02-17,0.315,0.315,0.315,0.315,5000,0.30096
2015-02-18,0.305,0.305,0.305,0.305,1200,0.2914
2015-02-19,0.315,0.315,0.315,0.315,6000,0.30096
2015-02-20,0.33,0.33,0.33,0.33,7900,0.31529
2015-02-23,0.325,0.325,0.325,0.325,22800,0.31051
2015-02-24,0.32,0.32,0.32,0.32,87200,0.30573
2015-02-25,0.32,0.32,0.32,0.32,000,0.30573
2015-02-26,0.32,0.32,0.32,0.32,000,0.30573
2015-02-27,0.32,0.32,0.32,0.32,000,0.30573
2015-03-02,0.32,0.33,0.32,0.33,11000,0.31529
2015-03-03,0.32,0.33,0.32,0.32,16200,0.30573
2015-03-04,0.32,0.32,0.32,0.32,000,0.30573
2015-03-05,0.32,0.32,0.32,0.32,000,0.30573
2015-03-06,0.32,0.32,0.32,0.32,000,0.30573
2015-03-09,0.32,0.32,0.32,0.32,000,0.30573
2015-03-10,0.32,0.32,0.32,0.32,000,0.30573
2015-03-11,0.32,0.32,0.32,0.32,000,0.30573
2015-03-12,0.35,0.35,0.35,0.35,2900,0.3344
2015-03-13,0.35,0.35,0.32,0.32,3500,0.30573
2015-03-16,0.39,0.39,0.39,0.39,8700,0.37261
2015-03-17,0.35,0.35,0.35,0.35,6700,0.3344
2015-03-18,0.35,0.35,0.35,0.35,43200,0.3344
2015-03-19,0.33,0.33,0.33,0.33,10000,0.31529
2015-03-20,0.33,0.33,0.33,0.33,000,0.31529
2015-03-23,0.33,0.33,0.33,0.33,000,0.31529
2015-03-24,0.335,0.34,0.33,0.33,10400,0.31529
2015-03-25,0.33,0.33,0.33,0.33,3000,0.31529
2015-03-26,0.33,0.33,0.32,0.32,7900,0.30573
2015-03-27,0.32,0.35,0.32,0.35,6100,0.3344
2015-03-30,0.32,0.32,0.32,0.32,24000,0.30573
2015-03-31,0.32,0.32,0.32,0.32,000,0.30573
2015-04-01,0.32,0.32,0.32,0.32,000,0.30573
2015-04-02,0.32,0.32,0.32,0.32,000,0.30573
2015-04-03,0.32,0.32,0.32,0.32,000,0.30573
2015-04-06,0.32,0.32,0.32,0.32,000,0.30573
2015-04-07,0.32,0.32,0.32,0.32,000,0.30573
2015-04-08,0.33,0.33,0.32,0.32,13800,0.30573
2015-04-09,0.32,0.32,0.32,0.32,17100,0.30573
2015-04-10,0.32,0.32,0.32,0.32,000,0.30573
2015-04-13,0.32,0.32,0.32,0.32,000,0.30573
2015-04-14,0.32,0.32,0.32,0.32,000,0.30573
2015-04-15,0.32,0.32,0.32,0.32,000,0.30573
2015-04-16,0.32,0.32,0.32,0.32,5000,0.30573
2015-04-17,0.32,0.32,0.32,0.32,22300,0.30573
2015-04-20,0.32,0.32,0.32,0.32,10000,0.30573
2015-04-21,0.32,0.32,0.32,0.32,9900,0.30573
2015-04-22,0.32,0.32,0.32,0.32,43900,0.30573
2015-04-23,0.32,0.32,0.32,0.32,000,0.30573
2015-04-24,0.32,0.32,0.32,0.32,11000,0.30573
2015-04-27,0.32,0.32,0.32,0.32,000,0.30573
