Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.125,0.125,0.125,0.125,000,0.125
2015-01-02,0.125,0.125,0.125,0.125,000,0.125
2015-01-05,0.13,0.13,0.13,0.13,140000,0.13
2015-01-06,0.125,0.125,0.125,0.125,108600,0.125
2015-01-07,0.125,0.125,0.125,0.125,000,0.125
2015-01-08,0.125,0.125,0.125,0.125,15000,0.125
2015-01-09,0.125,0.125,0.125,0.125,100000,0.125
2015-01-12,0.13,0.13,0.125,0.125,30000,0.125
2015-01-13,0.125,0.125,0.125,0.125,77500,0.125
2015-01-14,0.13,0.135,0.125,0.125,93200,0.125
2015-01-15,0.125,0.125,0.125,0.125,281500,0.125
2015-01-16,0.125,0.125,0.125,0.125,55000,0.125
2015-01-19,0.125,0.125,0.125,0.125,26100,0.125
2015-01-20,0.125,0.125,0.125,0.125,000,0.125
2015-01-21,0.125,0.13,0.125,0.13,319300,0.13
2015-01-22,0.125,0.13,0.125,0.13,290300,0.13
2015-01-23,0.13,0.13,0.13,0.13,83800,0.13
2015-01-26,0.13,0.13,0.13,0.13,000,0.13
2015-01-27,0.13,0.13,0.13,0.13,77500,0.13
2015-01-28,0.13,0.13,0.13,0.13,53900,0.13
2015-01-29,0.13,0.13,0.125,0.125,112500,0.125
2015-01-30,0.125,0.125,0.12,0.12,71000,0.12
2015-02-02,0.12,0.12,0.115,0.115,239100,0.115
2015-02-03,0.12,0.12,0.12,0.12,239800,0.12
2015-02-04,0.13,0.13,0.13,0.13,748100,0.13
2015-02-05,0.13,0.15,0.13,0.142,1758200,0.142
2015-02-06,0.142,0.142,0.142,0.142,000,0.142
2015-02-09,0.145,0.145,0.13,0.145,220000,0.145
2015-02-10,0.13,0.135,0.13,0.135,175000,0.135
2015-02-11,0.145,0.145,0.145,0.145,70000,0.145
2015-02-12,0.145,0.145,0.145,0.145,000,0.145
2015-02-13,0.145,0.145,0.145,0.145,107900,0.145
2015-02-16,0.14,0.145,0.14,0.145,22000,0.145
2015-02-17,0.145,0.145,0.145,0.145,663600,0.145
2015-02-18,0.145,0.15,0.145,0.145,486800,0.145
2015-02-19,0.15,0.15,0.15,0.15,904900,0.15
2015-02-20,0.15,0.15,0.15,0.15,000,0.15
2015-02-23,0.15,0.15,0.15,0.15,000,0.15
2015-02-24,0.14,0.145,0.14,0.145,200100,0.145
2015-02-25,0.145,0.145,0.14,0.14,808300,0.14
2015-02-26,0.135,0.14,0.135,0.135,221000,0.135
2015-02-27,0.135,0.14,0.135,0.14,8300,0.14
2015-03-02,0.135,0.135,0.135,0.135,43000,0.135
2015-03-03,0.14,0.14,0.14,0.14,114400,0.14
2015-03-04,0.135,0.1375,0.135,0.135,433900,0.135
