Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.36,3.36,3.36,3.36,000,3.00991
2015-01-02,3.36,3.385,3.32,3.35,953900,3.00096
2015-01-05,3.34,3.38,3.34,3.38,1090100,3.02783
2015-01-06,3.34,3.42,3.29,3.38,1711500,3.02783
2015-01-07,3.31,3.37,3.30,3.33,1605200,2.98304
2015-01-08,3.33,3.37,3.32,3.34,2284100,2.992
2015-01-09,3.38,3.47,3.37,3.47,1264400,3.10845
2015-01-12,3.42,3.46,3.41,3.44,1210900,3.08158
2015-01-13,3.43,3.47,3.42,3.46,892300,3.09949
2015-01-14,3.47,3.785,3.46,3.69,4660100,3.30553
2015-01-15,3.70,3.71,3.61,3.66,4029700,3.27866
2015-01-16,3.63,3.695,3.63,3.66,2181000,3.27866
2015-01-19,3.68,3.705,3.62,3.64,1131300,3.26074
2015-01-20,3.62,3.705,3.62,3.68,1457300,3.29657
2015-01-21,3.70,3.73,3.68,3.72,2369400,3.3324
2015-01-22,3.73,3.75,3.66,3.67,2717800,3.28761
2015-01-23,3.70,3.72,3.68,3.72,1279400,3.3324
2015-01-26,3.72,3.72,3.72,3.72,000,3.3324
2015-01-27,3.72,3.83,3.71,3.81,2115600,3.41303
2015-01-28,3.79,3.82,3.77,3.82,3556500,3.42199
2015-01-29,3.80,3.94,3.77,3.94,2640800,3.52948
2015-01-30,3.96,3.96,3.90,3.95,4220600,3.53844
2015-02-02,3.96,4.00,3.90,3.96,2610700,3.5474
2015-02-03,3.98,4.00,3.92,3.97,2356500,3.55636
2015-02-04,4.00,4.03,3.93,3.98,2054600,3.56531
2015-02-05,4.00,4.06,3.98,4.04,2368800,3.61906
2015-02-06,4.07,4.10,4.01,4.04,2958500,3.61906
2015-02-09,4.06,4.07,4.01,4.06,1376500,3.63698
2015-02-10,4.07,4.14,4.04,4.14,2447400,3.70864
2015-02-11,4.14,4.14,4.11,4.13,1342800,3.69969
2015-02-12,4.14,4.16,4.10,4.10,1698600,3.67281
2015-02-13,4.11,4.24,4.10,4.17,2331000,3.73552
2015-02-16,4.16,4.19,4.12,4.15,1827900,3.7176
2015-02-17,4.14,4.19,4.10,4.16,982600,3.72656
2015-02-18,4.19,4.29,4.14,4.22,2698300,3.78031
2015-02-19,4.27,4.27,4.19,4.20,1331500,3.76239
2015-02-20,4.22,4.25,4.14,4.16,925600,3.72656
2015-02-23,4.17,4.28,4.165,4.26,2439600,3.81614
2015-02-24,4.29,4.345,4.26,4.34,2348500,3.88781
2015-02-25,4.38,4.43,4.325,4.40,3267900,3.94155
2015-02-26,4.42,4.42,4.29,4.35,2616300,3.89676
2015-02-27,4.38,4.45,4.35,4.42,3456300,3.95947
2015-03-02,4.43,4.46,4.26,4.30,4080400,3.85197
2015-03-03,4.33,4.415,4.29,4.39,2480200,3.9326
2015-03-04,4.42,4.57,4.36,4.51,4904800,4.04009
2015-03-05,4.51,4.54,4.45,4.54,3361100,4.06697
2015-03-06,4.52,4.58,4.52,4.53,1830400,4.05801
2015-03-09,4.50,4.53,4.43,4.46,2488800,3.9953
2015-03-10,4.49,4.57,4.48,4.49,2525800,4.02218
2015-03-11,4.47,4.535,4.41,4.49,1974800,4.02218
2015-03-12,4.49,4.54,4.48,4.51,1739200,4.04009
2015-03-13,4.50,4.59,4.49,4.58,1904300,4.1028
2015-03-16,4.54,4.56,4.47,4.49,1356200,4.02218
2015-03-17,4.52,4.54,4.45,4.47,1470400,4.00426
2015-03-18,4.44,4.45,4.37,4.38,2216900,3.92364
2015-03-19,4.38,4.44,4.36,4.38,2246200,3.92364
2015-03-20,4.39,4.42,4.35,4.35,2028000,3.89676
2015-03-23,4.34,4.40,4.31,4.38,1174400,3.92364
2015-03-24,4.40,4.52,4.38,4.43,2123100,3.96843
2015-03-25,4.46,4.49,4.405,4.43,1990500,3.96843
2015-03-26,4.40,4.41,4.27,4.28,2523400,3.83406
2015-03-27,4.29,4.395,4.29,4.38,2245700,3.92364
2015-03-30,4.33,4.37,4.285,4.35,1480800,3.89676
2015-03-31,4.38,4.47,4.38,4.45,2329600,3.98634
2015-04-01,4.40,4.46,4.35,4.36,1033000,3.90572
2015-04-02,4.42,4.455,4.38,4.38,1015100,3.92364
2015-04-03,4.38,4.38,4.38,4.38,000,3.92364
2015-04-06,4.38,4.38,4.38,4.38,000,3.92364
