Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.145,0.145,0.145,0.145,000,0.145
2015-01-02,0.135,0.135,0.135,0.135,21000,0.135
2015-01-05,0.135,0.135,0.135,0.135,000,0.135
2015-01-06,0.135,0.135,0.135,0.135,000,0.135
2015-01-07,0.135,0.135,0.135,0.135,000,0.135
2015-01-08,0.145,0.145,0.145,0.145,100000,0.145
2015-01-09,0.145,0.145,0.145,0.145,000,0.145
2015-01-12,0.145,0.145,0.145,0.145,100000,0.145
2015-01-13,0.145,0.145,0.135,0.135,71000,0.135
2015-01-14,0.135,0.135,0.135,0.135,000,0.135
2015-01-15,0.135,0.135,0.135,0.135,000,0.135
2015-01-16,0.13,0.13,0.13,0.13,61800,0.13
2015-01-19,0.135,0.135,0.135,0.135,21500,0.135
2015-01-20,0.135,0.135,0.135,0.135,000,0.135
2015-01-21,0.135,0.135,0.135,0.135,000,0.135
2015-01-22,0.135,0.135,0.135,0.135,000,0.135
2015-01-23,0.135,0.135,0.135,0.135,000,0.135
2015-01-26,0.135,0.135,0.135,0.135,000,0.135
2015-01-27,0.12,0.12,0.12,0.12,78400,0.12
2015-01-28,0.135,0.135,0.135,0.135,67700,0.135
2015-01-29,0.135,0.135,0.135,0.135,17200,0.135
2015-01-30,0.13,0.13,0.13,0.13,5600,0.13
2015-02-02,0.13,0.13,0.13,0.13,24700,0.13
2015-02-03,0.13,0.13,0.13,0.13,000,0.13
2015-02-04,0.13,0.14,0.13,0.14,111200,0.14
2015-02-05,0.14,0.14,0.14,0.14,10000,0.14
2015-02-06,0.135,0.135,0.13,0.13,29200,0.13
2015-02-09,0.125,0.14,0.125,0.14,44200,0.14
2015-02-10,0.14,0.14,0.14,0.14,000,0.14
2015-02-11,0.15,0.15,0.15,0.15,10000,0.15
2015-02-12,0.15,0.15,0.15,0.15,000,0.15
2015-02-13,0.13,0.135,0.115,0.135,349200,0.135
2015-02-16,0.115,0.115,0.10,0.11,168100,0.11
2015-02-17,0.11,0.11,0.11,0.11,5000,0.11
2015-02-18,0.11,0.11,0.11,0.11,000,0.11
2015-02-19,0.135,0.145,0.13,0.145,298600,0.145
2015-02-20,0.135,0.14,0.135,0.14,36400,0.14
2015-02-23,0.14,0.14,0.14,0.14,000,0.14
2015-02-24,0.14,0.14,0.14,0.14,000,0.14
2015-02-25,0.14,0.145,0.14,0.145,109400,0.145
2015-02-26,0.14,0.14,0.135,0.14,123000,0.14
2015-02-27,0.14,0.14,0.13,0.13,19100,0.13
2015-03-02,0.13,0.135,0.13,0.135,6400,0.135
2015-03-03,0.135,0.135,0.135,0.135,7200,0.135
2015-03-04,0.135,0.135,0.135,0.135,000,0.135
