Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.195,0.195,0.195,0.195,000,0.195
2015-01-02,0.195,0.195,0.195,0.195,000,0.195
2015-01-05,0.195,0.195,0.195,0.195,000,0.195
2015-01-06,0.195,0.195,0.195,0.195,000,0.195
2015-01-07,0.19,0.19,0.19,0.19,5300,0.19
2015-01-08,0.19,0.19,0.19,0.19,000,0.19
2015-01-09,0.19,0.19,0.19,0.19,76900,0.19
2015-01-12,0.19,0.19,0.19,0.19,000,0.19
2015-01-13,0.185,0.185,0.185,0.185,6600,0.185
2015-01-14,0.185,0.185,0.185,0.185,000,0.185
2015-01-15,0.195,0.195,0.19,0.19,4700,0.19
2015-01-16,0.19,0.19,0.19,0.19,10000,0.19
2015-01-19,0.19,0.19,0.19,0.19,36900,0.19
2015-01-20,0.19,0.19,0.19,0.19,000,0.19
2015-01-21,0.185,0.195,0.185,0.195,68600,0.195
2015-01-22,0.185,0.185,0.18,0.18,7000,0.18
2015-01-23,0.19,0.195,0.19,0.195,152000,0.195
2015-01-26,0.195,0.195,0.195,0.195,000,0.195
2015-01-27,0.19,0.19,0.19,0.19,16000,0.19
2015-01-28,0.19,0.19,0.19,0.19,000,0.19
2015-01-29,0.19,0.19,0.19,0.19,40000,0.19
2015-01-30,0.19,0.20,0.19,0.20,3000,0.20
2015-02-02,0.20,0.20,0.20,0.20,105000,0.20
2015-02-03,0.20,0.20,0.18,0.19,340000,0.19
2015-02-04,0.185,0.185,0.185,0.185,7000,0.185
2015-02-05,0.20,0.20,0.20,0.20,10000,0.20
2015-02-06,0.19,0.19,0.185,0.185,70500,0.185
2015-02-09,0.185,0.185,0.185,0.185,000,0.185
2015-02-10,0.185,0.185,0.185,0.185,000,0.185
2015-02-11,0.185,0.20,0.185,0.20,201100,0.20
2015-02-12,0.20,0.20,0.195,0.195,135600,0.195
2015-02-13,0.195,0.195,0.195,0.195,5000,0.195
2015-02-16,0.195,0.195,0.195,0.195,194000,0.195
2015-02-17,0.19,0.19,0.17,0.17,113100,0.17
2015-02-18,0.185,0.185,0.185,0.185,30000,0.185
2015-02-19,0.18,0.18,0.18,0.18,29200,0.18
2015-02-20,0.185,0.185,0.18,0.185,73500,0.185
2015-02-23,0.185,0.19,0.17,0.17,86400,0.17
2015-02-24,0.18,0.19,0.18,0.18,63000,0.18
2015-02-25,0.18,0.18,0.18,0.18,50500,0.18
2015-02-26,0.19,0.19,0.19,0.19,8400,0.19
2015-02-27,0.19,0.19,0.19,0.19,21500,0.19
2015-03-02,0.19,0.195,0.19,0.195,50200,0.195
2015-03-03,0.20,0.20,0.175,0.175,107000,0.175
2015-03-04,0.175,0.175,0.175,0.175,000,0.175
2015-03-05,0.18,0.18,0.175,0.175,12000,0.175
2015-03-06,0.185,0.19,0.185,0.185,43500,0.185
2015-03-09,0.185,0.19,0.185,0.19,5200,0.19
2015-03-10,0.19,0.19,0.19,0.19,000,0.19
2015-03-11,0.19,0.19,0.18,0.18,18600,0.18
