Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,140.40,140.97,140.40,140.97,200,140.04
2015-01-05,140.50,140.50,139.31,140.04,1400,139.12
2015-01-06,139.03,139.03,138.05,138.05,1200,137.14
2015-01-07,136.40,136.61,136.40,136.61,1000,135.71
2015-01-08,137.30,137.65,137.30,137.65,400,136.74
2015-01-09,139.40,139.40,138.75,138.75,600,137.84
2015-01-12,136.30,136.30,134.90,135.50,1400,134.61
2015-01-13,137.16,137.16,136.03,136.92,600,136.02
2015-01-14,137.01,138.22,137.01,137.29,500,136.39
2015-01-15,137.44,137.44,136.32,136.32,1500,135.42
2015-01-16,133.00,133.00,131.85,132.51,200,131.64
2015-01-21,135.89,135.89,135.40,135.40,500,134.51
2015-01-22,135.97,137.58,135.97,137.58,100,136.67
2015-01-23,140.98,141.09,140.62,141.09,1000,140.16
2015-01-27,143.74,143.74,143.67,143.74,700,142.79
2015-01-28,143.64,143.74,141.74,143.36,1400,142.42
2015-01-29,141.40,141.60,140.50,141.60,400,140.67
2015-01-30,144.86,144.86,144.20,144.73,400,143.78
2015-02-02,142.69,142.69,141.34,142.48,500,141.54
2015-02-03,143.30,143.30,142.40,142.40,100,141.46
2015-02-04,145.65,145.93,145.35,145.35,200,144.39
2015-02-05,144.90,144.99,144.90,144.90,000,143.95
2015-02-06,147.29,147.29,146.09,146.81,400,145.84
2015-02-09,146.87,147.45,146.84,147.45,700,146.48
2015-02-10,146.15,146.22,145.58,145.58,700,144.62
2015-02-11,146.20,146.99,146.20,146.99,000,146.02
2015-02-12,148.00,149.44,148.00,149.18,1100,148.20
2015-02-13,149.18,149.22,148.60,148.60,700,147.62
2015-02-16,149.21,149.23,148.46,148.46,300,147.48
2015-02-17,149.35,149.45,148.05,148.50,500,147.52
2015-02-18,148.37,148.84,148.29,148.84,300,147.86
2015-02-19,148.84,148.95,148.55,148.55,2500,147.57
2015-02-20,149.04,149.04,148.70,148.70,100,147.72
2015-02-23,148.97,148.99,148.89,148.89,200,147.91
2015-02-24,149.88,150.65,149.87,150.65,1200,149.66
2015-02-25,149.92,149.92,148.50,148.74,600,147.76
2015-02-26,148.61,149.15,148.50,149.15,300,148.17
2015-02-27,149.76,150.77,149.76,150.77,400,149.78
2015-03-02,150.19,150.83,150.00,150.83,500,149.84
2015-03-03,150.83,151.81,150.79,150.79,1300,149.80
2015-03-04,149.04,149.62,149.04,149.62,400,148.63
2015-03-05,148.60,148.60,148.32,148.42,4100,147.44
2015-03-06,149.99,149.99,148.81,148.81,500,147.83
2015-03-09,148.36,149.31,148.36,148.65,500,147.67
2015-03-10,150.84,151.01,150.84,151.01,000,150.01
2015-03-11,150.00,150.47,149.53,150.47,500,149.48
2015-03-12,151.38,152.33,151.38,151.89,800,150.89
2015-03-13,152.00,152.16,151.48,151.69,1200,150.69
2015-03-16,151.91,152.00,151.78,152.00,700,151.00
2015-03-17,152.73,153.04,152.33,152.33,400,151.33
2015-03-18,153.31,154.04,153.31,154.02,400,153.00
2015-03-19,152.28,152.77,152.28,152.77,000,151.76
2015-03-20,154.14,155.08,153.98,154.98,900,153.96
2015-03-23,154.43,154.47,153.52,153.75,200,152.74
2015-03-24,152.30,152.60,152.27,152.60,700,151.59
2015-03-25,152.60,153.03,152.24,152.26,600,151.26
2015-03-26,150.10,150.10,149.14,149.38,500,148.93
2015-03-27,149.30,150.59,149.03,150.59,100,150.13
2015-03-30,151.68,151.99,151.50,151.99,300,151.53
2015-03-31,151.99,155.15,151.99,155.14,500,154.67
2015-04-01,155.15,155.15,153.00,153.95,600,153.48
2015-04-02,155.03,156.36,155.03,155.63,1200,155.16
2015-04-07,156.30,156.85,154.70,154.70,100,154.23
2015-04-08,154.20,154.20,153.93,153.93,000,153.46
2015-04-09,154.40,154.40,154.02,154.02,000,153.55
2015-04-10,154.00,154.00,153.50,153.89,700,153.42
2015-04-14,156.13,157.07,156.01,157.07,100,156.59
2015-04-15,156.43,156.80,156.00,156.16,500,155.69
2015-04-16,154.64,154.75,154.63,154.65,300,154.18
2015-04-17,153.00,153.91,152.80,153.50,1500,153.03
2015-04-20,153.47,153.47,150.68,150.68,200,150.22
2015-04-21,153.77,154.43,153.77,154.43,800,153.96
2015-04-22,154.13,154.13,152.44,152.44,300,151.98
2015-04-23,152.85,153.66,152.70,153.00,1000,152.54
2015-04-24,153.83,153.96,153.45,153.45,100,152.98
2015-04-27,152.58,152.58,152.21,152.21,500,151.75
2015-04-28,150.76,150.76,149.87,149.87,1700,149.41
2015-04-29,148.62,149.48,148.62,148.64,1400,148.19
2015-04-30,146.82,147.61,146.71,146.71,600,146.26
2015-05-01,146.38,146.99,146.34,146.34,1200,145.90
2015-05-04,147.79,148.68,147.79,148.03,1100,147.58
2015-05-05,148.29,148.81,147.59,147.59,600,147.14
2015-05-06,146.09,146.09,145.02,145.77,500,145.33
2015-05-07,145.50,145.68,145.50,145.68,1000,145.24
2015-05-08,146.58,147.81,146.58,147.81,400,147.36
2015-05-11,147.62,147.62,147.49,147.59,600,147.14
2015-05-12,147.59,147.59,147.35,147.35,000,146.90
2015-05-13,146.35,146.35,146.25,146.35,900,145.91
2015-05-14,143.84,143.84,142.87,143.35,500,142.91
2015-05-15,146.00,146.00,146.00,146.00,300,145.56
2015-05-18,146.45,146.75,146.24,146.75,700,146.30
2015-05-19,146.00,149.00,146.00,148.48,4300,148.03
2015-05-20,150.35,150.35,149.37,149.37,300,148.92
2015-05-21,150.00,150.60,149.58,149.58,200,149.13
2015-05-22,149.84,150.10,149.84,150.10,600,149.64
2015-05-25,151.75,151.75,151.62,151.62,200,151.16
2015-05-26,151.45,151.45,150.37,150.37,300,149.91
2015-05-27,150.00,151.19,150.00,150.40,300,149.94
2015-05-28,152.27,154.00,152.27,154.00,1100,153.53
2015-05-29,154.00,154.47,154.00,154.47,400,154.00
2015-06-01,154.06,154.06,153.76,153.76,100,153.29
2015-06-02,154.50,154.50,153.79,153.79,400,153.32
2015-06-03,151.41,151.72,151.01,151.02,200,150.56
2015-06-04,153.32,154.00,153.32,154.00,200,153.53
2015-06-05,154.00,154.00,154.00,154.00,000,153.53
2015-06-09,154.00,154.00,154.00,154.00,200,153.53
2015-06-10,154.00,155.01,153.00,153.00,200,152.54
2015-06-11,155.38,155.38,153.46,154.46,1800,153.99
2015-06-12,153.91,154.26,153.91,154.26,1300,153.79
2015-06-15,154.00,154.46,153.89,153.89,500,153.42
2015-06-16,153.75,153.92,153.45,153.86,2600,153.39
2015-06-17,155.64,155.64,154.90,155.24,100,154.77
2015-06-18,155.02,155.02,154.95,154.95,000,154.48
2015-06-19,154.99,156.46,154.99,156.46,2100,155.98
2015-06-22,156.96,156.96,155.91,155.97,1400,155.50
2015-06-23,157.95,158.03,157.84,158.03,100,157.55
2015-06-24,158.00,158.48,157.70,158.48,700,158.00
2015-06-25,157.58,157.58,156.61,157.00,100,157.00
2015-06-26,156.58,156.90,156.12,156.81,200,156.81
2015-06-29,155.99,155.99,155.99,155.99,000,155.99
2015-06-30,154.00,154.10,154.00,154.00,300,154.00
2015-07-01,153.29,153.97,153.15,153.97,100,153.97
2015-07-02,155.66,155.66,155.20,155.47,700,155.47
2015-07-03,154.00,155.30,154.00,155.30,400,155.30
2015-07-06,155.47,155.47,155.47,155.47,100,155.47
2015-07-07,157.69,158.69,157.66,158.41,1200,158.41
2015-07-08,158.22,158.22,157.60,157.60,1200,157.60
2015-07-09,157.21,157.21,156.29,156.29,900,156.29
2015-07-10,157.43,157.50,157.00,157.50,400,157.50
2015-07-13,158.61,159.08,158.10,158.76,600,158.76
2015-07-14,161.41,161.41,160.13,160.13,200,160.13
2015-07-15,160.97,160.97,160.13,160.13,800,160.13
2015-07-16,162.00,162.21,161.60,161.60,700,161.60
2015-07-17,161.63,161.63,160.83,161.55,1300,161.55
2015-07-20,161.62,161.62,161.20,161.25,1600,161.25
2015-07-21,160.78,160.95,160.00,160.82,500,160.82
2015-07-22,161.00,161.00,159.26,159.28,400,159.28
2015-07-23,160.55,161.32,160.55,161.19,400,161.19
2015-07-24,159.02,160.66,158.98,160.60,300,160.60
2015-07-27,158.33,158.35,158.33,158.35,000,158.35
2015-07-28,158.32,158.34,157.37,157.60,1200,157.60
2015-07-30,159.06,159.06,158.03,158.08,400,158.08
2015-07-31,159.90,160.17,159.25,159.57,400,159.57
2015-08-03,160.45,160.45,160.45,160.45,000,160.45
2015-08-04,159.95,159.95,159.30,159.30,800,159.30
2015-08-05,158.11,158.11,158.00,158.00,1500,158.00
2015-08-06,159.26,159.80,159.26,159.50,200,159.50
2015-08-07,158.34,158.36,157.50,157.91,900,157.91
2015-08-10,156.47,156.47,156.08,156.08,600,156.08
2015-08-11,157.06,158.90,157.06,158.77,300,158.77
2015-08-12,158.77,159.00,158.43,158.45,500,158.45
2015-08-13,156.50,157.37,156.50,157.37,400,157.37
2015-08-14,156.17,156.85,156.17,156.85,400,156.85
2015-08-17,158.47,158.47,158.13,158.13,000,158.13
2015-08-18,158.64,159.63,158.64,159.43,600,159.43
2015-08-19,159.06,159.06,158.14,158.14,700,158.14
2015-08-20,157.10,157.20,156.37,157.20,400,157.20
2015-08-21,153.99,153.99,152.49,152.70,2800,152.70
2015-08-24,152.38,152.77,149.22,149.22,3400,149.22
2015-08-25,149.20,151.55,149.20,150.05,3400,150.05
2015-08-26,148.47,151.06,148.47,151.06,500,151.06
2015-08-27,152.95,152.95,152.47,152.47,400,152.47
2015-08-28,154.10,154.11,153.45,153.79,1500,153.79
2015-08-31,153.79,153.79,153.79,153.79,000,153.79
2015-09-01,153.79,153.79,152.60,153.11,300,153.11
2015-09-02,155.00,156.02,155.00,155.78,200,155.78
2015-09-03,155.80,155.89,155.80,155.80,500,155.80
2015-09-04,156.00,156.06,155.39,155.53,600,155.53
2015-09-07,156.89,158.12,156.89,158.10,1400,158.10
2015-09-08,157.74,157.74,157.22,157.22,000,157.22
2015-09-09,157.38,158.49,157.38,158.49,500,158.49
2015-09-11,155.75,156.57,155.75,156.57,500,156.57
2015-09-14,155.91,159.92,155.91,156.55,5200,156.55
2015-09-15,154.25,155.13,154.25,155.13,100,155.13
2015-09-16,156.00,156.00,155.27,155.27,1300,155.27
2015-09-17,156.62,156.62,155.59,155.68,1000,155.68
2015-09-18,155.91,156.75,155.85,155.85,500,155.85
2015-09-21,153.88,153.88,153.88,153.88,000,153.88
2015-09-22,156.13,156.36,155.80,156.36,200,156.36
2015-09-23,154.69,154.69,153.76,154.00,600,154.00
2015-09-24,156.80,156.80,156.01,156.10,000,156.10
2015-09-25,155.90,156.61,155.90,156.61,900,156.61
2015-09-28,154.15,154.15,154.15,154.15,000,154.15
2015-09-29,152.55,152.55,152.16,152.20,300,152.20
2015-09-30,150.89,152.04,150.89,152.04,600,152.04
2015-10-01,152.04,152.04,152.04,152.04,000,152.04
2015-10-02,151.83,151.83,150.98,150.98,600,150.98
2015-10-05,152.51,152.87,152.16,152.87,000,152.87
2015-10-06,155.13,155.39,155.13,155.27,000,155.27
2015-10-07,152.63,153.26,152.60,152.76,200,152.76
2015-10-08,154.77,155.24,154.77,155.15,600,155.15
2015-10-09,155.97,155.97,154.92,155.72,900,155.72
2015-10-12,154.53,154.53,154.16,154.16,1300,154.16
2015-10-13,153.84,155.00,153.84,155.00,1100,155.00
2015-10-14,154.86,154.86,154.25,154.74,100,154.74
2015-10-15,151.90,151.90,151.00,151.50,800,151.50
2015-10-16,154.33,154.86,154.33,154.75,400,154.75
2015-10-19,155.46,155.46,154.75,154.75,1200,154.75
2015-10-20,155.43,155.47,155.18,155.21,700,155.21
2015-10-21,155.26,155.55,155.26,155.55,200,155.55
2015-10-22,154.64,155.11,154.40,155.11,1200,155.11
2015-10-23,157.29,157.29,156.25,156.30,400,156.30
2015-10-26,157.18,157.18,155.70,155.70,500,155.70
2015-10-27,155.70,155.70,155.35,155.40,1400,155.40
2015-10-28,155.50,157.56,155.13,157.56,1300,157.56
2015-10-29,160.90,161.63,160.90,161.49,500,161.49
2015-10-30,160.90,160.98,160.28,160.55,1000,160.55
2015-11-02,159.07,159.07,158.10,158.26,900,158.26
2015-11-03,160.75,161.25,160.75,161.00,200,161.00
2015-11-04,161.00,161.33,161.00,161.33,100,161.33
2015-11-05,161.35,161.70,161.13,161.70,000,161.70
2015-11-06,161.90,162.47,161.90,162.26,400,162.26
2015-11-09,165.96,165.96,165.75,165.75,200,165.75
2015-11-10,163.23,163.35,162.71,162.73,400,162.73
2015-11-11,163.50,163.66,163.25,163.50,300,163.50
2015-11-12,161.54,161.57,159.77,159.77,100,159.77
2015-11-13,157.57,157.57,156.75,157.48,300,157.48
2015-11-16,155.46,155.66,155.00,155.66,200,155.66
2015-11-17,158.14,158.65,158.14,158.65,500,158.65
2015-11-18,158.35,158.41,157.95,157.95,1000,157.95
2015-11-19,159.43,160.33,159.40,159.40,1200,159.40
2015-11-20,158.28,158.28,157.16,157.16,300,157.16
2015-11-23,158.21,159.99,158.21,159.99,400,159.99
2015-11-24,160.16,160.16,159.21,159.94,100,159.94
2015-11-25,158.79,159.29,158.79,159.29,400,159.29
2015-11-26,161.07,161.74,160.85,161.74,500,161.74
2015-11-27,161.85,162.01,161.13,161.13,400,161.13
2015-12-01,161.75,161.75,161.28,161.31,100,161.31
2015-12-02,160.11,160.30,159.62,160.30,500,160.30
2015-12-03,159.87,159.87,158.84,158.84,300,158.84
2015-12-04,156.80,157.15,156.80,157.15,300,157.15
2015-12-07,157.15,157.34,156.79,156.79,100,156.79
2015-12-08,157.05,157.31,156.60,157.31,1800,157.31
2015-12-10,154.92,154.92,152.97,152.97,700,152.97
2015-12-11,154.33,154.84,154.33,154.84,100,154.84
2015-12-14,153.11,153.57,152.54,152.58,600,152.58
2015-12-15,151.03,151.03,150.50,150.50,300,150.50
2015-12-16,153.45,154.67,153.34,154.67,1400,154.67
2015-12-17,156.34,156.34,156.19,156.19,900,156.19
2015-12-18,155.39,155.39,154.26,154.26,300,154.26
2015-12-21,152.58,152.67,152.52,152.67,400,152.67
2015-12-22,153.14,153.76,153.14,153.65,1100,153.65
2015-12-23,153.41,153.70,153.41,153.70,100,153.70
2015-12-24,154.80,155.48,154.80,155.19,800,155.19
2015-12-29,154.34,154.34,153.74,153.81,200,153.81
2015-12-30,154.59,154.95,154.51,154.90,100,154.90
2016-01-04,151.64,153.15,151.44,151.44,200,151.44
2016-01-05,150.52,150.63,150.45,150.63,400,150.63
