Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.009,0.009,0.009,0.009,000,0.009
2015-01-02,0.009,0.009,0.009,0.009,000,0.009
2015-01-05,0.012,0.013,0.012,0.013,200000,0.013
2015-01-06,0.013,0.013,0.013,0.013,000,0.013
2015-01-07,0.013,0.013,0.013,0.013,6200,0.013
2015-01-08,0.013,0.013,0.013,0.013,000,0.013
2015-01-09,0.011,0.014,0.011,0.011,244800,0.011
2015-01-12,0.012,0.02,0.012,0.019,851700,0.019
2015-01-13,0.021,0.025,0.021,0.025,275000,0.025
2015-01-14,0.025,0.025,0.025,0.025,000,0.025
2015-01-15,0.024,0.024,0.024,0.024,40000,0.024
2015-01-16,0.024,0.024,0.024,0.024,000,0.024
2015-01-19,0.019,0.022,0.019,0.022,342500,0.022
2015-01-20,0.024,0.025,0.024,0.025,117500,0.025
2015-01-21,0.025,0.025,0.02,0.02,329000,0.02
2015-01-22,0.02,0.02,0.02,0.02,000,0.02
2015-01-23,0.02,0.02,0.02,0.02,000,0.02
2015-01-26,0.02,0.02,0.02,0.02,000,0.02
2015-01-27,0.021,0.021,0.021,0.021,7400,0.021
2015-01-28,0.021,0.021,0.021,0.021,100,0.021
2015-01-29,0.021,0.021,0.021,0.021,000,0.021
2015-01-30,0.022,0.022,0.02,0.02,425900,0.02
2015-02-02,0.02,0.02,0.02,0.02,000,0.02
2015-02-03,0.022,0.023,0.021,0.021,172900,0.021
2015-02-04,0.021,0.021,0.021,0.021,000,0.021
2015-02-05,0.022,0.025,0.022,0.025,55000,0.025
2015-02-06,0.028,0.031,0.028,0.028,337500,0.028
2015-02-09,0.028,0.028,0.028,0.028,000,0.028
2015-02-10,0.03,0.03,0.028,0.028,99000,0.028
2015-02-11,0.025,0.025,0.024,0.025,399600,0.025
2015-02-12,0.025,0.025,0.025,0.025,000,0.025
2015-02-13,0.024,0.026,0.024,0.026,177300,0.026
2015-02-16,0.025,0.027,0.024,0.024,91600,0.024
2015-02-17,0.021,0.021,0.021,0.021,14500,0.021
2015-02-18,0.024,0.025,0.024,0.025,235000,0.025
2015-02-19,0.025,0.025,0.025,0.025,000,0.025
2015-02-20,0.025,0.025,0.025,0.025,000,0.025
2015-02-23,0.02,0.02,0.02,0.02,35000,0.02
2015-02-24,0.02,0.02,0.02,0.02,54100,0.02
2015-02-25,0.02,0.02,0.02,0.02,13000,0.02
2015-02-26,0.02,0.02,0.02,0.02,000,0.02
2015-02-27,0.022,0.022,0.022,0.022,22000,0.022
2015-03-02,0.022,0.022,0.022,0.022,000,0.022
2015-03-03,0.022,0.022,0.022,0.022,000,0.022
2015-03-04,0.02,0.02,0.02,0.02,30000,0.02
2015-03-05,0.02,0.02,0.02,0.02,000,0.02
2015-03-06,0.023,0.023,0.023,0.023,52000,0.023
2015-03-09,0.023,0.023,0.023,0.023,000,0.023
2015-03-10,0.02,0.02,0.02,0.02,76700,0.02
2015-03-11,0.02,0.02,0.018,0.018,140500,0.018
2015-03-12,0.02,0.02,0.015,0.015,118000,0.015
2015-03-13,0.015,0.015,0.015,0.015,000,0.015
2015-03-16,0.015,0.02,0.015,0.02,101400,0.02
2015-03-17,0.02,0.02,0.02,0.02,000,0.02
2015-03-18,0.02,0.02,0.02,0.02,000,0.02
2015-03-19,0.017,0.017,0.017,0.017,15000,0.017
2015-03-20,0.017,0.017,0.017,0.017,000,0.017
2015-03-23,0.017,0.017,0.017,0.017,173000,0.017
2015-03-24,0.017,0.017,0.017,0.017,25300,0.017
2015-03-25,0.017,0.017,0.017,0.017,1000,0.017
2015-03-26,0.017,0.017,0.017,0.017,000,0.017
2015-03-27,0.017,0.017,0.017,0.017,90000,0.017
2015-03-30,0.019,0.019,0.018,0.018,144200,0.018
2015-03-31,0.018,0.018,0.018,0.018,8600,0.018
2015-04-01,0.018,0.018,0.018,0.018,000,0.018
2015-04-02,0.018,0.018,0.017,0.017,50000,0.017
2015-04-03,0.017,0.017,0.017,0.017,000,0.017
2015-04-06,0.017,0.017,0.017,0.017,000,0.017
2015-04-07,0.017,0.017,0.017,0.017,502700,0.017
2015-04-08,0.018,0.018,0.018,0.018,827700,0.018
2015-04-09,0.017,0.017,0.016,0.016,7500,0.016
2015-04-10,0.018,0.018,0.016,0.016,50600,0.016
2015-04-13,0.016,0.018,0.016,0.018,97000,0.018
