Date,Open,High,Low,Close,Volume,Adj Close
2016-05-24,0.30,0.30,0.30,0.30,21000,0.30
2016-05-25,0.30,0.30,0.30,0.30,25000,0.30
2016-05-26,0.30,0.30,0.30,0.30,000,0.30
2016-05-30,0.32,0.335,0.32,0.335,70000,0.335
2016-05-31,0.335,0.335,0.335,0.335,000,0.335
2016-06-01,0.335,0.335,0.335,0.335,000,0.335
2016-06-02,0.335,0.335,0.335,0.335,000,0.335
2016-06-03,0.335,0.335,0.335,0.335,000,0.335


2016-06-06,0.335,0.335,0.335,0.335,000,0.335
2016-06-07,0.335,0.335,0.335,0.335,000,0.335
2016-06-08,0.30,0.30,0.30,0.30,3800,0.30
2016-06-09,0.30,0.30,0.30,0.30,50000,0.30
2016-06-10,0.30,0.30,0.30,0.30,000,0.30


2016-06-13,0.30,0.30,0.30,0.30,000,0.30
2016-06-14,0.30,0.30,0.30,0.30,000,0.30
