Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.64,3.64,3.64,3.64,000,3.46579
2015-01-02,3.65,3.69,3.64,3.68,256700,3.50387
2015-01-05,3.63,3.735,3.63,3.72,863900,3.54196
2015-01-06,3.65,3.70,3.63,3.66,1280700,3.48483
2015-01-07,3.63,3.71,3.615,3.70,1976300,3.52292
2015-01-08,3.69,3.79,3.69,3.72,1623100,3.54196
2015-01-09,3.72,3.75,3.70,3.75,917300,3.57052
2015-01-12,3.72,3.73,3.68,3.71,1582100,3.53244
2015-01-13,3.68,3.69,3.63,3.67,1333600,3.49435
2015-01-14,3.68,3.71,3.66,3.67,1191000,3.49435
2015-01-15,3.68,3.68,3.65,3.67,1305900,3.49435
2015-01-16,3.65,3.68,3.63,3.66,1366700,3.48483
2015-01-19,3.68,3.72,3.64,3.71,1291500,3.53244
2015-01-20,3.71,3.71,3.67,3.71,2555400,3.53244
2015-01-21,3.71,3.78,3.70,3.77,2628000,3.58957
2015-01-22,3.77,3.81,3.73,3.79,2213700,3.60861
2015-01-23,3.77,3.90,3.77,3.85,2840200,3.66574
2015-01-26,3.85,3.85,3.85,3.85,000,3.66574
2015-01-27,3.85,3.93,3.83,3.87,1654600,3.68478
2015-01-28,3.83,3.89,3.81,3.84,1800800,3.65622
2015-01-29,3.83,3.89,3.825,3.86,2129900,3.67526
2015-01-30,3.89,3.89,3.86,3.86,1417400,3.67526
2015-02-02,3.88,3.92,3.86,3.89,608400,3.70382
2015-02-03,3.87,4.02,3.87,4.02,1910500,3.8276
2015-02-04,4.10,4.11,4.02,4.11,3287900,3.91329
2015-02-05,4.06,4.19,4.03,4.19,3833200,3.98947
2015-02-06,4.15,4.18,4.105,4.14,2277100,3.94186
2015-02-09,4.14,4.16,4.10,4.16,3167200,3.9609
2015-02-10,4.12,4.21,4.07,4.20,6606400,3.99899
2015-02-11,4.21,4.27,4.16,4.18,2883900,3.97994
2015-02-12,4.20,4.23,4.14,4.15,3635300,3.95138
2015-02-13,4.25,4.34,4.24,4.33,5784600,4.12277
2015-02-16,4.28,4.32,4.21,4.23,1385100,4.02755
2015-02-17,4.24,4.24,4.13,4.14,1741300,3.94186
