Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.06,0.06,0.06,0.06,000,0.06
2015-01-02,0.05,0.05,0.05,0.05,21100,0.05
2015-01-05,0.05,0.05,0.05,0.05,000,0.05
2015-01-06,0.05,0.05,0.05,0.05,000,0.05
2015-01-07,0.05,0.05,0.05,0.05,000,0.05
2015-01-08,0.05,0.05,0.05,0.05,000,0.05
2015-01-09,0.047,0.047,0.047,0.047,12500,0.047
2015-01-12,0.05,0.05,0.049,0.049,120000,0.049
2015-01-13,0.049,0.049,0.049,0.049,7000,0.049
2015-01-14,0.049,0.049,0.049,0.049,000,0.049
2015-01-15,0.049,0.049,0.049,0.049,000,0.049
2015-01-16,0.049,0.049,0.049,0.049,000,0.049
2015-01-19,0.049,0.049,0.049,0.049,000,0.049
2015-01-20,0.049,0.049,0.049,0.049,000,0.049
2015-01-21,0.06,0.062,0.06,0.062,43100,0.062
2015-01-22,0.062,0.062,0.062,0.062,000,0.062
2015-01-23,0.062,0.062,0.062,0.062,000,0.062
2015-01-26,0.062,0.062,0.062,0.062,000,0.062
2015-01-27,0.062,0.062,0.062,0.062,000,0.062
2015-01-28,0.062,0.062,0.062,0.062,000,0.062
2015-01-29,0.062,0.062,0.062,0.062,000,0.062
2015-01-30,0.062,0.062,0.062,0.062,000,0.062
2015-02-02,0.062,0.062,0.062,0.062,000,0.062
2015-02-03,0.062,0.062,0.062,0.062,000,0.062
2015-02-04,0.062,0.062,0.062,0.062,000,0.062
2015-02-05,0.062,0.062,0.062,0.062,000,0.062
2015-02-06,0.06,0.06,0.06,0.06,21800,0.06
2015-02-09,0.059,0.059,0.059,0.059,20000,0.059
2015-02-10,0.059,0.059,0.059,0.059,000,0.059
2015-02-11,0.059,0.059,0.059,0.059,000,0.059
2015-02-12,0.059,0.059,0.059,0.059,000,0.059
2015-02-13,0.059,0.059,0.059,0.059,000,0.059
2015-02-16,0.059,0.059,0.059,0.059,000,0.059
2015-02-17,0.059,0.059,0.059,0.059,000,0.059
2015-02-18,0.059,0.059,0.059,0.059,000,0.059
2015-02-19,0.053,0.053,0.053,0.053,8300,0.053
2015-02-20,0.053,0.053,0.053,0.053,000,0.053
2015-02-23,0.053,0.053,0.053,0.053,000,0.053
2015-02-24,0.057,0.057,0.057,0.057,30000,0.057
2015-02-25,0.057,0.057,0.057,0.057,000,0.057
2015-02-26,0.057,0.057,0.057,0.057,000,0.057
2015-02-27,0.057,0.057,0.057,0.057,000,0.057
2015-03-02,0.057,0.057,0.057,0.057,000,0.057
2015-03-03,0.057,0.057,0.057,0.057,000,0.057
2015-03-04,0.057,0.057,0.057,0.057,000,0.057
2015-03-05,0.057,0.057,0.057,0.057,000,0.057
2015-03-06,0.057,0.057,0.057,0.057,000,0.057
2015-03-09,0.06,0.06,0.06,0.06,18000,0.06
2015-03-10,0.06,0.06,0.06,0.06,96000,0.06
2015-03-11,0.06,0.06,0.06,0.06,000,0.06
2015-03-12,0.06,0.06,0.06,0.06,000,0.06
2015-03-13,0.06,0.06,0.06,0.06,000,0.06
