Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,12.10,12.10,12.10,12.10,000,11.543
2015-01-02,12.20,12.24,12.06,12.20,136100,11.638
2015-01-05,12.00,12.22,11.99,12.19,196800,11.629
2015-01-06,12.08,12.11,11.91,11.97,211500,11.419
2015-01-07,11.90,12.01,11.84,11.97,179500,11.419
2015-01-08,12.02,12.05,11.93,11.99,193800,11.438
2015-01-09,12.00,12.24,11.97,12.22,254200,11.658
2015-01-12,12.00,12.33,12.00,12.17,105700,11.61
2015-01-13,12.12,12.29,12.12,12.21,153200,11.648
2015-01-14,12.23,12.40,12.19,12.26,332900,11.696
2015-01-15,12.21,12.37,12.19,12.37,269200,11.801
2015-01-16,12.33,12.38,12.00,12.13,229100,11.572
2015-01-19,12.20,12.30,12.07,12.22,182800,11.658
2015-01-20,12.23,12.39,12.17,12.33,277500,11.762
2015-01-21,12.40,12.72,12.33,12.66,327100,12.077
2015-01-22,12.72,12.74,12.53,12.60,149200,12.02
2015-01-23,12.78,13.08,12.63,13.08,257200,12.478
2015-01-26,13.08,13.08,13.08,13.08,000,12.478
2015-01-27,13.08,13.29,13.00,13.05,236500,12.449
2015-01-28,13.05,13.13,12.94,13.09,185500,12.487
2015-01-29,13.04,13.11,12.95,13.05,251300,12.449
2015-01-30,13.18,13.19,12.95,13.05,146900,12.449
2015-02-02,13.06,13.08,12.96,13.04,245000,12.44
2015-02-03,13.10,13.25,12.98,13.07,203000,12.468
2015-02-04,13.12,13.24,12.85,12.90,308300,12.306
2015-02-05,12.90,12.98,12.87,12.95,291900,12.354
2015-02-06,12.94,12.95,12.84,12.86,192800,12.268
2015-02-09,12.86,12.94,12.70,12.82,359700,12.23
2015-02-10,12.83,12.98,12.80,12.92,141800,12.325
2015-02-11,13.07,13.13,12.78,12.80,154500,12.211
2015-02-12,12.97,13.09,12.82,12.88,293200,12.287
2015-02-13,12.93,13.58,12.90,13.52,385600,12.898
2015-02-16,13.50,13.52,13.25,13.27,178100,12.659
2015-02-17,13.25,13.26,13.06,13.22,134000,12.612
2015-02-18,13.25,13.67,13.21,13.55,264900,12.926
2015-02-19,13.68,13.75,13.46,13.51,175000,12.888
2015-02-20,13.56,13.72,13.43,13.55,137700,12.926
2015-02-23,13.61,13.71,13.58,13.68,123000,13.05
2015-02-24,13.70,13.72,13.50,13.64,162700,13.012
2015-02-25,13.60,13.70,13.45,13.70,257000,13.069
2015-02-26,13.68,13.69,13.45,13.63,154000,13.003
2015-02-27,13.70,13.89,13.55,13.78,238600,13.146
2015-03-02,13.80,14.01,13.80,13.85,161400,13.213
2015-03-03,13.92,14.17,13.45,13.68,247100,13.05
2015-03-04,13.78,13.83,13.63,13.67,217700,13.041
2015-03-05,13.69,13.79,13.55,13.68,258300,13.05
2015-03-06,13.72,13.84,13.54,13.75,127600,13.117
2015-03-09,13.70,13.88,13.63,13.64,115200,13.012
2015-03-10,13.41,13.50,13.01,13.03,368700,12.706
2015-03-11,12.99,13.02,12.74,12.84,253400,12.521
2015-03-12,12.83,13.19,12.83,13.01,190800,12.687
2015-03-13,13.02,13.02,12.63,12.77,283400,12.453
2015-03-16,12.77,13.07,12.75,13.00,294000,12.677
2015-03-17,13.10,13.14,12.90,13.00,238900,12.677
2015-03-18,12.99,13.34,12.99,13.34,294500,13.009
2015-03-19,13.50,13.80,13.50,13.72,558700,13.379
2015-03-20,13.62,13.78,13.52,13.53,296300,13.194
2015-03-23,13.38,13.58,13.26,13.34,219500,13.009
2015-03-24,13.35,13.46,13.27,13.36,206600,13.028
2015-03-25,13.40,13.65,13.36,13.45,233700,13.116
2015-03-26,13.25,13.33,13.00,13.00,282000,12.677
2015-03-27,13.01,13.34,13.01,13.26,152800,12.931
2015-03-30,13.25,13.275,12.94,13.09,219400,12.765
2015-03-31,13.07,13.29,13.02,13.14,123700,12.814
2015-04-01,13.07,13.24,13.01,13.06,282600,12.736
2015-04-02,13.22,13.24,13.02,13.11,150700,12.784
2015-04-03,13.11,13.11,13.11,13.11,000,12.784
2015-04-06,13.11,13.11,13.11,13.11,000,12.784
2015-04-07,13.18,13.35,13.00,13.00,172300,12.677
2015-04-08,13.00,13.09,12.97,13.08,165700,12.755
2015-04-09,13.09,13.17,13.03,13.12,136500,12.794
2015-04-10,13.20,13.25,13.09,13.17,218300,12.843
2015-04-13,13.12,13.23,13.12,13.21,169300,12.882
2015-04-14,13.18,13.34,13.15,13.29,163500,12.96
2015-04-15,13.31,13.32,12.95,13.00,359600,12.677
2015-04-16,13.08,13.23,13.02,13.13,182200,12.804
2015-04-17,13.18,13.20,12.94,12.95,261100,12.628
2015-04-20,13.00,13.25,12.94,13.16,278800,12.833
2015-04-21,13.28,13.31,13.13,13.16,182800,12.833
2015-04-22,13.14,13.33,13.12,13.14,203500,12.814
2015-04-23,13.20,13.20,13.01,13.15,184900,12.823
2015-04-24,13.26,13.49,13.20,13.37,214400,13.038
2015-04-27,13.39,13.62,13.39,13.58,259300,13.243
2015-04-28,13.56,13.62,13.45,13.52,176700,13.184
2015-04-29,13.46,13.59,13.22,13.23,231400,12.901
2015-04-30,13.21,13.55,13.11,13.41,317300,13.077
2015-05-01,13.40,13.41,13.15,13.40,184100,13.067
2015-05-04,13.50,13.65,13.40,13.50,172700,13.165
2015-05-05,13.62,13.78,13.46,13.57,322700,13.233
2015-05-06,13.45,13.51,13.18,13.21,220400,12.882
2015-05-07,13.20,13.21,12.99,13.11,231700,12.784
2015-05-08,13.13,13.33,13.04,13.07,281300,12.745
2015-05-11,13.10,13.28,13.01,13.07,236400,12.745
2015-05-12,13.03,13.08,12.96,13.00,468900,12.677
2015-05-13,13.15,13.16,13.01,13.13,399100,12.804
2015-05-14,13.02,13.25,13.02,13.15,350600,12.823
2015-05-15,13.38,13.45,13.18,13.25,380300,12.921
2015-05-18,13.26,13.39,13.21,13.22,267900,12.892
2015-05-19,13.22,13.305,13.06,13.20,220300,12.872
2015-05-20,13.20,13.38,13.07,13.08,468200,12.755
2015-05-21,13.16,13.22,13.12,13.18,350600,12.853
2015-05-22,13.25,13.29,13.12,13.20,243400,12.872
2015-05-25,13.25,13.34,13.17,13.31,315600,12.979
2015-05-26,13.35,13.42,13.29,13.37,252500,13.038
2015-05-27,13.34,13.34,13.14,13.20,284700,12.872
2015-05-28,13.27,13.27,13.11,13.18,113800,12.853
2015-05-29,13.18,13.32,13.18,13.29,341700,12.96
2015-06-01,13.23,13.24,13.07,13.13,262200,12.804
2015-06-02,13.28,13.31,13.01,13.04,424100,12.716
2015-06-03,13.00,13.10,12.91,12.96,423700,12.638
2015-06-04,13.02,13.07,12.79,12.82,299000,12.502
2015-06-05,12.80,13.02,12.75,12.83,243100,12.511
2015-06-08,12.83,12.83,12.83,12.83,000,12.511
2015-06-09,12.81,12.82,12.72,12.76,233400,12.443
2015-06-10,12.73,12.81,12.61,12.75,619100,12.433
2015-06-11,12.75,12.88,12.74,12.80,275000,12.482
2015-06-12,12.80,12.90,12.79,12.82,179700,12.502
2015-06-15,12.75,12.85,12.73,12.84,233400,12.521
2015-06-16,12.88,12.95,12.48,12.49,257000,12.18
2015-06-17,12.59,12.82,12.58,12.74,316300,12.424
2015-06-18,12.54,12.55,12.31,12.44,413300,12.131
2015-06-19,12.42,12.65,12.42,12.49,349500,12.18
2015-06-22,12.54,12.61,12.49,12.59,184400,12.277
2015-06-23,12.68,12.87,12.67,12.85,273000,12.531
2015-06-24,12.85,12.87,12.63,12.66,263900,12.346
2015-06-25,12.66,12.72,12.57,12.58,175400,12.268
2015-06-26,12.47,12.52,12.25,12.44,329000,12.131
2015-06-29,12.30,12.32,12.04,12.05,277000,11.751
2015-06-30,11.96,12.16,11.81,12.10,545700,11.799
2015-07-01,12.15,12.49,12.15,12.49,281600,12.18
2015-07-02,12.50,12.84,12.49,12.79,328900,12.472
2015-07-03,12.67,12.70,12.51,12.60,303900,12.287
2015-07-06,12.49,12.49,12.29,12.34,198400,12.034
2015-07-07,12.40,12.76,12.37,12.59,239600,12.277
2015-07-08,12.47,12.49,12.28,12.30,276000,11.995
2015-07-09,12.25,12.45,12.03,12.35,234000,12.043
2015-07-10,12.51,12.52,12.31,12.34,177200,12.034
2015-07-13,12.34,12.47,12.18,12.25,240900,11.946
2015-07-14,12.40,12.48,12.29,12.43,274300,12.121
2015-07-15,12.45,12.93,12.45,12.83,391900,12.511
2015-07-16,13.05,13.12,12.93,12.97,323000,12.648
2015-07-17,13.05,13.15,13.02,13.06,260000,12.736
2015-07-20,13.12,13.34,13.07,13.27,245900,12.94
2015-07-21,13.33,13.51,13.31,13.43,223100,13.096
2015-07-22,13.45,13.45,13.08,13.10,203500,12.775
2015-07-23,13.10,13.38,13.10,13.33,188900,12.999
2015-07-24,13.32,13.34,13.13,13.20,139000,12.872
2015-07-27,13.25,13.34,13.08,13.27,169500,12.94
2015-07-28,13.10,13.29,12.98,13.19,337300,12.862
2015-07-29,13.29,13.34,13.16,13.24,423600,12.911
2015-07-30,13.24,13.43,13.20,13.38,208700,13.048
2015-07-31,13.44,13.59,13.36,13.51,205800,13.174
2015-08-03,13.55,13.55,13.35,13.48,131100,13.145
2015-08-04,13.43,13.72,13.43,13.63,228900,13.291
2015-08-05,13.48,13.50,13.35,13.46,183000,13.126
2015-08-06,13.45,13.58,13.40,13.55,386900,13.213
2015-08-07,13.45,13.51,13.31,13.34,371300,13.009
2015-08-10,13.30,13.52,13.30,13.47,273900,13.135
2015-08-11,13.55,13.55,13.17,13.22,257000,12.892
2015-08-12,13.21,13.33,12.83,12.92,409600,12.599
2015-08-13,12.85,12.95,12.75,12.75,383700,12.433
2015-08-14,12.75,13.04,12.75,12.92,220700,12.599
2015-08-17,12.95,13.04,12.76,12.82,166900,12.502
2015-08-18,12.50,12.50,11.75,12.00,709500,11.702
2015-08-19,12.00,12.00,11.52,11.71,1126300,11.419
2015-08-20,11.50,11.64,11.24,11.60,700900,11.312
2015-08-21,11.39,11.54,11.32,11.50,631700,11.214
2015-08-24,11.30,11.50,11.21,11.24,700200,10.961
2015-08-25,11.09,11.86,10.89,11.86,1167800,11.565
2015-08-26,11.40,11.71,11.35,11.50,1083100,11.214
2015-08-27,11.52,11.89,11.52,11.73,405800,11.439
2015-08-28,11.95,11.95,11.55,11.61,322400,11.322
2015-08-31,11.50,11.69,11.45,11.60,339900,11.312
2015-09-01,11.50,11.57,11.36,11.50,437900,11.214
2015-09-02,11.35,11.49,11.25,11.48,569500,11.195
2015-09-03,11.56,11.57,11.21,11.24,629900,10.961
2015-09-04,11.20,11.41,11.08,11.35,648400,11.068
2015-09-07,11.35,11.43,11.25,11.40,434400,11.117
2015-09-08,11.60,11.65,11.41,11.65,307100,11.361
2015-09-09,11.75,11.90,11.68,11.74,538800,11.448
2015-09-10,11.59,11.64,11.46,11.52,609400,11.234
2015-09-11,11.48,11.48,11.34,11.40,473400,11.117
2015-09-14,11.42,11.44,11.14,11.36,623200,11.078
2015-09-15,11.21,11.21,11.06,11.14,631100,10.863
2015-09-16,11.20,11.22,11.04,11.09,472300,10.815
2015-09-17,11.21,11.24,11.08,11.12,427200,10.844
2015-09-18,11.15,11.23,11.06,11.14,425500,10.863
2015-09-21,11.04,11.05,10.83,11.00,400100,10.727
2015-09-22,11.15,11.18,11.00,11.05,399600,10.776
2015-09-23,10.99,11.05,10.905,10.94,508300,10.668
2015-09-24,11.05,11.12,10.98,11.02,405800,10.746
2015-09-25,11.19,11.19,10.95,10.96,363900,10.688
2015-09-28,10.95,11.07,10.91,11.02,415100,10.746
2015-09-29,10.90,10.90,10.69,10.69,720100,10.425
2015-09-30,10.74,10.91,10.73,10.85,522800,10.581
2015-10-01,11.00,11.03,10.90,10.97,484900,10.698
2015-10-02,10.95,11.04,10.90,10.90,202500,10.629
2015-10-05,11.00,11.18,11.00,11.16,171700,10.883
2015-10-06,11.34,11.34,11.23,11.26,266100,10.98
2015-10-07,11.33,11.33,11.15,11.19,294500,10.912
2015-10-08,11.36,11.36,11.22,11.23,337300,10.951
2015-10-09,11.31,11.39,11.28,11.32,256700,11.039
2015-10-12,11.29,11.36,11.17,11.19,327100,10.912
2015-10-13,11.11,11.16,10.78,10.85,597200,10.581
2015-10-14,10.85,11.06,10.81,11.03,347100,10.756
2015-10-15,11.10,11.11,10.86,11.06,246600,10.785
2015-10-16,11.15,11.29,11.11,11.12,300900,10.844
2015-10-19,11.18,11.25,11.12,11.20,180700,10.922
2015-10-20,11.22,11.30,11.15,11.21,288600,10.932
2015-10-21,11.17,11.29,11.13,11.24,219300,10.961
2015-10-22,11.26,11.27,11.07,11.13,292500,10.854
2015-10-23,11.25,11.43,11.24,11.37,298500,11.088
2015-10-26,11.39,11.44,11.32,11.35,146200,11.068
2015-10-27,11.35,11.42,11.32,11.37,203200,11.088
2015-10-28,11.43,11.49,11.34,11.40,171600,11.117
2015-10-29,11.43,11.43,11.04,11.06,284300,10.785
2015-10-30,11.05,11.24,11.03,11.11,223800,10.834
2015-11-02,11.14,11.26,11.06,11.11,170500,10.834
2015-11-03,11.25,11.37,11.16,11.37,268800,11.088
2015-11-04,11.50,11.65,11.24,11.24,356900,10.961
2015-11-05,11.21,11.27,11.09,11.15,310400,10.873
