Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,254.21,255.92,253.80,255.80,5400,253.11
2015-01-05,260.00,260.00,253.87,256.28,13300,253.59
2015-01-06,252.64,252.64,249.79,250.15,19300,247.52
2015-01-07,250.03,250.31,249.10,250.14,22300,247.51
2015-01-08,260.10,260.10,251.74,252.95,13600,250.29
2015-01-09,255.22,255.80,254.20,254.30,9000,251.63
2015-01-12,250.24,250.60,248.90,249.16,15500,246.54
2015-01-13,250.94,251.27,249.16,250.25,20400,247.62
2015-01-14,249.81,250.96,247.75,250.31,20000,247.68
2015-01-15,249.31,249.42,246.64,247.39,21800,244.79
2015-01-16,244.68,244.68,241.54,242.40,117100,239.85
2015-01-21,249.77,249.84,247.60,248.42,22000,245.81
2015-01-22,252.49,254.31,252.29,253.60,15100,250.94
2015-01-23,259.00,259.60,257.80,259.30,24300,256.58
2015-01-27,261.39,262.08,260.51,261.00,25700,258.26
2015-01-28,259.92,259.92,256.48,258.28,27200,255.57
2015-01-29,255.97,256.27,254.77,256.27,40000,253.58
2015-01-30,262.04,262.57,260.62,261.13,31400,258.39
2015-02-02,259.69,259.69,257.90,258.50,25000,255.78
2015-02-03,261.00,265.58,259.87,264.98,18400,262.20
2015-02-04,265.50,265.50,263.13,263.58,22600,260.81
2015-02-05,264.45,264.45,262.22,263.36,50600,260.59
2015-02-06,265.54,266.36,264.06,264.82,16200,262.04
2015-02-09,266.30,266.40,265.17,266.16,12100,263.36
2015-02-10,265.15,265.15,263.30,263.94,12000,261.17
2015-02-11,266.16,268.32,266.16,267.47,21500,264.66
2015-02-12,270.36,272.76,270.15,272.20,17600,269.34
2015-02-13,272.25,272.25,270.10,270.44,19600,267.60
2015-02-16,271.61,272.61,270.61,270.70,27200,267.86
2015-02-17,271.50,271.55,269.56,269.77,21200,266.94
2015-02-18,270.58,271.27,270.20,270.64,6700,267.80
2015-02-19,271.18,271.20,269.65,271.20,18400,268.35
2015-02-20,271.41,272.00,270.70,270.70,14400,267.86
2015-02-23,271.06,271.95,271.06,271.64,25600,268.79
2015-02-24,272.00,273.98,272.00,273.73,18400,270.85
2015-02-25,273.33,273.33,270.50,270.50,15800,267.66
2015-02-26,270.70,272.03,270.03,271.19,26600,268.34
2015-02-27,273.61,273.61,272.09,273.19,17200,270.32
2015-03-02,272.50,274.04,272.39,273.90,28400,271.02
2015-03-03,274.00,275.55,272.33,272.95,33700,270.08
2015-03-04,272.56,272.56,271.17,271.85,13400,268.99
2015-03-05,271.08,271.45,270.25,271.14,11500,268.29
2015-03-06,272.50,272.91,271.29,271.50,16300,268.65
2015-03-09,270.65,271.77,270.16,271.27,30200,268.42
2015-03-10,272.92,274.67,272.59,273.85,17800,270.97
2015-03-11,271.12,272.71,270.27,272.10,27000,269.24
2015-03-12,271.53,272.53,270.00,271.45,28100,268.60
2015-03-13,271.43,272.18,270.75,271.77,16300,268.91
2015-03-16,271.68,271.68,270.19,271.10,21100,268.25
2015-03-17,273.71,274.95,273.71,274.12,30400,271.24
2015-03-18,275.00,275.43,274.67,275.22,18000,272.33
2015-03-19,273.83,274.85,272.24,274.57,19400,271.69
2015-03-20,275.92,275.93,274.89,275.00,21200,272.11
2015-03-23,274.37,274.49,272.15,272.54,12700,269.68
2015-03-24,269.37,271.00,269.00,270.30,19100,267.46
2015-03-25,269.15,269.44,267.77,268.58,18200,265.76
2015-03-26,265.33,265.65,264.30,265.41,15800,263.89
2015-03-27,264.95,266.37,264.00,265.54,15100,264.02
2015-03-30,267.87,269.53,267.12,269.53,11500,267.99
2015-03-31,271.50,274.35,271.50,274.00,16300,272.43
2015-04-01,273.12,273.61,268.95,270.72,28500,269.17
2015-04-02,272.51,273.73,272.33,272.69,9000,271.13
2015-04-07,275.10,276.00,265.50,271.66,21700,270.11
2015-04-08,273.32,273.46,271.83,272.30,12300,270.74
2015-04-09,273.32,273.65,271.78,272.38,8500,270.82
2015-04-10,273.30,273.69,272.43,273.69,18200,272.12
2015-04-14,278.00,278.00,276.56,277.99,11000,276.40
2015-04-15,277.55,278.40,276.86,277.57,14300,275.98
2015-04-16,276.77,276.77,272.68,274.07,18000,272.50
2015-04-17,272.79,272.79,271.68,272.02,16700,270.46
2015-04-20,269.74,269.74,268.42,268.88,27200,267.34
2015-04-21,273.35,275.25,273.35,274.89,23300,273.32
2015-04-22,274.00,274.11,271.65,271.81,13900,270.25
2015-04-23,273.34,274.19,272.68,273.37,16600,271.81
2015-04-24,273.84,274.17,272.83,273.02,8800,271.46
2015-04-27,272.80,273.01,272.00,272.52,24400,270.96
2015-04-28,270.63,270.63,269.25,269.51,18600,267.97
2015-04-29,266.51,266.70,266.00,266.14,37000,264.62
2015-04-30,265.26,265.52,264.21,265.33,34100,263.81
2015-05-01,265.79,266.90,265.79,266.50,29500,264.98
2015-05-04,270.60,271.36,270.39,270.39,13700,268.84
2015-05-05,271.56,272.52,268.68,269.15,22200,267.61
2015-05-06,266.00,266.00,264.58,264.95,22600,263.43
2015-05-07,263.76,264.00,262.00,262.50,23900,261.00
2015-05-08,266.23,267.78,266.00,266.67,26000,265.14
2015-05-11,268.59,269.98,268.35,269.91,15800,268.37
2015-05-12,268.53,268.53,266.74,267.30,12800,265.77
2015-05-13,265.73,266.08,264.38,266.08,10700,264.56
2015-05-14,261.18,261.35,259.50,260.50,28300,259.01
2015-05-15,264.20,265.79,264.20,265.74,28600,264.22
2015-05-18,265.77,266.96,265.77,266.38,12300,264.86
