Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.40,0.40,0.40,0.40,000,0.40
2015-01-02,0.40,0.40,0.40,0.40,20500,0.40
2015-01-05,0.40,0.40,0.40,0.40,000,0.40
2015-01-06,0.40,0.40,0.40,0.40,33300,0.40
2015-01-07,0.40,0.40,0.40,0.40,000,0.40
2015-01-08,0.40,0.40,0.40,0.40,192000,0.40
2015-01-09,0.40,0.40,0.40,0.40,000,0.40
2015-01-12,0.40,0.40,0.40,0.40,000,0.40
2015-01-13,0.40,0.40,0.40,0.40,246600,0.40
2015-01-14,0.40,0.40,0.40,0.40,000,0.40
2015-01-15,0.37,0.37,0.36,0.36,12400,0.36
2015-01-16,0.36,0.36,0.36,0.36,000,0.36
2015-01-19,0.36,0.36,0.36,0.36,000,0.36
2015-01-20,0.36,0.36,0.36,0.36,000,0.36
2015-01-21,0.40,0.40,0.40,0.40,250000,0.40
2015-01-22,0.40,0.40,0.40,0.40,000,0.40
2015-01-23,0.40,0.40,0.40,0.40,000,0.40
2015-01-26,0.40,0.40,0.40,0.40,000,0.40
2015-01-27,0.395,0.395,0.38,0.38,259600,0.38
2015-01-28,0.38,0.38,0.38,0.38,000,0.38
2015-01-29,0.35,0.35,0.35,0.35,39300,0.35
2015-01-30,0.35,0.35,0.35,0.35,000,0.35
2015-02-02,0.35,0.35,0.35,0.35,000,0.35
2015-02-03,0.35,0.36,0.35,0.36,32600,0.36
2015-02-04,0.36,0.36,0.36,0.36,000,0.36
2015-02-05,0.355,0.355,0.355,0.355,57400,0.355
2015-02-06,0.36,0.36,0.36,0.36,6200,0.36
2015-02-09,0.36,0.36,0.36,0.36,000,0.36
2015-02-10,0.36,0.36,0.36,0.36,000,0.36
2015-02-11,0.355,0.355,0.355,0.355,9300,0.355
2015-02-12,0.355,0.355,0.355,0.355,000,0.355
2015-02-13,0.355,0.355,0.355,0.355,000,0.355
2015-02-16,0.355,0.355,0.355,0.355,000,0.355
2015-02-17,0.355,0.355,0.355,0.355,000,0.355
2015-02-18,0.375,0.375,0.375,0.375,40000,0.375
2015-02-19,0.35,0.37,0.35,0.36,550900,0.36
2015-02-20,0.32,0.32,0.30,0.30,211900,0.30
2015-02-23,0.30,0.315,0.30,0.30,168800,0.30
2015-02-24,0.30,0.30,0.30,0.30,16500,0.30
2015-02-25,0.30,0.30,0.30,0.30,78500,0.30
2015-02-26,0.30,0.30,0.30,0.30,000,0.30
2015-02-27,0.30,0.30,0.30,0.30,180900,0.30
2015-03-02,0.30,0.30,0.30,0.30,000,0.30
2015-03-03,0.30,0.30,0.30,0.30,2600,0.30
2015-03-04,0.30,0.30,0.30,0.30,1800,0.30
2015-03-05,0.30,0.30,0.30,0.30,000,0.30
2015-03-06,0.30,0.30,0.30,0.30,47500,0.30
2015-03-09,0.30,0.30,0.30,0.30,000,0.30
2015-03-10,0.30,0.30,0.30,0.30,14800,0.30
2015-03-11,0.30,0.30,0.30,0.30,20000,0.30
2015-03-12,0.30,0.30,0.30,0.30,000,0.30
2015-03-13,0.30,0.30,0.265,0.265,26800,0.265
2015-03-16,0.265,0.265,0.265,0.265,000,0.265
2015-03-17,0.26,0.26,0.26,0.26,8100,0.26
2015-03-18,0.26,0.26,0.26,0.26,000,0.26
2015-03-19,0.26,0.26,0.26,0.26,000,0.26
2015-03-20,0.27,0.27,0.265,0.265,5300,0.265
2015-03-23,0.265,0.265,0.265,0.265,000,0.265
2015-03-24,0.265,0.265,0.265,0.265,000,0.265
2015-03-25,0.265,0.265,0.265,0.265,000,0.265
2015-03-26,0.265,0.265,0.265,0.265,000,0.265
2015-03-27,0.265,0.265,0.265,0.265,000,0.265
2015-03-30,0.27,0.27,0.25,0.25,215800,0.25
2015-03-31,0.25,0.25,0.25,0.25,000,0.25
2015-04-01,0.26,0.26,0.26,0.26,77800,0.26
2015-04-02,0.26,0.26,0.26,0.26,000,0.26
2015-04-03,0.26,0.26,0.26,0.26,000,0.26
2015-04-06,0.26,0.26,0.26,0.26,000,0.26
2015-04-07,0.255,0.255,0.255,0.255,10000,0.255
2015-04-08,0.25,0.25,0.25,0.25,173300,0.25
