Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.54,0.54,0.54,0.54,000,0.46843
2015-01-02,0.54,0.54,0.54,0.54,000,0.46843
2015-01-05,0.60,0.61,0.60,0.61,24700,0.52915
2015-01-06,0.66,0.67,0.65,0.66,19700,0.57253
2015-01-07,0.675,0.675,0.66,0.66,9000,0.57253
2015-01-08,0.65,0.67,0.64,0.67,27000,0.5812
2015-01-09,0.655,0.66,0.655,0.66,15000,0.57253
2015-01-12,0.66,0.66,0.66,0.66,000,0.57253
2015-01-13,0.66,0.66,0.66,0.66,000,0.57253
2015-01-14,0.66,0.66,0.66,0.66,000,0.57253
2015-01-15,0.66,0.66,0.66,0.66,000,0.57253
2015-01-16,0.66,0.66,0.66,0.66,000,0.57253
2015-01-19,0.66,0.66,0.66,0.66,000,0.57253
2015-01-20,0.66,0.66,0.66,0.66,000,0.57253
2015-01-21,0.66,0.66,0.66,0.66,000,0.57253
2015-01-22,0.63,0.63,0.605,0.605,59300,0.52482
2015-01-23,0.61,0.61,0.605,0.605,9900,0.52482
2015-01-26,0.605,0.605,0.605,0.605,000,0.52482
2015-01-27,0.605,0.605,0.605,0.605,000,0.52482
2015-01-28,0.61,0.61,0.61,0.61,3000,0.52915
2015-01-29,0.61,0.63,0.61,0.63,13000,0.5465
2015-01-30,0.63,0.63,0.63,0.63,000,0.5465
2015-02-02,0.63,0.63,0.63,0.63,000,0.5465
2015-02-03,0.63,0.63,0.63,0.63,000,0.5465
2015-02-04,0.63,0.63,0.63,0.63,000,0.5465
2015-02-05,0.63,0.63,0.63,0.63,000,0.5465
2015-02-06,0.63,0.63,0.63,0.63,000,0.5465
2015-02-09,0.63,0.63,0.63,0.63,000,0.5465
2015-02-10,0.66,0.725,0.66,0.68,40600,0.58988
2015-02-11,0.69,0.69,0.68,0.68,9900,0.58988
2015-02-12,0.71,0.71,0.71,0.71,10000,0.6159
2015-02-13,0.71,0.71,0.71,0.71,000,0.6159
2015-02-16,0.71,0.71,0.71,0.71,000,0.6159
2015-02-17,0.74,0.75,0.74,0.75,99000,0.6506
2015-02-18,0.72,0.75,0.72,0.75,30000,0.6506
2015-02-19,0.75,0.75,0.75,0.75,000,0.6506
2015-02-20,0.75,0.75,0.75,0.75,4600,0.6506
2015-02-23,0.76,0.77,0.75,0.77,30300,0.66795
2015-02-24,0.77,0.78,0.77,0.78,15000,0.67662
2015-02-25,0.75,0.75,0.75,0.75,20000,0.6506
2015-02-26,0.75,0.75,0.75,0.75,000,0.6506
2015-02-27,0.78,0.82,0.78,0.80,38000,0.69397
2015-03-02,0.80,0.80,0.80,0.80,000,0.69397
2015-03-03,0.80,0.80,0.80,0.80,000,0.69397
2015-03-04,0.80,0.80,0.80,0.80,000,0.69397
2015-03-05,0.80,0.80,0.80,0.80,65100,0.69397
2015-03-06,0.82,0.90,0.82,0.90,59400,0.78072
2015-03-09,0.90,0.90,0.90,0.90,40000,0.78072
2015-03-10,0.95,0.98,0.92,0.95,147300,0.82409
2015-03-11,0.95,0.95,0.95,0.95,000,0.82409
2015-03-12,0.99,1.00,0.99,1.00,21200,0.89091
2015-03-13,1.00,1.00,0.995,1.00,267200,0.89091
2015-03-16,1.00,1.04,1.00,1.04,210800,0.92655
2015-03-17,1.08,1.12,1.08,1.11,156000,0.98891
2015-03-18,1.10,1.10,1.07,1.10,64200,0.98
2015-03-19,1.08,1.10,1.08,1.10,10000,0.98
2015-03-20,1.05,1.05,1.05,1.05,6500,0.93546
2015-03-23,1.05,1.05,1.05,1.05,000,0.93546
2015-03-24,1.09,1.10,1.09,1.09,120000,0.97109
2015-03-25,1.09,1.10,1.09,1.10,101100,0.98
2015-03-26,1.09,1.09,1.09,1.09,20000,0.97109
2015-03-27,1.09,1.09,1.09,1.09,000,0.97109
2015-03-30,1.09,1.09,1.09,1.09,21900,0.97109
2015-03-31,1.08,1.09,1.08,1.09,145400,0.97109
2015-04-01,1.09,1.09,1.09,1.09,56300,0.97109
2015-04-02,1.09,1.11,1.09,1.11,106800,0.98891
2015-04-03,1.11,1.11,1.11,1.11,000,0.98891
2015-04-06,1.11,1.11,1.11,1.11,000,0.98891
2015-04-07,1.11,1.12,1.10,1.11,161400,0.98891
2015-04-08,1.10,1.10,1.06,1.06,34100,0.94437
2015-04-09,1.06,1.06,1.06,1.06,3000,0.94437
2015-04-10,1.05,1.08,1.05,1.08,14500,0.96219
2015-04-13,1.08,1.10,1.08,1.10,13600,0.98
2015-04-14,1.10,1.11,1.10,1.11,21400,0.98891
2015-04-15,1.10,1.11,1.10,1.11,30700,0.98891
2015-04-16,1.14,1.14,1.14,1.14,25900,1.01564
2015-04-17,1.185,1.20,1.13,1.13,79800,1.00673
2015-04-20,1.13,1.13,1.13,1.13,8000,1.00673
2015-04-21,1.13,1.13,1.13,1.13,000,1.00673
2015-04-22,1.13,1.13,1.13,1.13,000,1.00673
2015-04-23,1.14,1.14,1.12,1.12,10500,0.99782
2015-04-24,1.10,1.10,1.10,1.10,8700,0.98
2015-04-27,1.10,1.10,1.10,1.10,3300,0.98
2015-04-28,1.10,1.10,1.09,1.09,53200,0.97109
2015-04-29,1.08,1.08,1.05,1.05,9200,0.93546
2015-04-30,1.05,1.05,1.05,1.05,000,0.93546
2015-05-01,1.05,1.05,1.05,1.05,000,0.93546
2015-05-04,1.05,1.05,1.05,1.05,000,0.93546
2015-05-05,1.05,1.05,1.05,1.05,000,0.93546
2015-05-06,1.05,1.05,1.05,1.05,000,0.93546
2015-05-07,1.05,1.05,1.05,1.05,000,0.93546
2015-05-08,1.05,1.05,1.05,1.05,000,0.93546
2015-05-11,1.05,1.05,1.05,1.05,000,0.93546
2015-05-12,1.05,1.05,1.05,1.05,000,0.93546
2015-05-13,1.07,1.07,1.07,1.07,20000,0.95328
2015-05-14,1.035,1.05,1.025,1.04,74100,0.92655
2015-05-15,1.05,1.05,1.05,1.05,30000,0.93546
2015-05-18,1.06,1.06,1.05,1.05,72000,0.93546
2015-05-19,1.05,1.05,1.05,1.05,000,0.93546
2015-05-20,1.05,1.05,1.05,1.05,000,0.93546
2015-05-21,1.05,1.05,1.05,1.05,000,0.93546
2015-05-22,1.05,1.05,1.05,1.05,6400,0.93546
2015-05-25,1.05,1.05,1.05,1.05,000,0.93546
2015-05-26,1.05,1.05,1.05,1.05,13400,0.93546
2015-05-27,1.05,1.05,1.05,1.05,25000,0.93546
2015-05-28,1.05,1.05,1.05,1.05,000,0.93546
2015-05-29,1.05,1.05,1.05,1.05,000,0.93546
2015-06-01,1.05,1.05,1.05,1.05,000,0.93546
2015-06-02,1.05,1.05,1.05,1.05,000,0.93546
2015-06-03,1.05,1.05,1.05,1.05,000,0.93546
2015-06-04,1.05,1.05,1.05,1.05,000,0.93546
2015-06-05,1.05,1.05,1.05,1.05,49000,0.93546
2015-06-08,1.05,1.05,1.05,1.05,000,0.93546
2015-06-09,1.02,1.02,1.02,1.02,8000,0.90873
2015-06-10,1.02,1.02,1.02,1.02,000,0.90873
2015-06-11,1.02,1.02,1.02,1.02,000,0.90873
2015-06-12,1.07,1.09,1.07,1.09,72800,0.97109
2015-06-15,1.09,1.09,1.09,1.09,7100,0.97109
2015-06-16,1.09,1.09,1.09,1.09,000,0.97109
2015-06-17,1.11,1.11,1.11,1.11,18000,0.98891
2015-06-18,1.11,1.11,1.11,1.11,000,0.98891
2015-06-19,1.11,1.11,1.11,1.11,000,0.98891
2015-06-22,1.11,1.11,1.11,1.11,000,0.98891
2015-06-23,1.11,1.11,1.11,1.11,000,0.98891
2015-06-24,1.11,1.11,1.11,1.11,000,0.98891
