Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.54,0.54,0.54,0.54,000,0.445
2015-01-02,0.56,0.56,0.56,0.56,4300,0.461
2015-01-05,0.555,0.57,0.525,0.57,30200,0.47
2015-01-06,0.57,0.57,0.57,0.57,000,0.47
2015-01-07,0.55,0.55,0.54,0.55,20300,0.453
2015-01-08,0.54,0.56,0.54,0.56,30800,0.461
2015-01-09,0.57,0.57,0.55,0.56,70800,0.461
2015-01-12,0.56,0.56,0.56,0.56,62600,0.461
2015-01-13,0.56,0.56,0.56,0.56,18700,0.461
2015-01-14,0.56,0.56,0.56,0.56,91200,0.461
2015-01-15,0.57,0.57,0.54,0.55,243000,0.453
2015-01-16,0.55,0.57,0.54,0.57,13200,0.47
2015-01-19,0.56,0.56,0.56,0.56,2100,0.461
2015-01-20,0.55,0.56,0.55,0.55,48500,0.453
2015-01-21,0.55,0.55,0.54,0.54,21400,0.445
2015-01-22,0.55,0.56,0.55,0.56,21000,0.461
2015-01-23,0.55,0.55,0.54,0.54,20000,0.445
2015-01-26,0.54,0.54,0.54,0.54,000,0.445
2015-01-27,0.55,0.56,0.55,0.56,49400,0.461
2015-01-28,0.56,0.56,0.56,0.56,000,0.461
2015-01-29,0.54,0.55,0.52,0.52,31800,0.428
2015-01-30,0.55,0.56,0.55,0.56,10100,0.461
2015-02-02,0.55,0.55,0.55,0.55,20000,0.453
2015-02-03,0.55,0.55,0.54,0.54,44000,0.445
2015-02-04,0.55,0.56,0.54,0.56,401800,0.461
2015-02-05,0.565,0.61,0.56,0.61,297000,0.502
2015-02-06,0.615,0.62,0.605,0.61,222900,0.502
2015-02-09,0.60,0.62,0.58,0.61,60900,0.502
2015-02-10,0.60,0.64,0.60,0.64,240000,0.527
2015-02-11,0.63,0.69,0.63,0.67,522600,0.552
2015-02-12,0.68,0.74,0.68,0.69,1429700,0.568
2015-02-13,0.71,0.73,0.695,0.70,1937000,0.577
2015-02-16,0.70,0.70,0.645,0.645,185600,0.579
2015-02-17,0.66,0.66,0.63,0.63,157100,0.565
2015-02-18,0.65,0.65,0.64,0.64,32000,0.574
2015-02-19,0.645,0.645,0.635,0.645,116800,0.579
2015-02-20,0.645,0.645,0.635,0.635,46600,0.57
2015-02-23,0.645,0.645,0.635,0.635,84600,0.57
2015-02-24,0.64,0.645,0.60,0.60,196700,0.538
2015-02-25,0.64,0.645,0.60,0.61,172200,0.547
2015-02-26,0.635,0.64,0.625,0.64,44200,0.574
2015-02-27,0.64,0.64,0.63,0.64,41300,0.574
2015-03-02,0.63,0.64,0.63,0.64,26500,0.574
2015-03-03,0.64,0.64,0.64,0.64,53500,0.574
2015-03-04,0.64,0.65,0.605,0.625,236600,0.561
2015-03-05,0.63,0.63,0.63,0.63,8800,0.565
2015-03-06,0.63,0.63,0.63,0.63,3100,0.565
2015-03-09,0.63,0.63,0.63,0.63,2500,0.565
2015-03-10,0.635,0.64,0.635,0.64,17800,0.574
2015-03-11,0.615,0.64,0.615,0.625,36200,0.561
2015-03-12,0.625,0.625,0.625,0.625,000,0.561
2015-03-13,0.635,0.635,0.625,0.63,167600,0.565
2015-03-16,0.63,0.63,0.625,0.625,65900,0.561
2015-03-17,0.63,0.64,0.63,0.64,72900,0.574
2015-03-18,0.63,0.63,0.625,0.63,32800,0.565
2015-03-19,0.63,0.63,0.62,0.62,62600,0.556
2015-03-20,0.62,0.62,0.62,0.62,114900,0.556
2015-03-23,0.62,0.62,0.615,0.615,64300,0.552
2015-03-24,0.62,0.62,0.62,0.62,29000,0.556
2015-03-25,0.62,0.62,0.62,0.62,107500,0.556
2015-03-26,0.625,0.63,0.625,0.63,47700,0.565
2015-03-27,0.63,0.63,0.63,0.63,129100,0.565
2015-03-30,0.63,0.63,0.61,0.61,85200,0.547
2015-03-31,0.62,0.62,0.62,0.62,71000,0.556
2015-04-01,0.62,0.62,0.61,0.61,14700,0.547
2015-04-02,0.61,0.63,0.61,0.63,25500,0.565
2015-04-03,0.63,0.63,0.63,0.63,000,0.565
2015-04-06,0.63,0.63,0.63,0.63,000,0.565
2015-04-07,0.62,0.625,0.62,0.62,15300,0.556
2015-04-08,0.63,0.72,0.63,0.72,1299700,0.646
2015-04-09,0.76,0.78,0.73,0.735,765200,0.659
2015-04-10,0.73,0.75,0.73,0.75,143500,0.673
2015-04-13,0.75,0.76,0.73,0.74,78700,0.664
2015-04-14,0.74,0.75,0.725,0.73,177800,0.655
2015-04-15,0.73,0.76,0.725,0.76,144000,0.682
2015-04-16,0.745,0.75,0.73,0.745,25600,0.668
2015-04-17,0.73,0.74,0.73,0.735,31000,0.659
2015-04-20,0.73,0.745,0.73,0.74,69700,0.664
2015-04-21,0.745,0.745,0.72,0.72,61800,0.646
2015-04-22,0.72,0.72,0.70,0.70,130300,0.628
2015-04-23,0.70,0.715,0.70,0.71,56000,0.637
2015-04-24,0.70,0.705,0.68,0.70,233500,0.628
2015-04-27,0.71,0.71,0.71,0.71,15600,0.637
2015-04-28,0.70,0.705,0.695,0.705,108900,0.632
2015-04-29,0.715,0.715,0.705,0.705,50200,0.632
2015-04-30,0.70,0.705,0.70,0.70,117900,0.628
2015-05-01,0.70,0.715,0.70,0.70,39600,0.628
2015-05-04,0.72,0.72,0.685,0.72,93400,0.646
2015-05-05,0.70,0.71,0.68,0.68,122900,0.61
2015-05-06,0.68,0.68,0.66,0.66,117500,0.592
2015-05-07,0.67,0.68,0.67,0.675,25800,0.605
2015-05-08,0.695,0.695,0.67,0.67,80500,0.601
2015-05-11,0.68,0.68,0.67,0.67,32500,0.601
2015-05-12,0.67,0.67,0.66,0.66,17600,0.592
2015-05-13,0.67,0.68,0.67,0.68,53200,0.61
2015-05-14,0.665,0.68,0.665,0.675,26700,0.605
2015-05-15,0.67,0.68,0.67,0.67,40300,0.601
2015-05-18,0.665,0.68,0.665,0.68,26400,0.61
2015-05-19,0.68,0.68,0.68,0.68,000,0.61
2015-05-20,0.68,0.71,0.68,0.71,111000,0.637
2015-05-21,0.715,0.72,0.715,0.72,64400,0.646
2015-05-22,0.71,0.71,0.71,0.71,3000,0.637
2015-05-25,0.71,0.71,0.71,0.71,000,0.637
2015-05-26,0.70,0.70,0.675,0.675,20000,0.605
2015-05-27,0.675,0.675,0.675,0.675,000,0.605
2015-05-28,0.675,0.675,0.675,0.675,000,0.605
2015-05-29,0.69,0.69,0.69,0.69,6500,0.619
2015-06-01,0.72,0.72,0.70,0.70,61900,0.628
2015-06-02,0.71,0.75,0.71,0.745,531000,0.668
2015-06-03,0.75,0.755,0.73,0.74,265400,0.664
2015-06-04,0.73,0.73,0.715,0.715,208000,0.641
2015-06-05,0.70,0.725,0.69,0.72,165600,0.646
2015-06-08,0.72,0.72,0.72,0.72,000,0.646
2015-06-09,0.75,0.75,0.695,0.695,54100,0.623
2015-06-10,0.695,0.73,0.685,0.73,163100,0.655
2015-06-11,0.73,0.74,0.73,0.73,28900,0.655
2015-06-12,0.73,0.73,0.73,0.73,000,0.655
2015-06-15,0.72,0.72,0.72,0.72,22000,0.646
2015-06-16,0.72,0.74,0.71,0.74,60200,0.664
2015-06-17,0.72,0.74,0.72,0.74,8600,0.664
2015-06-18,0.72,0.72,0.705,0.705,60000,0.632
2015-06-19,0.72,0.72,0.705,0.705,101200,0.632
2015-06-22,0.715,0.72,0.715,0.72,30000,0.646
2015-06-23,0.72,0.725,0.715,0.72,9700,0.646
2015-06-24,0.715,0.73,0.71,0.71,97800,0.637
2015-06-25,0.715,0.735,0.71,0.73,26600,0.655
2015-06-26,0.73,0.74,0.73,0.73,9600,0.655
2015-06-29,0.715,0.715,0.705,0.71,119800,0.637
2015-06-30,0.70,0.71,0.70,0.70,73900,0.628
2015-07-01,0.71,0.71,0.71,0.71,16500,0.637
2015-07-02,0.73,0.745,0.73,0.73,85100,0.655
2015-07-03,0.73,0.73,0.73,0.73,22700,0.655
2015-07-06,0.74,0.74,0.73,0.73,74800,0.655
2015-07-07,0.73,0.75,0.71,0.71,156400,0.637
2015-07-08,0.72,0.75,0.71,0.73,129800,0.655
2015-07-09,0.73,0.73,0.70,0.72,136900,0.646
2015-07-10,0.72,0.75,0.72,0.75,94000,0.673
2015-07-13,0.75,0.75,0.75,0.75,000,0.673
2015-07-14,0.76,0.785,0.75,0.76,253600,0.682
2015-07-15,0.76,0.76,0.76,0.76,7000,0.682
2015-07-16,0.77,0.78,0.76,0.77,72700,0.691
2015-07-17,0.76,0.76,0.755,0.755,56000,0.677
2015-07-20,0.76,0.76,0.755,0.76,32700,0.682
2015-07-21,0.755,0.78,0.755,0.76,107600,0.682
2015-07-22,0.78,0.78,0.755,0.755,51500,0.677
2015-07-23,0.78,0.80,0.77,0.80,111800,0.718
2015-07-24,0.805,0.815,0.795,0.815,172700,0.731
2015-07-27,0.815,0.84,0.815,0.84,258000,0.753
2015-07-28,0.84,0.85,0.835,0.85,287600,0.762
2015-07-29,0.85,0.85,0.82,0.82,156100,0.736
2015-07-30,0.82,0.84,0.815,0.84,39900,0.753
2015-07-31,0.82,0.84,0.82,0.83,42100,0.744
2015-08-03,0.84,0.85,0.835,0.835,49800,0.749
2015-08-04,0.845,0.86,0.835,0.85,215800,0.762
2015-08-05,0.85,0.88,0.845,0.865,122400,0.776
2015-08-06,0.87,0.885,0.867,0.885,166400,0.794
2015-08-07,0.885,0.885,0.865,0.88,209400,0.789
2015-08-10,0.88,0.885,0.88,0.88,71500,0.789
2015-08-11,0.89,0.89,0.88,0.88,175100,0.789
2015-08-12,0.89,0.89,0.845,0.86,497700,0.771
2015-08-13,0.86,0.86,0.84,0.86,402300,0.771
2015-08-14,0.865,0.865,0.84,0.855,608100,0.767
2015-08-17,0.805,0.82,0.77,0.82,267900,0.795
2015-08-18,0.80,0.80,0.76,0.78,254100,0.757
2015-08-19,0.78,0.78,0.725,0.74,347500,0.718
2015-08-20,0.70,0.75,0.70,0.74,402100,0.718
2015-08-21,0.725,0.725,0.705,0.705,158600,0.684
2015-08-24,0.655,0.68,0.63,0.65,664800,0.63
2015-08-25,0.62,0.685,0.60,0.66,214900,0.64
2015-08-26,0.68,0.69,0.66,0.69,146000,0.669
2015-08-27,0.70,0.74,0.70,0.71,166800,0.689
2015-08-28,0.74,0.74,0.715,0.72,133500,0.698
2015-08-31,0.71,0.72,0.71,0.72,67700,0.698
2015-09-01,0.72,0.74,0.715,0.715,98100,0.693
2015-09-02,0.71,0.71,0.665,0.68,46500,0.66
2015-09-03,0.71,0.72,0.70,0.705,315000,0.684
2015-09-04,0.705,0.715,0.70,0.715,24900,0.693
2015-09-07,0.68,0.68,0.675,0.675,35000,0.655
2015-09-08,0.675,0.715,0.675,0.71,31200,0.689
2015-09-09,0.71,0.71,0.68,0.695,25500,0.674
2015-09-10,0.695,0.695,0.695,0.695,000,0.674
2015-09-11,0.70,0.715,0.68,0.69,23700,0.669
2015-09-14,0.71,0.71,0.69,0.71,27200,0.689
2015-09-15,0.695,0.695,0.69,0.695,22900,0.674
2015-09-16,0.695,0.715,0.695,0.695,17300,0.674
2015-09-17,0.72,0.72,0.695,0.70,180600,0.679
2015-09-18,0.695,0.71,0.695,0.71,28800,0.689
2015-09-21,0.70,0.70,0.70,0.70,17900,0.679
2015-09-22,0.695,0.695,0.69,0.69,90000,0.669
2015-09-23,0.71,0.71,0.685,0.685,27500,0.664
2015-09-24,0.685,0.685,0.66,0.66,135500,0.64
2015-09-25,0.68,0.70,0.66,0.66,34300,0.64
2015-09-28,0.66,0.66,0.62,0.645,190700,0.626
2015-09-29,0.65,0.66,0.65,0.65,87500,0.63
2015-09-30,0.65,0.675,0.625,0.675,148000,0.655
2015-10-01,0.675,0.675,0.67,0.67,9900,0.65
2015-10-02,0.67,0.67,0.65,0.65,23600,0.63
2015-10-05,0.66,0.66,0.66,0.66,25000,0.64
2015-10-06,0.67,0.67,0.66,0.66,13500,0.64
2015-10-07,0.67,0.675,0.66,0.66,38100,0.64
2015-10-08,0.66,0.685,0.65,0.65,100900,0.63
2015-10-09,0.655,0.655,0.645,0.655,80100,0.635
2015-10-12,0.65,0.665,0.645,0.665,89800,0.645
2015-10-13,0.665,0.67,0.645,0.67,86500,0.65
2015-10-14,0.685,0.70,0.685,0.70,64900,0.679
2015-10-15,0.71,0.73,0.71,0.73,63200,0.708
2015-10-16,0.74,0.80,0.74,0.76,320600,0.737
2015-10-19,0.78,0.80,0.78,0.78,195800,0.757
2015-10-20,0.78,0.78,0.76,0.76,63200,0.737
2015-10-21,0.75,0.75,0.74,0.74,2900,0.718
2015-10-22,0.74,0.74,0.74,0.74,11800,0.718
2015-10-23,0.74,0.75,0.74,0.75,32000,0.727
2015-10-26,0.74,0.77,0.74,0.745,173400,0.723
2015-10-27,0.77,0.77,0.77,0.77,17000,0.747
2015-10-28,0.77,0.775,0.77,0.77,126300,0.747
2015-10-29,0.78,0.78,0.78,0.78,25100,0.757
2015-10-30,0.77,0.78,0.76,0.77,59000,0.747
2015-11-02,0.78,0.78,0.765,0.765,18000,0.742
2015-11-03,0.77,0.775,0.77,0.77,45200,0.747
2015-11-04,0.77,0.78,0.77,0.78,3300,0.757
2015-11-05,0.78,0.78,0.78,0.78,000,0.757
2015-11-06,0.775,0.79,0.77,0.78,98200,0.757
2015-11-09,0.78,0.78,0.765,0.765,38700,0.742
2015-11-10,0.77,0.78,0.755,0.755,40800,0.732
2015-11-11,0.78,0.78,0.78,0.78,24000,0.757
2015-11-12,0.76,0.78,0.76,0.78,84800,0.757
2015-11-13,0.78,0.785,0.77,0.77,171800,0.747
2015-11-16,0.755,0.76,0.74,0.76,13400,0.737
2015-11-17,0.76,0.76,0.74,0.74,117900,0.718
2015-11-18,0.745,0.76,0.74,0.74,90300,0.718
2015-11-19,0.75,0.78,0.74,0.78,66700,0.757
