Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.66,0.66,0.66,0.66,000,0.66
2015-01-02,0.66,0.685,0.66,0.68,512000,0.68
2015-01-05,0.68,0.74,0.675,0.735,1786400,0.735
2015-01-06,0.735,0.755,0.73,0.75,1120600,0.75
2015-01-07,0.765,0.785,0.76,0.775,906300,0.775
2015-01-08,0.765,0.775,0.73,0.73,908700,0.73
2015-01-09,0.725,0.775,0.725,0.75,769700,0.75
2015-01-12,0.755,0.785,0.755,0.765,875700,0.765
2015-01-13,0.79,0.815,0.775,0.79,1566600,0.79
2015-01-14,0.79,0.79,0.79,0.79,000,0.79
2015-01-15,0.79,0.79,0.79,0.79,000,0.79
2015-01-16,0.79,0.79,0.79,0.79,000,0.79
2015-01-19,0.79,0.79,0.79,0.79,000,0.79
2015-01-20,0.79,0.79,0.79,0.79,000,0.79
2015-01-21,0.79,0.79,0.79,0.79,000,0.79
2015-01-22,0.79,0.79,0.79,0.79,000,0.79
2015-01-23,0.79,0.79,0.79,0.79,000,0.79
2015-01-26,0.79,0.79,0.79,0.79,000,0.79
2015-01-27,0.79,0.79,0.79,0.79,000,0.79
2015-01-28,0.79,0.79,0.79,0.79,000,0.79
2015-01-29,0.79,0.79,0.79,0.79,000,0.79
2015-01-30,0.79,0.79,0.79,0.79,000,0.79
2015-02-02,0.79,0.79,0.79,0.79,000,0.79
2015-02-03,0.79,0.79,0.79,0.79,000,0.79
2015-02-04,0.79,0.79,0.79,0.79,000,0.79
2015-02-05,0.79,0.79,0.79,0.79,000,0.79
2015-02-06,0.79,0.79,0.79,0.79,000,0.79
2015-02-09,0.79,0.79,0.79,0.79,000,0.79
2015-02-10,0.79,0.79,0.79,0.79,000,0.79
2015-02-11,0.79,0.79,0.79,0.79,000,0.79
2015-02-12,0.79,0.79,0.79,0.79,000,0.79
2015-02-13,0.79,0.79,0.79,0.79,000,0.79
2015-02-16,0.79,0.79,0.79,0.79,000,0.79
2015-02-17,0.79,0.79,0.79,0.79,000,0.79
2015-02-18,0.79,0.79,0.79,0.79,000,0.79
2015-02-19,0.79,0.79,0.79,0.79,000,0.79
2015-02-20,0.79,0.79,0.79,0.79,000,0.79
2015-02-23,0.79,0.79,0.79,0.79,000,0.79
2015-02-24,0.79,0.79,0.79,0.79,000,0.79
2015-02-25,0.79,0.79,0.79,0.79,000,0.79
2015-02-26,0.79,0.79,0.79,0.79,000,0.79
2015-02-27,0.79,0.79,0.79,0.79,000,0.79
2015-03-02,0.825,0.85,0.665,0.78,2324800,0.78
2015-03-03,0.76,0.77,0.68,0.71,2433400,0.71
2015-03-04,0.71,0.71,0.685,0.705,2949200,0.705
2015-03-05,0.715,0.80,0.70,0.79,1722300,0.79
2015-03-06,0.78,0.79,0.76,0.77,751600,0.77
2015-03-09,0.74,0.74,0.71,0.72,1183600,0.72
2015-03-10,0.72,0.72,0.70,0.705,349300,0.705
2015-03-11,0.705,0.705,0.66,0.66,1186300,0.66
2015-03-12,0.65,0.665,0.63,0.63,1879100,0.63
2015-03-13,0.63,0.67,0.63,0.645,1282800,0.645
2015-03-16,0.65,0.66,0.645,0.66,614000,0.66
2015-03-17,0.665,0.68,0.65,0.67,567900,0.67
2015-03-18,0.66,0.66,0.645,0.655,796100,0.655
2015-03-19,0.68,0.695,0.66,0.67,378800,0.67
2015-03-20,0.675,0.69,0.65,0.65,986800,0.65
2015-03-23,0.68,0.70,0.68,0.69,913000,0.69
2015-03-24,0.70,0.71,0.69,0.695,730500,0.695
2015-03-25,0.70,0.71,0.69,0.695,385600,0.695
2015-03-26,0.70,0.705,0.685,0.685,190500,0.685
2015-03-27,0.70,0.70,0.685,0.69,269100,0.69
2015-03-30,0.685,0.69,0.67,0.67,330200,0.67
2015-03-31,0.68,0.69,0.66,0.69,924300,0.69
2015-04-01,0.67,0.69,0.665,0.685,523000,0.685
2015-04-02,0.70,0.715,0.685,0.71,1017800,0.71
2015-04-03,0.71,0.71,0.71,0.71,000,0.71
2015-04-06,0.71,0.71,0.71,0.71,000,0.71
2015-04-07,0.705,0.72,0.70,0.72,458600,0.72
2015-04-08,0.715,0.72,0.705,0.71,390800,0.71
2015-04-09,0.71,0.715,0.70,0.705,458900,0.705
2015-04-10,0.71,0.715,0.705,0.705,144800,0.705
2015-04-13,0.715,0.72,0.705,0.705,367600,0.705
2015-04-14,0.705,0.72,0.695,0.695,234800,0.695
