Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.025,0.025,0.025,0.025,000,0.025
2015-01-02,0.025,0.025,0.025,0.025,000,0.025
2015-01-05,0.025,0.025,0.025,0.025,000,0.025
2015-01-06,0.025,0.025,0.025,0.025,000,0.025
2015-01-07,0.025,0.025,0.025,0.025,000,0.025
2015-01-08,0.025,0.025,0.025,0.025,000,0.025
2015-01-09,0.025,0.025,0.025,0.025,000,0.025
2015-01-12,0.025,0.025,0.025,0.025,000,0.025
2015-01-13,0.025,0.025,0.025,0.025,000,0.025
2015-01-14,0.025,0.025,0.025,0.025,000,0.025
2015-01-15,0.025,0.025,0.025,0.025,000,0.025
2015-01-16,0.025,0.025,0.025,0.025,000,0.025
2015-01-19,0.025,0.025,0.025,0.025,000,0.025
2015-01-20,0.025,0.025,0.025,0.025,000,0.025
2015-01-21,0.025,0.025,0.025,0.025,000,0.025
2015-01-22,0.025,0.025,0.025,0.025,000,0.025
2015-01-23,0.025,0.025,0.025,0.025,000,0.025
2015-01-26,0.025,0.025,0.025,0.025,000,0.025
2015-01-27,0.025,0.025,0.025,0.025,000,0.025
2015-01-28,0.025,0.025,0.025,0.025,000,0.025
2015-01-29,0.025,0.025,0.025,0.025,000,0.025
2015-01-30,0.025,0.025,0.025,0.025,000,0.025
2015-02-02,0.025,0.025,0.025,0.025,000,0.025
2015-02-03,0.025,0.025,0.025,0.025,000,0.025
2015-02-04,0.025,0.025,0.025,0.025,000,0.025
2015-02-05,0.025,0.025,0.025,0.025,000,0.025
2015-02-06,0.025,0.025,0.025,0.025,000,0.025
2015-02-09,0.025,0.025,0.025,0.025,000,0.025
2015-02-10,0.025,0.025,0.025,0.025,000,0.025
2015-02-11,0.025,0.025,0.025,0.025,000,0.025
2015-02-12,0.025,0.025,0.025,0.025,000,0.025
2015-02-13,0.025,0.025,0.025,0.025,000,0.025
2015-02-16,0.025,0.025,0.025,0.025,000,0.025
2015-02-17,0.025,0.025,0.025,0.025,000,0.025
2015-02-18,0.025,0.025,0.025,0.025,000,0.025
2015-02-19,0.025,0.025,0.025,0.025,000,0.025
2015-02-20,0.025,0.025,0.025,0.025,000,0.025
2015-02-23,0.025,0.025,0.025,0.025,000,0.025
2015-02-24,0.025,0.025,0.025,0.025,000,0.025
2015-02-25,0.025,0.025,0.025,0.025,000,0.025
2015-02-26,0.025,0.025,0.025,0.025,000,0.025
2015-02-27,0.025,0.025,0.025,0.025,000,0.025
2015-03-02,0.025,0.025,0.025,0.025,000,0.025
2015-03-03,0.025,0.025,0.025,0.025,000,0.025
2015-03-04,0.025,0.025,0.025,0.025,000,0.025
2015-03-05,0.025,0.025,0.025,0.025,000,0.025
2015-03-06,0.025,0.025,0.025,0.025,000,0.025
2015-03-09,0.025,0.025,0.025,0.025,000,0.025
2015-03-10,0.025,0.025,0.025,0.025,000,0.025
2015-03-11,0.025,0.025,0.025,0.025,000,0.025
2015-03-12,0.025,0.025,0.025,0.025,000,0.025
2015-03-13,0.025,0.025,0.025,0.025,000,0.025
2015-03-16,0.025,0.025,0.025,0.025,000,0.025
2015-03-17,0.025,0.025,0.025,0.025,000,0.025
2015-03-18,0.025,0.025,0.025,0.025,000,0.025
2015-03-19,0.04,0.04,0.035,0.035,420200,0.035
2015-03-20,0.035,0.035,0.035,0.035,000,0.035
2015-03-23,0.03,0.03,0.03,0.03,40000,0.03
2015-03-24,0.03,0.03,0.03,0.03,000,0.03
2015-03-25,0.025,0.025,0.024,0.024,146000,0.024
2015-03-26,0.024,0.024,0.024,0.024,000,0.024
2015-03-27,0.024,0.024,0.024,0.024,000,0.024
