Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.04,0.04,0.04,0.04,000,0.04
2015-01-02,0.04,0.04,0.04,0.04,000,0.04
2015-01-05,0.04,0.04,0.04,0.04,000,0.04
2015-01-06,0.04,0.04,0.04,0.04,000,0.04
2015-01-07,0.04,0.04,0.04,0.04,000,0.04
2015-01-08,0.04,0.04,0.04,0.04,000,0.04
2015-01-09,0.04,0.04,0.04,0.04,000,0.04
2015-01-12,0.04,0.04,0.04,0.04,000,0.04
2015-01-13,0.04,0.04,0.04,0.04,200000,0.04
2015-01-14,0.04,0.04,0.04,0.04,312900,0.04
2015-01-15,0.04,0.04,0.04,0.04,000,0.04
2015-01-16,0.035,0.035,0.035,0.035,15000,0.035
2015-01-19,0.035,0.035,0.035,0.035,000,0.035
2015-01-20,0.035,0.035,0.035,0.035,000,0.035
2015-01-21,0.035,0.035,0.035,0.035,140000,0.035
2015-01-22,0.035,0.035,0.035,0.035,000,0.035
2015-01-23,0.035,0.035,0.035,0.035,000,0.035
2015-01-26,0.035,0.035,0.035,0.035,000,0.035
2015-01-27,0.035,0.035,0.035,0.035,000,0.035
2015-01-28,0.035,0.035,0.035,0.035,000,0.035
2015-01-29,0.035,0.035,0.035,0.035,000,0.035
2015-01-30,0.035,0.035,0.035,0.035,000,0.035
2015-02-02,0.035,0.035,0.035,0.035,000,0.035
2015-02-03,0.03,0.03,0.03,0.03,226000,0.03
2015-02-04,0.03,0.03,0.026,0.026,112500,0.026
2015-02-05,0.026,0.026,0.026,0.026,000,0.026
2015-02-06,0.026,0.026,0.026,0.026,000,0.026
2015-02-09,0.026,0.026,0.026,0.026,100000,0.026
2015-02-10,0.03,0.033,0.03,0.033,384700,0.033
2015-02-11,0.033,0.033,0.033,0.033,000,0.033
2015-02-12,0.033,0.033,0.033,0.033,116000,0.033
2015-02-13,0.033,0.033,0.033,0.033,000,0.033
2015-02-16,0.033,0.033,0.033,0.033,000,0.033
2015-02-17,0.033,0.033,0.033,0.033,000,0.033
2015-02-18,0.033,0.033,0.033,0.033,000,0.033
2015-02-19,0.029,0.029,0.029,0.029,30000,0.029
2015-02-20,0.029,0.029,0.029,0.029,000,0.029
2015-02-23,0.029,0.029,0.026,0.026,400000,0.026
2015-02-24,0.025,0.025,0.025,0.025,200000,0.025
2015-02-25,0.025,0.027,0.025,0.027,100000,0.027
2015-02-26,0.027,0.027,0.027,0.027,000,0.027
2015-02-27,0.024,0.025,0.024,0.025,191200,0.025
2015-03-02,0.025,0.025,0.025,0.025,000,0.025
2015-03-03,0.025,0.025,0.025,0.025,000,0.025
2015-03-04,0.025,0.025,0.025,0.025,000,0.025
2015-03-05,0.025,0.025,0.025,0.025,000,0.025
2015-03-06,0.03,0.03,0.028,0.028,40200,0.028
2015-03-09,0.028,0.028,0.028,0.028,000,0.028
2015-03-10,0.028,0.028,0.028,0.028,000,0.028
2015-03-11,0.028,0.028,0.028,0.028,000,0.028
2015-03-12,0.028,0.028,0.028,0.028,000,0.028
2015-03-13,0.028,0.028,0.028,0.028,000,0.028
2015-03-16,0.03,0.03,0.025,0.025,376700,0.025
2015-03-17,0.021,0.021,0.021,0.021,75000,0.021
2015-03-18,0.021,0.021,0.021,0.021,123200,0.021
2015-03-19,0.02,0.02,0.02,0.02,245800,0.02
2015-03-20,0.02,0.02,0.02,0.02,000,0.02
2015-03-23,0.02,0.02,0.019,0.019,139100,0.019
2015-03-24,0.019,0.019,0.019,0.019,000,0.019
2015-03-25,0.019,0.019,0.019,0.019,000,0.019
2015-03-26,0.019,0.019,0.019,0.019,000,0.019
2015-03-27,0.019,0.019,0.019,0.019,000,0.019
2015-03-30,0.02,0.02,0.02,0.02,149100,0.02
2015-03-31,0.02,0.02,0.02,0.02,50000,0.02
2015-04-01,0.02,0.02,0.02,0.02,000,0.02
2015-04-02,0.02,0.02,0.02,0.02,000,0.02
2015-04-03,0.02,0.02,0.02,0.02,000,0.02
2015-04-06,0.02,0.02,0.02,0.02,000,0.02
2015-04-07,0.02,0.02,0.02,0.02,000,0.02
2015-04-08,0.02,0.02,0.02,0.02,000,0.02
2015-04-09,0.02,0.02,0.02,0.02,000,0.02
2015-04-10,0.02,0.02,0.02,0.02,51700,0.02
2015-04-13,0.02,0.02,0.02,0.02,000,0.02
2015-04-14,0.02,0.02,0.02,0.02,61000,0.02
2015-04-15,0.02,0.02,0.02,0.02,000,0.02
2015-04-16,0.02,0.02,0.02,0.02,000,0.02
2015-04-17,0.02,0.02,0.02,0.02,000,0.02
2015-04-20,0.021,0.021,0.021,0.021,50000,0.021
2015-04-21,0.021,0.021,0.021,0.021,000,0.021
2015-04-22,0.022,0.022,0.022,0.022,40000,0.022
