Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.014,0.014,0.014,0.014,000,0.014
2015-01-02,0.014,0.014,0.014,0.014,000,0.014
2015-01-05,0.014,0.014,0.014,0.014,000,0.014
2015-01-06,0.014,0.014,0.014,0.014,000,0.014
2015-01-07,0.016,0.016,0.015,0.015,441200,0.015
2015-01-08,0.015,0.015,0.015,0.015,000,0.015
2015-01-09,0.015,0.015,0.015,0.015,000,0.015
2015-01-12,0.015,0.015,0.015,0.015,000,0.015
2015-01-13,0.015,0.015,0.015,0.015,000,0.015
2015-01-14,0.017,0.02,0.015,0.02,265300,0.02
2015-01-15,0.016,0.016,0.016,0.016,15000,0.016
2015-01-16,0.016,0.016,0.016,0.016,000,0.016
2015-01-19,0.016,0.016,0.016,0.016,000,0.016
2015-01-20,0.016,0.016,0.016,0.016,150000,0.016
2015-01-21,0.016,0.016,0.015,0.015,200000,0.015
2015-01-22,0.015,0.015,0.013,0.013,300000,0.013
2015-01-23,0.013,0.013,0.013,0.013,000,0.013
2015-01-26,0.013,0.013,0.013,0.013,000,0.013
2015-01-27,0.013,0.013,0.013,0.013,000,0.013
2015-01-28,0.013,0.013,0.013,0.013,000,0.013
2015-01-29,0.013,0.013,0.013,0.013,000,0.013
2015-01-30,0.015,0.015,0.015,0.015,48600,0.015
2015-02-02,0.015,0.015,0.015,0.015,000,0.015
2015-02-03,0.016,0.017,0.016,0.017,364500,0.017
2015-02-04,0.017,0.017,0.017,0.017,000,0.017
2015-02-05,0.017,0.017,0.017,0.017,36600,0.017
2015-02-06,0.016,0.016,0.016,0.016,421600,0.016
2015-02-09,0.016,0.016,0.016,0.016,000,0.016
2015-02-10,0.016,0.016,0.016,0.016,000,0.016
2015-02-11,0.016,0.016,0.016,0.016,000,0.016
2015-02-12,0.016,0.016,0.016,0.016,000,0.016
2015-02-13,0.016,0.016,0.016,0.016,45000,0.016
2015-02-16,0.016,0.016,0.016,0.016,000,0.016
2015-02-17,0.016,0.016,0.016,0.016,000,0.016
2015-02-18,0.016,0.016,0.016,0.016,000,0.016
2015-02-19,0.016,0.016,0.016,0.016,000,0.016
2015-02-20,0.016,0.016,0.016,0.016,000,0.016
2015-02-23,0.016,0.016,0.016,0.016,000,0.016
2015-02-24,0.016,0.016,0.016,0.016,000,0.016
2015-02-25,0.017,0.017,0.017,0.017,3900,0.017
2015-02-26,0.017,0.017,0.016,0.016,33400,0.016
2015-02-27,0.016,0.016,0.016,0.016,000,0.016
2015-03-02,0.016,0.016,0.016,0.016,000,0.016
2015-03-03,0.016,0.016,0.016,0.016,000,0.016
2015-03-04,0.016,0.016,0.016,0.016,000,0.016
2015-03-05,0.016,0.016,0.016,0.016,210000,0.016
2015-03-06,0.016,0.016,0.016,0.016,000,0.016
2015-03-09,0.016,0.016,0.016,0.016,000,0.016
2015-03-10,0.017,0.017,0.017,0.017,247200,0.017
2015-03-11,0.017,0.017,0.017,0.017,75000,0.017
2015-03-12,0.019,0.019,0.017,0.017,248500,0.017
2015-03-13,0.017,0.017,0.017,0.017,22000,0.017
2015-03-16,0.017,0.017,0.017,0.017,000,0.017
2015-03-17,0.018,0.021,0.018,0.02,822200,0.02
2015-03-18,0.02,0.02,0.02,0.02,000,0.02
2015-03-19,0.02,0.02,0.02,0.02,000,0.02
2015-03-20,0.02,0.02,0.02,0.02,000,0.02
2015-03-23,0.017,0.017,0.017,0.017,4000,0.017
2015-03-24,0.017,0.017,0.016,0.016,8300,0.016
2015-03-25,0.02,0.021,0.02,0.021,230000,0.021
2015-03-26,0.021,0.021,0.02,0.021,250000,0.021
2015-03-27,0.021,0.021,0.021,0.021,000,0.021
2015-03-30,0.021,0.021,0.021,0.021,55200,0.021
2015-03-31,0.021,0.021,0.021,0.021,164800,0.021
2015-04-01,0.022,0.023,0.021,0.023,525000,0.023
2015-04-02,0.022,0.024,0.021,0.024,340000,0.024
2015-04-03,0.024,0.024,0.024,0.024,000,0.024
2015-04-06,0.024,0.024,0.024,0.024,000,0.024
2015-04-07,0.022,0.022,0.022,0.022,250000,0.022
2015-04-08,0.024,0.024,0.024,0.024,89400,0.024
2015-04-09,0.025,0.025,0.02,0.021,266000,0.021
2015-04-10,0.022,0.023,0.022,0.023,692000,0.023
2015-04-13,0.022,0.022,0.022,0.022,690000,0.022
2015-04-14,0.023,0.023,0.022,0.022,390000,0.022
2015-04-15,0.021,0.023,0.021,0.021,229900,0.021
2015-04-16,0.022,0.022,0.022,0.022,50000,0.022
2015-04-17,0.022,0.022,0.022,0.022,000,0.022
2015-04-20,0.023,0.023,0.022,0.022,855000,0.022
2015-04-21,0.025,0.025,0.021,0.021,163000,0.021
2015-04-22,0.021,0.021,0.021,0.021,000,0.021
2015-04-23,0.024,0.024,0.024,0.024,25000,0.024
2015-04-24,0.023,0.023,0.023,0.023,403600,0.023
2015-04-27,0.023,0.023,0.023,0.023,000,0.023
2015-04-28,0.023,0.023,0.023,0.023,65000,0.023
2015-04-29,0.024,0.024,0.024,0.024,52700,0.024
2015-04-30,0.025,0.025,0.025,0.025,19200,0.025
2015-05-01,0.025,0.025,0.025,0.025,50000,0.025
2015-05-04,0.025,0.025,0.025,0.025,275000,0.025
2015-05-05,0.025,0.025,0.025,0.025,000,0.025
2015-05-06,0.025,0.025,0.025,0.025,000,0.025
2015-05-07,0.024,0.024,0.024,0.024,354300,0.024
2015-05-08,0.024,0.024,0.024,0.024,000,0.024
2015-05-11,0.024,0.024,0.024,0.024,125000,0.024
2015-05-12,0.024,0.025,0.024,0.025,800000,0.025
2015-05-13,0.025,0.025,0.025,0.025,120600,0.025
