Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.094,0.094,0.094,0.094,000,0.086
2015-01-02,0.105,0.105,0.105,0.105,67700,0.096
2015-01-05,0.105,0.105,0.105,0.105,000,0.096
2015-01-06,0.105,0.105,0.105,0.105,000,0.096
2015-01-07,0.105,0.105,0.105,0.105,000,0.096
2015-01-08,0.105,0.105,0.105,0.105,000,0.096
2015-01-09,0.105,0.105,0.105,0.105,200000,0.096
2015-01-12,0.105,0.105,0.105,0.105,6000,0.096
2015-01-13,0.105,0.105,0.105,0.105,000,0.096
2015-01-14,0.105,0.105,0.105,0.105,000,0.096
2015-01-15,0.095,0.095,0.095,0.095,110000,0.086
2015-01-16,0.095,0.095,0.095,0.095,000,0.086
2015-01-19,0.095,0.095,0.095,0.095,000,0.086
2015-01-20,0.095,0.095,0.095,0.095,000,0.086
2015-01-21,0.095,0.095,0.095,0.095,000,0.086
2015-01-22,0.095,0.095,0.095,0.095,000,0.086
2015-01-23,0.095,0.095,0.095,0.095,000,0.086
2015-01-26,0.095,0.095,0.095,0.095,000,0.086
2015-01-27,0.095,0.095,0.095,0.095,000,0.086
2015-01-28,0.095,0.095,0.095,0.095,000,0.086
2015-01-29,0.095,0.095,0.095,0.095,000,0.086
2015-01-30,0.095,0.095,0.095,0.095,000,0.086
2015-02-02,0.095,0.095,0.095,0.095,000,0.086
2015-02-03,0.095,0.095,0.095,0.095,000,0.086
2015-02-04,0.088,0.092,0.088,0.092,507100,0.084
2015-02-05,0.098,0.098,0.087,0.087,98500,0.079
2015-02-06,0.09,0.09,0.09,0.09,112000,0.082
2015-02-09,0.087,0.087,0.087,0.087,35000,0.079
2015-02-10,0.087,0.087,0.087,0.087,000,0.079
2015-02-11,0.087,0.087,0.087,0.087,000,0.079
2015-02-12,0.087,0.087,0.087,0.087,000,0.079
2015-02-13,0.087,0.09,0.087,0.09,107500,0.082
2015-02-16,0.09,0.09,0.09,0.09,000,0.082
2015-02-17,0.095,0.095,0.095,0.095,10100,0.086
2015-02-18,0.095,0.095,0.095,0.095,000,0.086
2015-02-19,0.095,0.095,0.095,0.095,000,0.086
2015-02-20,0.095,0.095,0.095,0.095,000,0.086
2015-02-23,0.097,0.097,0.097,0.097,100000,0.088
2015-02-24,0.096,0.097,0.096,0.097,176000,0.088
2015-02-25,0.098,0.10,0.098,0.098,105200,0.089
2015-02-26,0.098,0.098,0.098,0.098,000,0.089
2015-02-27,0.098,0.098,0.098,0.098,000,0.089
2015-03-02,0.095,0.095,0.095,0.095,33100,0.086
2015-03-03,0.095,0.095,0.095,0.095,50000,0.086
2015-03-04,0.095,0.095,0.095,0.095,000,0.086
2015-03-05,0.095,0.095,0.095,0.095,000,0.086
2015-03-06,0.095,0.095,0.095,0.095,34000,0.086
2015-03-09,0.095,0.095,0.095,0.095,000,0.086
2015-03-10,0.095,0.10,0.095,0.10,14500,0.091
2015-03-11,0.10,0.10,0.10,0.10,000,0.091
2015-03-12,0.10,0.10,0.095,0.095,135000,0.086
2015-03-13,0.094,0.094,0.094,0.094,300700,0.086
2015-03-16,0.094,0.095,0.094,0.095,96100,0.086
2015-03-17,0.095,0.095,0.095,0.095,000,0.086
2015-03-18,0.095,0.095,0.095,0.095,000,0.089
2015-03-19,0.095,0.095,0.095,0.095,000,0.089
2015-03-20,0.095,0.095,0.095,0.095,000,0.089
2015-03-23,0.095,0.095,0.095,0.095,000,0.089
2015-03-24,0.095,0.095,0.095,0.095,000,0.089
2015-03-25,0.095,0.095,0.095,0.095,000,0.089
2015-03-26,0.09,0.09,0.09,0.09,68000,0.084
2015-03-27,0.09,0.09,0.09,0.09,000,0.084
2015-03-30,0.09,0.09,0.09,0.09,216000,0.084
2015-03-31,0.09,0.09,0.09,0.09,8900,0.084
2015-04-01,0.09,0.09,0.09,0.09,000,0.084
2015-04-02,0.09,0.09,0.09,0.09,000,0.084
2015-04-03,0.09,0.09,0.09,0.09,000,0.084
2015-04-06,0.09,0.09,0.09,0.09,000,0.084
2015-04-07,0.09,0.09,0.09,0.09,000,0.084
2015-04-08,0.09,0.09,0.09,0.09,000,0.084
2015-04-09,0.09,0.09,0.09,0.09,000,0.084
2015-04-10,0.09,0.09,0.09,0.09,000,0.084
2015-04-13,0.091,0.091,0.091,0.091,2700,0.085
2015-04-14,0.10,0.10,0.10,0.10,136700,0.094
2015-04-15,0.10,0.10,0.10,0.10,60000,0.094
2015-04-16,0.10,0.10,0.10,0.10,3200,0.094
2015-04-17,0.10,0.105,0.10,0.105,16700,0.099
2015-04-20,0.105,0.105,0.105,0.105,000,0.099
2015-04-21,0.105,0.105,0.105,0.105,25000,0.099
2015-04-22,0.105,0.115,0.105,0.115,473400,0.108
2015-04-23,0.12,0.125,0.12,0.125,318000,0.117
2015-04-24,0.135,0.14,0.135,0.14,346600,0.131
2015-04-27,0.145,0.16,0.145,0.15,248000,0.141
2015-04-28,0.15,0.155,0.135,0.155,284200,0.145
2015-04-29,0.155,0.165,0.145,0.145,110000,0.136
2015-04-30,0.145,0.145,0.145,0.145,000,0.136
2015-05-01,0.14,0.14,0.14,0.14,24800,0.131
2015-05-04,0.14,0.14,0.14,0.14,34000,0.131
2015-05-05,0.135,0.135,0.135,0.135,200,0.127
2015-05-06,0.135,0.135,0.135,0.135,40600,0.127
2015-05-07,0.135,0.135,0.135,0.135,9400,0.127
2015-05-08,0.14,0.14,0.135,0.135,31400,0.127
2015-05-11,0.135,0.135,0.135,0.135,30500,0.127
2015-05-12,0.135,0.135,0.135,0.135,000,0.127
