Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.36,3.36,3.36,3.36,000,3.19875
2015-01-02,3.32,3.39,3.31,3.39,128200,3.22731
2015-01-05,3.31,3.36,3.30,3.35,43700,3.18923
2015-01-06,3.38,3.38,3.25,3.33,90300,3.17019
2015-01-07,3.33,3.37,3.31,3.33,18900,3.17019
2015-01-08,3.32,3.35,3.32,3.33,18000,3.17019
2015-01-09,3.33,3.35,3.31,3.32,60200,3.16067
2015-01-12,3.35,3.35,3.31,3.31,8000,3.15115
2015-01-13,3.32,3.34,3.32,3.32,25000,3.16067
2015-01-14,3.33,3.35,3.31,3.32,134100,3.16067
2015-01-15,3.32,3.34,3.32,3.33,24300,3.17019
2015-01-16,3.32,3.33,3.32,3.32,14400,3.16067
2015-01-19,3.35,3.36,3.32,3.34,132200,3.17971
2015-01-20,3.34,3.36,3.31,3.34,82300,3.17971
2015-01-21,3.34,3.40,3.33,3.40,18700,3.23683
2015-01-22,3.36,3.37,3.31,3.35,75800,3.18923
2015-01-23,3.35,3.37,3.34,3.37,46700,3.20827
2015-01-26,3.37,3.37,3.37,3.37,000,3.20827
2015-01-27,3.36,3.40,3.36,3.36,29900,3.19875
2015-01-28,3.38,3.44,3.37,3.39,53800,3.22731
2015-01-29,3.39,3.43,3.37,3.40,67900,3.23683
2015-01-30,3.36,3.44,3.36,3.44,30900,3.27491
2015-02-02,3.38,3.45,3.36,3.40,108000,3.23683
2015-02-03,3.44,3.44,3.35,3.42,57000,3.25587
2015-02-04,3.44,3.44,3.36,3.40,51000,3.23683
2015-02-05,3.41,3.45,3.35,3.45,3643600,3.28443
2015-02-06,3.40,3.42,3.39,3.40,43200,3.23683
2015-02-09,3.40,3.43,3.39,3.40,60000,3.23683
2015-02-10,3.41,3.43,3.40,3.42,42500,3.25587
2015-02-11,3.43,3.44,3.40,3.44,11100,3.27491
2015-02-12,3.45,3.45,3.40,3.44,103200,3.27491
2015-02-13,3.42,3.45,3.41,3.45,42000,3.28443
2015-02-16,3.41,3.44,3.41,3.42,69600,3.25587
2015-02-17,3.45,3.45,3.43,3.45,24400,3.28443
2015-02-18,3.45,3.48,3.445,3.47,21300,3.30347
2015-02-19,3.48,3.48,3.43,3.47,30100,3.30347
2015-02-20,3.46,3.48,3.41,3.45,77000,3.28443
2015-02-23,3.48,3.49,3.45,3.45,77500,3.28443
2015-02-24,3.46,3.48,3.43,3.48,57000,3.31299
2015-02-25,3.47,3.48,3.42,3.45,84500,3.28443
2015-02-26,3.45,3.46,3.42,3.46,21300,3.29395
2015-02-27,3.45,3.47,3.42,3.47,94500,3.30347
2015-03-02,3.47,3.48,3.43,3.47,96700,3.30347
2015-03-03,3.47,3.47,3.44,3.46,47500,3.29395
2015-03-04,3.46,3.47,3.445,3.47,106000,3.30347
2015-03-05,3.47,3.49,3.43,3.48,136300,3.31299
2015-03-06,3.47,3.48,3.44,3.46,64100,3.29395
2015-03-09,3.46,3.48,3.45,3.45,43300,3.28443
2015-03-10,3.46,3.48,3.44,3.45,58600,3.28443
2015-03-11,3.45,3.49,3.45,3.49,251400,3.32251
2015-03-12,3.49,3.55,3.49,3.55,338100,3.37963
2015-03-13,3.60,3.81,3.555,3.65,274500,3.47483
2015-03-16,3.66,3.73,3.58,3.69,202700,3.51291
2015-03-17,3.69,3.69,3.54,3.60,94200,3.42723
2015-03-18,3.64,3.66,3.59,3.61,75200,3.43675
2015-03-19,3.68,3.68,3.58,3.59,111600,3.41771
2015-03-20,3.58,3.65,3.56,3.65,20600,3.47483
2015-03-23,3.65,3.67,3.53,3.67,52100,3.49387
2015-03-24,3.65,3.80,3.65,3.78,160700,3.59859
2015-03-25,3.78,3.88,3.68,3.83,312500,3.6462
2015-03-26,3.70,3.94,3.70,3.86,168700,3.67476
2015-03-27,3.74,3.87,3.71,3.80,65300,3.61764
2015-03-30,3.84,3.85,3.76,3.84,43600,3.65572
2015-03-31,3.85,3.87,3.79,3.82,19500,3.63668
2015-04-01,3.81,3.82,3.77,3.81,24700,3.62716
2015-04-02,3.73,3.90,3.72,3.90,134400,3.71284
2015-04-03,3.90,3.90,3.90,3.90,000,3.71284
2015-04-06,3.90,3.90,3.90,3.90,000,3.71284
2015-04-07,3.90,3.90,3.72,3.85,73500,3.66524
2015-04-08,3.74,3.79,3.73,3.74,32100,3.56051
2015-04-09,3.74,3.75,3.65,3.75,99500,3.57003
2015-04-10,3.77,3.77,3.68,3.70,40400,3.52243
2015-04-13,3.70,3.70,3.65,3.67,66800,3.49387
2015-04-14,3.67,3.67,3.47,3.51,144100,3.34155
2015-04-15,3.49,3.62,3.49,3.62,101000,3.44627
2015-04-16,3.62,3.63,3.56,3.62,24900,3.44627
2015-04-17,3.55,3.66,3.53,3.65,69300,3.47483
2015-04-20,3.67,3.75,3.60,3.70,89000,3.52243
2015-04-21,3.61,3.76,3.61,3.76,49500,3.57955
2015-04-22,3.76,3.895,3.74,3.87,229200,3.68428
2015-04-23,3.87,3.87,3.84,3.84,49300,3.65572
2015-04-24,3.80,3.80,3.71,3.80,89900,3.61764
2015-04-27,3.83,3.86,3.77,3.84,68100,3.65572
2015-04-28,3.84,3.85,3.74,3.84,71400,3.65572
2015-04-29,3.83,3.84,3.75,3.75,21600,3.57003
2015-04-30,3.80,3.81,3.72,3.80,22300,3.61764
2015-05-01,3.81,3.81,3.74,3.80,15000,3.61764
2015-05-04,3.75,3.82,3.70,3.80,67500,3.61764
2015-05-05,3.83,3.83,3.78,3.80,34200,3.61764
2015-05-06,3.75,3.80,3.72,3.74,51000,3.56051
2015-05-07,3.74,3.77,3.71,3.74,31500,3.56051
2015-05-08,3.75,3.80,3.72,3.74,54800,3.56051
2015-05-11,3.725,3.78,3.72,3.75,27100,3.57003
2015-05-12,3.77,3.82,3.75,3.79,241400,3.60812
2015-05-13,3.81,3.81,3.71,3.78,103400,3.59859
2015-05-14,3.74,3.77,3.65,3.77,73500,3.58907
2015-05-15,3.75,3.77,3.66,3.75,141400,3.57003
2015-05-18,3.75,3.79,3.74,3.77,56800,3.58907
2015-05-19,3.70,3.77,3.70,3.75,36500,3.57003
2015-05-20,3.75,3.78,3.66,3.78,208600,3.59859
2015-05-21,3.78,3.83,3.74,3.83,95900,3.6462
2015-05-22,3.83,3.84,3.67,3.84,63800,3.65572
2015-05-25,3.82,3.87,3.80,3.85,100100,3.66524
2015-05-26,3.85,3.85,3.77,3.85,102000,3.66524
2015-05-27,3.73,3.87,3.73,3.85,104900,3.66524
2015-05-28,3.80,3.85,3.76,3.85,63500,3.66524
2015-05-29,3.80,3.85,3.72,3.80,52300,3.61764
2015-06-01,3.80,3.84,3.72,3.81,76500,3.62716
2015-06-02,3.80,3.81,3.735,3.79,85500,3.60812
2015-06-03,3.79,3.79,3.72,3.77,21600,3.58907
2015-06-04,3.72,3.78,3.72,3.76,100700,3.57955
2015-06-05,3.76,3.76,3.67,3.76,58900,3.57955
2015-06-08,3.76,3.76,3.76,3.76,000,3.57955
2015-06-09,3.75,3.76,3.73,3.75,94500,3.57003
2015-06-10,3.75,3.76,3.61,3.69,140700,3.51291
2015-06-11,3.69,3.76,3.66,3.69,180600,3.51291
2015-06-12,3.735,3.75,3.72,3.75,94500,3.57003
2015-06-15,3.75,3.79,3.65,3.75,129700,3.57003
2015-06-16,3.69,3.77,3.69,3.70,93700,3.52243
2015-06-17,3.75,3.77,3.70,3.73,115200,3.55099
2015-06-18,3.75,3.78,3.62,3.78,76700,3.59859
2015-06-19,3.78,3.80,3.70,3.80,260300,3.61764
2015-06-22,3.80,3.80,3.745,3.75,37500,3.57003
2015-06-23,3.74,3.75,3.71,3.75,128400,3.57003
2015-06-24,3.70,3.77,3.70,3.75,91600,3.57003
2015-06-25,3.72,3.755,3.70,3.74,85600,3.56051
2015-06-26,3.62,3.70,3.51,3.70,56800,3.60386
2015-06-29,3.70,3.83,3.60,3.70,101800,3.60386
2015-06-30,3.69,3.69,3.65,3.69,8100,3.59412
2015-07-01,3.61,3.69,3.61,3.69,95900,3.59412
2015-07-02,3.68,3.695,3.66,3.68,44400,3.58438
2015-07-03,3.68,3.69,3.65,3.69,45000,3.59412
2015-07-06,3.67,3.68,3.62,3.65,61400,3.55516
2015-07-07,3.62,3.68,3.62,3.65,80800,3.55516
2015-07-08,3.65,3.67,3.61,3.65,60500,3.55516
2015-07-09,3.65,3.68,3.64,3.65,155800,3.55516
2015-07-10,3.65,3.68,3.65,3.65,28100,3.55516
2015-07-13,3.65,3.69,3.64,3.69,83300,3.59412
2015-07-14,3.69,3.69,3.65,3.65,56700,3.55516
