Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.16,0.16,0.16,0.16,000,0.16
2015-01-02,0.16,0.16,0.16,0.16,000,0.16
2015-01-05,0.16,0.16,0.16,0.16,000,0.16
2015-01-06,0.16,0.16,0.16,0.16,000,0.16
2015-01-07,0.16,0.16,0.16,0.16,000,0.16
2015-01-08,0.16,0.16,0.16,0.16,000,0.16
2015-01-09,0.16,0.16,0.16,0.16,000,0.16
2015-01-12,0.18,0.18,0.18,0.18,1600,0.18
2015-01-13,0.18,0.18,0.18,0.18,000,0.18
2015-01-14,0.18,0.18,0.18,0.18,000,0.18
2015-01-15,0.18,0.18,0.18,0.18,000,0.18
2015-01-16,0.18,0.18,0.18,0.18,000,0.18
2015-01-19,0.18,0.18,0.18,0.18,000,0.18
2015-01-20,0.18,0.18,0.18,0.18,000,0.18
2015-01-21,0.18,0.18,0.18,0.18,000,0.18
2015-01-22,0.18,0.18,0.18,0.18,000,0.18
2015-01-23,0.18,0.18,0.18,0.18,000,0.18
2015-01-26,0.18,0.18,0.18,0.18,000,0.18
2015-01-27,0.18,0.18,0.18,0.18,000,0.18
2015-01-28,0.18,0.18,0.18,0.18,000,0.18
2015-01-29,0.18,0.18,0.18,0.18,000,0.18
2015-01-30,0.18,0.18,0.18,0.18,1000,0.18
2015-02-02,0.18,0.18,0.18,0.18,000,0.18
2015-02-03,0.185,0.20,0.185,0.20,1200,0.20
2015-02-04,0.215,0.215,0.215,0.215,6500,0.215
2015-02-05,0.22,0.22,0.22,0.22,16100,0.22
2015-02-06,0.22,0.22,0.22,0.22,000,0.22
2015-02-09,0.22,0.22,0.22,0.22,6400,0.22
2015-02-10,0.22,0.22,0.22,0.22,000,0.22
2015-02-11,0.22,0.22,0.22,0.22,000,0.22
2015-02-12,0.22,0.22,0.22,0.22,000,0.22
2015-02-13,0.28,0.28,0.28,0.28,000,0.28
2015-02-16,0.28,0.28,0.28,0.28,000,0.28
2015-02-17,0.28,0.28,0.28,0.28,000,0.28
2015-02-18,0.28,0.28,0.28,0.28,000,0.28
2015-02-19,0.28,0.28,0.28,0.28,000,0.28
2015-02-20,0.28,0.28,0.28,0.28,000,0.28
2015-02-23,0.28,0.28,0.28,0.28,000,0.28
2015-02-24,0.20,0.20,0.20,0.20,500,0.20
2015-02-25,0.195,0.195,0.195,0.195,400,0.195
2015-02-26,0.205,0.22,0.205,0.22,8900,0.22
2015-02-27,0.22,0.22,0.22,0.22,000,0.22
2015-03-02,0.215,0.215,0.21,0.21,800,0.21
2015-03-03,0.21,0.21,0.21,0.21,000,0.21
2015-03-04,0.21,0.21,0.21,0.21,000,0.21
2015-03-05,0.21,0.21,0.21,0.21,000,0.21
2015-03-06,0.195,0.195,0.195,0.195,2200,0.195
2015-03-09,0.195,0.195,0.195,0.195,000,0.195
2015-03-10,0.195,0.195,0.195,0.195,000,0.195
2015-03-11,0.195,0.195,0.195,0.195,000,0.195
2015-03-12,0.195,0.195,0.195,0.195,000,0.195
2015-03-13,0.195,0.195,0.195,0.195,000,0.195
2015-03-16,0.185,0.185,0.18,0.18,11600,0.18
2015-03-17,0.18,0.18,0.18,0.18,000,0.18
2015-03-18,0.165,0.165,0.165,0.165,4700,0.165
2015-03-19,0.165,0.165,0.165,0.165,000,0.165
2015-03-20,0.165,0.165,0.165,0.165,000,0.165
2015-03-23,0.165,0.165,0.165,0.165,000,0.165
