Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.005,0.005,0.005,0.005,000,0.005
2015-01-02,0.005,0.005,0.005,0.005,000,0.005
2015-01-05,0.005,0.005,0.005,0.005,620000,0.005
2015-01-06,0.005,0.005,0.005,0.005,000,0.005
2015-01-07,0.005,0.007,0.005,0.006,4255600,0.006
2015-01-08,0.006,0.006,0.005,0.005,1684000,0.005
2015-01-09,0.006,0.006,0.006,0.006,784000,0.006
2015-01-12,0.006,0.006,0.006,0.006,3012600,0.006
2015-01-13,0.006,0.006,0.004,0.004,3421100,0.004
2015-01-14,0.004,0.004,0.004,0.004,000,0.004
2015-01-15,0.005,0.005,0.004,0.004,4500000,0.004
2015-01-16,0.005,0.006,0.005,0.005,4528300,0.005
2015-01-19,0.006,0.006,0.005,0.005,1150000,0.005
2015-01-20,0.005,0.005,0.005,0.005,418300,0.005
2015-01-21,0.005,0.005,0.005,0.005,000,0.005
2015-01-22,0.005,0.005,0.005,0.005,4500000,0.005
2015-01-23,0.005,0.005,0.005,0.005,2295000,0.005
2015-01-26,0.005,0.005,0.005,0.005,000,0.005
2015-01-27,0.005,0.005,0.005,0.005,000,0.005
2015-01-28,0.004,0.004,0.004,0.004,9100800,0.004
2015-01-29,0.004,0.004,0.004,0.004,489100,0.004
2015-01-30,0.004,0.004,0.004,0.004,000,0.004
2015-02-02,0.004,0.004,0.004,0.004,000,0.004
2015-02-03,0.004,0.004,0.004,0.004,000,0.004
2015-02-04,0.004,0.004,0.004,0.004,000,0.004
2015-02-05,0.004,0.004,0.004,0.004,000,0.004
2015-02-06,0.004,0.004,0.004,0.004,000,0.004
2015-02-09,0.004,0.004,0.004,0.004,1964600,0.004
2015-02-10,0.004,0.004,0.004,0.004,000,0.004
2015-02-11,0.005,0.005,0.005,0.005,5634900,0.005
2015-02-12,0.005,0.005,0.005,0.005,000,0.005
2015-02-13,0.005,0.006,0.005,0.006,3883300,0.006
2015-02-16,0.005,0.005,0.005,0.005,1472000,0.005
2015-02-17,0.005,0.005,0.004,0.004,13639600,0.004
2015-02-18,0.005,0.005,0.004,0.005,5070300,0.005
2015-02-19,0.005,0.005,0.005,0.005,5087000,0.005
2015-02-20,0.006,0.006,0.005,0.005,11783600,0.005
2015-02-23,0.005,0.005,0.005,0.005,000,0.005
2015-02-24,0.005,0.006,0.005,0.006,4133400,0.006
2015-02-25,0.006,0.006,0.006,0.006,1708300,0.006
2015-02-26,0.005,0.006,0.005,0.006,3500000,0.006
2015-02-27,0.005,0.006,0.005,0.005,2946600,0.005
2015-03-02,0.006,0.006,0.006,0.006,3390100,0.006
2015-03-03,0.005,0.005,0.005,0.005,5103300,0.005
2015-03-04,0.005,0.005,0.005,0.005,000,0.005
2015-03-05,0.006,0.006,0.006,0.006,1000000,0.006
2015-03-06,0.005,0.005,0.005,0.005,760000,0.005
2015-03-09,0.005,0.005,0.005,0.005,3000000,0.005
2015-03-10,0.005,0.005,0.005,0.005,2500000,0.005
2015-03-11,0.005,0.007,0.005,0.007,14618300,0.007
2015-03-12,0.007,0.007,0.006,0.006,4754200,0.006
2015-03-13,0.006,0.006,0.006,0.006,245700,0.006
2015-03-16,0.006,0.006,0.006,0.006,6147700,0.006
2015-03-17,0.006,0.006,0.006,0.006,7107000,0.006
2015-03-18,0.006,0.006,0.006,0.006,000,0.006
2015-03-19,0.006,0.006,0.006,0.006,000,0.006
2015-03-20,0.005,0.006,0.005,0.006,20399900,0.006
2015-03-23,0.005,0.006,0.004,0.005,9540300,0.005
2015-03-24,0.004,0.005,0.004,0.005,15500000,0.005
2015-03-25,0.005,0.005,0.005,0.005,000,0.005
2015-03-26,0.005,0.005,0.005,0.005,000,0.005
2015-03-27,0.005,0.005,0.005,0.005,000,0.005
2015-03-30,0.004,0.005,0.004,0.005,9490800,0.005
2015-03-31,0.005,0.005,0.004,0.005,14615200,0.005
2015-04-01,0.005,0.006,0.005,0.005,10058600,0.005
2015-04-02,0.004,0.0045,0.004,0.004,1292000,0.004
2015-04-03,0.004,0.004,0.004,0.004,000,0.004
2015-04-06,0.004,0.004,0.004,0.004,000,0.004
2015-04-07,0.005,0.005,0.004,0.004,700000,0.004
2015-04-08,0.004,0.004,0.003,0.003,26204300,0.003
2015-04-09,0.003,0.003,0.003,0.003,13499900,0.003
2015-04-10,0.004,0.004,0.004,0.004,150000,0.004
2015-04-13,0.003,0.003,0.002,0.003,15955400,0.003
2015-04-14,0.003,0.003,0.003,0.003,000,0.003
2015-04-15,0.004,0.004,0.004,0.004,50000,0.004
2015-04-16,0.004,0.004,0.003,0.003,1248000,0.003
2015-04-17,0.003,0.003,0.003,0.003,000,0.003
2015-04-20,0.004,0.004,0.003,0.003,3750000,0.003
2015-04-21,0.003,0.003,0.003,0.003,000,0.003
2015-04-22,0.003,0.003,0.003,0.003,350100,0.003
2015-04-23,0.003,0.003,0.003,0.003,22494300,0.003
2015-04-24,0.003,0.003,0.003,0.003,832600,0.003
2015-04-27,0.003,0.003,0.003,0.003,20571200,0.003
2015-04-28,0.003,0.003,0.003,0.003,1631600,0.003
2015-04-29,0.003,0.003,0.002,0.003,9267800,0.003
2015-04-30,0.003,0.003,0.003,0.003,6150000,0.003
2015-05-01,0.003,0.004,0.003,0.003,1950200,0.003
2015-05-04,0.003,0.003,0.003,0.003,000,0.003
2015-05-05,0.003,0.003,0.003,0.003,000,0.003
2015-05-06,0.003,0.003,0.003,0.003,000,0.003
2015-05-07,0.003,0.003,0.003,0.003,516200,0.003
2015-05-08,0.003,0.003,0.003,0.003,85000,0.003
2015-05-11,0.003,0.003,0.003,0.003,000,0.003
2015-05-12,0.003,0.003,0.003,0.003,000,0.003
2015-05-13,0.003,0.003,0.003,0.003,1000000,0.003
2015-05-14,0.003,0.003,0.003,0.003,1043700,0.003
2015-05-15,0.003,0.003,0.003,0.003,000,0.003
2015-05-18,0.003,0.003,0.003,0.003,000,0.003
2015-05-19,0.003,0.003,0.003,0.003,000,0.003
2015-05-20,0.003,0.003,0.003,0.003,596200,0.003
2015-05-21,0.003,0.003,0.003,0.003,000,0.003
2015-05-22,0.003,0.003,0.003,0.003,2475700,0.003
2015-05-25,0.003,0.003,0.003,0.003,2135900,0.003
2015-05-26,0.003,0.003,0.003,0.003,000,0.003
2015-05-27,0.003,0.003,0.003,0.003,000,0.003
2015-05-28,0.003,0.003,0.003,0.003,000,0.003
2015-05-29,0.002,0.002,0.002,0.002,400100,0.002
2015-06-01,0.003,0.0035,0.003,0.003,5634000,0.003
2015-06-02,0.003,0.0035,0.003,0.003,850000,0.003
2015-06-03,0.003,0.003,0.003,0.003,18000,0.003
2015-06-04,0.003,0.003,0.003,0.003,1717000,0.003
2015-06-05,0.003,0.003,0.002,0.003,500100,0.003
2015-06-08,0.003,0.003,0.003,0.003,000,0.003
2015-06-09,0.003,0.003,0.002,0.003,1648900,0.003
2015-06-10,0.002,0.005,0.002,0.005,12924100,0.005
2015-06-11,0.005,0.006,0.005,0.006,22149600,0.006
2015-06-12,0.006,0.006,0.005,0.005,2051600,0.005
2015-06-15,0.005,0.005,0.004,0.004,7550000,0.004
2015-06-16,0.005,0.005,0.005,0.005,3513300,0.005
2015-06-17,0.005,0.005,0.004,0.004,5830600,0.004
2015-06-18,0.005,0.005,0.004,0.004,438600,0.004
2015-06-19,0.005,0.005,0.004,0.004,14776600,0.004
2015-06-22,0.005,0.005,0.004,0.004,18369300,0.004
2015-06-23,0.005,0.005,0.004,0.005,6508000,0.005
2015-06-24,0.005,0.006,0.005,0.005,24649900,0.005
2015-06-25,0.005,0.006,0.005,0.006,3115000,0.006
2015-06-26,0.006,0.006,0.005,0.005,7480600,0.005
2015-06-29,0.005,0.005,0.004,0.004,5415000,0.004
2015-06-30,0.004,0.005,0.004,0.005,3100000,0.005
2015-07-01,0.004,0.004,0.004,0.004,3666600,0.004
2015-07-02,0.004,0.004,0.004,0.004,4316900,0.004
2015-07-03,0.005,0.005,0.004,0.004,20524900,0.004
2015-07-06,0.004,0.004,0.003,0.004,6037200,0.004
2015-07-07,0.004,0.004,0.004,0.004,1815400,0.004
2015-07-08,0.004,0.004,0.004,0.004,3071600,0.004
2015-07-09,0.004,0.004,0.004,0.004,000,0.004
2015-07-10,0.004,0.004,0.004,0.004,000,0.004
2015-07-13,0.005,0.005,0.005,0.005,350000,0.005
2015-07-14,0.005,0.005,0.005,0.005,200000,0.005
2015-07-15,0.004,0.004,0.004,0.004,4500000,0.004
2015-07-16,0.004,0.004,0.003,0.004,14691200,0.004
2015-07-17,0.004,0.004,0.004,0.004,5143200,0.004
2015-07-20,0.004,0.004,0.004,0.004,1390000,0.004
2015-07-21,0.004,0.004,0.004,0.004,675400,0.004
2015-07-22,0.004,0.004,0.004,0.004,705500,0.004
2015-07-23,0.004,0.004,0.004,0.004,2000000,0.004
2015-07-24,0.004,0.004,0.004,0.004,4100000,0.004
2015-07-27,0.004,0.004,0.004,0.004,000,0.004
2015-07-28,0.004,0.004,0.004,0.004,000,0.004
2015-07-29,0.004,0.004,0.004,0.004,000,0.004
2015-07-30,0.004,0.004,0.004,0.004,225000,0.004
2015-07-31,0.004,0.004,0.004,0.004,000,0.004
2015-08-03,0.004,0.004,0.004,0.004,000,0.004
2015-08-04,0.004,0.004,0.004,0.004,000,0.004
2015-08-05,0.004,0.004,0.003,0.003,1307800,0.003
2015-08-06,0.004,0.004,0.004,0.004,3402700,0.004
2015-08-07,0.004,0.004,0.004,0.004,975000,0.004
2015-08-10,0.004,0.004,0.004,0.004,000,0.004
2015-08-11,0.004,0.004,0.004,0.004,000,0.004
2015-08-12,0.004,0.004,0.004,0.004,000,0.004
2015-08-13,0.003,0.003,0.003,0.003,6600,0.003
2015-08-14,0.003,0.003,0.003,0.003,000,0.003
2015-08-17,0.003,0.003,0.003,0.003,22700,0.003
2015-08-18,0.003,0.003,0.003,0.003,000,0.003
2015-08-19,0.003,0.003,0.003,0.003,000,0.003
2015-08-20,0.003,0.003,0.003,0.003,100,0.003
2015-08-21,0.004,0.005,0.004,0.005,10437300,0.005
2015-08-24,0.005,0.005,0.004,0.004,9446500,0.004
2015-08-25,0.004,0.004,0.004,0.004,000,0.004
2015-08-26,0.004,0.004,0.004,0.004,000,0.004
2015-08-27,0.004,0.004,0.004,0.004,2174300,0.004
2015-08-28,0.004,0.004,0.004,0.004,396200,0.004
