Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.32,0.32,0.32,0.32,000,0.32
2015-01-02,0.305,0.315,0.305,0.315,123500,0.315
2015-01-05,0.32,0.335,0.32,0.335,398900,0.335
2015-01-06,0.335,0.335,0.33,0.335,76200,0.335
2015-01-07,0.335,0.335,0.325,0.33,64300,0.33
2015-01-08,0.33,0.335,0.33,0.33,187700,0.33
2015-01-09,0.33,0.335,0.32,0.33,259200,0.33
2015-01-12,0.33,0.33,0.33,0.33,137000,0.33
2015-01-13,0.33,0.33,0.305,0.305,140700,0.305
2015-01-14,0.31,0.31,0.29,0.30,299100,0.30
2015-01-15,0.30,0.30,0.28,0.29,249100,0.29
2015-01-16,0.30,0.305,0.295,0.305,137500,0.305
2015-01-19,0.30,0.30,0.295,0.30,60700,0.30
2015-01-20,0.30,0.30,0.29,0.30,171100,0.30
2015-01-21,0.29,0.315,0.29,0.31,520000,0.31
2015-01-22,0.30,0.31,0.295,0.30,194100,0.30
2015-01-23,0.30,0.30,0.29,0.29,407500,0.29
2015-01-26,0.29,0.29,0.29,0.29,000,0.29
2015-01-27,0.295,0.295,0.28,0.28,361500,0.28
2015-01-28,0.28,0.29,0.28,0.28,182200,0.28
2015-01-29,0.275,0.28,0.26,0.27,292800,0.27
2015-01-30,0.265,0.27,0.25,0.26,607400,0.26
2015-02-02,0.26,0.26,0.23,0.235,888300,0.235
2015-02-03,0.24,0.26,0.24,0.255,328200,0.255
2015-02-04,0.265,0.28,0.26,0.26,300000,0.26
2015-02-05,0.27,0.275,0.265,0.265,384300,0.265
2015-02-06,0.27,0.27,0.26,0.265,82700,0.265
2015-02-09,0.27,0.27,0.26,0.26,173500,0.26
2015-02-10,0.265,0.27,0.255,0.27,85300,0.27
2015-02-11,0.27,0.27,0.255,0.26,71000,0.26
2015-02-12,0.26,0.265,0.255,0.255,145600,0.255
2015-02-13,0.255,0.26,0.255,0.26,126200,0.26
2015-02-16,0.265,0.27,0.265,0.265,109100,0.265
2015-02-17,0.26,0.28,0.255,0.255,141400,0.255
2015-02-18,0.255,0.26,0.25,0.255,100600,0.255
2015-02-19,0.245,0.25,0.24,0.245,407900,0.245
2015-02-20,0.255,0.255,0.245,0.25,92900,0.25
2015-02-23,0.245,0.25,0.235,0.24,809600,0.24
2015-02-24,0.24,0.24,0.225,0.23,485700,0.23
2015-02-25,0.23,0.23,0.23,0.23,000,0.23
2015-02-26,0.23,0.23,0.23,0.23,000,0.23
2015-02-27,0.22,0.235,0.205,0.22,778700,0.22
2015-03-02,0.22,0.225,0.21,0.22,403700,0.22
2015-03-03,0.215,0.22,0.20,0.20,663500,0.20
2015-03-04,0.20,0.205,0.19,0.19,368400,0.19
2015-03-05,0.195,0.205,0.195,0.20,209500,0.20
2015-03-06,0.20,0.21,0.20,0.205,185600,0.205
2015-03-09,0.205,0.21,0.20,0.205,160100,0.205
2015-03-10,0.205,0.215,0.20,0.20,1259700,0.20
2015-03-11,0.20,0.205,0.185,0.20,971600,0.20
2015-03-12,0.20,0.20,0.19,0.19,659500,0.19
2015-03-13,0.195,0.195,0.19,0.19,784800,0.19
2015-03-16,0.19,0.19,0.175,0.175,790900,0.175
2015-03-17,0.18,0.185,0.175,0.175,336200,0.175
2015-03-18,0.18,0.185,0.18,0.18,330200,0.18
2015-03-19,0.185,0.185,0.18,0.185,48400,0.185
2015-03-20,0.185,0.20,0.185,0.195,467100,0.195
2015-03-23,0.20,0.20,0.185,0.185,371200,0.185
2015-03-24,0.19,0.19,0.18,0.185,551200,0.185
2015-03-25,0.19,0.19,0.185,0.19,241700,0.19
2015-03-26,0.19,0.195,0.185,0.19,584800,0.19
2015-03-27,0.19,0.19,0.185,0.19,171900,0.19
2015-03-30,0.195,0.195,0.185,0.185,198000,0.185
2015-03-31,0.19,0.195,0.185,0.19,288800,0.19
2015-04-01,0.185,0.19,0.185,0.185,186100,0.185
2015-04-02,0.19,0.19,0.19,0.19,506600,0.19
2015-04-03,0.19,0.19,0.19,0.19,000,0.19
2015-04-06,0.19,0.19,0.19,0.19,000,0.19
2015-04-07,0.19,0.19,0.185,0.185,203800,0.185
2015-04-08,0.20,0.205,0.195,0.20,1932400,0.20
