Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,0.97,0.97,0.97,0.97,13500,0.97
2016-04-20,0.98,0.985,0.98,0.98,72800,0.98
2016-04-21,0.965,0.965,0.955,0.955,44600,0.955
2016-04-22,0.955,0.96,0.955,0.96,1500,0.96


2016-04-25,0.96,0.96,0.96,0.96,000,0.96
2016-04-26,0.97,0.975,0.97,0.975,10500,0.975
2016-04-27,0.96,0.96,0.96,0.96,500,0.96
2016-04-28,0.96,0.97,0.955,0.97,5500,0.97
2016-04-29,0.955,0.97,0.955,0.97,16500,0.97


2016-05-02,0.97,0.98,0.97,0.98,46100,0.98
2016-05-03,0.98,0.98,0.97,0.98,81100,0.98
2016-05-04,0.98,0.98,0.98,0.98,3100,0.98
2016-05-05,0.98,0.98,0.98,0.98,000,0.98
2016-05-06,0.98,0.98,0.97,0.97,85900,0.97


2016-05-09,0.96,0.96,0.96,0.96,3000,0.96
2016-05-10,0.955,0.97,0.95,0.97,37400,0.97
2016-05-11,0.96,0.97,0.96,0.97,43000,0.97
2016-05-12,0.95,0.97,0.89,0.97,81600,0.97
2016-05-13,0.97,0.97,0.97,0.97,1400,0.97


2016-05-16,0.97,0.97,0.97,0.97,000,0.97
2016-05-17,0.97,0.97,0.97,0.97,000,0.97
2016-05-18,0.945,0.945,0.945,0.945,5000,0.945
2016-05-19,0.945,0.945,0.945,0.945,000,0.945
2016-05-20,0.945,0.945,0.93,0.94,51000,0.94


2016-05-23,0.94,0.965,0.94,0.965,42600,0.965
2016-05-24,0.93,0.95,0.93,0.95,5000,0.95
2016-05-25,0.965,0.965,0.93,0.95,51100,0.95
2016-05-26,0.95,0.96,0.95,0.96,44900,0.96
2016-05-27,0.955,0.955,0.955,0.955,52800,0.955


2016-05-30,0.96,0.96,0.93,0.94,197900,0.94
2016-05-31,0.96,0.97,0.96,0.96,170100,0.96
2016-06-01,0.95,0.95,0.95,0.95,10000,0.95
2016-06-02,0.96,0.97,0.96,0.965,92900,0.965
2016-06-03,0.97,0.97,0.965,0.97,101900,0.97


2016-06-06,0.97,0.975,0.97,0.975,89600,0.975
2016-06-07,0.97,0.97,0.965,0.965,76300,0.965
2016-06-08,0.97,0.97,0.96,0.96,62600,0.96
2016-06-09,0.97,0.97,0.97,0.97,137800,0.97
2016-06-10,0.97,0.975,0.97,0.975,139500,0.975


2016-06-13,0.975,0.975,0.975,0.975,000,0.975
2016-06-14,0.965,0.965,0.965,0.965,500,0.965
