Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.17,0.17,0.17,0.17,000,0.17
2015-01-02,0.17,0.17,0.17,0.17,000,0.17
2015-01-05,0.16,0.165,0.16,0.165,63100,0.165
2015-01-06,0.165,0.165,0.165,0.165,26500,0.165
2015-01-07,0.165,0.165,0.165,0.165,000,0.165
2015-01-08,0.17,0.17,0.17,0.17,12000,0.17
2015-01-09,0.17,0.18,0.17,0.18,26000,0.18
2015-01-12,0.18,0.18,0.18,0.18,000,0.18
2015-01-13,0.18,0.18,0.175,0.175,105000,0.175
2015-01-14,0.175,0.175,0.17,0.17,109600,0.17
2015-01-15,0.17,0.18,0.17,0.18,14200,0.18
2015-01-16,0.17,0.17,0.17,0.17,15500,0.17
2015-01-19,0.16,0.16,0.16,0.16,27500,0.16
2015-01-20,0.16,0.16,0.16,0.16,000,0.16
2015-01-21,0.15,0.15,0.15,0.15,5000,0.15
2015-01-22,0.16,0.16,0.16,0.16,69600,0.16
2015-01-23,0.16,0.16,0.16,0.16,000,0.16
2015-01-26,0.16,0.16,0.16,0.16,000,0.16
2015-01-27,0.15,0.155,0.15,0.155,89400,0.155
2015-01-28,0.155,0.155,0.155,0.155,1000,0.155
2015-01-29,0.155,0.155,0.155,0.155,2500,0.155
2015-01-30,0.155,0.155,0.155,0.155,46800,0.155
2015-02-02,0.155,0.16,0.155,0.16,9400,0.16
2015-02-03,0.16,0.165,0.16,0.165,121600,0.165
2015-02-04,0.16,0.16,0.155,0.155,101000,0.155
2015-02-05,0.155,0.155,0.155,0.155,800,0.155
2015-02-06,0.155,0.155,0.155,0.155,14800,0.155
2015-02-09,0.155,0.155,0.155,0.155,000,0.155
2015-02-10,0.15,0.15,0.15,0.15,4700,0.15
2015-02-11,0.145,0.15,0.145,0.15,29300,0.15
2015-02-12,0.15,0.15,0.15,0.15,30600,0.15
2015-02-13,0.15,0.15,0.15,0.15,000,0.15
2015-02-16,0.15,0.155,0.15,0.155,60900,0.155
2015-02-17,0.16,0.16,0.16,0.16,70000,0.16
2015-02-18,0.16,0.16,0.16,0.16,5200,0.16
2015-02-19,0.16,0.16,0.155,0.16,113100,0.16
2015-02-20,0.15,0.15,0.145,0.145,124000,0.145
2015-02-23,0.15,0.15,0.145,0.15,36600,0.15
2015-02-24,0.16,0.165,0.155,0.165,153000,0.165
2015-02-25,0.155,0.155,0.155,0.155,20000,0.155
2015-02-26,0.155,0.155,0.155,0.155,000,0.155
2015-02-27,0.155,0.155,0.155,0.155,000,0.155
2015-03-02,0.155,0.155,0.155,0.155,4400,0.155
2015-03-03,0.155,0.155,0.155,0.155,000,0.155
2015-03-04,0.155,0.155,0.155,0.155,000,0.155
2015-03-05,0.15,0.15,0.145,0.145,34200,0.145
2015-03-06,0.145,0.145,0.145,0.145,000,0.145
2015-03-09,0.155,0.165,0.155,0.16,108200,0.16
2015-03-10,0.175,0.175,0.145,0.145,100000,0.145
2015-03-11,0.15,0.155,0.15,0.155,44900,0.155
2015-03-12,0.155,0.155,0.15,0.15,40600,0.15
2015-03-13,0.175,0.18,0.16,0.175,172200,0.175
2015-03-16,0.18,0.19,0.18,0.185,260700,0.185
2015-03-17,0.20,0.20,0.18,0.19,166800,0.19
2015-03-18,0.19,0.19,0.185,0.19,75700,0.19
2015-03-19,0.19,0.19,0.18,0.18,40700,0.18
2015-03-20,0.18,0.20,0.17,0.195,203700,0.195
2015-03-23,0.18,0.18,0.18,0.18,100000,0.18
