Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.73,0.73,0.73,0.73,000,0.68038
2015-01-02,0.725,0.725,0.71,0.72,32100,0.67106
2015-01-05,0.72,0.725,0.705,0.705,117800,0.65708
2015-01-06,0.70,0.702,0.675,0.675,285700,0.62912
2015-01-07,0.67,0.67,0.665,0.665,19000,0.6198
2015-01-08,0.66,0.67,0.65,0.66,67400,0.61514
2015-01-09,0.67,0.67,0.655,0.66,21100,0.61514
2015-01-12,0.66,0.665,0.66,0.66,26000,0.61514
2015-01-13,0.665,0.69,0.665,0.665,13700,0.6198
2015-01-14,0.665,0.665,0.665,0.665,000,0.6198
2015-01-15,0.69,0.69,0.69,0.69,1200,0.6431
2015-01-16,0.665,0.67,0.66,0.66,62300,0.61514
2015-01-19,0.69,0.69,0.69,0.69,5000,0.6431
2015-01-20,0.66,0.66,0.65,0.65,48400,0.60582
2015-01-21,0.66,0.66,0.65,0.65,31000,0.60582
2015-01-22,0.65,0.66,0.65,0.66,20200,0.61514
2015-01-23,0.645,0.66,0.63,0.64,35600,0.5965
2015-01-26,0.64,0.64,0.64,0.64,000,0.5965
2015-01-27,0.64,0.64,0.61,0.615,57000,0.5732
2015-01-28,0.61,0.625,0.61,0.61,77800,0.56854
2015-01-29,0.61,0.615,0.57,0.57,62800,0.53126
2015-01-30,0.60,0.66,0.59,0.59,59000,0.5499
2015-02-02,0.61,0.61,0.585,0.585,11800,0.54524
2015-02-03,0.61,0.64,0.53,0.53,2598200,0.49398
2015-02-04,0.56,0.65,0.56,0.61,227200,0.56854
2015-02-05,0.61,0.65,0.61,0.62,43500,0.57786
2015-02-06,0.62,0.70,0.62,0.70,38200,0.65242
2015-02-09,0.76,0.85,0.745,0.755,292400,0.70368
2015-02-10,0.73,0.79,0.725,0.735,28400,0.68504
2015-02-11,0.74,0.745,0.74,0.74,18000,0.6897
2015-02-12,0.74,0.76,0.74,0.74,4400,0.6897
