Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.24,1.24,1.24,1.24,000,1.01345
2015-01-02,1.24,1.25,1.24,1.25,22000,1.02162
2015-01-05,1.23,1.25,1.22,1.22,35200,0.9971
2015-01-06,1.23,1.23,1.195,1.21,58800,0.98893
2015-01-07,1.21,1.21,1.195,1.20,35300,0.98075
2015-01-08,1.205,1.205,1.195,1.195,12300,0.97667
2015-01-09,1.20,1.215,1.195,1.20,41100,0.98075
2015-01-12,1.20,1.25,1.19,1.195,162600,0.97667
2015-01-13,1.20,1.20,1.195,1.195,19000,0.97667
2015-01-14,1.20,1.20,1.195,1.195,13000,0.97667
2015-01-15,1.195,1.20,1.18,1.18,33200,0.96441
2015-01-16,1.20,1.25,1.19,1.20,101100,0.98075
2015-01-19,1.19,1.19,1.18,1.19,30700,0.97258
2015-01-20,1.20,1.20,1.17,1.17,30000,0.95624
2015-01-21,1.20,1.20,1.165,1.165,88100,0.95215
2015-01-22,1.19,1.19,1.18,1.18,15500,0.96441
2015-01-23,1.20,1.20,1.19,1.19,29000,0.97258
2015-01-26,1.19,1.19,1.19,1.19,000,0.97258
2015-01-27,1.20,1.21,1.19,1.20,38800,0.98075
2015-01-28,1.20,1.20,1.18,1.18,49700,0.96441
2015-01-29,1.18,1.20,1.18,1.20,50400,0.98075
2015-01-30,1.19,1.19,1.19,1.19,10000,0.97258
2015-02-02,1.18,1.21,1.18,1.185,170300,0.96849
2015-02-03,1.19,1.21,1.19,1.21,45600,0.98893
2015-02-04,1.195,1.245,1.195,1.21,180500,0.98893
2015-02-05,1.24,1.24,1.20,1.23,61500,1.00527
2015-02-06,1.23,1.25,1.21,1.225,90300,1.00119
2015-02-09,1.23,1.235,1.22,1.23,131700,1.00527
2015-02-10,1.23,1.23,1.21,1.225,140000,1.00119
2015-02-11,1.22,1.23,1.20,1.23,179700,1.00527
2015-02-12,1.215,1.225,1.215,1.22,139300,0.9971
2015-02-13,1.23,1.235,1.215,1.22,89900,0.9971
2015-02-16,1.23,1.23,1.22,1.225,69200,1.00119
2015-02-17,1.23,1.25,1.22,1.225,104100,1.00119
2015-02-18,1.23,1.235,1.225,1.23,169500,1.00527
2015-02-19,1.23,1.24,1.225,1.23,178100,1.00527
2015-02-20,1.23,1.24,1.225,1.23,113900,1.00527
2015-02-23,1.23,1.25,1.23,1.23,190500,1.00527
2015-02-24,1.24,1.24,1.23,1.23,547000,1.00527
2015-02-25,1.23,1.26,1.23,1.23,587500,1.00527
2015-02-26,1.25,1.26,1.25,1.25,246500,1.02162
2015-02-27,1.25,1.25,1.22,1.225,306700,1.00119
2015-03-02,1.24,1.24,1.22,1.22,183300,0.9971
2015-03-03,1.24,1.24,1.225,1.23,202100,1.00527
2015-03-04,1.24,1.255,1.23,1.23,194800,1.00527
2015-03-05,1.24,1.24,1.23,1.235,131700,1.00936
2015-03-06,1.245,1.25,1.23,1.24,153500,1.01345
2015-03-09,1.24,1.255,1.225,1.24,202700,1.01345
2015-03-10,1.24,1.24,1.23,1.23,71500,1.00527
2015-03-11,1.23,1.235,1.22,1.225,318800,1.00119
2015-03-12,1.225,1.235,1.225,1.23,110500,1.00527
2015-03-13,1.23,1.25,1.225,1.23,208200,1.00527
2015-03-16,1.24,1.26,1.235,1.235,181300,1.00936
2015-03-17,1.235,1.245,1.235,1.24,159000,1.01345
2015-03-18,1.24,1.245,1.22,1.23,209100,1.00527
2015-03-19,1.175,1.19,1.15,1.18,146900,1.03665
2015-03-20,1.16,1.17,1.15,1.15,78300,1.01029
2015-03-23,1.15,1.165,1.15,1.16,21300,1.01908
2015-03-24,1.16,1.16,1.15,1.15,77100,1.01029
2015-03-25,1.15,1.15,1.14,1.15,107500,1.01029
2015-03-26,1.16,1.16,1.15,1.16,127900,1.01908
2015-03-27,1.16,1.16,1.105,1.11,232200,0.97515
2015-03-30,1.125,1.14,1.105,1.105,97200,0.97076
2015-03-31,1.105,1.12,1.10,1.12,70900,0.98394
2015-04-01,1.105,1.12,1.105,1.105,75100,0.97076
