Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.235,0.235,0.235,0.235,000,0.235
2015-01-02,0.24,0.275,0.24,0.265,676100,0.265
2015-01-05,0.29,0.32,0.285,0.31,487100,0.31
2015-01-06,0.30,0.30,0.28,0.30,217000,0.30
2015-01-07,0.29,0.30,0.27,0.285,562800,0.285
2015-01-08,0.285,0.29,0.265,0.27,101100,0.27
2015-01-09,0.29,0.29,0.27,0.27,51500,0.27
2015-01-12,0.27,0.29,0.26,0.28,104500,0.28
2015-01-13,0.27,0.27,0.255,0.27,125600,0.27
2015-01-14,0.265,0.265,0.25,0.25,915000,0.25
2015-01-15,0.245,0.26,0.245,0.26,55600,0.26
2015-01-16,0.25,0.255,0.25,0.255,49200,0.255
2015-01-19,0.25,0.255,0.25,0.255,67500,0.255
2015-01-20,0.26,0.26,0.26,0.26,21300,0.26
2015-01-21,0.26,0.26,0.255,0.26,11200,0.26
2015-01-22,0.27,0.27,0.265,0.27,98700,0.27
2015-01-23,0.28,0.295,0.275,0.29,199700,0.29
2015-01-26,0.29,0.29,0.29,0.29,000,0.29
2015-01-27,0.30,0.31,0.29,0.295,325700,0.295
2015-01-28,0.29,0.29,0.29,0.29,63200,0.29
2015-01-29,0.29,0.29,0.29,0.29,000,0.29
2015-01-30,0.285,0.29,0.26,0.29,195000,0.29
2015-02-02,0.29,0.29,0.29,0.29,000,0.29
2015-02-03,0.29,0.29,0.265,0.265,332100,0.265
2015-02-04,0.265,0.28,0.265,0.28,14800,0.28
2015-02-05,0.27,0.27,0.27,0.27,15000,0.27
2015-02-06,0.28,0.29,0.28,0.285,98300,0.285
2015-02-09,0.28,0.28,0.265,0.27,60500,0.27
2015-02-10,0.28,0.28,0.27,0.27,5800,0.27
2015-02-11,0.275,0.275,0.275,0.275,50000,0.275
2015-02-12,0.275,0.275,0.27,0.27,71900,0.27
2015-02-13,0.27,0.285,0.27,0.285,22700,0.285
2015-02-16,0.285,0.30,0.285,0.30,309000,0.30
2015-02-17,0.30,0.30,0.295,0.295,55600,0.295
2015-02-18,0.30,0.345,0.30,0.33,456200,0.33
2015-02-19,0.335,0.38,0.33,0.335,1122500,0.335
2015-02-20,0.35,0.35,0.325,0.325,226300,0.325
2015-02-23,0.325,0.325,0.32,0.325,30000,0.325
2015-02-24,0.325,0.33,0.27,0.27,467600,0.27
2015-02-25,0.26,0.265,0.235,0.24,1591600,0.24
2015-02-26,0.245,0.245,0.24,0.24,48500,0.24
2015-02-27,0.24,0.245,0.24,0.245,50700,0.245
2015-03-02,0.245,0.25,0.245,0.245,125200,0.245
2015-03-03,0.245,0.25,0.245,0.25,150400,0.25
2015-03-04,0.25,0.25,0.235,0.24,286800,0.24
2015-03-05,0.24,0.24,0.24,0.24,000,0.24
2015-03-06,0.24,0.25,0.24,0.25,39500,0.25
2015-03-09,0.25,0.25,0.25,0.25,000,0.25
2015-03-10,0.24,0.24,0.235,0.235,3300,0.235
2015-03-11,0.235,0.235,0.22,0.22,84000,0.22
2015-03-12,0.23,0.24,0.23,0.23,23300,0.23
2015-03-13,0.23,0.23,0.225,0.225,42700,0.225
2015-03-16,0.225,0.235,0.21,0.235,162600,0.235
2015-03-17,0.24,0.24,0.235,0.235,21700,0.235
2015-03-18,0.235,0.235,0.225,0.225,167400,0.225
2015-03-19,0.225,0.235,0.225,0.23,32200,0.23
