Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.22,0.22,0.22,0.22,000,0.22
2015-01-02,0.22,0.22,0.22,0.22,000,0.22
2015-01-05,0.22,0.22,0.22,0.22,000,0.22
2015-01-06,0.22,0.22,0.22,0.22,000,0.22
2015-01-07,0.22,0.22,0.22,0.22,000,0.22
2015-01-08,0.22,0.22,0.22,0.22,000,0.22
2015-01-09,0.20,0.20,0.20,0.20,6000,0.20
2015-01-12,0.20,0.20,0.20,0.20,000,0.20
2015-01-13,0.20,0.20,0.20,0.20,000,0.20
2015-01-14,0.20,0.20,0.20,0.20,000,0.20
2015-01-15,0.20,0.20,0.20,0.20,000,0.20
2015-01-16,0.215,0.24,0.215,0.24,15200,0.24
2015-01-19,0.24,0.24,0.24,0.24,000,0.24
2015-01-20,0.24,0.30,0.24,0.30,1900,0.30
2015-01-21,0.30,0.30,0.30,0.30,000,0.30
2015-01-22,0.30,0.30,0.30,0.30,100,0.30
2015-01-23,0.30,0.30,0.30,0.30,000,0.30
2015-01-26,0.30,0.30,0.30,0.30,000,0.30
2015-01-27,0.30,0.30,0.30,0.30,000,0.30
2015-01-28,0.31,0.31,0.31,0.31,800,0.31
2015-01-29,0.32,0.32,0.32,0.32,1600,0.32
2015-01-30,0.32,0.32,0.30,0.30,30000,0.30
2015-02-02,0.33,0.33,0.33,0.33,8000,0.33
2015-02-03,0.33,0.33,0.33,0.33,000,0.33
2015-02-04,0.33,0.33,0.33,0.33,17100,0.33
2015-02-05,0.30,0.30,0.30,0.30,200,0.30
2015-02-06,0.30,0.30,0.30,0.30,000,0.30
2015-02-09,0.30,0.30,0.30,0.30,000,0.30
2015-02-10,0.30,0.30,0.30,0.30,500,0.30
2015-02-11,0.30,0.30,0.30,0.30,500,0.30
2015-02-12,0.30,0.30,0.30,0.30,000,0.30
2015-02-13,0.30,0.30,0.30,0.30,000,0.30
2015-02-16,0.30,0.30,0.30,0.30,000,0.30
2015-02-17,0.30,0.30,0.30,0.30,000,0.30
2015-02-18,0.30,0.30,0.30,0.30,1000,0.30
2015-02-19,0.30,0.30,0.30,0.30,1400,0.30
2015-02-20,0.30,0.30,0.27,0.29,10500,0.29
