Date,Open,High,Low,Close,Volume,Adj Close
2015-07-03,2.18,2.28,2.16,2.24,11691100,2.1859
2015-07-06,2.23,2.42,2.20,2.42,5197500,2.3615
2015-07-07,2.45,2.50,2.32,2.32,2940300,2.264
2015-07-08,2.36,2.40,2.33,2.33,1257700,2.2737
2015-07-09,2.32,2.36,2.26,2.35,1251100,2.2932
2015-07-10,2.35,2.41,2.35,2.40,1114600,2.342
2015-07-13,2.40,2.40,2.365,2.37,821600,2.3128
2015-07-14,2.38,2.39,2.30,2.31,1226500,2.2542
2015-07-15,2.31,2.35,2.31,2.31,1237600,2.2542
2015-07-16,2.31,2.34,2.25,2.25,1585800,2.1957
2015-07-17,2.25,2.28,2.21,2.27,1222600,2.2152
2015-07-20,2.27,2.29,2.25,2.26,976400,2.2054
2015-07-21,2.28,2.28,2.21,2.21,885000,2.1566
2015-07-22,2.20,2.25,2.20,2.21,918000,2.1566
2015-07-23,2.21,2.25,2.18,2.18,1110600,2.1273
2015-07-24,2.18,2.18,2.045,2.08,3268900,2.0298
2015-07-27,2.08,2.12,2.08,2.10,698900,2.0493
2015-07-28,2.10,2.11,2.06,2.06,816700,2.0102
2015-07-29,2.05,2.09,1.98,2.00,2469200,1.9517
2015-07-30,2.00,2.08,1.99,2.04,1175700,1.9907
2015-07-31,2.06,2.06,1.997,2.00,922300,1.9517
2015-08-03,2.01,2.02,1.95,1.95,672400,1.9029
2015-08-04,1.98,1.985,1.935,1.945,732200,1.898
2015-08-05,1.85,1.85,1.78,1.80,2798200,1.7565
2015-08-06,1.80,1.815,1.78,1.80,1619900,1.7565
2015-08-07,1.80,1.865,1.765,1.765,1106100,1.7224
2015-08-10,1.76,1.84,1.76,1.805,1132100,1.7614
2015-08-11,1.84,1.85,1.81,1.815,532200,1.7712
2015-08-12,1.845,1.865,1.805,1.83,791200,1.7858
2015-08-13,1.85,1.945,1.82,1.93,894700,1.8834
2015-08-14,1.95,2.04,1.95,1.99,1047400,1.9419
2015-08-17,2.00,2.04,1.99,1.99,442500,1.9419
2015-08-18,1.99,2.03,1.95,1.97,2363500,1.9224
2015-08-19,2.03,2.035,1.93,1.93,845400,1.8834
2015-08-20,1.90,1.93,1.865,1.87,536600,1.8248
2015-08-21,1.865,1.925,1.85,1.90,496200,1.8541
2015-08-24,1.89,1.89,1.815,1.85,490000,1.8053
2015-08-25,1.85,1.89,1.80,1.82,644500,1.776
2015-08-26,1.81,1.90,1.81,1.89,276300,1.8443
2015-08-27,1.90,1.90,1.82,1.85,317500,1.8053
2015-08-28,1.835,1.892,1.835,1.855,711200,1.8102
2015-08-31,1.89,1.98,1.89,1.94,1126100,1.8931
2015-09-01,1.93,1.97,1.895,1.90,1178400,1.8541
2015-09-02,1.90,1.93,1.855,1.87,1058600,1.8248
2015-09-03,1.88,1.89,1.825,1.85,7345900,1.8053
2015-09-04,1.86,1.965,1.86,1.955,1155700,1.9078
2015-09-07,1.955,1.97,1.93,1.955,675600,1.9078
2015-09-08,1.95,1.98,1.935,1.95,673900,1.9029
2015-09-09,1.95,1.9725,1.95,1.96,627400,1.9127
2015-09-10,1.96,1.98,1.94,1.98,1248000,1.9322
2015-09-11,1.99,2.03,1.98,2.03,725900,1.981
2015-09-14,2.03,2.04,1.992,2.04,447800,1.9907
