Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.85,0.85,0.85,0.85,000,0.85
2015-01-02,0.85,0.85,0.82,0.82,232400,0.82
2015-01-05,0.84,0.95,0.84,0.88,550400,0.88
2015-01-06,0.875,0.91,0.85,0.89,195200,0.89
2015-01-07,0.89,0.93,0.86,0.93,174500,0.93
2015-01-08,0.93,1.00,0.93,1.00,645800,1.00
2015-01-09,1.04,1.07,1.01,1.06,642800,1.06
2015-01-12,1.07,1.07,0.85,0.94,769500,0.94
2015-01-13,0.93,0.93,0.865,0.885,285500,0.885
2015-01-14,0.885,0.89,0.82,0.82,270200,0.82
2015-01-15,0.79,0.79,0.635,0.685,1371800,0.685
2015-01-16,0.69,0.76,0.69,0.73,743000,0.73
2015-01-19,0.73,0.73,0.65,0.70,309600,0.70
2015-01-20,0.70,0.725,0.68,0.725,83500,0.725
2015-01-21,0.725,0.725,0.685,0.725,100800,0.725
2015-01-22,0.72,0.72,0.64,0.70,554100,0.70
2015-01-23,0.705,0.715,0.69,0.70,57000,0.70
2015-01-26,0.70,0.70,0.70,0.70,000,0.70
2015-01-27,0.72,0.75,0.69,0.69,314400,0.69
2015-01-28,0.69,0.69,0.69,0.69,000,0.69
2015-01-29,0.69,0.69,0.69,0.69,000,0.69
2015-01-30,0.69,0.69,0.69,0.69,000,0.69
2015-02-02,0.69,0.69,0.69,0.69,000,0.69
2015-02-03,0.68,0.68,0.605,0.66,442300,0.66
2015-02-04,0.66,0.66,0.65,0.65,132400,0.65
2015-02-05,0.66,0.735,0.66,0.70,27400,0.70
2015-02-06,0.72,0.72,0.72,0.72,54800,0.72
2015-02-09,0.72,0.72,0.69,0.69,116200,0.69
2015-02-10,0.69,0.69,0.66,0.66,35400,0.66
2015-02-11,0.65,0.665,0.64,0.665,65200,0.665
2015-02-12,0.66,0.66,0.65,0.66,57300,0.66
2015-02-13,0.67,0.67,0.65,0.65,12300,0.65
2015-02-16,0.66,0.66,0.66,0.66,3000,0.66
2015-02-17,0.65,0.68,0.65,0.68,28900,0.68
2015-02-18,0.66,0.66,0.66,0.66,6600,0.66
2015-02-19,0.66,0.70,0.66,0.70,47400,0.70
2015-02-20,0.70,0.76,0.70,0.745,163300,0.745
2015-02-23,0.76,0.82,0.76,0.79,59500,0.79
2015-02-24,0.80,0.80,0.76,0.76,43500,0.76
2015-02-25,0.77,0.77,0.75,0.75,28500,0.75
2015-02-26,0.74,0.74,0.71,0.71,54800,0.71
2015-02-27,0.72,0.72,0.715,0.72,25800,0.72
2015-03-02,0.695,0.70,0.67,0.69,43200,0.69
2015-03-03,0.67,0.67,0.67,0.67,8400,0.67
2015-03-04,0.67,0.67,0.665,0.67,45000,0.67
2015-03-05,0.67,0.67,0.67,0.67,000,0.67
2015-03-06,0.70,0.70,0.67,0.67,31300,0.67
2015-03-09,0.68,0.68,0.65,0.65,166800,0.65
2015-03-10,0.65,0.66,0.65,0.65,30400,0.65
2015-03-11,0.65,0.65,0.645,0.645,21100,0.645
2015-03-12,0.65,0.65,0.65,0.65,26200,0.65
2015-03-13,0.69,0.70,0.69,0.70,10800,0.70
2015-03-16,0.70,0.72,0.70,0.70,75100,0.70
2015-03-17,0.70,0.72,0.67,0.71,67600,0.71
2015-03-18,0.765,0.765,0.70,0.75,616500,0.75
2015-03-19,0.725,0.775,0.725,0.775,148500,0.775
2015-03-20,0.775,0.795,0.765,0.795,172700,0.795
2015-03-23,0.80,0.815,0.795,0.80,120500,0.80
2015-03-24,0.81,0.81,0.78,0.78,11500,0.78
2015-03-25,0.80,0.805,0.785,0.785,94100,0.785
2015-03-26,0.78,0.795,0.75,0.79,234300,0.79
2015-03-27,0.80,0.80,0.77,0.79,74400,0.79
2015-03-30,0.77,0.795,0.77,0.795,14900,0.795
2015-03-31,0.80,0.80,0.78,0.78,26100,0.78
2015-04-01,0.78,0.80,0.78,0.79,33200,0.79
2015-04-02,0.795,0.83,0.795,0.82,68000,0.82
2015-04-03,0.82,0.82,0.82,0.82,000,0.82
2015-04-06,0.82,0.82,0.82,0.82,000,0.82
2015-04-07,0.825,0.825,0.77,0.825,138600,0.825
2015-04-08,0.81,0.81,0.75,0.77,114700,0.77
2015-04-09,0.77,0.77,0.77,0.77,000,0.77
2015-04-10,0.77,0.77,0.77,0.77,000,0.77
2015-04-13,0.74,0.74,0.71,0.71,254100,0.71
2015-04-14,0.70,0.70,0.66,0.70,542500,0.70
2015-04-15,0.655,0.70,0.655,0.68,224400,0.68
2015-04-16,0.665,0.70,0.66,0.675,190100,0.675
2015-04-17,0.665,0.675,0.64,0.64,421100,0.64
2015-04-20,0.64,0.67,0.63,0.655,421400,0.655
2015-04-21,0.65,0.66,0.65,0.65,388600,0.65
2015-04-22,0.655,0.67,0.655,0.655,124400,0.655
2015-04-23,0.66,0.68,0.66,0.68,214300,0.68
2015-04-24,0.675,0.685,0.675,0.68,230000,0.68
2015-04-27,0.66,0.69,0.66,0.67,127700,0.67
2015-04-28,0.675,0.715,0.675,0.715,107200,0.715
2015-04-29,0.695,0.705,0.69,0.705,51400,0.705
2015-04-30,0.68,0.68,0.66,0.66,187600,0.66
2015-05-01,0.68,0.68,0.68,0.68,14000,0.68
2015-05-04,0.685,0.685,0.675,0.68,61900,0.68
2015-05-05,0.68,0.68,0.67,0.67,98500,0.67
2015-05-06,0.68,0.685,0.67,0.685,99500,0.685
2015-05-07,0.685,0.685,0.665,0.67,127100,0.67
2015-05-08,0.69,0.69,0.67,0.67,65700,0.67
2015-05-11,0.67,0.69,0.67,0.68,53500,0.68
