Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,7.58,7.58,7.58,7.58,000,6.932
2015-01-02,7.66,7.88,7.63,7.86,880700,7.188
2015-01-05,7.83,8.61,7.80,8.37,1601500,7.655
2015-01-06,8.12,8.14,7.88,8.01,1318400,7.326
2015-01-07,7.95,8.00,7.73,7.81,1174100,7.143
2015-01-08,7.86,7.88,7.67,7.76,627400,7.097
2015-01-09,7.97,8.17,7.96,8.06,1068300,7.371
2015-01-12,8.00,8.02,7.84,7.84,556900,7.17
2015-01-13,7.70,7.78,7.51,7.64,800000,6.987
2015-01-14,7.58,7.64,7.34,7.38,771600,6.749
2015-01-15,7.42,7.43,7.24,7.30,1329100,6.676
2015-01-16,7.11,7.11,6.76,6.79,2703500,6.21
2015-01-19,6.90,6.90,6.60,6.74,1576900,6.164
2015-01-20,6.74,6.77,6.63,6.68,1058200,6.109
2015-01-21,6.72,6.86,6.62,6.65,803500,6.082
2015-01-22,6.63,6.70,6.56,6.59,1044700,6.027
2015-01-23,6.68,6.68,6.55,6.58,573500,6.018
2015-01-26,6.58,6.58,6.58,6.58,000,6.018
2015-01-27,6.62,6.81,6.27,6.77,1714400,6.192
2015-01-28,6.73,6.87,6.48,6.49,1364100,5.935
2015-01-29,6.40,6.70,6.40,6.67,1715100,6.10
2015-01-30,6.71,6.92,6.70,6.74,3046800,6.164
2015-02-02,6.87,6.87,6.47,6.51,1240700,5.954
2015-02-03,6.57,6.88,6.57,6.81,1113000,6.228
2015-02-04,7.14,7.26,7.03,7.18,1130100,6.566
2015-02-05,7.17,7.49,7.135,7.30,1102800,6.676
2015-02-06,7.30,7.39,7.17,7.32,603300,6.695
2015-02-09,7.33,7.37,7.18,7.30,502600,6.676
2015-02-10,7.30,7.48,7.21,7.33,949900,6.704
2015-02-11,7.43,7.48,6.96,6.98,983800,6.384
2015-02-12,7.03,7.06,6.65,6.68,1128600,6.109
2015-02-13,6.88,7.05,6.79,6.96,654800,6.365
2015-02-16,7.05,7.33,7.00,7.33,979000,6.704
2015-02-17,7.30,7.50,7.19,7.26,1024400,6.64
2015-02-18,7.40,7.51,7.29,7.41,917500,6.777
2015-02-19,7.46,7.70,7.20,7.38,1874800,6.749
2015-02-20,7.60,7.94,7.58,7.75,1557400,7.088
2015-02-23,7.65,7.95,7.53,7.90,1231400,7.225
2015-02-24,7.91,7.98,7.73,7.90,1739100,7.225
2015-02-25,7.67,8.19,7.67,8.11,1449600,7.417
2015-02-26,8.06,8.15,8.05,8.08,959500,7.39
2015-02-27,8.13,8.13,7.85,7.87,1212900,7.198
2015-03-02,7.80,7.80,7.47,7.48,1624800,6.841
2015-03-03,7.65,7.93,7.60,7.76,1857000,7.097
2015-03-04,7.80,7.85,7.58,7.58,914100,6.932
2015-03-05,7.61,7.76,7.55,7.70,1138200,7.042
2015-03-06,7.60,7.63,7.45,7.56,1205600,6.914
2015-03-09,7.51,7.53,7.06,7.08,1050000,6.475
2015-03-10,7.06,7.08,6.76,6.85,1492000,6.265
2015-03-11,6.76,6.96,6.60,6.70,1803600,6.127
2015-03-12,6.70,6.71,6.58,6.60,1292300,6.036
2015-03-13,6.70,6.93,6.66,6.84,1282800,6.256
2015-03-16,6.89,7.07,6.77,6.97,1946600,6.374
2015-03-17,7.01,7.22,6.87,7.07,1343300,6.466
2015-03-18,6.99,6.99,6.50,6.81,2798600,6.324
2015-03-19,6.99,7.12,6.88,7.02,1463100,6.519
2015-03-20,6.98,7.24,6.90,7.00,9087500,6.50
2015-03-23,6.94,7.19,6.90,7.05,1425800,6.547
2015-03-24,6.72,7.04,6.63,6.97,1725300,6.473
2015-03-25,7.00,7.16,6.67,7.09,2350400,6.584
2015-03-26,6.95,7.19,6.95,7.10,1315800,6.593
2015-03-27,7.00,7.12,6.89,6.95,1319000,6.454
2015-03-30,6.76,7.05,6.76,6.89,643500,6.398
2015-03-31,6.89,6.96,6.69,6.75,1460100,6.268
2015-04-01,6.66,6.74,6.45,6.46,2089000,5.999
2015-04-02,6.45,6.70,6.33,6.56,1563000,6.092
2015-04-03,6.56,6.56,6.56,6.56,000,6.092
2015-04-06,6.56,6.56,6.56,6.56,000,6.092
2015-04-07,6.62,6.77,6.53,6.58,1245900,6.11
2015-04-08,6.60,6.98,6.60,6.91,855400,6.417
2015-04-09,6.92,7.01,6.66,6.71,837400,6.231
2015-04-10,6.74,6.99,6.72,6.97,997700,6.473
2015-04-13,6.94,6.94,6.17,6.20,1234300,5.757
2015-04-14,6.23,6.26,5.93,6.12,2246600,5.683
2015-04-15,6.11,6.17,5.975,6.03,1272500,5.60
2015-04-16,6.17,6.30,6.07,6.16,1218800,5.72
2015-04-17,6.16,6.28,5.96,5.98,789400,5.553
2015-04-20,5.97,6.07,5.88,5.97,956700,5.544
2015-04-21,6.05,6.09,5.75,5.78,1095900,5.367
2015-04-22,5.85,6.00,5.73,5.98,1095800,5.553
2015-04-23,6.15,6.31,6.11,6.20,1091800,5.757
2015-04-24,6.30,6.56,6.29,6.50,2060600,6.036
2015-04-27,6.62,6.99,6.62,6.92,1822400,6.426
2015-04-28,7.00,7.10,6.79,6.80,1811800,6.315
2015-04-29,6.80,6.86,6.56,6.66,1045500,6.185
2015-04-30,6.30,6.60,6.21,6.50,1034300,6.036
2015-05-01,6.37,6.77,6.37,6.71,665600,6.231
2015-05-04,6.80,6.94,6.65,6.82,619100,6.333
2015-05-05,6.92,6.99,6.82,6.84,608700,6.352
2015-05-06,6.82,7.04,6.62,6.93,1042100,6.435
2015-05-07,6.76,7.05,6.70,6.82,714600,6.333
2015-05-08,6.55,6.85,6.55,6.68,477900,6.203
2015-05-11,6.81,6.97,6.70,6.87,679900,6.38
2015-05-12,6.75,7.19,6.73,7.07,1203400,6.565
2015-05-13,6.72,7.20,6.72,7.16,830300,6.649
2015-05-14,7.01,7.12,6.67,6.69,1168300,6.213
2015-05-15,6.81,7.00,6.71,6.87,673600,6.38
2015-05-18,6.95,7.19,6.90,6.91,1300000,6.417
2015-05-19,6.93,6.99,6.68,6.73,891300,6.25
2015-05-20,6.68,6.70,6.51,6.62,897000,6.147
2015-05-21,6.90,7.04,6.75,7.02,837900,6.519
2015-05-22,7.23,7.54,7.07,7.08,1244000,6.575
2015-05-25,7.16,7.40,7.08,7.15,694500,6.64
2015-05-26,7.14,7.43,7.14,7.41,586400,6.881
2015-05-27,7.35,7.48,7.25,7.38,534900,6.853
2015-05-28,7.43,7.47,7.26,7.43,560300,6.90
2015-05-29,7.45,7.72,7.45,7.63,870900,7.085
2015-06-01,7.59,7.59,7.21,7.38,699100,6.853
2015-06-02,7.42,7.44,7.14,7.24,457200,6.723
2015-06-03,7.06,7.24,7.06,7.21,822700,6.695
2015-06-04,7.20,7.32,7.12,7.15,849100,6.64
2015-06-05,7.06,7.34,7.06,7.31,543400,6.788
2015-06-08,7.31,7.31,7.31,7.31,000,6.788
2015-06-09,7.22,7.36,7.14,7.29,671000,6.77
2015-06-10,7.29,7.33,7.21,7.30,652700,6.779
2015-06-11,7.33,7.44,7.28,7.36,755600,6.835
2015-06-12,7.28,7.58,7.18,7.50,684800,6.965
2015-06-15,7.53,7.63,7.32,7.61,533400,7.067
2015-06-16,7.53,7.58,6.97,7.00,1050900,6.50
2015-06-17,7.03,7.27,6.71,7.26,1356800,6.742
2015-06-18,7.11,7.26,7.00,7.20,1057400,6.686
2015-06-19,7.05,7.36,6.96,7.29,1948100,6.77
2015-06-22,7.45,7.45,7.24,7.35,478700,6.825
2015-06-23,7.39,7.50,7.30,7.38,783900,6.853
2015-06-24,7.38,7.38,7.09,7.13,1013600,6.621
2015-06-25,7.12,7.12,6.57,6.61,1532600,6.138
2015-06-26,6.56,6.69,6.29,6.39,1551800,5.934
2015-06-29,6.19,6.42,6.14,6.40,989400,5.943
2015-06-30,6.32,6.66,6.28,6.60,1373800,6.129
2015-07-01,6.55,6.78,6.55,6.77,779700,6.287
2015-07-02,7.03,7.04,6.74,6.90,1366700,6.408
2015-07-03,6.68,6.73,6.30,6.34,1137100,5.887
2015-07-06,6.09,6.22,6.09,6.16,826500,5.72
2015-07-07,6.12,6.21,5.87,6.16,1117700,5.72
2015-07-08,6.01,6.05,5.77,5.95,1397300,5.525
2015-07-09,5.85,6.25,5.74,6.20,1368100,5.757
2015-07-10,6.26,6.28,6.09,6.18,932500,5.739
2015-07-13,6.17,6.18,5.93,5.95,850100,5.525
2015-07-14,6.20,6.26,6.05,6.24,900900,5.795
2015-07-15,6.29,6.33,6.17,6.24,732000,5.795
2015-07-16,6.35,6.38,6.16,6.22,650900,5.776
2015-07-17,6.25,6.26,5.90,5.94,1163000,5.516
2015-07-20,5.97,6.00,5.83,5.90,923800,5.479
2015-07-21,5.92,5.95,5.785,5.87,953000,5.451
2015-07-22,5.84,5.98,5.69,5.84,1524000,5.423
2015-07-23,5.82,5.83,5.55,5.63,1607300,5.228
2015-07-24,5.52,5.65,5.40,5.58,1738300,5.182
2015-07-27,5.56,5.56,5.30,5.41,1121100,5.024
2015-07-28,5.36,5.58,5.30,5.48,1723600,5.089
2015-07-29,5.52,5.60,5.305,5.40,1716900,5.015
2015-07-30,5.45,5.50,5.34,5.37,2022600,4.987
2015-07-31,5.42,5.51,5.31,5.42,2483400,5.033
2015-08-03,5.60,5.72,5.50,5.62,1462900,5.219
2015-08-04,5.54,5.65,5.33,5.37,1243100,4.987
2015-08-05,5.34,5.36,5.18,5.28,1994600,4.903
2015-08-06,5.26,5.31,5.01,5.18,1897000,4.81
2015-08-07,5.03,5.15,4.92,5.05,2150300,4.69
2015-08-10,5.04,5.27,5.04,5.19,1706600,4.82
2015-08-11,5.22,5.25,5.05,5.11,1337200,4.745
2015-08-12,5.05,5.12,4.90,4.96,1097400,4.606
2015-08-13,4.97,5.10,4.91,4.92,1392900,4.569
2015-08-14,4.91,4.965,4.775,4.83,927100,4.485
2015-08-17,4.85,4.91,4.78,4.86,845500,4.513
2015-08-18,4.84,4.93,4.70,4.74,707900,4.402
2015-08-19,4.73,4.78,4.65,4.76,674600,4.42
2015-08-20,4.55,4.72,4.40,4.47,1154200,4.151
2015-08-21,4.32,4.91,4.32,4.66,2783500,4.327
2015-08-24,4.57,4.58,4.32,4.38,2193700,4.067
2015-08-25,4.27,4.62,4.21,4.54,2189400,4.216
2015-08-26,4.41,4.52,4.32,4.41,2168300,4.095
2015-08-27,4.46,4.48,4.12,4.27,1996900,3.965
2015-08-28,4.32,4.41,4.22,4.34,1995000,4.03
2015-08-31,4.24,4.50,4.23,4.37,1671700,4.058
2015-09-01,4.40,4.44,4.20,4.20,2125700,3.90
2015-09-02,3.95,4.19,3.94,4.12,2195000,4.032
2015-09-03,4.15,4.36,4.14,4.30,2288800,4.208
2015-09-04,4.29,4.30,4.01,4.15,2133600,4.061
2015-09-07,4.08,4.15,4.01,4.14,1120500,4.051
2015-09-08,4.17,4.24,4.12,4.19,525400,4.10
2015-09-09,4.23,4.42,4.23,4.32,1471100,4.227
2015-09-10,4.30,4.30,4.09,4.19,1750000,4.10
2015-09-11,4.25,4.27,4.11,4.22,1382500,4.129
2015-09-14,4.32,4.41,4.24,4.31,1937800,4.218
2015-09-15,4.27,4.32,4.13,4.20,1045900,4.11
2015-09-16,4.17,4.24,4.09,4.18,1086900,4.09
2015-09-17,4.31,4.63,4.30,4.58,2089600,4.482
2015-09-18,4.54,4.54,4.37,4.42,957700,4.325
2015-09-21,4.33,4.41,4.27,4.40,1050700,4.306
2015-09-22,4.44,4.44,4.26,4.28,1196600,4.188
2015-09-23,4.15,4.29,4.08,4.13,1841900,4.041
2015-09-24,4.11,4.12,3.95,4.07,1434000,3.983
2015-09-25,4.14,4.24,4.13,4.20,1231200,4.11
2015-09-28,4.17,4.25,4.08,4.22,750200,4.129
2015-09-29,4.04,4.08,3.92,4.06,2227600,3.973
2015-09-30,4.00,4.20,3.97,4.12,1630000,4.032
2015-10-01,4.15,4.23,4.08,4.20,1415700,4.11
2015-10-02,4.14,4.23,4.09,4.13,1053900,4.041
