Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.18,2.18,2.18,2.18,000,2.18
2015-01-02,2.18,2.18,2.18,2.18,000,2.18
2015-01-05,2.22,2.22,2.22,2.22,000,2.22
2015-01-06,2.22,2.22,2.22,2.22,000,2.22
2015-01-07,2.22,2.22,2.22,2.22,000,2.22
2015-01-08,2.22,2.22,2.22,2.22,000,2.22
2015-01-09,2.22,2.22,2.22,2.22,000,2.22
2015-01-12,2.22,2.22,2.22,2.22,000,2.22
2015-01-13,2.22,2.22,2.22,2.22,000,2.22
2015-01-14,2.22,2.22,2.22,2.22,000,2.22
2015-01-15,2.22,2.22,2.22,2.22,000,2.22
2015-01-16,2.22,2.22,2.22,2.22,000,2.22
2015-01-19,2.22,2.22,2.22,2.22,000,2.22
2015-01-20,2.22,2.22,2.22,2.22,000,2.22
2015-01-21,8.3495,8.3495,8.3495,8.3495,000,8.3495
2015-01-22,8.3495,8.3495,8.3495,8.3495,000,8.3495
2015-01-23,2.49,2.50,2.48,2.49,52100,2.49
2015-01-27,2.22,2.22,2.22,2.22,000,2.22
2015-01-28,2.22,2.22,2.22,2.22,000,2.22
2015-01-29,2.22,2.22,2.22,2.22,000,2.22
2015-01-30,2.22,2.22,2.22,2.22,000,2.22
2015-02-02,2.22,2.22,2.22,2.22,000,2.22
2015-02-03,2.22,2.22,2.22,2.22,000,2.22
2015-02-04,2.22,2.22,2.22,2.22,000,2.22
2015-02-05,2.22,2.22,2.22,2.22,000,2.22
2015-02-06,2.22,2.22,2.22,2.22,000,2.22
2015-02-09,2.22,2.22,2.22,2.22,000,2.22
2015-02-10,2.22,2.22,2.22,2.22,000,2.22
2015-02-11,2.22,2.22,2.22,2.22,000,2.22
2015-02-12,2.22,2.22,2.22,2.22,000,2.22
2015-02-13,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-16,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-17,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-18,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-19,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-20,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-23,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-24,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-25,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-26,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-02-27,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-03-02,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-03-03,2.2134,2.2134,2.2134,2.2134,000,2.2134
2015-03-04,2.37,2.37,2.37,2.37,000,2.37
2015-03-05,2.37,2.37,2.37,2.37,000,2.37
2015-03-06,2.37,2.37,2.37,2.37,000,2.37
2015-03-09,2.37,2.37,2.37,2.37,000,2.37
2015-03-10,2.37,2.37,2.37,2.37,000,2.37
2015-03-11,2.37,2.37,2.37,2.37,000,2.37
2015-03-12,2.37,2.37,2.37,2.37,000,2.37
2015-03-13,2.37,2.37,2.37,2.37,000,2.37
2015-03-16,2.37,2.37,2.37,2.37,000,2.37
2015-03-17,2.37,2.37,2.37,2.37,000,2.37
2015-03-18,2.37,2.37,2.37,2.37,000,2.37
2015-03-19,2.37,2.37,2.37,2.37,000,2.37
2015-03-20,2.37,2.37,2.37,2.37,000,2.37
2015-03-23,2.58,2.58,2.58,2.58,16100,2.58
2015-03-24,2.37,2.37,2.37,2.37,000,2.37
2015-03-25,2.37,2.37,2.37,2.37,000,2.37
2015-03-26,2.37,2.37,2.37,2.37,000,2.37
2015-03-27,2.37,2.37,2.37,2.37,000,2.37
2015-03-30,2.37,2.37,2.37,2.37,000,2.37
2015-03-31,2.37,2.37,2.37,2.37,000,2.37
2015-04-01,2.37,2.37,2.37,2.37,000,2.37
2015-04-02,2.54,2.55,2.52,2.52,64400,2.52
2015-04-07,2.37,2.37,2.37,2.37,000,2.37
2015-04-08,2.37,2.37,2.37,2.37,000,2.37
