Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.45,1.45,1.45,1.45,000,1.345
2015-01-02,1.435,1.445,1.425,1.44,9800,1.3357
2015-01-05,1.46,1.46,1.45,1.46,23700,1.3543
2015-01-06,1.45,1.46,1.42,1.435,28100,1.3311
2015-01-07,1.435,1.46,1.435,1.45,26600,1.345
2015-01-08,1.45,1.46,1.44,1.44,25900,1.3357
2015-01-09,1.44,1.45,1.44,1.45,56200,1.345
2015-01-12,1.46,1.47,1.45,1.47,45800,1.3635
2015-01-13,1.47,1.47,1.44,1.45,56800,1.345
2015-01-14,1.45,1.48,1.45,1.48,35400,1.3728
2015-01-15,1.46,1.47,1.46,1.46,6400,1.3543
2015-01-16,1.455,1.455,1.44,1.45,46100,1.345
2015-01-19,1.42,1.43,1.415,1.425,99400,1.3218
2015-01-20,1.415,1.415,1.33,1.35,33900,1.2522
2015-01-21,1.34,1.34,1.325,1.33,66800,1.2337
2015-01-22,1.34,1.34,1.32,1.34,34000,1.243
2015-01-23,1.34,1.365,1.31,1.33,66500,1.2337
2015-01-26,1.33,1.33,1.33,1.33,000,1.2337
2015-01-27,1.30,1.31,1.30,1.30,38400,1.2059
2015-01-28,1.30,1.30,1.30,1.30,74500,1.2059
2015-01-29,1.32,1.35,1.31,1.35,29500,1.2522
2015-01-30,1.32,1.40,1.31,1.37,138400,1.2708
2015-02-02,1.32,1.35,1.315,1.315,75500,1.2198
2015-02-03,1.315,1.32,1.315,1.315,92200,1.2198
2015-02-04,1.36,1.36,1.315,1.315,115300,1.2198
2015-02-05,1.31,1.345,1.30,1.325,94800,1.229
2015-02-06,1.315,1.34,1.315,1.32,78400,1.2244
2015-02-09,1.32,1.32,1.315,1.32,51700,1.2244
2015-02-10,1.32,1.33,1.32,1.32,23400,1.2244
2015-02-11,1.33,1.34,1.32,1.34,103500,1.243
2015-02-12,1.34,1.34,1.325,1.33,49900,1.2337
2015-02-13,1.325,1.33,1.32,1.32,45500,1.2244
2015-02-16,1.32,1.36,1.32,1.34,102300,1.243
2015-02-17,1.33,1.33,1.32,1.32,44900,1.2244
2015-02-18,1.39,1.39,1.33,1.33,29100,1.2337
2015-02-19,1.34,1.34,1.33,1.33,51000,1.2337
2015-02-20,1.33,1.335,1.33,1.33,55000,1.2337
2015-02-23,1.34,1.36,1.34,1.36,7400,1.2615
2015-02-24,1.36,1.375,1.36,1.37,69000,1.2708
2015-02-25,1.385,1.42,1.385,1.395,261900,1.294
2015-02-26,1.40,1.40,1.34,1.35,20900,1.2522
2015-02-27,1.35,1.35,1.33,1.34,23600,1.243
2015-03-02,1.33,1.345,1.31,1.34,71100,1.243
2015-03-03,1.32,1.335,1.32,1.325,11700,1.229
2015-03-04,1.325,1.335,1.325,1.335,17700,1.2383
2015-03-05,1.335,1.34,1.325,1.325,90500,1.229
2015-03-06,1.335,1.335,1.32,1.325,15700,1.229
2015-03-09,1.325,1.33,1.305,1.305,50300,1.2105
2015-03-10,1.31,1.32,1.305,1.32,27500,1.2244
2015-03-11,1.305,1.325,1.30,1.325,59400,1.229
2015-03-12,1.325,1.35,1.325,1.34,44000,1.243
2015-03-13,1.345,1.36,1.34,1.34,204100,1.243
2015-03-16,1.34,1.365,1.34,1.365,53300,1.2662
2015-03-17,1.365,1.41,1.365,1.41,23700,1.3079
2015-03-18,1.37,1.37,1.37,1.37,12000,1.2708
2015-03-19,1.38,1.38,1.38,1.38,4000,1.2801
2015-03-20,1.40,1.41,1.365,1.365,39700,1.2662
2015-03-23,1.39,1.40,1.35,1.35,36200,1.2522
2015-03-24,1.355,1.355,1.34,1.34,14400,1.243
2015-03-25,1.35,1.36,1.34,1.36,35500,1.2615
2015-03-26,1.35,1.36,1.35,1.35,21200,1.2522
2015-03-27,1.35,1.35,1.35,1.35,20900,1.2522
2015-03-30,1.35,1.35,1.34,1.345,34500,1.2476
2015-03-31,1.345,1.36,1.345,1.345,45300,1.2476
2015-04-01,1.34,1.36,1.34,1.34,95200,1.243
2015-04-02,1.31,1.35,1.30,1.31,44700,1.2659
2015-04-03,1.31,1.31,1.31,1.31,000,1.2659
2015-04-06,1.31,1.31,1.31,1.31,000,1.2659
